code,provider,country,location,email,lang,channel,sent_at,bounced,replied_at,outcome,notes
NPG7L2,Aconcagua Expeditions,Argentina,southamerica/argentina/cuyo/mendoza,info@aconcaguaexpeditions.com,en,email,,,,,aconcaguaexpeditions.com
DQ2SX6,Aconcagua Experiences,Argentina,southamerica/argentina/cuyo/mendoza,info@aconcaguaexperiences.com.ar,en,email,,,,,aconcaguaexperiences.com.ar
7FSHHS,ADN Travel,Argentina,southamerica/argentina/norte/jujuy,infoadntravel@gmail.com,en,email,,,,,adntravel.com.ar
FGLZJJ,Alma Andina Turismo,Argentina,southamerica/argentina/norte/salta,info@almaandinaturismo.com.ar,en,email,,,,,almaandinaturismo.com.ar
S4NT6L,Amigos del Jaguar,Argentina,southamerica/argentina/litoral/puertoiguazu,,en,none,,,,,
C3D2HX,Antartur,Argentina,southamerica/argentina/patagonia/ushuaia,reservas@antartur.tur.ar,en,email,,,,,
S7T8TP,Argentina Rafting,Argentina,southamerica/argentina/cuyo/mendoza,info@argentinarafting.com,en,email,,,,,argentinarafting.com
QCJKDP,Arpón Trekking,Argentina,southamerica/argentina/patagonia/ushuaia,reservas@arpontrekking.com,en,email,,,,,
NNH4Q2,Aswalek Expediciones,Argentina,southamerica/argentina/patagonia/ushuaia,info@aswalek.tur.ar,en,email,,,,,
Y76TCT,Atypicos Tandil,Argentina,southamerica/argentina/pampas/tandil,,en,none,,,,,
F5VHH9,Ayllu Turismo,Argentina,southamerica/argentina/norte/salta,,en,website,,,,,aylluturismo.com
NXSWDJ,BAF Travel,Argentina,southamerica/argentina/patagonia/calafate,calafate@baftravel.com,en,email,,,,,
6VR92X,Best Tour Patagonia,Argentina,southamerica/argentina/patagonia/ushuaia,ventas@best-tourpatagonia.com,en,email,,,,,
L6XN9X,Bottazzi,Argentina,southamerica/argentina/patagonia/puerto_piramides,ventas@titobottazzi.com,en,email,,,,,
VVCKDS,Cabalgata El Indio Solitario,Argentina,southamerica/argentina/litoral/puertoiguazu,,en,none,,,,,
HWJ3GC,Cabalgatas Bariloche,Argentina,southamerica/argentina/patagonia/bariloche,info@cabalgatasbariloche.com.ar,en,email,,,,,cabalgatasbariloche.com.ar
6HMJVG,Canal Fun & Nature,Argentina,southamerica/argentina/patagonia/ushuaia,info@canalfun.com,en,email,,,,,
3N4KHY,Champaquí Adventure,Argentina,southamerica/argentina/cordobaprovince/villa_general_belgrano,champaqui.adventure@gmail.com,en,email,,,,,champaquiadventure.tur.ar
QJWXY6,Connect Patagonia,Argentina,southamerica/argentina/patagonia/elchalten,connectpatagonia.com@gmail.com,en,email,,,,,
T7P9CG,Cruceros MarPatag,Argentina,southamerica/argentina/patagonia/calafate,glaciares@crucerosmarpatag.com,en,email,,,,,
F4CG34,Cuenca del Plata,Argentina,southamerica/argentina/litoral/puertoiguazu,cuencadelplata@cuencadelplata.com,en,email,,,,,
9HZWDV,De Altura Viajes y Turismo,Argentina,southamerica/argentina/norte/salta,info@dealtura.com.ar,en,email,,,,,dealtura.com.ar
4C9YP8,Dexotic,Argentina,southamerica/argentina/norte/salta,info@dexotic.com,en,email,,,,,dexotic.com
7W2CLX,Fitz Roy Expediciones,Argentina,southamerica/argentina/patagonia/elchalten,contact@fitzroyexpediciones.com.ar,en,email,,,,,
ZT65BR,Glaciar Turismo,Argentina,southamerica/argentina/patagonia/calafate,reservas@glaciarturismo.com,en,email,,,,,glaciarturismo.com
43ZRDV,GPS Travel,Argentina,southamerica/argentina/patagonia/calafate,info@gps-travel.com.ar,en,email,,,,,
HKSFXR,Hielo & Aventura,Argentina,southamerica/argentina/patagonia/calafate,,en,website,,,,,hieloyaventura.com
Z8CS2Q,Hydrosport,Argentina,southamerica/argentina/patagonia/puerto_piramides,operaciones@hydrosport.com.ar,en,email,,,,,
36SWKC,Iguazú Jungle,Argentina,southamerica/argentina/litoral/iguazufalls,info@iguazujungle.com,en,email,,,,,
WW57RY,Iguazú Wasserfalle,Argentina,southamerica/argentina/litoral/puertoiguazu,marcela@iguazuwasserfalle.com,en,email,,,,,
X7QC9Z,Info de Ushuaia,Argentina,southamerica/argentina/patagonia/ushuaia,,en,website,,,,,infodeushuaia.com
XLXH6R,Inka Expediciones,Argentina,southamerica/argentina/cuyo/mendoza,inka@inka.com.ar,en,email,,,,,inkaexpediciones.com
4F3W4F,Isla de los Fuegos,Argentina,southamerica/argentina/patagonia/ushuaia,,en,website,,,,,isladelosfuegosushuaia.com
XL25MJ,Lanín Turismo y Aventura,Argentina,southamerica/argentina/patagonia/sanmartindelosandes,laninturismo@smandes.com.ar,en,email,,,,,laninturismo.com
