world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/liaoning/shenyang,Shenyang,Shenyang,6,59,see,Former Site of Shenyang Military Tribunal for the Trial of Japanese War Criminals,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.826822,123.429671,Shenyang Imperial Palace (Mukden Palace),asia/china/liaoning/shenyang/shenyang_imperial_palace,0.356,3.343,2.697,has_external_url,http://www.918museum.org.cn/index.php/article/listarticle/pid/222/rel/tabs/sidebar/sidebar,https://en.wikivoyage.org/wiki/Shenyang
asia/china/liaoning/shenyang,Shenyang,Shenyang,6,59,see,Liaoning Provincial Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.6758,123.4544,Zhaoling Tomb (North Tomb),asia/china/liaoning/shenyang/zhaoling_tomb,0.41,20.974,14.27,has_external_url,https://www.lnmuseum.com.cn,https://en.wikivoyage.org/wiki/Shenyang
europe/ireland/limerick,Limerick,Limerick,15,43,see,Glenstal Abbey,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.6618,-8.3884,Medieval Quarter,europe/ireland/limerick/medieval_quarter,0.4,15.997,16.073,has_external_url,https://glenstal.com/abbey/,https://en.wikivoyage.org/wiki/Limerick
europe/ireland/limerick,Limerick,Limerick,15,43,do,Munster Rugby,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.6743,-8.6425,Thomond Park,europe/ireland/limerick/thomond_park,0.5,0.5,1.581,has_external_url,https://www.munsterrugby.ie,https://en.wikivoyage.org/wiki/Limerick
europe/unitedkingdom/wales/cardiff,Cardiff,Cardiff,13,100,see,St Fagans National History Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.4869,-3.2725,National Museum Cardiff,europe/unitedkingdom/wales/cardiff/national_museum_cardiff,0.536,6.467,6.487,has_external_url,http://www.museumwales.ac.uk/en/stfagans/,https://en.wikivoyage.org/wiki/Cardiff
europe/unitedkingdom/wales/cardiff,Cardiff,Cardiff,13,100,see,Castell Coch,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.5354,-3.2536,Cardiff Castle,europe/unitedkingdom/wales/cardiff/cardiff_castle,0.385,7.744,7.889,has_external_url,http://cadw.gov.wales/daysout/castell-coch/?lang=en,https://en.wikivoyage.org/wiki/Cardiff
asia/china/anhui/hefei,Hefei,Hefei,15,55,see,Hefei Sea World/aquarium,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,31.78299,117.20989,Hefei Botanical Garden,asia/china/anhui/hefei/hefei_botanical_garden,0.435,8.966,11.608,has_external_url,http://www.hfuww.com,https://en.wikivoyage.org/wiki/Hefei
asia/china/hainanisland/haikou,Haikou,Haikou,11,64,do,Changying Wonderland,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,19.98349196778205,110.19038030051128,Xiuying Fort,asia/china/hainanisland/haikou/xiuying_fort,0.438,13.173,6.998,has_external_url,http://www.changying100.com/,https://en.wikivoyage.org/wiki/Haikou
asia/china/henan_province/luoyang,Luoyang,Luoyang,11,25,see,Dingding Gate Ruins Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.632503718192055,112.46031844561604,Lijing Gate,asia/china/henan_province/luoyang/lijing_gate,0.486,0.602,1.833,has_external_url,https://weibo.com/u/5508833692?is_all=1,https://en.wikivoyage.org/wiki/Luoyang
asia/china/shandong_province/jinan,Jinan,Jinan,65,109,see,Jinan Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.7006,116.9812,Jinan Great Mosque,asia/china/shandong_province/jinan/jinan_mosque,0.519,3.979,6.704,has_external_url,http://www.jinanzoo.com/,https://en.wikivoyage.org/wiki/Jinan
asia/india/goa/panaji,Panaji,Panaji,18,49,do,Dr. Salim Ali Bird Sanctuary,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,15.5146,73.8575,Kala Academy,asia/india/goa/panaji/kala_academy,0.359,4.825,3.586,has_external_url,https://www.incredibleindia.org/content/incredible-india-v2/en/destinations/kochi/listicles/things-to-do/dr-salim-ali-bird-sanctuary.html,https://en.wikivoyage.org/wiki/Panaji
asia/india/rajasthan/udaipur,Udaipur,Udaipur,47,77,see,Udaipur Solar Observatory,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,24.604589,73.674189,Fateh Sagar Lake,asia/india/rajasthan/udaipur/fateh_sagar_lake,0.431,0.569,3.128,has_external_url,http://www.prl.res.in/~uso/,https://en.wikivoyage.org/wiki/Udaipur
asia/japan/honshu/himeji,Himeji,Himeji,14,23,see,Japan Toy Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.907444,134.745389,Himeji City Museum of Art,asia/japan/honshu/himeji/himeji_city_museum_of_art,0.537,8.678,11.608,has_external_url,https://japan-toy-museum.org/,https://en.wikivoyage.org/wiki/Himeji
asia/japan/shikoku/matsuyama,Matsuyama,Matsuyama,12,59,see,Tobe Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.762389,132.79275,Taiho-ji,asia/japan/shikoku/matsuyama/taiho_ji,0.375,9.98,8.939,has_external_url,http://www.tobezoo.com,https://en.wikivoyage.org/wiki/Matsuyama
asia/turkey/ankara,Ankara,Ankara,13,116,see,Atatürk Forest Farm,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.945,32.7957,Trilye Restaurant,asia/turkey/ankara/trilye_restaurant,0.5,7.256,5.658,has_external_url,https://www.aoc.gov.tr/Portal/Geziyerlerimiz/ataturk-orman-ciftligi-muze-ve-sergi-salonu/37,https://en.wikivoyage.org/wiki/Ankara
australiaandpacific/australia/queensland/cairns,Cairns,Cairns,10,45,do,Spirit of Freedom,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-16.92334,145.76509,Great Barrier Reef Day Trips,australiaandpacific/australia/queensland/cairns/great_barrier_reef_trips,0.356,1.481,1.481,has_external_url,https://www.spiritoffreedom.com.au/,https://en.wikivoyage.org/wiki/Cairns
australiaandpacific/newzealand/south_island/otago/invercargill,Invercargill,Invercargill,7,13,see,Awarua Communications Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-46.50458,168.37265,Te Unua Museum of Southland,australiaandpacific/newzealand/south_island/otago/invercargill/te_unua_museum,0.4,11.151,10.263,has_external_url,https://www.awaruamuseum.co.nz/,https://en.wikivoyage.org/wiki/Invercargill
europe/belgium/genk,Genk,Genk,6,10,see,Emile Van Dorenmuseum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.966843,5.513077,Bokrijk Open Air Museum,europe/belgium/genk/bokrijk,0.455,3.2,0.918,has_external_url,http://www.emilevandorenmuseum.be/,https://en.wikivoyage.org/wiki/Genk
europe/denmark/silkeborg,Silkeborg,Silkeborg,8,26,do,Go swimming,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,56.147916,9.55626,Old Town Hall,europe/denmark/silkeborg/old_town_hall,0.333,2.414,2.431,has_external_url,https://www.silkeborg.com/ln-int/silkeborg/lake-beaches,https://en.wikivoyage.org/wiki/Silkeborg
europe/finland/turku,Turku,Turku,5,262,do,JukuPark Waterpark,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,60.4782,22.2562,Turku Cathedral,europe/finland/turku/turku_cathedral,0.545,2.967,3.017,has_external_url,https://jukupark.fi/,https://en.wikivoyage.org/wiki/Turku
europe/france/nord/lille,Lille,Lille,22,79,see,La Piscine,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.692636,3.167305,Estaminets (Traditional Flemish Taverns),europe/france/nord/lille/estaminet,0.471,9.318,9.611,has_external_url,http://www.roubaix-lapiscine.com/,https://en.wikivoyage.org/wiki/Lille
europe/germany/bavaria/erlangen,Erlangen,Erlangen,6,167,see,Bubenreutheum (string instrument maker and music history museum),0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.6231479,11.0135103,Neustädter Kirche,europe/germany/bavaria/erlangen/neustaedter_kirche,0.4,3.116,4.439,has_external_url,http://www.bubenreutheum.de/en/museum/,https://en.wikivoyage.org/wiki/Erlangen
europe/germany/thuringia/erfurt,Erfurt,Erfurt,8,43,do,Egapark,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.9675,11.0078,Severikirche,europe/germany/thuringia/erfurt/severkirche,0.316,1.41,1.86,has_external_url,http://www.egapark-erfurt.de/,https://en.wikivoyage.org/wiki/Erfurt
europe/hungary/debrecen,Debrecen,Debrecen,17,130,see,Hajdúszoboszló,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.443639,21.389522,Halászcsárda,europe/hungary/debrecen/halaszcsarda,0.48,20.178,20.272,has_external_url,http://hajduszoboszlo.hu/,https://en.wikivoyage.org/wiki/Debrecen
europe/hungary/veszprem,Veszprém,Veszprém,11,105,do,Kittenberger Kalman Plants and Wildlife Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.0925,17.89402,Kittenberger Kálmán Zoo,europe/hungary/veszprem/veszprem_zoo,0.537,1.561,1.063,has_external_url,http://www.veszpzoo.hu/,https://en.wikivoyage.org/wiki/Veszpr%C3%A9m
europe/ireland/sligo,Sligo,Sligo,17,38,see,Parke's Castle,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.2647,-8.3344,Medb's Cairn,europe/ireland/sligo/medbs_cairn,0.462,15.244,9.176,has_external_url,https://heritageireland.ie/visit/places-to-visit/parkes-castle/,https://en.wikivoyage.org/wiki/Sligo
europe/italy/puglia/lecce,Lecce,Lecce,7,27,see,Sigismondo Castromediano Archaeological Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.34719,18.17138,Museo Provinciale Sigismondo Castromediano,europe/italy/puglia/lecce/museo_provinciale,0.545,0.762,22.174,has_external_url,https://www.comune.lecce.it/vivi-lecce/musei-e-gallerie/museo-provinciale-sigismondo-castromediano,https://en.wikivoyage.org/wiki/Lecce
europe/netherlands/haarlem,Haarlem,Haarlem,17,53,see,Rooms-Katholieke Kathedrale Basiliek Sint Bavo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.376529,4.622133,Molen de Adriaan,europe/netherlands/haarlem/molen_de_adriaan,0.339,1.412,1.75,has_external_url,http://www.rkbavo.nl/,https://en.wikivoyage.org/wiki/Haarlem
europe/poland/warsaw,Warsaw,Warsaw,56,70,see,Nożyk Synagogue,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.236,21.001,Nowy Świat,europe/poland/warsaw/nowy_swiat,0.417,1.199,4.786,has_external_url,http://www.warszawa.jewish.org.pl,https://en.wikivoyage.org/wiki/Warsaw
europe/russia/ural/ekaterinburg,Ekaterinburg,Yekaterinburg,11,72,do,Aquapark Limpopo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,56.7915,60.6468,Rastorguev-Kharitonov Palace,europe/russia/ural/ekaterinburg/kharitonov_palace,0.318,6.365,5.9,has_external_url,http://www.limpopo-park.ru/,https://en.wikivoyage.org/wiki/Yekaterinburg
europe/slovenia/ljubljana,Ljubljana,Ljubljana,26,111,do,Kinoteka,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.05602,14.507873,Butchers' Bridge (Mesarski most),europe/slovenia/ljubljana/butchers_bridge,0.525,0.475,0.67,has_external_url,http://www.kinoteka.si,https://en.wikivoyage.org/wiki/Ljubljana
europe/spain/spanishcostas/benidorm,Benidorm,Benidorm,6,34,do,Benidorm Palace,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.54446,-0.10256,Sierra Helada,europe/spain/spanishcostas/benidorm/sierra_helada,0.357,4.214,2.347,has_external_url,https://www.benidormpalace.com/en/benidorm-palace/the-auditorium/,https://en.wikivoyage.org/wiki/Benidorm
europe/switzerland/neuchatel,Neuchatel,Neuchatel,8,33,see,Le Jardin des Senteurs,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.00937,6.96357,Valangin Castle,europe/switzerland/neuchatel/valangin_castle,0.467,4.343,3.404,has_external_url,http://www.jardin-des-senteurs.ch,https://en.wikivoyage.org/wiki/Neuchatel
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/swindon,Swindon,Swindon,6,27,see,Cotswold Water Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.651944,-1.9575,Wyvern Theatre,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/swindon/wyvern_theatre,0.364,15.948,15.565,has_external_url,http://www.waterpark.org/,https://en.wikivoyage.org/wiki/Swindon
europe/unitedkingdom/england/manchester_liverpool_and_north_west/carlisle,Carlisle,Carlisle,5,19,see,A World in Miniature,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.9297,-2.9217,Carlisle Cathedral,europe/unitedkingdom/england/manchester_liverpool_and_north_west/carlisle/carlisle_cathedral,0.389,3.918,3.989,has_external_url,https://www.klondyke.co.uk/store-locator/houghton-hall-garden-centre-carlisle/,https://en.wikivoyage.org/wiki/Carlisle
europe/unitedkingdom/scotland/aberdeen,Aberdeen,Aberdeen,17,83,see,Johnston Gardens,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,57.136,-2.148,Seaton Park,europe/unitedkingdom/scotland/aberdeen/seatonpark,0.519,5.083,3.597,has_external_url,https://www.aberdeencity.gov.uk/services/leisure-culture-and-parks/parks-and-gardens/johnston-gardens,https://en.wikivoyage.org/wiki/Aberdeen
northamerica/canada/britishcolumbia/kelowna,Kelowna,Kelowna,7,69,do,Myra-Bellevue Provincial Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.7968,-119.3236,Knox Mountain Park,northamerica/canada/britishcolumbia/kelowna/knox_mountain_park,0.34,17.036,15.977,has_external_url,https://bcparks.ca/explore/parkpgs/myra/,https://en.wikivoyage.org/wiki/Kelowna
northamerica/canada/ontario/hamilton,Hamilton,Hamilton (Ontario),18,97,do,Christie Lake Conservation Area,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.2785,-80.0291,Christ's Church Cathedral,northamerica/canada/ontario/hamilton/christ_church_cathedral,0.5,13.308,12.894,has_external_url,http://conservationhamilton.ca/conservation-areas-2/christie-lake/,https://en.wikivoyage.org/wiki/Hamilton_%28Ontario%29
northamerica/costarica/heredia,Heredia,Heredia,7,59,do,Monte de la Cruz,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,10.0677,-84.07648,Parque Central,northamerica/costarica/heredia/parque_central,0.333,8.853,8.481,has_external_url,https://www.munisrh.go.cr/monte-de-la-cruz/,https://en.wikivoyage.org/wiki/Heredia
northamerica/unitedstates/alabama/montgomery,Montgomery,Montgomery,24,41,do,The Capri Theatre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.35228,-86.29088,Chris' Hot Dogs,northamerica/unitedstates/alabama/montgomery/chris_hot_dogs,0.444,3.208,3.304,has_external_url,https://www.capritheatre.org/,https://en.wikivoyage.org/wiki/Montgomery
northamerica/unitedstates/california/burlingame,Burlingame,Burlingame,4,32,do,Crystal Springs Regional Trail,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.58896,-122.41295,Coyote Point Recreation Area,northamerica/unitedstates/california/burlingame/coyote_point,0.517,7.653,5.909,has_external_url,https://www.smcgov.org/parks/crystal-springs-regional-trail,https://en.wikivoyage.org/wiki/Burlingame
northamerica/unitedstates/connecticut/new_london,New London,New London (Connecticut),6,18,see,Lyman Allyn Art Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.3737,-72.1072,United States Coast Guard Academy,northamerica/unitedstates/connecticut/new_london/us_coast_guard_academy,0.364,1.251,2.104,has_external_url,http://www.lymanallyn.org,https://en.wikivoyage.org/wiki/New_London_%28Connecticut%29
