world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/finland/rovaniemi,Rovaniemi,Rovaniemi,8,183,do,Arctic Circle National Hiking Area,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,66.61923,26.18348,Santa Claus Village,europe/finland/rovaniemi/santa_claus_village,0.377,17.081,23.873,has_external_url,http://www.nationalparks.fi/arcticcircle,https://en.wikivoyage.org/wiki/Rovaniemi
europe/finland/rovaniemi,Rovaniemi,Rovaniemi,8,183,do,KesäRafla summer restaurant and sauna,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,66.51116,25.78885,Santa Claus Village,europe/finland/rovaniemi/santa_claus_village,0.321,4.418,2.762,has_external_url,https://www.laplandhotels.com/EN/hotels-in-lapland/rovaniemi/lapland-hotels-ounasvaara-chalets/summer-restaurant-sauna.html,https://en.wikivoyage.org/wiki/Rovaniemi
europe/switzerland/lugano,Lugano,Lugano,7,47,do,Swissminiatur,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.953589,8.950617,Monte Brè,europe/switzerland/lugano/monte_bre,0.381,6.805,5.718,has_external_url,http://www.swissminiatur.ch,https://en.wikivoyage.org/wiki/Lugano
europe/switzerland/lugano,Lugano,Lugano,7,47,see,Hermann Hesse museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.983083,8.918976,MASI Lugano,europe/switzerland/lugano/masi_lugano,0.323,3.32,3.528,has_external_url,http://www.hessemontagnola.ch/,https://en.wikivoyage.org/wiki/Lugano
northamerica/unitedstates/massachusetts/cambridge,Cambridge,Cambridge (Massachusetts),13,112,see,Cambridge Arts Council Gallery,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.36989,-71.10348,Central Square,northamerica/unitedstates/massachusetts/cambridge/central_square,0.456,0.544,0.479,has_external_url,https://www.cambridgema.gov/arts/,https://en.wikivoyage.org/wiki/Cambridge_%28Massachusetts%29
northamerica/unitedstates/massachusetts/cambridge,Cambridge,Cambridge (Massachusetts),13,112,see,Temple Beth Shalom of Cambridge,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.37142,-71.09816,Central Square,northamerica/unitedstates/massachusetts/cambridge/central_square,0.356,0.842,0.806,has_external_url,http://tremontstreetshul.org/,https://en.wikivoyage.org/wiki/Cambridge_%28Massachusetts%29
asia/china/guangdong/zhuhai,Zhuhai,Zhuhai,6,68,see,Guyuan Museum of Art,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,22.286605,113.546793,New Yuanming Palace,asia/china/guangdong/zhuhai/new_yuanming_palace,0.359,23.019,2.88,has_external_url,http://www.gyart.org/,https://en.wikivoyage.org/wiki/Zhuhai
asia/china/hebei/chengde,Chengde,Chengde,9,11,see,Chengde Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.006474,117.943841,Putuo Zongcheng Temple,asia/china/hebei/chengde/putuo_zongcheng_temple,0.444,1.66,6.295,has_external_url,http://www.chdmuseum.cn/,https://en.wikivoyage.org/wiki/Chengde
asia/china/hunan/zhuzhou,Zhuzhou,Zhuzhou,4,48,do,Zhuzhou Fantawild adventure theme park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,27.989037,113.189823,Zhuzhou Television Tower,asia/china/hunan/zhuzhou/zhuzhou_television_tower,0.484,20.089,17.025,has_external_url,http://zhuzhou.fangte.com/,https://en.wikivoyage.org/wiki/Zhuzhou
asia/china/shandong_province/zaozhuang,Zaozhuang,Zaozhuang,2,29,see,Zaozhuang Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.84374,117.5597481,Lu Ban Memorial Hall,asia/china/shandong_province/zaozhuang/luban_memorial,0.389,21.135,21.135,has_external_url,http://www.zzsbwg.com/,https://en.wikivoyage.org/wiki/Zaozhuang
asia/india/madhyapradesh/bhopal,Bhopal,Bhopal,7,24,see,Indira Gandhi Rashtriya Manav Sangrahalaya,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,23.23204,77.37774,Bhopal Gas Tragedy Memorial Museum,asia/india/madhyapradesh/bhopal/bhopal_gas_tragedy_memorial,0.342,6.254,3.845,has_external_url,http://igrms.com/,https://en.wikivoyage.org/wiki/Bhopal
asia/indonesia/java/ambarawa,Ambarawa,Ambarawa,7,18,do,Banaran Agrotourism Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-7.253937,110.441438,Bandungan Flower Market,asia/indonesia/java/ambarawa/bandungan_market,0.511,9.174,4.568,has_external_url,https://kampoengkopibanaran.id/,https://en.wikivoyage.org/wiki/Ambarawa
asia/japan/honshu/nagano,Nagano,Nagano,6,15,see,Nishi-no-Mon Yoshinoya,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.657611,138.186015,Zenkō-ji,asia/japan/honshu/nagano/zenkoji,0.518,0.482,1.354,has_external_url,https://nishinomon-yoshinoya.com/,https://en.wikivoyage.org/wiki/Nagano
