world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/hungary/kecskemet,Kecskemét,Kecskemét,12,106,do,Nyíri forest,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.927,19.579,Kodály Institute,europe/hungary/kecskemet/kodaly_institute,0.357,8.86,8.859,has_external_url,http://www.kefag.hu,https://en.wikivoyage.org/wiki/Kecskem%C3%A9t
europe/hungary/kecskemet,Kecskemét,Kecskemét,12,106,do,ZOO,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.8974,19.7195,Old Synagogue (House of Science and Technology),europe/hungary/kecskemet/synagogue,0.25,2.564,2.365,has_external_url,http://www.zookecskemet.hu/,https://en.wikivoyage.org/wiki/Kecskem%C3%A9t
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bath,Bath,Bath,20,96,see,Royal Victoria Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.3867,-2.3742,Royal Crescent,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bath/royal_crescent,0.514,0.486,1.167,has_external_url,https://visitbath.co.uk/things-to-do/royal-victoria-park-p25701,https://en.wikivoyage.org/wiki/Bath
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bath,Bath,Bath,20,96,see,Beckford's Tower & Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.406944,-2.380278,Holburne Museum,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bath/holburne_museum,0.476,3.194,3.181,has_external_url,http://beckfordstower.org.uk,https://en.wikivoyage.org/wiki/Bath
africa/kenya/thecoast/mombasa,Mombasa,Mombasa,20,137,do,Bamburi Forest Trails and Butterfly Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-3.988793,39.734069,Tamarind Restaurant,africa/kenya/thecoast/mombasa/tamarind_restaurant,0.441,8.303,10.108,has_external_url,http://www.opengreenmap.org/greenmap/mombasa/bamburi-forest-trails-butterfly-park-38760,https://en.wikivoyage.org/wiki/Mombasa
africa/southafrica/portelizabeth,Port Elizabeth,Port Elizabeth,10,66,do,Kragga Kamma Game Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-33.988,25.457,St George's Park,africa/southafrica/portelizabeth/st_georges_park,0.421,14.084,15.189,has_external_url,http://www.kraggakamma.com,https://en.wikivoyage.org/wiki/Port_Elizabeth
asia/china/guizhou/guiyang,Guiyang,Guiyang,9,25,do,Guiyang Happy World,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,26.67529,106.63661,Qianming Temple,asia/china/guizhou/guiyang/qianming_temple,0.412,13.747,12.803,has_external_url,http://www.gyhappyworld.com/,https://en.wikivoyage.org/wiki/Guiyang
asia/china/hebei/tangshan,Tangshan,Tangshan,3,37,see,Fenghuangshan Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.630023,118.183658,Nanhu Ecological Park,asia/china/hebei/tangshan/nanhu_park,0.513,4.563,3.641,has_external_url,https://s.visitbeijing.com.cn/attraction/118863,https://en.wikivoyage.org/wiki/Tangshan
asia/china/jiangsu_province/yangzhou,Yangzhou,Yangzhou,11,19,see,Zhuyuwan Scenic Area and Yangzhou Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.43115,119.485506,Daming Temple and Jianzheng Pagoda,asia/china/jiangsu_province/yangzhou/daming_temple,0.423,7.322,7.978,has_external_url,http://www.yzzyw.com/pindex.asp,https://en.wikivoyage.org/wiki/Yangzhou
asia/china/zhejiang/wenzhou,Wenzhou,Wenzhou,8,76,see,Jingshan Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,27.9998772932,120.6197994263,Jiangxin Island,asia/china/zhejiang/wenzhou/jiangxin_island,0.429,6.019,7.427,has_external_url,http://www.wzjsgy.cn/,https://en.wikivoyage.org/wiki/Wenzhou
asia/india/maharashtra/nashik,Nashik,Nashik,5,73,see,WeGo Art Gallery & Art Exhibition,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,19.965255,73.773413,Kalaram Temple,asia/india/maharashtra/nashik/kalaram_temple,0.245,3.677,5.408,has_external_url,https://wegogallery.art.blog/,https://en.wikivoyage.org/wiki/Nashik
asia/indonesia/java/bogor,Bogor,Bogor,6,30,do,JungleLand Adventure Theme Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-6.57413,106.89359,Bogor Cathedral (Gereja Katedral),asia/indonesia/java/bogor/bogor_cathedral,0.304,11.377,10.921,has_external_url,https://www.facebook.com/Jungleland-Adventure-Theme-Park-1415610202007561/,https://en.wikivoyage.org/wiki/Bogor
asia/japan/honshu/okayama,Okayama,Okayama,9,83,see,Ancient Kibi Cultural Properties Center,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.663665,133.854522,Kibiji Cycling Route,asia/japan/honshu/okayama/kibiji_cycling_route,0.407,6.658,5.887,has_external_url,https://www.pref.okayama.jp/site/kodai/,https://en.wikivoyage.org/wiki/Okayama
asia/taiwan/keelung,Keelung,Keelung,12,18,see,National Museum of Marine Science and Technology,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,25.1401,121.79857,Miaokou Daytime Seafood Stalls,asia/taiwan/keelung/miaokou_seafood_stalls,0.333,5.852,6.136,has_external_url,https://www.nmmst.gov.tw/enhtml/index.aspx,https://en.wikivoyage.org/wiki/Keelung
australiaandpacific/australia/northernterritory/alicesprings,Alice Springs,Alice Springs,14,29,see,Old Ghan Heritage Railway and Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-23.777723,133.867965,Adelaide House Museum,australiaandpacific/australia/northernterritory/alicesprings/adelaide_house,0.421,8.818,8.959,has_external_url,http://northernterritory.com/alice-springs-and-surrounds/things-to-do/old-ghan-heritage-railway-and-museum,https://en.wikivoyage.org/wiki/Alice_Springs
australiaandpacific/fiji/vitilevu/nadi,Nadi,Nadi,12,24,do,Pacific Island Air Scenic Flights,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-17.75787,177.44766,Denarau Island and Marina,australiaandpacific/fiji/vitilevu/nadi/denarau_marina,0.448,6.896,2.321,has_external_url,http://www.pacificislandair.com/Scenic-Flights/Fiji-scenic-helicopter-flights-__I.6188,https://en.wikivoyage.org/wiki/Nadi
europe/belarus/minsk,Minsk,Minsk,27,78,see,Ozertso - Open Air Museum of Rural Architecture and Life,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.8345,27.3742,Museum of Stones,europe/belarus/minsk/museum_of_stones,0.371,19.591,14.438,has_external_url,http://www.etna.by/,https://en.wikivoyage.org/wiki/Minsk
europe/croatia/rijeka,Rijeka,Rijeka,6,40,see,Modern and Contemporary Art Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.330765,14.431895,PEEK&POKE Computer Museum,europe/croatia/rijeka/peek_and_poke,0.54,0.918,0.918,has_external_url,http://mmsu.hr,https://en.wikivoyage.org/wiki/Rijeka
europe/finland/jyvaskyla,Jyväskylä,Jyväskylä,10,66,see,Finnish Air Force Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,62.3876,25.678,Alvar Aalto Museum,europe/finland/jyvaskyla/alvar_aalto_museum,0.524,17.364,16.649,has_external_url,http://airforcemuseum.fi,https://en.wikivoyage.org/wiki/Jyv%C3%A4skyl%C3%A4
europe/france/east/alsace/mulhouse,Mulhouse,Mulhouse,7,27,do,Musée du papier peint,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.74434,7.39734,Musée de l'Impression sur Étoffes,europe/france/east/alsace/mulhouse/musee_impression_etoffes,0.468,4.4,4.37,has_external_url,http://www.museepapierpeint.org/,https://en.wikivoyage.org/wiki/Mulhouse
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,see,Grabkapelle Württemberg,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.78203,9.26878,Mineral Bath Berg,europe/germany/badenwrttemberg/stuttgart/mineralbathberg,0.45,4.828,6.516,has_external_url,http://www.grabkapelle-rotenberg.de/en/home/,https://en.wikivoyage.org/wiki/Stuttgart
europe/germany/lowersaxony/osnabrck,Osnabrück,Osnabrück,14,39,see,Museum am Schölerberg,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.249444,8.069722,St. Mary's Church,europe/germany/lowersaxony/osnabrck/st_marys_church,0.432,3.691,2.925,has_external_url,http://www.osnabrueck.de/mas/startseite.html,https://en.wikivoyage.org/wiki/Osnabr%C3%BCck
europe/greece/philippi,Philippi,Philippi,9,18,see,Lydia,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.02088,24.27681,Baptistery of Lydia,europe/greece/philippi/baptistery_of_lydia,0.417,1.907,1.037,has_external_url,http://www.religiousgreece.gr/web/guest/synchrona-proskynemata/-/asset_publisher/zHMDlQGqauWW/content/iero-proskynema-agias-lydias-philippesias,https://en.wikivoyage.org/wiki/Philippi
europe/hungary/szeged,Szeged,Szeged,7,61,see,St. Michael's Church of Tápéi,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.25813,20.20108,Votive Church,europe/hungary/szeged/votive_church,0.488,4.126,4.053,has_external_url,http://www.szeged-csanad.egyhazmegye.hu/tape.htm,https://en.wikivoyage.org/wiki/Szeged
europe/ireland/maynooth,Maynooth,Maynooth (Ireland),12,11,see,The Steam Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.312,-6.599,The Leinster Arms,europe/ireland/maynooth/the_leinster_arms,0.48,7.705,7.91,has_external_url,http://www.steam-museum.com/,https://en.wikivoyage.org/wiki/Maynooth_%28Ireland%29
europe/italy/lombardia/lagodigarda/sirmione,Sirmione,Sirmione,5,10,see,Centro storico navetta,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.465639,10.607005,Rocca Scaligera,europe/italy/lombardia/lagodigarda/sirmione/rocca_scaligera,0.432,2.922,0.357,has_external_url,http://www.sirmionebs.it/italian/news.php?idnews=1342,https://en.wikivoyage.org/wiki/Sirmione
europe/lithuania/panevezys,Panevėžys,Panevėžys,7,19,do,Culture and Leisure Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.7371,24.3233,City Cafes and Bars,europe/lithuania/panevezys/city_cafes,0.465,,2.179,has_external_url,https://jp.lt/panevezyje-toliau-tesiami-kulturos-ir-poilsio-parko-modernizavimo-darbai/,https://en.wikivoyage.org/wiki/Panev%C4%97%C5%BEys
europe/poland/poznan,Poznan,Poznań,12,96,do,Nowe Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.40033,16.99562,Nierozpoznani,europe/poland/poznan/nierozpoznani,0.381,4.772,4.825,has_external_url,https://zoo.poznan.pl,https://en.wikivoyage.org/wiki/Pozna%C5%84
europe/russia/irkutsk,Irkutsk,Irkutsk,10,66,see,Eksperimentary science museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.248975,104.272109,Irkutsk Regional Museum,europe/russia/irkutsk/regional_museum,0.462,4.209,4.495,has_external_url,http://experimentary.ru,https://en.wikivoyage.org/wiki/Irkutsk
europe/slovakia/bojnice,Bojnice,Bojnice,3,9,see,Nitrianske Rudno,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.7981845,18.4780124,Bojnice Zoo,europe/slovakia/bojnice/bojnice_zoo,0.37,7.504,7.897,has_external_url,http://www.nitrianskerudno.sk/,https://en.wikivoyage.org/wiki/Bojnice
europe/spain/northernspain/lacorua,La Coruña,A Coruña,8,37,see,Casa das Ciencias,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.3621,-8.4125,Plaza de María Pita,europe/spain/northernspain/lacorua/placa_de_maria_pita,0.452,1.628,1.663,has_external_url,https://www.coruna.gal/mc2/es/casa-de-las-ciencias,https://en.wikivoyage.org/wiki/A_Coru%C3%B1a
europe/sweden/rebro,Örebro,Örebro,5,15,see,Wadköping,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,59.272612,15.232751,Wadköping Open-Air Museum,europe/sweden/rebro/wadkoping,0.529,0.782,1.029,has_external_url,https://extra.orebro.se/wadkoping.4.6dd1f9011538e4a54e2145.html,https://en.wikivoyage.org/wiki/%C3%96rebro
europe/ukraine/kyiv,Kyiv,Kyiv,52,205,do,Palace of Sports,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.437222,30.522222,PinchukArtCentre,europe/ukraine/kyiv/pinchuk_art_centre,0.502,0.498,1.427,has_external_url,https://www.spalace.com.ua,https://en.wikivoyage.org/wiki/Kyiv
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/skipton,Skipton,Skipton,6,16,see,Bolton Abbey,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.9825,-1.8872,Skipton Market,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/skipton/skipton_market,0.462,8.745,8.765,has_external_url,http://www.boltonabbey.com,https://en.wikivoyage.org/wiki/Skipton
europe/unitedkingdom/england/south_east/winchester,Winchester,Winchester (England),10,36,see,Twyford Waterworks,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.0212,-1.2991,Water Meadows and the Itchen,europe/unitedkingdom/england/south_east/winchester/water_meadows,0.333,4.19,4.564,has_external_url,http://www.twyfordwaterworks.co.uk/,https://en.wikivoyage.org/wiki/Winchester_%28England%29
northamerica/belize/belmopan,Belmopan,Belmopan,6,25,see,St. Herman’s Cave,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,17.143,-88.69,St. Herman's Blue Hole National Park,northamerica/belize/belmopan/st_hermans_blue_hole,0.51,9.59,14.561,has_external_url,http://www.belizeit.com/st-hermans-cave.html,https://en.wikivoyage.org/wiki/Belmopan
northamerica/canada/newbrunswick/moncton,Moncton,Moncton,11,50,do,Irishtown Nature Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.14193,-64.77216,Victoria Park,northamerica/canada/newbrunswick/moncton/victoria_park,0.529,5.648,5.287,has_external_url,https://www.moncton.ca/irishtown-nature-park,https://en.wikivoyage.org/wiki/Moncton
northamerica/canada/ontario/oakville,Oakville,Oakville (Ontario),19,24,see,Sovereign House,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.390264,-79.710885,Sheridan College,northamerica/canada/ontario/oakville/sheridan_college,0.516,8.788,7.292,has_external_url,http://www.brontehistoricalsociety.ca/,https://en.wikivoyage.org/wiki/Oakville_%28Ontario%29
northamerica/thecaribbean/guadeloupe/basseterre,Basse-Terre,Basse-Terre,4,8,see,Zoo de Guadeloupe,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,16.1793,-61.7511,Guadeloupe National Park,northamerica/thecaribbean/guadeloupe/basseterre/guadeloupe_national_park,0.526,15.379,19.648,has_external_url,https://www.zoodeguadeloupe.com/practical-info,https://en.wikivoyage.org/wiki/Basse-Terre
