world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/hungary/pecs,Pécs,Pécs,9,63,do,Puppet Theatre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.07865,18.24678,Pécs Cathedral,europe/hungary/pecs/pecs_cathedral,0.429,1.788,1.518,has_external_url,http://www.bobita.hu,https://en.wikivoyage.org/wiki/P%C3%A9cs
europe/hungary/pecs,Pécs,Pécs,9,63,do,Third Theatre of Pécs,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.06457,18.19026,Mosque of Pasha Qasim,europe/hungary/pecs/mosque_of_pasha_qasim,0.333,3.221,3.237,has_external_url,http://www.pecsiharmadikszinhaz.hu,https://en.wikivoyage.org/wiki/P%C3%A9cs
europe/unitedkingdom/england/eastern_england/southendonsea,Southend-on-Sea,Southend-on-Sea,10,58,do,The Cliffs Pavilion,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.53519,0.69717,Southend Cliff Railway,europe/unitedkingdom/england/eastern_england/southendonsea/southend_cliff_railway,0.486,0.964,1.155,has_external_url,http://www.thecliffspavilion.co.uk/,https://en.wikivoyage.org/wiki/Southend-on-Sea
europe/unitedkingdom/england/eastern_england/southendonsea,Southend-on-Sea,Southend-on-Sea,10,58,do,The Palace Theatre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.54375,0.69177,Adventure Island,europe/unitedkingdom/england/eastern_england/southendonsea/adventure_island,0.333,2.08,1.555,has_external_url,https://trafalgartickets.com/palace-theatre-southend/en-GB,https://en.wikivoyage.org/wiki/Southend-on-Sea
africa/southafrica/krugernationalpark,Kruger National Park,Kruger National Park,7,74,see,Letaba Elephant Hall,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-23.85337,31.57486,Satara Rest Camp,africa/southafrica/krugernationalpark/satara_camp,0.444,63.644,15.154,has_external_url,https://www.sanparks.org/parks/kruger/elephants/,https://en.wikivoyage.org/wiki/Kruger_National_Park
africa/tunisia/tunis,Tunis,Tunis,17,51,see,Uthina,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.608467,10.171708,Souk el Attarine,africa/tunisia/tunis/souk_el_attarine,0.421,21.186,22.038,has_external_url,http://www.patrimoinedetunisie.com.tn/eng/sites/uthina.php,https://en.wikivoyage.org/wiki/Tunis
asia/china/guizhou/zunyi,Zunyi,Zunyi,6,16,see,Zunyi Art Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,27.72331016876701,107.04109671393873,Zunyi Old Town,asia/china/guizhou/zunyi/zunyi_old_town,0.467,10.776,10.776,has_external_url,https://www.zysmsg.cn/,https://en.wikivoyage.org/wiki/Zunyi
asia/china/henan_province/anyang,Anyang,Anyang,7,25,see,Mausoleum of Cao Cao,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.242777,114.260293,Tomb of Fu Hao,asia/china/henan_province/anyang/tomb_of_fu_hao,0.471,14.441,18.087,has_external_url,https://www.anyangccgl.com,https://en.wikivoyage.org/wiki/Anyang
asia/china/shaanxi/shenmu,Shenmu,Shenmu,2,5,see,Erlangshan Scenic Area,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.820311,110.475173,Lake Hongjiannao,asia/china/shaanxi/shenmu/lake_hongjiannao,0.421,59.884,2.415,has_external_url,http://www.elsjq.com/,https://en.wikivoyage.org/wiki/Shenmu
asia/india/bihar/patna,Patna,Patna,15,25,see,Shrikrishna Science Centre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,25.611,85.144,Gandhi Maidan,asia/india/bihar/patna/gandhi_maidan,0.429,0.571,2.064,has_external_url,http://sksciencecentre.org/,https://en.wikivoyage.org/wiki/Patna
