world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/romania/curtea_de_arges,Curtea de Arges,Curtea de Argeș,4,17,see,Norocea House,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.14378,24.674644,Royal Tombs at Curtea de Argeș Monastery,europe/romania/curtea_de_arges/kings_and_queens,0.404,0.596,0.391,has_external_url,https://transfagarasan.travel/ghid/en/locatie/dumitru-norocea-memorial-house/,https://en.wikivoyage.org/wiki/Curtea_de_Arge%C8%99
europe/unitedkingdom/scotland/glasgow,Glasgow,Glasgow,32,184,do,Tramway,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.841,-4.2674,The Barras Market,europe/unitedkingdom/scotland/glasgow/barras_market,0.4,2.431,2.486,has_external_url,https://www.tramway.org/,https://en.wikivoyage.org/wiki/Glasgow
europe/hungary/pecs,Pécs,Pécs,9,63,do,Puppet Theatre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.07865,18.24678,Pécs Cathedral,europe/hungary/pecs/pecs_cathedral,0.429,1.788,1.518,has_external_url,http://www.bobita.hu,https://en.wikivoyage.org/wiki/P%C3%A9cs
europe/andorra/andorralavella,Andorra la Vella,Andorra la Vella,4,44,see,The Carmen Thyssen Andorra Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.508499,1.537526,Molí dels Fanals,europe/andorra/moli_dels_fanals,0.364,3.344,1.312,has_external_url,https://museucarmenthyssenandorra.ad,https://en.wikivoyage.org/wiki/Andorra_la_Vella
europe/ireland/monaghan,Monaghan,Monaghan,6,14,do,Garage Theatre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.2628,-6.951,St Macartan's Cathedral,europe/ireland/monaghan/st_macartans_cathedral,0.432,2.1,1.964,has_external_url,https://www.garagetheatre.com,https://en.wikivoyage.org/wiki/Monaghan
europe/hungary/szeged,Szeged,Szeged,7,61,see,St. Michael's Church of Tápéi,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.25813,20.20108,Votive Church,europe/hungary/szeged/votive_church,0.488,4.126,4.053,has_external_url,http://www.szeged-csanad.egyhazmegye.hu/tape.htm,https://en.wikivoyage.org/wiki/Szeged
europe/poland/szczecin,Szczecin,Szczecin,9,62,see,Museum of Technology,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.4481,14.5406,National Museum Szczecin,europe/poland/szczecin/national_museum_szczecin,0.455,2.227,2.107,has_external_url,https://muzeumtechniki.eu/en/,https://en.wikivoyage.org/wiki/Szczecin
europe/ireland/ennis,Ennis,Ennis,8,15,see,Knappogue Castle,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.7941,-8.8318,Ennis Cathedral,europe/ireland/ennis/ennis_cathedral,0.387,11.469,11.595,has_external_url,https://www.knappoguecastle.ie/,https://en.wikivoyage.org/wiki/Ennis
asia/china/hainanisland/wuzhishan,Wuzhishan,Wuzhishan,4,11,do,Red Canyon,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,18.760617,109.641966,Yahu Terraced Rice Fields,asia/china/hainanisland/wuzhishan/yahu_terraced_fields,0.286,11.719,13.861,has_external_url,http://www.wzshxg.com/?_l=en,https://en.wikivoyage.org/wiki/Wuzhishan
northamerica/unitedstates/newyorkstate/lakegeorge,Lake George,Lake George,0,22,do,Million Dollar Beach,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.417825,-73.70335,,,0.0,,1.166,has_external_url,https://www.lakegeorge.com/beaches/,https://en.wikivoyage.org/wiki/Lake_George
