candidate_score,world66_path,world66_title,wikivoyage_title,wv_type,wv_name,wv_lat,wv_lng,reason,best_w66_title,best_match_score,best_distance_km,source_url
1.0,africa/angola/luanda,Luanda,Luanda,see,Church of Our Lady of Remedies,-8.81377,13.22974,has coordinates; has description; high-value type,Fortaleza de São Miguel,0.454,0.546,https://en.wikivoyage.org/wiki/Luanda
1.0,africa/angola/luanda,Luanda,Luanda,see,Igreja da Nazare,-8.80808,13.239376,has coordinates; has description; high-value type,Iron Palace (Palácio de Ferro),0.444,1.146,https://en.wikivoyage.org/wiki/Luanda
1.0,africa/burundi/bujumbura,Bujumbura,Bujumbura,see,Bugarama,-3.289,29.546,has coordinates; has description; high-value type,Central Market,0.364,22.668,https://en.wikivoyage.org/wiki/Bujumbura
1.0,africa/burundi/bujumbura,Bujumbura,Bujumbura,see,Mausolée du Prince Louis Rwagasore,-3.3925,29.3866,has coordinates; has description; high-value type,Rusizi National Park,0.314,13.015,https://en.wikivoyage.org/wiki/Bujumbura
1.0,africa/centralafricanrepublic/bangui,Bangui,Bangui,see,Boganda National Museum,4.36411,18.57698,has coordinates; has description; high-value type,Musée de Boganda,0.389,3.136,https://en.wikivoyage.org/wiki/Bangui
1.0,africa/centralafricanrepublic/bangui,Bangui,Bangui,see,Renaissance Palace,4.364865,18.585309,has coordinates; has description; high-value type,Musée de Boganda,0.323,4.062,https://en.wikivoyage.org/wiki/Bangui
1.0,africa/egypt/aswan,Aswan,Aswan,see,Gerf Hussein,23.96032,32.86701,has coordinates; has description; high-value type,Monastery of St Simeon,0.471,13.978,https://en.wikivoyage.org/wiki/Aswan
1.0,africa/egypt/minya,Minya,Minya,see,Al-Fouly Mosque,28.09608,30.7618,has coordinates; has description; high-value type,El-Ashmunein (Hermopolis),0.333,34.981,https://en.wikivoyage.org/wiki/Minya
1.0,africa/egypt/minya,Minya,Minya,see,Fraser Tombs,28.1621,30.7689,has coordinates; has description; high-value type,El-Ashmunein (Hermopolis),0.286,42.231,https://en.wikivoyage.org/wiki/Minya
1.0,africa/ethiopia/awashnationalpark,Awash National Park,Awash National Park,see,Viewpoint on the Awash River gorges,8.8769,40.0948,has coordinates; has description; high-value type,Filwoha Hot Springs,0.4,57.107,https://en.wikivoyage.org/wiki/Awash_National_Park
1.0,africa/gabon/libreville,Libreville,Libreville,see,Notre Dame de Lourdes,0.40705,9.45965,has coordinates; has description; high-value type,Pointe Denis,0.467,17.52,https://en.wikivoyage.org/wiki/Libreville
1.0,africa/guineeconakry/conakry,Conakry,Conakry,see,Soumba waterfalls,9.7503,-13.6,has coordinates; has description; high-value type,St. Mary's Cathedral,0.444,29.553,https://en.wikivoyage.org/wiki/Conakry
1.0,africa/ivorycoast/yamoussoukro,Yamoussoukro,Yamoussoukro,see,Saint Augustin Cathedral,6.8242,-5.2784,has coordinates; has description; high-value type,Presidential Lake,0.341,0.756,https://en.wikivoyage.org/wiki/Yamoussoukro
1.0,africa/kenya/thecoast/mombasa,Mombasa,Mombasa,see,Ambulances St John,-4.050326,39.666779,has coordinates; has description; high-value type,Tamarind Restaurant,0.432,2.15,https://en.wikivoyage.org/wiki/Mombasa
1.0,africa/kenya/thecoast/mombasa,Mombasa,Mombasa,see,Commonwealth War Cemetery Manyimbo,-4.03952,39.665229,has coordinates; has description; high-value type,Blue Room Restaurant,0.333,2.218,https://en.wikivoyage.org/wiki/Mombasa
1.0,africa/madagascar/antananarivo,Antananarivo,Antananarivo,see,Croc Farm,-18.78455,47.46361,has coordinates; has description; high-value type,Cafe de la Gare,0.444,16.307,https://en.wikivoyage.org/wiki/Antananarivo
1.0,africa/madagascar/antananarivo,Antananarivo,Antananarivo,see,Independence Avenue,-18.9057,47.5231,has coordinates; has description; high-value type,Avenue de l'Indépendance,0.482,0.518,https://en.wikivoyage.org/wiki/Antananarivo
1.0,africa/mali/gao,Gao,Gao,see,Grand Mosquée,16.279369,-0.049342,has coordinates; has description; high-value type,Gao Market,0.435,1.052,https://en.wikivoyage.org/wiki/Gao
1.0,africa/mali/gao,Gao,Gao,see,La Dune Rose,16.332175,-0.06877,has coordinates; has description; high-value type,Musée du Sahel,0.5,7.328,https://en.wikivoyage.org/wiki/Gao
1.0,africa/morocco/el_jadida,El Jadida,El Jadida,see,Portuguese cistern,33.25665,-8.50266,has coordinates; has description; high-value type,,0.0,,https://en.wikivoyage.org/wiki/El_Jadida
1.0,africa/morocco/el_jadida,El Jadida,El Jadida,see,Portuguese fortress,33.2571,-8.5036,has coordinates; has description; high-value type,,0.0,,https://en.wikivoyage.org/wiki/El_Jadida
1.0,africa/morocco/ouarzazate,Ouarzazate,Ouarzazate,see,Oasis de Fint,30.820962,-6.949739,has coordinates; has description; high-value type,Atlas Film Studios,0.429,12.537,https://en.wikivoyage.org/wiki/Ouarzazate
1.0,africa/morocco/ouarzazate,Ouarzazate,Ouarzazate,see,Solar Park,31.0415,-6.8679,has coordinates; has description; high-value type,CLA Studios,0.286,15.271,https://en.wikivoyage.org/wiki/Ouarzazate
1.0,africa/niger/maradi,Maradi,Maradi,see,Sultan's Palace,13.493954,7.096835,has coordinates; has description; high-value type,Maradi Bus Stations,0.294,1.466,https://en.wikivoyage.org/wiki/Maradi
1.0,africa/nigeria/akure,Akure,Akure,see,Ebomi Lake Tourist Centre,7.2475,5.2134,has coordinates; has description; high-value type,Deji of Akure Palace,0.444,2.284,https://en.wikivoyage.org/wiki/Akure
1.0,africa/nigeria/akure,Akure,Akure,see,Igbokoda,7.2475,5.2134,has coordinates; has description; high-value type,Oke-Igbo Market,0.435,2.09,https://en.wikivoyage.org/wiki/Akure
1.0,africa/nigeria/ilorin,Ilorin,Ilorin,see,National Museum Ilorin,8.4821714,4.5832874,has coordinates; has description; high-value type,University of Ilorin,0.429,6.967,https://en.wikivoyage.org/wiki/Ilorin
1.0,africa/nigeria/kano,Kano,Kano,see,Albasu Central Mosque,11.6738,9.141,has coordinates; has description; high-value type,Great Mosque of Kano,0.439,76.662,https://en.wikivoyage.org/wiki/Kano
1.0,africa/nigeria/kano,Kano,Kano,see,Gidan Dan Hausa Museum and Kano State Cultural Centre,11.982376,8.545645,has coordinates; has description; high-value type,Gidan Makama Museum,0.444,2.764,https://en.wikivoyage.org/wiki/Kano
1.0,africa/nigeria/zaria,Zaria,Zaria,see,ABU Gymnasium (Indoor Hall),11.15655,7.64257,has coordinates; has description; high-value type,Kufena Hill,0.333,10.729,https://en.wikivoyage.org/wiki/Zaria
1.0,africa/nigeria/zaria,Zaria,Zaria,see,N.I.T.T. Field Zaria,11.14607,7.68257,has coordinates; has description; high-value type,Great Mosque of Zaria,0.45,8.757,https://en.wikivoyage.org/wiki/Zaria
1.0,africa/somaliland/hargeisa,Hargeisa,Hargeisa,see,Laas Geel,9.780278,44.443333,has coordinates; has description; high-value type,Laas Geel Cave Paintings,0.545,41.032,https://en.wikivoyage.org/wiki/Hargeisa
1.0,africa/somaliland/hargeisa,Hargeisa,Hargeisa,see,Naasa Hablood,9.593611,44.120833,has coordinates; has description; high-value type,Hargeisa War Memorial,0.353,7.059,https://en.wikivoyage.org/wiki/Hargeisa
1.0,africa/southafrica/krugernationalpark,Kruger National Park,Kruger National Park,see,Albasini Ruins,-25.0233054,31.2439612,has coordinates; has description; high-value type,Pafuri Region,0.444,284.391,https://en.wikivoyage.org/wiki/Kruger_National_Park
1.0,africa/southafrica/krugernationalpark,Kruger National Park,Kruger National Park,see,Anna Ledeboer Plaque,-23.8344,31.6333,has coordinates; has description; high-value type,Lower Sabie Camp,0.389,145.866,https://en.wikivoyage.org/wiki/Kruger_National_Park
1.0,africa/tanzania/bagamoyo,Bagamoyo,Bagamoyo,see,Daladala station,-6.4468,38.9063,has coordinates; has description; high-value type,Old Customs House,0.532,0.468,https://en.wikivoyage.org/wiki/Bagamoyo
1.0,africa/tanzania/bagamoyo,Bagamoyo,Bagamoyo,see,Mangrove forests,-6.424,38.9026,has coordinates; has description; high-value type,Old Fort,0.5,2.078,https://en.wikivoyage.org/wiki/Bagamoyo
1.0,africa/tunisia/tataouine,Tataouine,Tataouine,see,Ghorfa Ksar El Ferech,33.0067336,10.3427372,has coordinates; has description; high-value type,Ksar Hadada,0.414,10.708,https://en.wikivoyage.org/wiki/Tataouine
1.0,africa/tunisia/tataouine,Tataouine,Tataouine,see,Local louage station,32.927625751016855,10.447631541138435,has coordinates; has description; high-value type,Ksar Ouled Soltane,0.526,16.683,https://en.wikivoyage.org/wiki/Tataouine
1.0,africa/zimbabwe/harare,Harare,Harare,see,Haka Camp Game Park,-17.8433,31.1444,has coordinates; has description; high-value type,Harare Gardens,0.424,10.549,https://en.wikivoyage.org/wiki/Harare
1.0,africa/zimbabwe/harare,Harare,Harare,see,Harare City Library,-17.831367,31.03893,has coordinates; has description; high-value type,Harare Gardens,0.545,1.161,https://en.wikivoyage.org/wiki/Harare
1.0,asia/afghanistan/kabul,Kabul,Kabul,see,Bagh-e Bala,34.539994,69.129933,has coordinates; has description; high-value type,Darul Aman Palace,0.429,8.374,https://en.wikivoyage.org/wiki/Kabul
1.0,asia/afghanistan/kabul,Kabul,Kabul,see,Bagh-e Zanana,34.534444,69.151389,has coordinates; has description; high-value type,Darul Aman Palace,0.4,8.242,https://en.wikivoyage.org/wiki/Kabul
1.0,asia/brunei/bandarseribegawan,Bandar Seri Begawan,Bandar Seri Begawan,see,Jerudong Park,4.934204,114.834262,has coordinates; has description; high-value type,Gadong Night Market,0.5,9.433,https://en.wikivoyage.org/wiki/Bandar_Seri_Begawan
1.0,asia/brunei/bandarseribegawan,Bandar Seri Begawan,Bandar Seri Begawan,see,Muara Beach,5.038154,115.078512,has coordinates; has description; high-value type,Malay Technology Museum,0.412,25.129,https://en.wikivoyage.org/wiki/Bandar_Seri_Begawan
1.0,asia/cambodia/sihanoukville,Sihanoukville,Sihanoukville,see,Kbal Chhay Waterfall,10.67477,103.60886,has coordinates; has description; high-value type,Ochheuteal Beach,0.389,11.968,https://en.wikivoyage.org/wiki/Sihanoukville
1.0,asia/china/anhui/tongling,Tongling,Tongling,see,Jiulangjian Forest Park,30.963,117.7725,has coordinates; has description; high-value type,Copper Culture Park,0.429,4.952,https://en.wikivoyage.org/wiki/Tongling
1.0,asia/china/anhui/tongling,Tongling,Tongling,see,Martyrs Memorial Hall,30.9515,117.7995,has coordinates; has description; high-value type,Tongling Museum,0.278,1.697,https://en.wikivoyage.org/wiki/Tongling
1.0,asia/china/fujianprovince/quanzhou,Quanzhou,Quanzhou,see,Fujian-Taiwan Kinship Museum,24.938599,118.585419,has coordinates; has description; high-value type,Quanzhou Maritime Museum,0.462,4.103,https://en.wikivoyage.org/wiki/Quanzhou
1.0,asia/china/fujianprovince/quanzhou,Quanzhou,Quanzhou,see,Quanzhou Museum of Overseas Chinese History,24.915057,118.602079,has coordinates; has description; high-value type,Quanzhou Beef Soup,0.459,1.654,https://en.wikivoyage.org/wiki/Quanzhou
