candidate_score,world66_path,world66_title,wikivoyage_title,wv_type,wv_name,wv_lat,wv_lng,reason,best_w66_title,best_match_score,best_distance_km,source_url
1.0,africa/algeria/oran,Oran,Oran,see,Oran zoo,35.6893,-0.64668,has coordinates; has description; high-value type,Fort of Santa Cruz,0.462,3.7,https://en.wikivoyage.org/wiki/Oran
1.0,africa/benin/ouidah,Ouidah,Ouidah,see,Brazilian Mansion,6.356265,2.075498,has coordinates; has description; high-value type,Basilique de l'Immaculée Conception,0.49,1.13,https://en.wikivoyage.org/wiki/Ouidah
1.0,africa/burkinafaso/gaoua,Gaoua,Gaoua,see,Poni Museum,10.333299,-3.178214,has coordinates; has description; high-value type,Musée de Poni,0.545,0.455,https://en.wikivoyage.org/wiki/Gaoua
1.0,africa/burkinafaso/gaoua,Gaoua,Gaoua,see,Ruins of Loropéni,10.25008,-3.583297,has coordinates; has description; high-value type,Musée de Poni,0.519,44.981,https://en.wikivoyage.org/wiki/Gaoua
1.0,africa/cameroon/yaound,Yaoundé,Yaoundé,see,Cameroon Art Museum,3.863305,11.502862,has coordinates; has description; high-value type,Ahmadou Ahidjo Stadium,0.439,4.866,https://en.wikivoyage.org/wiki/Yaound%C3%A9
1.0,africa/cameroon/yaound,Yaoundé,Yaoundé,see,Chutes d'eau de Nachtigal,4.353,11.628,has coordinates; has description; high-value type,Musée National du Cameroun,0.489,55.342,https://en.wikivoyage.org/wiki/Yaound%C3%A9
1.0,africa/congokinshasa/lubumbashi,Lubumbashi,Lubumbashi,see,Lubumbashi Zoological Garden,-11.669045,27.475466,has coordinates; has description; high-value type,Cathedral of Saints Peter and Paul,0.408,0.592,https://en.wikivoyage.org/wiki/Lubumbashi
1.0,africa/egypt/dahab,Dahab,Dahab,see,Abu Galoum,28.614785,34.559609,has coordinates; has description; high-value type,Ras Abu Galum Protectorate,0.5,1.929,https://en.wikivoyage.org/wiki/Dahab
1.0,africa/egypt/dahab,Dahab,Dahab,see,Ain Khudra,28.895556,34.422113,has coordinates; has description; high-value type,Ali Baba Restaurant,0.414,45.201,https://en.wikivoyage.org/wiki/Dahab
1.0,africa/ethiopia/addisababa,Addis Ababa,Addis Ababa,see,Anwar Mosque,9.033,38.741,has coordinates; has description; high-value type,The Piazza,0.44,0.56,https://en.wikivoyage.org/wiki/Addis_Ababa
1.0,africa/ethiopia/addisababa,Addis Ababa,Addis Ababa,see,Ethiopian National Library,9.01806,38.75,has coordinates; has description; high-value type,National Museum of Ethiopia,0.415,2.328,https://en.wikivoyage.org/wiki/Addis_Ababa
1.0,africa/ghana/bolgatanga,Bolgatanga,Bolgatanga,see,Sumbrungu Painted houses,10.82915,-0.941961,has coordinates; has description; high-value type,Bolgatanga Central Market,0.327,11.288,https://en.wikivoyage.org/wiki/Bolgatanga
1.0,africa/ivorycoast/abidjan,Abidjan,Abidjan,see,Museum of Civilizations in Côte d'Ivoire,5.333538,-4.024141,has coordinates; has description; high-value type,St Paul's Cathedral,0.534,0.466,https://en.wikivoyage.org/wiki/Abidjan
1.0,africa/kenya/nairobi,Nairobi,Nairobi,see,Kereita Forest zip line,-0.9804,36.6575,has coordinates; has description; high-value type,Kuona Trust Arts Centre,0.391,37.864,https://en.wikivoyage.org/wiki/Nairobi
1.0,africa/kenya/nairobi,Nairobi,Nairobi,see,"Kiambethu Tea Farm, Limuru",-1.1239,36.6882,has coordinates; has description; high-value type,Kibera Community Tours,0.426,23.63,https://en.wikivoyage.org/wiki/Nairobi
1.0,africa/kenya/westernkenya/kisumu,Kisumu,Kisumu,see,Kit Mikayi rocks,-0.116936,34.540706,has coordinates; has description; high-value type,Kisumu Central Market,0.432,23.61,https://en.wikivoyage.org/wiki/Kisumu
