candidate_score,world66_path,world66_title,wikivoyage_title,wv_type,wv_name,wv_lat,wv_lng,reason,best_w66_title,best_match_score,best_distance_km,source_url
1.0,africa/algeria/timimoun,Timimoun,Timimoun,see,Ksar Draa,29.5347,0.1833,has coordinates; has description; high-value type,The Old Ksar,0.471,31.008,https://en.wikivoyage.org/wiki/Timimoun
1.0,africa/benin/portonovo,Porto-Novo,Porto-Novo,see,Honmé Museum,6.46931,2.624985,has coordinates; has description; high-value type,Brazilian Mosque,0.37,3.103,https://en.wikivoyage.org/wiki/Porto-Novo
1.0,africa/burkinafaso/ouagadougou,Ouagadougou,Ouagadougou,see,Laongo,12.536804,-1.284485,has coordinates; has description; high-value type,Laongo Sculpture Symposium,0.375,11.923,https://en.wikivoyage.org/wiki/Ouagadougou
1.0,africa/cameroon/douala,Douala,Douala,see,Douala Maritime Museum,4.0419,9.6859,has coordinates; has description; high-value type,Douala Public Art Trail (doual'art),0.489,5.717,https://en.wikivoyage.org/wiki/Douala
1.0,africa/cameroon/douala,Douala,Douala,see,La Nouvelle Liberté,4.06418,9.70687,has coordinates; has description; high-value type,Douala Public Art Trail (doual'art),0.421,3.101,https://en.wikivoyage.org/wiki/Douala
1.0,africa/congobrazzaville/pointenoire,Pointe-Noire,Pointe-Noire,see,Mâ-Loango Regional Museum,-4.6171,11.8586,has coordinates; has description; high-value type,Musée Régional de Diosso (Mâ Loango),0.533,4.95,https://en.wikivoyage.org/wiki/Pointe-Noire
1.0,africa/congokinshasa/mbandaka,Mbandaka,Mbandaka,see,Catholic Mission station and Central African history research centre of Bamanya,0.008872,18.316474,has coordinates; has description; high-value type,Eala Botanical Garden,0.24,5.469,https://en.wikivoyage.org/wiki/Mbandaka
1.0,africa/egypt/mansoura,Mansoura,Mansoura,see,Temple Behbeit el-Hagar,31.02751,31.28924,has coordinates; has description; high-value type,Al-Khawagat Market,0.368,6.604,https://en.wikivoyage.org/wiki/Mansoura
1.0,africa/egypt/siwa,Siwa,Siwa,see,Ain Duheiba,29.2336,25.4384,has coordinates; has description; high-value type,Mountain of the Dead,0.519,9.026,https://en.wikivoyage.org/wiki/Siwa
1.0,africa/egypt/siwa,Siwa,Siwa,see,Bilad er-Rum,29.2284,25.407,has coordinates; has description; high-value type,Siwa House Museum,0.483,11.16,https://en.wikivoyage.org/wiki/Siwa
1.0,africa/ethiopia/danakilsdepression,Danakil Depression,Danakil Depression,see,Lake Afrera,13.3,40.9,has coordinates; has description; high-value type,Lake Asale (Karum) Salt Flats,0.438,84.567,https://en.wikivoyage.org/wiki/Danakil_Depression
1.0,africa/ethiopia/danakilsdepression,Danakil Depression,Danakil Depression,see,Lake Bakili,13.94,40.5,has coordinates; has description; high-value type,Lake Asale (Karum) Salt Flats,0.438,3.67,https://en.wikivoyage.org/wiki/Danakil_Depression
1.0,africa/ivorycoast/man,Man,Man (Côte d'Ivoire),see,Les Cascades Naturelles de Man,7.4121118,-7.5850464,has coordinates; has description; high-value type,Dent de Man,0.516,12.325,https://en.wikivoyage.org/wiki/Man_%28C%C3%B4te_d%27Ivoire%29
1.0,africa/kenya/thecoast/kilifi,Kilifi,Kilifi,see,African Barn Owl Cave,-3.88503,39.7965,has coordinates; has description; high-value type,Distant Relatives Ecolodge,0.383,26.928,https://en.wikivoyage.org/wiki/Kilifi
1.0,africa/kenya/thecoast/kilifi,Kilifi,Kilifi,see,Chasimba Caves,-3.738749,39.694981,has coordinates; has description; high-value type,Distant Relatives Ecolodge,0.35,20.314,https://en.wikivoyage.org/wiki/Kilifi
1.0,africa/kenya/westernkenya/kitale,Kitale,Kitale,see,Kapcherop Forest,1.13831,35.24052,has coordinates; has description; high-value type,Kitale Museum,0.138,30.312,https://en.wikivoyage.org/wiki/Kitale
1.0,africa/kenya/westernkenya/kitale,Kitale,Kitale,see,Kitum Caves,1.0324,34.75806,has coordinates; has description; high-value type,Kitale Museum,0.417,26.483,https://en.wikivoyage.org/wiki/Kitale
1.0,africa/malawi/nkhata_bay,Nkhata Bay,Nkhata Bay,see,Chizumulu Island,-12.01985,34.62324,has coordinates; has description; high-value type,Mayoka Village,0.333,58.235,https://en.wikivoyage.org/wiki/Nkhata_Bay
1.0,africa/malawi/nkhata_bay,Nkhata Bay,Nkhata Bay,see,Likoma Island,-12.066666,34.733333,has coordinates; has description; high-value type,Mayoka Village,0.444,69.89,https://en.wikivoyage.org/wiki/Nkhata_Bay
1.0,africa/morocco/casablanca,Casablanca,Casablanca,see,Museum of Moroccan Judaism,33.552137,-7.639021,has coordinates; has description; high-value type,Hassan II Mosque,0.286,6.266,https://en.wikivoyage.org/wiki/Casablanca
1.0,africa/morocco/casablanca,Casablanca,Casablanca,see,Villa des Arts,33.5862,-7.6293,has coordinates; has description; high-value type,Central Market (Marché Central),0.417,1.86,https://en.wikivoyage.org/wiki/Casablanca
1.0,africa/morocco/meknes,Meknes,Meknes,see,Mausoleum of Sidi ben Aïssa,33.8989,-5.5705,has coordinates; has description; high-value type,Mausoleum of Moulay Ismail,0.549,1.339,https://en.wikivoyage.org/wiki/Meknes
1.0,africa/morocco/rissani,Rissani,Rissani,see,Ksar El Fida,31.309548,-4.253179,has coordinates; has description; high-value type,Rissani Souk,0.286,3.407,https://en.wikivoyage.org/wiki/Rissani
1.0,africa/morocco/tangier,Tangier,Tangier,see,Palais Marshan,35.79048,-5.82614,has coordinates; has description; high-value type,Caid's Bar,0.5,1.691,https://en.wikivoyage.org/wiki/Tangier
1.0,africa/morocco/tangier,Tangier,Tangier,see,Plaza de Toros,35.7645,-5.7965,has coordinates; has description; high-value type,Villa Harris,0.435,5.903,https://en.wikivoyage.org/wiki/Tangier
1.0,africa/nigeria/benincity,Benin City,Benin City,see,Ogba Zoo,6.28982,5.58531,has coordinates; has description; high-value type,Ogba Zoo and Nature Reserve,0.457,12.315,https://en.wikivoyage.org/wiki/Benin_City
1.0,africa/nigeria/benincity,Benin City,Benin City,see,Ogiamien Palace,6.324300132064627,5.633507317790873,has coordinates; has description; high-value type,Royal Palace of the Oba of Benin,0.419,1.732,https://en.wikivoyage.org/wiki/Benin_City
1.0,africa/nigeria/kaduna,Kaduna,Kaduna,see,Ahmadu Bello Stadium,10.50027,7.42835,has coordinates; has description; high-value type,Sultan Bello Mosque,0.462,5.934,https://en.wikivoyage.org/wiki/Kaduna
1.0,africa/nigeria/kaduna,Kaduna,Kaduna,see,Makarfi Plaza,10.53169,7.40243,has coordinates; has description; high-value type,Kajuru Castle,0.385,38.409,https://en.wikivoyage.org/wiki/Kaduna
1.0,africa/nigeria/yankarigamereserve,Yankari Game Reserve,Yankari Game Reserve,see,Wikki Warm Springs,9.91119,10.3153,has coordinates; has description; high-value type,,0.0,,https://en.wikivoyage.org/wiki/Yankari_Game_Reserve
1.0,africa/rwanda/butare,Butare,Butare,see,Murambi Genocide Memorial Centre,-2.4544,29.5684,has coordinates; has description; high-value type,Ethnographic Museum,0.314,24.664,https://en.wikivoyage.org/wiki/Butare
1.0,africa/sierraleone/freetown,Freetown,Freetown,see,Banana Island Beaches,8.1346,-13.1975,has coordinates; has description; high-value type,Lakka Beach,0.5,29.486,https://en.wikivoyage.org/wiki/Freetown
1.0,africa/sierraleone/freetown,Freetown,Freetown,see,Charlotte falls,8.4223,-13.1913,has coordinates; has description; high-value type,Sacred Heart Cathedral,0.432,8.77,https://en.wikivoyage.org/wiki/Freetown
1.0,africa/southafrica/franschhoek,Franschhoek,Franschhoek,see,Berg River Dam,-33.9024,19.057,has coordinates; has description; high-value type,Le Quartier Français,0.387,6.007,https://en.wikivoyage.org/wiki/Franschhoek
1.0,africa/southafrica/pretoria,Pretoria,Pretoria,see,Correctional Services Museum (Kgosi Mampuru II Correctional Centre),-25.76152,28.18175,has coordinates; has description; high-value type,Kruger House Museum,0.468,1.671,https://en.wikivoyage.org/wiki/Pretoria
1.0,africa/southafrica/pretoria,Pretoria,Pretoria,see,The Wonderboom,-25.68734,28.19182,has coordinates; has description; high-value type,Kruger House Museum,0.276,6.661,https://en.wikivoyage.org/wiki/Pretoria
1.0,africa/tunisia/hammamet,Hammamet,Hammamet,see,World War II battlefield and abandoned tanks,36.378847,10.431945,has coordinates; has description; high-value type,Dar Sebastian,0.351,11.462,https://en.wikivoyage.org/wiki/Hammamet
1.0,africa/tunisia/monastir,Monastir,Monastir,see,Lamta Archaeological Museum,35.677367,10.877599,has coordinates; has description; high-value type,Bourguiba Mausoleum,0.348,11.595,https://en.wikivoyage.org/wiki/Monastir
1.0,africa/tunisia/monastir,Monastir,Monastir,see,Museum of Habib Bourguiba,35.778187,10.782753,has coordinates; has description; high-value type,Bourguiba Mausoleum,0.409,4.328,https://en.wikivoyage.org/wiki/Monastir
1.0,africa/zimbabwe/easternhighlands/mutare,Mutare,Mutare,see,Cecil Kop Nature Reserve,-18.953063,32.683035,has coordinates; has description; high-value type,Chimanimani National Park (Day Trip),0.327,93.807,https://en.wikivoyage.org/wiki/Mutare
1.0,africa/zimbabwe/easternhighlands/mutare,Mutare,Mutare,see,Cross Kopje Memorial,-18.978568,32.698136,has coordinates; has description; high-value type,Mutare Museum,0.364,3.783,https://en.wikivoyage.org/wiki/Mutare
1.0,asia/afghanistan/herat,Herat,Herat,see,Takht-e Safar,34.37343,62.22074,has coordinates; has description; high-value type,Citadel of Herat (Qala Iktyaruddin),0.414,4.256,https://en.wikivoyage.org/wiki/Herat
1.0,asia/bangladesh/rajshahi,Rajshahi,Rajshahi,see,Boro Kuthi,24.36203,88.59805,has coordinates; has description; high-value type,Silk Workshops,0.333,1.366,https://en.wikivoyage.org/wiki/Rajshahi
1.0,asia/bangladesh/rajshahi,Rajshahi,Rajshahi,see,Central Park and Zoo,24.366861,88.570471,has coordinates; has description; high-value type,Somapura Mahavihara (Paharpur),0.308,84.505,https://en.wikivoyage.org/wiki/Rajshahi
1.0,asia/cambodia/kep,Kep,Kep,see,Kep Beach,10.479121,104.29385,has coordinates; has description; high-value type,Kep Crab Market,0.417,3.113,https://en.wikivoyage.org/wiki/Kep
1.0,asia/cambodia/siemreap,Siem Reap,Siem Reap,see,Banteay Srey Butterfly Centre,13.50869,103.94096,has coordinates; has description; high-value type,Banteay Srei,0.537,10.339,https://en.wikivoyage.org/wiki/Siem_Reap
1.0,asia/cambodia/siemreap,Siem Reap,Siem Reap,see,Butterfly Paradise,13.350733,103.819108,has coordinates; has description; high-value type,Banteay Srei,0.467,31.707,https://en.wikivoyage.org/wiki/Siem_Reap
1.0,asia/china/anhui/wuhu,Wuhu,Wuhu,see,Fantawild Adventure (方特乐园),31.274167,118.359444,has coordinates; has description; high-value type,Yangtze Riverside Park,0.39,10.952,https://en.wikivoyage.org/wiki/Wuhu
1.0,asia/china/anhui/wuhu,Wuhu,Wuhu,see,Mount Zhe (赭山),31.343333,118.373333,has coordinates; has description; high-value type,Mirror Lake,0.4,1.164,https://en.wikivoyage.org/wiki/Wuhu
1.0,africa/algeria/algiers,Algiers,Algiers,see,Djamaa el Djazaïr,36.735833,3.138056,has coordinates; has description; high-value type,El Hamma District,0.429,5.693,https://en.wikivoyage.org/wiki/Algiers
