candidate_score,world66_path,world66_title,wikivoyage_title,wv_type,wv_name,wv_lat,wv_lng,reason,best_w66_title,best_match_score,best_distance_km,source_url
1.0,africa/angola/benguela,Benguela,Benguela,see,Caotinha Beach,-12.6022,13.265,has coordinates; has description; high-value type,Fort São Filipe de Benguela,0.368,14.367,https://en.wikivoyage.org/wiki/Benguela
1.0,africa/botswana/gaborone,Gaborone,Gaborone,see,Statue of Seretse Khama,-24.6581,25.9118,has coordinates; has description; high-value type,Mokolodi Nature Reserve,0.391,14.85,https://en.wikivoyage.org/wiki/Gaborone
1.0,africa/botswana/gaborone,Gaborone,Gaborone,see,The Hindu hall,-24.6434,25.931,has coordinates; has description; high-value type,National Museum and Art Gallery,0.341,1.938,https://en.wikivoyage.org/wiki/Gaborone
1.0,africa/cameroon/foumban,Foumban,Foumban,see,Palais des Sultans Bamoun,5.7201,10.862,has coordinates; has description; high-value type,Musée des Arts et Traditions Bamoun,0.462,4.603,https://en.wikivoyage.org/wiki/Foumban
1.0,africa/capeverde/saotiago/praia,Praia,Praia,see,Ilhéu de Santa Maria,14.907,-23.5072,has coordinates; has description; high-value type,Quintal da Música,0.471,0.612,https://en.wikivoyage.org/wiki/Praia
1.0,africa/capeverde/saotiago/praia,Praia,Praia,see,Palácio da Assembleia,14.906,-23.5155,has coordinates; has description; high-value type,Quintal da Música,0.474,1.156,https://en.wikivoyage.org/wiki/Praia
1.0,africa/egypt/alexandria,Alexandria,Alexandria,see,Mostafa Kamel Necropolis,31.23087,29.9472,has coordinates; has description; high-value type,Mohamed Ahmed,0.378,5.483,https://en.wikivoyage.org/wiki/Alexandria
1.0,africa/egypt/alexandria,Alexandria,Alexandria,see,Ras el-Tin Palace,31.199194,29.868639,has coordinates; has description; high-value type,Stanley Beach,0.444,10.516,https://en.wikivoyage.org/wiki/Alexandria
1.0,africa/eritrea/danakildepression,Danakil Depression,Danakil Depression,see,Lake Afrera,13.3,40.9,has coordinates; has description; high-value type,Gaet'ale Pond,0.417,119.241,https://en.wikivoyage.org/wiki/Danakil_Depression
1.0,africa/eritrea/danakildepression,Danakil Depression,Danakil Depression,see,Lake Bakili,13.94,40.5,has coordinates; has description; high-value type,Danakil Desert,0.4,39.884,https://en.wikivoyage.org/wiki/Danakil_Depression
1.0,africa/ethiopia/gondar,Gondar,Gondar,see,Atse Tewodros Square,12.612,37.4698,has coordinates; has description; high-value type,Fasil Ghebbi (Royal Enclosure),0.499,0.501,https://en.wikivoyage.org/wiki/Gondar
1.0,africa/ghana/tamale,Tamale,Tamale,see,Ambariya Sunni Community,9.414019,-0.841947,has coordinates; has description; high-value type,Damba Festival,0.368,1.441,https://en.wikivoyage.org/wiki/Tamale
1.0,africa/ghana/tamale,Tamale,Tamale,see,Masjid Bayaan Institute,5.692813,-0.035014,has coordinates; has description; high-value type,Damba Festival,0.378,422.785,https://en.wikivoyage.org/wiki/Tamale
1.0,africa/kenya/thecoast/malindi,Malindi,Malindi,see,Portuguese chapel,-3.2215,40.1263,has coordinates; has description; high-value type,Gedi Ruins,0.222,15.145,https://en.wikivoyage.org/wiki/Malindi
1.0,africa/kenya/thecoast/malindi,Malindi,Malindi,see,The Hanging Gardens of Malindi,-3.2045,40.1069,has coordinates; has description; high-value type,Falconry of Africa,0.409,1.758,https://en.wikivoyage.org/wiki/Malindi
1.0,africa/libya/shahhat,Shahhat,Shahhat,see,Cyrene,32.816667,21.85,has coordinates; has description; high-value type,Necropolis of Cyrene,0.462,0.672,https://en.wikivoyage.org/wiki/Shahhat
1.0,africa/madagascar/nosybe,Nosy Be,Nosy Be,see,Moraingy fight games,-13.351611,48.194389,has coordinates; has description; high-value type,Mont Passot,0.452,6.626,https://en.wikivoyage.org/wiki/Nosy_Be
1.0,africa/mali/bamako,Bamako,Bamako,see,Bamako Botanical Gardens,12.661455,-7.998122,has coordinates; has description; high-value type,Plateau Viewpoint,0.538,0.462,https://en.wikivoyage.org/wiki/Bamako
1.0,africa/mali/bamako,Bamako,Bamako,see,Bamako Zoo,12.664664,-8.000482,has coordinates; has description; high-value type,Grand Mosque of Bamako,0.375,2.131,https://en.wikivoyage.org/wiki/Bamako
1.0,africa/morocco/chaouen,Chefchaouen,Chefchaouen,see,Ecomuseum of Talassemtane National Park,35.175011,-5.264496,has coordinates; has description; high-value type,Ras el Maa,0.476,0.524,https://en.wikivoyage.org/wiki/Chefchaouen
1.0,africa/morocco/chaouen,Chefchaouen,Chefchaouen,see,Jemaa Bouzafar Mosque,35.16554,-5.25563,has coordinates; has description; high-value type,Spanish Mosque,0.457,1.37,https://en.wikivoyage.org/wiki/Chefchaouen
1.0,africa/morocco/moulayidriss,Moulay Idriss,Moulay Idriss,see,Gordian palace,34.07589,-5.55344,has coordinates; has description; high-value type,Cylindrical Minaret,0.364,3.469,https://en.wikivoyage.org/wiki/Moulay_Idriss
1.0,africa/morocco/moulayidriss,Moulay Idriss,Moulay Idriss,see,House of Venus,34.07486,-5.55275,has coordinates; has description; high-value type,Zaouia of Moulay Idriss I,0.41,3.306,https://en.wikivoyage.org/wiki/Moulay_Idriss
1.0,africa/namibia/windhoek,Windhoek,Windhoek,see,Heroes' Acre,22.6589,17.0804,has coordinates; has description; high-value type,Leo's at the Castle,0.538,5029.721,https://en.wikivoyage.org/wiki/Windhoek
1.0,africa/nigeria/abuja,Abuja,Abuja,see,An Noor Mosque,9.07533,7.48428,has coordinates; has description; high-value type,Nigerian National Mosque,0.514,1.927,https://en.wikivoyage.org/wiki/Abuja
1.0,africa/nigeria/abuja,Abuja,Abuja,see,Sarius Planetum,9.10354,7.4886,has coordinates; has description; high-value type,Wuse Market,0.462,4.513,https://en.wikivoyage.org/wiki/Abuja
1.0,africa/nigeria/ife,Ile-Ife,Ile Ife,see,Agbonniregun Temple,7.4854,4.56735,has coordinates; has description; high-value type,Ooni's Palace,0.438,0.96,https://en.wikivoyage.org/wiki/Ile_Ife
1.0,africa/nigeria/ife,Ile-Ife,Ile Ife,see,Igi Nla,7.5221,4.6002,has coordinates; has description; high-value type,Ooni's Palace,0.4,5.729,https://en.wikivoyage.org/wiki/Ile_Ife
1.0,africa/nigeria/portharcourt,Port Harcourt,Port Harcourt,see,Choba Park Public Toilet,4.89365,6.90817,has coordinates; has description; high-value type,Corpus Christi Cathedral,0.333,15.06,https://en.wikivoyage.org/wiki/Port_Harcourt
1.0,africa/nigeria/yola,Yola,Yola,see,Beth Haran Garden and Marquee,9.26125,12.46026,has coordinates; has description; high-value type,Jimeta Modern Market,0.49,2.55,https://en.wikivoyage.org/wiki/Yola
1.0,africa/nigeria/yola,Yola,Yola,see,Gashaka Gumti National Park,7.5429,11.6166,has coordinates; has description; high-value type,Jimeta Modern Market,0.383,213.528,https://en.wikivoyage.org/wiki/Yola
1.0,africa/somalia/mogadishu,Mogadishu,Mogadishu,see,Almnara Tower,2.037,45.3534,has coordinates; has description; high-value type,Maka al-Mukarama Road,0.471,1.334,https://en.wikivoyage.org/wiki/Mogadishu
1.0,africa/somalia/mogadishu,Mogadishu,Mogadishu,see,Black Hawk Down Crash Site,2.0525,45.324722,has coordinates; has description; high-value type,Fakhr al-Din Mosque,0.444,2.436,https://en.wikivoyage.org/wiki/Mogadishu
1.0,africa/southafrica/gardenroute/knysna,Knysna,Knysna,see,Jubilee Creek,-33.9125704,22.9602286,has coordinates; has description; high-value type,Mitchell's Brewery,0.323,15.825,https://en.wikivoyage.org/wiki/Knysna
1.0,africa/southafrica/stellenbosch,Stellenbosch,Stellenbosch,see,Rupert Museum,-33.9418,18.8498,has coordinates; has description; high-value type,Stellenbosch Museum (Village Museum),0.5,1.304,https://en.wikivoyage.org/wiki/Stellenbosch
1.0,africa/swaziland/mbabane,Mbabane,Mbabane,see,Hawane Nature Reserve,-26.1958,31.0989,has coordinates; has description; high-value type,Swazi Plaza and Allister Miller Street,0.305,15.192,https://en.wikivoyage.org/wiki/Mbabane
1.0,africa/swaziland/mbabane,Mbabane,Mbabane,see,Sibebe Rock,-26.2611,31.1726,has coordinates; has description; high-value type,Mater Dolorosa Church,0.312,7.457,https://en.wikivoyage.org/wiki/Mbabane
1.0,africa/tunisia/sousse,Sousse,Sousse,see,The Sousse Catacombs,35.818124,10.626466,has coordinates; has description; high-value type,Catacombs of Sousse,0.514,0.829,https://en.wikivoyage.org/wiki/Sousse
1.0,africa/uganda/kampala,Kampala,Kampala,see,Bahai Temple,0.36441,32.58847,has coordinates; has description; high-value type,Kabaka's Palace,0.519,7.371,https://en.wikivoyage.org/wiki/Kampala
1.0,africa/uganda/kampala,Kampala,Kampala,see,Easy Coach,0.3170024,32.5923542,has coordinates; has description; high-value type,Rubaga Cathedral,0.385,4.183,https://en.wikivoyage.org/wiki/Kampala
1.0,asia/afghanistan/balkh,Balkh,Balkh,see,Tepe-i Rustam,36.7467,66.8974,has coordinates; has description; high-value type,Shrine of Rabi'a Balkhi,0.294,1.185,https://en.wikivoyage.org/wiki/Balkh
1.0,asia/afghanistan/jalalabad,Jalalabad,Jalalabad,see,Mausoleum of King Amanullah Khan,34.431985,70.45024,has coordinates; has description; high-value type,Kabul Gorge (Kabul-Jalalabad Road),0.233,30.486,https://en.wikivoyage.org/wiki/Jalalabad
1.0,asia/bhutan/jakar,Jakar,Jakar,see,Mebartsho,27.539506,90.812344,has coordinates; has description; high-value type,Jakar Dzong,0.3,6.858,https://en.wikivoyage.org/wiki/Jakar
1.0,asia/bhutan/thimphu,Thimphu,Thimphu,see,Botanical Gardens,27.424969,89.650032,has coordinates; has description; high-value type,Memorial Chorten,0.485,4.556,https://en.wikivoyage.org/wiki/Thimphu
1.0,asia/cambodia/phnompenh,Phnom Penh,Phnom Penh,see,Former M-13 Prison,11.769,104.3807,has coordinates; has description; high-value type,Freedom Park,0.467,62.766,https://en.wikivoyage.org/wiki/Phnom_Penh
1.0,asia/cambodia/phnompenh,Phnom Penh,Phnom Penh,see,Phnom Tamao Zoological Park and Wildlife Rescue Center (PTWRC),11.2979,104.7934,has coordinates; has description; high-value type,Bophana Audiovisual Resource Center,0.449,32.456,https://en.wikivoyage.org/wiki/Phnom_Penh
1.0,asia/china/anhui/maanshan,Ma'anshan,Ma'anshan,see,Daqing mountain Li Bai Cultural Tourism Area,31.4979,118.56218,has coordinates; has description; high-value type,Daqingshan Wildlife World,0.348,29.36,https://en.wikivoyage.org/wiki/Ma%27anshan
1.0,asia/china/anhui/maanshan,Ma'anshan,Ma'anshan,see,Lingjiatan Site,31.45895,118.05543,has coordinates; has description; high-value type,Daqingshan Wildlife World,0.4,50.88,https://en.wikivoyage.org/wiki/Ma%27anshan
1.0,asia/china/fujianprovince/putian,Putian,Putian,see,Jiuli Lake,25.4556,119.057,has coordinates; has description; high-value type,Southern Shaolin Monastery,0.333,9.834,https://en.wikivoyage.org/wiki/Putian
1.0,asia/china/fujianprovince/putian,Putian,Putian,see,Mount Taikuan,25.4032,119.0498,has coordinates; has description; high-value type,Xinghua Rice Noodles,0.242,5.651,https://en.wikivoyage.org/wiki/Putian
