candidate_score,world66_path,world66_title,wikivoyage_title,wv_type,wv_name,wv_lat,wv_lng,reason,best_w66_title,best_match_score,best_distance_km,source_url
1.0,africa/algeria/algiers,Algiers,Algiers,see,Djamaa el Djazaïr,36.735833,3.138056,has coordinates; has description; high-value type,El Hamma District,0.429,5.693,https://en.wikivoyage.org/wiki/Algiers
1.0,africa/algeria/constantine,Constantine,Constantine,see,Bois de la Légion d'Honneur,36.372222,6.633611,has coordinates; has description; high-value type,Old Medina,0.323,1.908,https://en.wikivoyage.org/wiki/Constantine
1.0,africa/algeria/oran,Oran,Oran,see,Oran zoo,35.6893,-0.64668,has coordinates; has description; high-value type,Fort of Santa Cruz,0.462,3.7,https://en.wikivoyage.org/wiki/Oran
1.0,africa/algeria/timimoun,Timimoun,Timimoun,see,Ksar Draa,29.5347,0.1833,has coordinates; has description; high-value type,The Old Ksar,0.471,31.008,https://en.wikivoyage.org/wiki/Timimoun
1.0,africa/angola/benguela,Benguela,Benguela,see,Caotinha Beach,-12.6022,13.265,has coordinates; has description; high-value type,Fort São Filipe de Benguela,0.368,14.367,https://en.wikivoyage.org/wiki/Benguela
1.0,africa/angola/luanda,Luanda,Luanda,see,Church of Our Lady of Remedies,-8.81377,13.22974,has coordinates; has description; high-value type,Fortaleza de São Miguel,0.454,0.546,https://en.wikivoyage.org/wiki/Luanda
1.0,africa/angola/luanda,Luanda,Luanda,see,Igreja da Nazare,-8.80808,13.239376,has coordinates; has description; high-value type,Iron Palace (Palácio de Ferro),0.444,1.146,https://en.wikivoyage.org/wiki/Luanda
1.0,africa/benin/cotonou,Cotonou,Cotonou,see,Etoile Rouge,6.37139,2.40979,has coordinates; has description; high-value type,BCEAO Tower,0.435,2.714,https://en.wikivoyage.org/wiki/Cotonou
1.0,africa/benin/cotonou,Cotonou,Cotonou,see,Fondation Zinzou,6.3638,2.4193,has coordinates; has description; high-value type,Amazon Monument,0.387,2.093,https://en.wikivoyage.org/wiki/Cotonou
1.0,africa/benin/ouidah,Ouidah,Ouidah,see,Brazilian Mansion,6.356265,2.075498,has coordinates; has description; high-value type,Basilique de l'Immaculée Conception,0.49,1.13,https://en.wikivoyage.org/wiki/Ouidah
1.0,africa/benin/portonovo,Porto-Novo,Porto-Novo,see,Honmé Museum,6.46931,2.624985,has coordinates; has description; high-value type,Brazilian Mosque,0.37,3.103,https://en.wikivoyage.org/wiki/Porto-Novo
1.0,africa/botswana/gaborone,Gaborone,Gaborone,see,Statue of Seretse Khama,-24.6581,25.9118,has coordinates; has description; high-value type,Mokolodi Nature Reserve,0.391,14.85,https://en.wikivoyage.org/wiki/Gaborone
1.0,africa/botswana/gaborone,Gaborone,Gaborone,see,The Hindu hall,-24.6434,25.931,has coordinates; has description; high-value type,National Museum and Art Gallery,0.341,1.938,https://en.wikivoyage.org/wiki/Gaborone
1.0,africa/burkinafaso/gaoua,Gaoua,Gaoua,see,Poni Museum,10.333299,-3.178214,has coordinates; has description; high-value type,Musée de Poni,0.545,0.455,https://en.wikivoyage.org/wiki/Gaoua
1.0,africa/burkinafaso/gaoua,Gaoua,Gaoua,see,Ruins of Loropéni,10.25008,-3.583297,has coordinates; has description; high-value type,Musée de Poni,0.519,44.981,https://en.wikivoyage.org/wiki/Gaoua
1.0,africa/burkinafaso/ouagadougou,Ouagadougou,Ouagadougou,see,Laongo,12.536804,-1.284485,has coordinates; has description; high-value type,Laongo Sculpture Symposium,0.375,11.923,https://en.wikivoyage.org/wiki/Ouagadougou
1.0,africa/burundi/bujumbura,Bujumbura,Bujumbura,see,Bugarama,-3.289,29.546,has coordinates; has description; high-value type,Central Market,0.364,22.668,https://en.wikivoyage.org/wiki/Bujumbura
1.0,africa/burundi/bujumbura,Bujumbura,Bujumbura,see,Mausolée du Prince Louis Rwagasore,-3.3925,29.3866,has coordinates; has description; high-value type,Rusizi National Park,0.314,13.015,https://en.wikivoyage.org/wiki/Bujumbura
1.0,africa/burundi/gitega,Gitega,Gitega,see,Gishora Drum Sanctuary,-3.3634,29.922,has coordinates; has description; high-value type,Gitega Central Market,0.372,7.224,https://en.wikivoyage.org/wiki/Gitega
1.0,africa/cameroon/douala,Douala,Douala,see,Douala Maritime Museum,4.0419,9.6859,has coordinates; has description; high-value type,Douala Public Art Trail (doual'art),0.489,5.717,https://en.wikivoyage.org/wiki/Douala
1.0,africa/cameroon/douala,Douala,Douala,see,La Nouvelle Liberté,4.06418,9.70687,has coordinates; has description; high-value type,Douala Public Art Trail (doual'art),0.421,3.101,https://en.wikivoyage.org/wiki/Douala
1.0,africa/cameroon/foumban,Foumban,Foumban,see,Palais des Sultans Bamoun,5.7201,10.862,has coordinates; has description; high-value type,Musée des Arts et Traditions Bamoun,0.462,4.603,https://en.wikivoyage.org/wiki/Foumban
1.0,africa/cameroon/kribi,Kribi,Kribi,see,Lobe Falls,2.88248,9.89703,has coordinates; has description; high-value type,Londji Fishing Port,0.345,11.422,https://en.wikivoyage.org/wiki/Kribi
1.0,africa/cameroon/yaound,Yaoundé,Yaoundé,see,Cameroon Art Museum,3.863305,11.502862,has coordinates; has description; high-value type,Ahmadou Ahidjo Stadium,0.439,4.866,https://en.wikivoyage.org/wiki/Yaound%C3%A9
1.0,africa/cameroon/yaound,Yaoundé,Yaoundé,see,Chutes d'eau de Nachtigal,4.353,11.628,has coordinates; has description; high-value type,Musée National du Cameroun,0.489,55.342,https://en.wikivoyage.org/wiki/Yaound%C3%A9
