world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/kansas/kansascity,Kansas City,Kansas City,16,127,see,Crown Center,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.080995,-94.581442,Union Station,northamerica/unitedstates/kansas/kansascity/union_station,0.512,0.488,2.144,has_external_url,https://www.crowncenter.com/,https://en.wikivoyage.org/wiki/Kansas_City
europe/denmark/horsens,Horsens,Horsens,9,30,see,Langelinie city beach,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.86135,9.875627,Vor Frelsers Kirke (Church of Our Saviour),europe/denmark/horsens/horsens_cathedral,0.308,1.644,1.944,has_external_url,https://visithorsens.dk/en/langelinie-city-beach-en/,https://en.wikivoyage.org/wiki/Horsens
asia/taiwan/kaohsiung,Kaohsiung,Kaohsiung,27,56,do,i-Ride Experience Center,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,22.605597,120.298927,Pier-2 Art Center,asia/taiwan/kaohsiung/pier_2_art_center,0.488,2.349,2.121,has_external_url,https://i-ridereservation.com.tw/iride/Reserve/Info/?Lang=en&Loc=KHH,https://en.wikivoyage.org/wiki/Kaohsiung
northamerica/unitedstates/utah/saltlakecity,Salt Lake City,Salt Lake City,62,174,see,Sugar House Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.7231,-111.849,Utah Olympic Park,northamerica/unitedstates/utah/saltlakecity/lavell_edwards_stadium,0.545,17.032,5.16,has_external_url,http://www.sugarhousepark.org,https://en.wikivoyage.org/wiki/Salt_Lake_City
europe/ukraine/vinnista,Vinnytsia,Vinnytsia,7,92,see,National Pirogov`s Estate Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.21406,28.40902,Pirogov National Museum,europe/ukraine/vinnista/pirogov_museum,0.545,3.532,4.791,has_external_url,http://www.pirogov.com.ua/,https://en.wikivoyage.org/wiki/Vinnytsia
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,see,Seneca Park Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.2065,-77.6238,Highland Park,northamerica/unitedstates/newyorkstate/rochester/highland_park,0.429,8.656,5.68,has_external_url,http://www.senecaparkzoo.org,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29
europe/germany/bavaria/bayreuth,Bayreuth,Bayreuth,8,76,see,Tierpark Röhrensee,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.9314765,11.572315,Hermitage Gardens,europe/germany/bavaria/bayreuth/hermitage,0.4,3.919,1.467,has_external_url,https://www.tierpark-roehrensee.de/,https://en.wikivoyage.org/wiki/Bayreuth
asia/china/guangdong/zhanjiang,Zhanjiang,Zhanjiang,4,34,see,Sanlingshan National Forest Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,21.17490570141219,110.33545100471363,Zhanjiang Mangrove National Nature Reserve,asia/china/guangdong/zhanjiang/zhanjiang_mangroves,0.459,31.162,7.251,has_external_url,http://zjslgy.cn/,https://en.wikivoyage.org/wiki/Zhanjiang
europe/hungary/sopron,Sopron,Sopron,9,234,see,Harka,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.633,16.601,Taródi Castle,europe/hungary/sopron/tarodi_castle,0.333,6.134,5.264,has_external_url,http://www.harka.hu/,https://en.wikivoyage.org/wiki/Sopron
asia/philippines/baguio,Baguio,Baguio,14,55,see,St. Francis Xavier Seminary Bamboo Educational Demo Farm (Bamboo Sanctuary),0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,16.42206,120.61392,Baguio Cathedral,asia/philippines/baguio/baguio_cathedral,0.254,1.955,2.912,has_external_url,https://baguiocityguide.com/visiting-the-bamboo-eco-park-in-baguio-kyoto-in-baguio/,https://en.wikivoyage.org/wiki/Baguio
europe/france/midi/languedoc/toulouse,Toulouse,Toulouse,8,49,see,Jardin Japonais Pierre-Baudis,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.6117,1.4326,Canal du Midi,europe/france/midi/languedoc/toulouse/canal_du_midi,0.359,1.271,1.216,has_external_url,https://www.toulouse-tourisme.com/jardin-japonais/toulouse/pcumid031fs0007f,https://en.wikivoyage.org/wiki/Toulouse
