world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/japan/honshu/nara,Nara,Nara,11,48,see,Nara City Museum of Photography,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.675589,135.845425,Nara National Museum,asia/japan/honshu/nara/nara_national_museum,0.51,1.186,3.845,has_external_url,https://naracmp.jp/home_en,https://en.wikivoyage.org/wiki/Nara
europe/ukraine/lviv,Lviv,Lviv,12,176,see,Museum of National Folk Architecture and Rural Life «Shevchenkivsky Hay»,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.8446,24.0673,Latin Cathedral,europe/ukraine/lviv/latin_cathedral,0.259,2.665,2.576,has_external_url,http://lvivskansen.org/,https://en.wikivoyage.org/wiki/Lviv
europe/unitedkingdom/england/south_east/eastbourne,Eastbourne,Eastbourne,9,40,see,The Redoubt Fortress,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.77394,0.30054,Belle Tout Lighthouse,europe/unitedkingdom/england/south_east/eastbourne/belle_tout_lighthouse,0.378,8.193,1.782,has_external_url,https://www.eastbourneredoubt.co.uk/,https://en.wikivoyage.org/wiki/Eastbourne
northamerica/unitedstates/alabama/huntsville,Huntsville,Huntsville (Alabama),16,74,see,North Alabama Railroad Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.7832,-86.5461,Huntsville Depot and Museum,northamerica/unitedstates/alabama/huntsville/huntsville_depot,0.464,6.791,6.915,has_external_url,http://www.northalabamarailroadmuseum.com/,https://en.wikivoyage.org/wiki/Huntsville_%28Alabama%29
australiaandpacific/australia/queensland/townsville,Townsville,Townsville,7,65,see,Queens Gardens,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-19.254347,146.80998,Queensland Museum Tropics,australiaandpacific/australia/queensland/townsville/queensland_museum_tropics,0.462,1.317,1.499,has_external_url,http://www.soe-townsville.org/parks/queens.html,https://en.wikivoyage.org/wiki/Townsville
northamerica/unitedstates/minnesota/duluth,Duluth,Duluth,8,55,see,Enger Tower and Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.776097,-92.125002,Fitger's Brewery Complex,northamerica/unitedstates/minnesota/duluth/fitger_s_brewery,0.409,3.074,1.728,has_external_url,http://www.engertowerduluth.com,https://en.wikivoyage.org/wiki/Duluth
northamerica/unitedstates/idaho/rexburg,Rexburg,Rexburg,5,8,see,Farnsworth TV & Pioneer Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.67041,-111.91586,Teton Flood Museum,northamerica/unitedstates/idaho/rexburg/teton_flood_museum,0.44,20.444,20.304,has_external_url,https://www.farnsworthpioneermuseum.org/,https://en.wikivoyage.org/wiki/Rexburg
europe/switzerland/lugano,Lugano,Lugano,7,47,see,Hermann Hesse museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.983083,8.918976,MASI Lugano,europe/switzerland/lugano/masi_lugano,0.323,3.32,3.528,has_external_url,http://www.hessemontagnola.ch/,https://en.wikivoyage.org/wiki/Lugano
northamerica/unitedstates/northdakota/fargo,Fargo,Fargo,5,66,do,Thunder Road Family Fun Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.8376,-96.843,Bonanzaville USA,northamerica/unitedstates/northdakota/fargo/bonanzaville,0.364,6.193,5.979,has_external_url,https://thunderroadfargo.com/,https://en.wikivoyage.org/wiki/Fargo
europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham,Birmingham,Birmingham,16,180,see,Woodgate Valley Country Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.4482,-1.9964,Jewellery Quarter,europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham/jewellery_quarter,0.4,7.114,7.25,has_external_url,http://www.birmingham.gov.uk/cs/Satellite?c=Page&childpagename=Parks-Ranger-Service%2FPageLayout&cid=1223092737591&pagename=BCC%2FCommon%2FWrapper%2FWrapper,https://en.wikivoyage.org/wiki/Birmingham
northamerica/canada/alberta/banff,Banff,Banff,45,93,do,Holiday on Horseback,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.174328,-115.582164,Hole in the Wall .,northamerica/canada/alberta/banff/holeinthewall,0.438,432.809,0.708,has_external_url,https://horseback.com/,https://en.wikivoyage.org/wiki/Banff
