world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/canada/britishcolumbia/sidney,Sidney,Sidney (British Columbia),3,63,do,John Dean Provincial Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.61839,-123.4465,Sidney Spit Marine Park,northamerica/canada/britishcolumbia/sidney/sidney_spit_marine_park,0.5,,5.037,has_external_url,https://bcparks.ca/lau-welnew-john-dean-park/,https://en.wikivoyage.org/wiki/Sidney_%28British_Columbia%29
europe/netherlands/arnhem,Arnhem,Arnhem,12,78,do,Park Angerenstein,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.9937,5.9411,Koepelgevangenis (Dome Prison),europe/netherlands/arnhem/koepelgevangenis,0.424,4.4,3.057,has_external_url,https://www.evenementenangerenstein.nl/,https://en.wikivoyage.org/wiki/Arnhem
northamerica/unitedstates/florida/northeastflorida/jacksonville,Jacksonville,Jacksonville,47,108,do,The Mug Race,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.19305,-81.69098,Loop Coffee,northamerica/unitedstates/florida/northeastflorida/jacksonville/loop_coffee,0.316,13.622,15.145,has_external_url,https://www.rudderclub.com/,https://en.wikivoyage.org/wiki/Jacksonville
northamerica/unitedstates/california/shastacascade/redding,Redding,Redding,6,32,see,Sculpture Gardens at City Hall,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.572798,-122.381177,Sacramento River Trail,northamerica/unitedstates/california/shastacascade/redding/sacramento_river_trail,0.423,2.311,1.749,has_external_url,http://www.cityofredding.org/Home/Components/FacilityDirectory/FacilityDirectory/16/,https://en.wikivoyage.org/wiki/Redding
asia/japan/honshu/kaga,Kaga,Kaga,8,27,see,Kutaniyaki Art Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.30278,136.310283,Katayamazu Onsen,asia/japan/honshu/kaga/katayamazu_onsen,0.486,6.612,0.433,has_external_url,http://www.kutani-mus.jp/,https://en.wikivoyage.org/wiki/Kaga
asia/india/maharashtra/nashik,Nashik,Nashik,5,73,see,WeGo Art Gallery & Art Exhibition,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,19.965255,73.773413,Kalaram Temple,asia/india/maharashtra/nashik/kalaram_temple,0.245,3.677,5.408,has_external_url,https://wegogallery.art.blog/,https://en.wikivoyage.org/wiki/Nashik
northamerica/canada/ontario/north_bay,North Bay,North Bay (Ontario),6,31,do,Laurentian Ski Hill,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.332507,-79.434265,Laurier Woods Conservation Area,northamerica/canada/ontario/north_bay/laurier_woods,0.4,4.199,3.306,has_external_url,https://www.laurentianskihill.com,https://en.wikivoyage.org/wiki/North_Bay_%28Ontario%29
europe/spain/spanishcostas/benidorm,Benidorm,Benidorm,6,34,do,Aqualandia,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.5428,-0.093,Sierra Helada,europe/spain/spanishcostas/benidorm/sierra_helada,0.435,5.053,3.148,has_external_url,http://www.aqualandia.net/en/,https://en.wikivoyage.org/wiki/Benidorm
northamerica/unitedstates/montana/billings,Billings,Billings,14,43,do,The Reef Indoor Waterpark,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.7349,-108.6036,Chief Plenty Coups State Park,northamerica/unitedstates/montana/billings/chief_plenty_coups,0.48,29.476,9.628,has_external_url,http://www.thereefindoors.com/,https://en.wikivoyage.org/wiki/Billings
southamerica/colombia/santamarta,Santa Marta,Santa Marta,9,33,do,Tayrona National Natural Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,11.31,-74.07,Cathedral of Santa Marta,southamerica/colombia/santamarta/cathedral,0.302,15.961,16.034,has_external_url,https://www.parquesnacionales.gov.co/nuestros-parques/pnn-tayrona/,https://en.wikivoyage.org/wiki/Santa_Marta
europe/finland/lahti,Lahti,Lahti,11,61,do,Ankkuri beach,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,61.0012,25.6474,Lanu Park,europe/finland/lahti/lanu_park,0.455,1.143,2.198,has_external_url,http://www.lahti.fi/www/cms.nsf/subpages/kulttuurijaliikuntaliikuntapalvelutliikuntapaikatuimarannatjauimapaikat,https://en.wikivoyage.org/wiki/Lahti
