world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/honduras/comayagua,Comayagua,Comayagua,8,16,do,Villamar Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,14.41954,-87.6159,La Merced Church,northamerica/honduras/comayagua/la_merced_church,0.308,4.92,4.351,has_external_url,https://www.facebook.com/VillamarParkComayagua/,https://en.wikivoyage.org/wiki/Comayagua
asia/india/uttarpradesh/noida,Noida,Noida,12,14,see,Kiran Nadar Museum of Art,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,28.536,77.343,Worlds of Wonder,asia/india/uttarpradesh/noida/worlds_of_wonder,0.39,3.712,4.145,has_external_url,https://www.knma.in/,https://en.wikivoyage.org/wiki/Noida
northamerica/unitedstates/colorado/coloradosprings,Colorado Springs,Colorado Springs,4,54,see,Cave of the Winds,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.87321,-104.92218,Cheyenne Mountain Zoo,northamerica/unitedstates/colorado/coloradosprings/cheyenne_mountain_zoo,0.353,12.832,9.454,has_external_url,https://caveofthewinds.com/,https://en.wikivoyage.org/wiki/Colorado_Springs
europe/switzerland/geneva,Geneva,Geneva,44,99,do,Genève Plage,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.21192,6.17241,Maison Tavel,europe/switzerland/geneva/maison_tavel,0.417,2.284,2.283,has_external_url,https://www.geneve-plage.ch,https://en.wikivoyage.org/wiki/Geneva
northamerica/unitedstates/arizona/mesa,Mesa,Mesa,7,53,do,Park of the Canals,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.445739,-111.814504,Arizona Museum of Natural History,northamerica/unitedstates/arizona/mesa/arizona_museum_of_natural_history,0.426,3.673,3.744,has_external_url,http://parkofthecanals.org/,https://en.wikivoyage.org/wiki/Mesa
europe/hungary/sopron,Sopron,Sopron,9,234,see,Castle of Sopron remains,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.68514,16.59258,Domonkos Wine Bar,europe/hungary/sopron/domonkos_wine_bar,0.488,0.512,0.689,has_external_url,http://muemlekem.hu/muemlek?id=5030,https://en.wikivoyage.org/wiki/Sopron
southamerica/ecuador/guayaquil,Guayaquil,Guayaquil,15,26,do,Bosque Protector Cerro Blanco,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-2.18637,-80.01773,Monumento Rocafuerte,southamerica/ecuador/guayaquil/monumento_rocafuer,0.367,15.351,14.546,has_external_url,http://bosquecerroblanco.org/es/,https://en.wikivoyage.org/wiki/Guayaquil
northamerica/canada/ontario/mississauga,Mississauga,Mississauga,19,58,see,Brueckner Rhododendron Gardens,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.540112,-79.59778,Hurontario Curries,northamerica/canada/ontario/mississauga/hurontario_curries,0.333,8.628,6.53,has_external_url,http://brueckner-rhododendron-gardens.blogspot.com/,https://en.wikivoyage.org/wiki/Mississauga
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/plymouth,Plymouth,Plymouth (England),13,55,do,Jennicliff,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.351079,-4.121589,Mount Batten,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/plymouth/mount_batten,0.344,0.656,2.699,has_external_url,https://www.plymouth.gov.uk/parksnatureandgreenspace/countywildlifesites/jennycliffcws,https://en.wikivoyage.org/wiki/Plymouth_%28England%29
northamerica/unitedstates/southcarolina/anderson,Anderson,Anderson (South Carolina),3,5,do,Electric City Playhouse,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.50778,-82.652478,Anderson County Museum,northamerica/unitedstates/southcarolina/anderson/electric_city_museum,0.444,1.252,0.534,has_external_url,http://ecplayhouse.com/,https://en.wikivoyage.org/wiki/Anderson_%28South_Carolina%29
europe/greece/poros,Poros,Poros,3,42,do,Kanali Beach,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.506,23.459,Poros Town and Clock Tower,europe/greece/poros/poros_town_walk,0.211,2.31,2.732,has_external_url,http://www.pocket-guide.gr/Beaches/Attica/Poros/Canali-47,https://en.wikivoyage.org/wiki/Poros
africa/tunisia/tunis,Tunis,Tunis,17,51,see,Uthina,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.608467,10.171708,Souk el Attarine,africa/tunisia/tunis/souk_el_attarine,0.421,21.186,22.038,has_external_url,http://www.patrimoinedetunisie.com.tn/eng/sites/uthina.php,https://en.wikivoyage.org/wiki/Tunis
europe/unitedkingdom/england/eastern_england/ely,Ely,Ely (England),6,27,see,Wicken Fen,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.31065,0.291985,Ely Museum,europe/unitedkingdom/england/eastern_england/ely/ely_museum,0.3,10.053,10.033,has_external_url,http://www.wicken.org.uk/,https://en.wikivoyage.org/wiki/Ely_%28England%29
africa/kenya/thecoast/mombasa,Mombasa,Mombasa,20,137,do,Mombasa Marine National Park and Marine Reserve,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-4.049004,39.723665,Mombasa Motorsport Arena,africa/kenya/thecoast/mombasa/karting_and_beach,0.423,6.38,6.269,has_external_url,http://kws.go.ke/content/mombasa-marine-national-park-reserve,https://en.wikivoyage.org/wiki/Mombasa
europe/finland/rovaniemi,Rovaniemi,Rovaniemi,8,183,see,Korundi House of Culture,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,66.5008,25.7179,Lordi's Square,europe/finland/rovaniemi/lordi_square,0.526,0.569,0.587,has_external_url,http://www.korundi.fi/EN/Home,https://en.wikivoyage.org/wiki/Rovaniemi
asia/turkey/tekirdag,Tekirdağ,Tekirdağ,6,17,see,İbrahim Balaban Painting Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.97645,27.51112,Rákóczi Museum,asia/turkey/tekirdag/rakoczi_museum,0.478,13.507,13.685,has_external_url,https://en.suleymanpasa.bel.tr/info/%C4%B0brahim-Balaban-Painting-Museum--14!!6,https://en.wikivoyage.org/wiki/Tekirda%C4%9F
northamerica/unitedstates/montana/billings,Billings,Billings,14,43,see,Coulson Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.7874854,-108.4785261,Chief Plenty Coups State Park,northamerica/unitedstates/montana/billings/chief_plenty_coups,0.439,35.744,1.781,has_external_url,https://www.billingsparks.org/park/coulson/,https://en.wikivoyage.org/wiki/Billings
northamerica/mexico/toluca,Toluca,Toluca,13,22,do,Estatal Sierra Morelos Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,19.3133,-99.6961,Museo de Bellas Artes,northamerica/mexico/toluca/museo_de_bellas_artes,0.356,4.685,4.717,has_external_url,http://cepanaf.edomex.gob.mx/,https://en.wikivoyage.org/wiki/Toluca
europe/ukraine/vinnista,Vinnytsia,Vinnytsia,7,92,see,Mykhailo Kotsiubynsky Estate Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.2372,28.4879,Pirogov National Museum,europe/ukraine/vinnista/pirogov_museum,0.448,4.624,1.501,has_external_url,http://kotsubinsky.vn.ua/,https://en.wikivoyage.org/wiki/Vinnytsia
northamerica/unitedstates/arizona/page,Page,Page,9,12,do,American Aviation,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.92447,-111.45059,Antelope Canyon,northamerica/unitedstates/arizona/page/antelope_canyon,0.438,9.718,1.181,has_external_url,http://www.AmericanAviationWest.com,https://en.wikivoyage.org/wiki/Page
northamerica/mexico/ensenada,Ensenada,Ensenada,8,39,see,Caracol Museo de Ciencias,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,31.85106,-116.628902,Cathedral of Our Lady of Guadalupe,northamerica/mexico/ensenada/catedral_nuestra_senora,0.321,2.022,2.951,has_external_url,http://www.caracolbc.org/,https://en.wikivoyage.org/wiki/Ensenada
europe/ireland/dublin,Dublin,Dublin,132,173,do,The Helix,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.3866,-6.259,Phoenix Park,europe/ireland/dublin/phoenix_park,0.471,5.368,4.14,has_external_url,https://thehelix.ie/,https://en.wikivoyage.org/wiki/Dublin
asia/kazakhstan/astana,Astana,Astana,26,82,see,Assumption Cathedral,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.149603,71.481481,Astana Central Park,asia/kazakhstan/astana/central_park,0.513,5.065,4.268,has_external_url,http://sobor.kz/node/171,https://en.wikivoyage.org/wiki/Astana
northamerica/canada/manitoba/winnipeg,Winnipeg,Winnipeg,22,164,do,Springhill Winter Sports Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.9637,-96.98149,Assiniboine Park,northamerica/canada/manitoba/winnipeg/assiniboine_park,0.533,20.957,13.553,has_external_url,http://www.springhillwinterpark.com,https://en.wikivoyage.org/wiki/Winnipeg
northamerica/canada/newfoundland/grosmornenationa,Gros Morne National Park,Gros Morne National Park,10,18,see,Rocky Harbour,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.5906777,-57.9288494,Gros Morne Mountain,northamerica/canada/newfoundland/grosmornenationa/gros_morne_mountain,0.375,10.37,14.474,has_external_url,http://www.rockyharbour.ca/tourism.php,https://en.wikivoyage.org/wiki/Gros_Morne_National_Park
northamerica/unitedstates/massachusetts/sturbridge,Sturbridge,Sturbridge,9,39,do,Tantiusques,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.059263,-72.128606,Brimfield Antique Show,northamerica/unitedstates/massachusetts/sturbridge/brimfield_antique_fair,0.485,7.011,6.739,has_external_url,https://thetrustees.org/place/tantiusques/,https://en.wikivoyage.org/wiki/Sturbridge
europe/germany/bavaria/regensburg,Regensburg,Regensburg,7,33,see,Walhalla memorial,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.0309,12.224,Saint Emmeram's Abbey,europe/germany/bavaria/regensburg/saint_emmeram_abbey,0.316,9.724,9.31,has_external_url,http://www.schloesser.bayern.de/englisch/palace/objects/walhalla.htm,https://en.wikivoyage.org/wiki/Regensburg
europe/greece/poros,Poros,Poros,3,42,do,Vagionia Beach,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.53108,23.48337,Sanctuary of Poseidon,europe/greece/poros/sanctuary_of_poseidon,0.229,1.435,0.853,has_external_url,http://www.pocket-guide.gr/Beaches/Attica/Poros/Vagionia-48,https://en.wikivoyage.org/wiki/Poros
europe/belgium/bruges,Bruges,Bruges,16,55,do,Bruges Ballooning,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.2,3.2,Groeningemuseum,europe/belgium/bruges/museums_groeninge,0.375,1.978,2.094,has_external_url,http://www.bruges-ballooning.com,https://en.wikivoyage.org/wiki/Bruges
southamerica/brazil/manaus,Manaus,Manaus,48,62,see,Cultural Center of the Peoples of the Amazon,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-3.13303,-59.98736,Centro Cultural dos Povos da Amazônia,southamerica/brazil/manaus/centro_cultural_povos_da_amazonia,0.521,4.775,0.561,has_external_url,https://cultura.am.gov.br/portal/centro-cultural-dos-povos-da-amazonia/,https://en.wikivoyage.org/wiki/Manaus
europe/hungary/kalocsa,Kalocsa,Kalocsa,2,7,see,Fajsz,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.418,18.919,Kalocsa Cathedral,europe/hungary/kalocsa/kalocsa_cathedral,0.182,13.139,12.651,has_external_url,http://www.fajsz.hu/,https://en.wikivoyage.org/wiki/Kalocsa
europe/unitedkingdom/scotland/barra,Barra,Barra,7,15,see,Chapel of Cille Bharra,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,57.0394,-7.4342,Isle of Barra Distillery,europe/unitedkingdom/scotland/barra/isle_of_barra_distillery,0.435,10.169,4.703,has_external_url,https://canmore.org.uk/site/9767/barra-eoligarry-cille-bharra,https://en.wikivoyage.org/wiki/Barra
africa/zimbabwe/harare,Harare,Harare,8,48,see,Mukuvisi Woodlands,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-17.837257,31.088819,Mbare Musika,africa/zimbabwe/harare/mbare_musika,0.333,5.785,3.725,has_external_url,http://www.mukuvisiwoodland.co.zw,https://en.wikivoyage.org/wiki/Harare
northamerica/canada/ontario/ottawa,Ottawa,Ottawa,23,271,see,Laurier House National Historic Site,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.4277,-75.6779,Canadian Museum of History,northamerica/canada/ontario/ottawa/canadian_museum_of_history,0.484,2.427,1.656,has_external_url,https://www.pc.gc.ca/en/lhn-nhs/on/laurier,https://en.wikivoyage.org/wiki/Ottawa
southamerica/paraguay/encarnacion,Encarnacion,Encarnación,5,11,do,Mboi Kae Beach,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-27.32,-55.8875,Carnaval Encarnaceno,southamerica/paraguay/encarnacion/carnaval_encarnace,0.294,2.352,2.821,has_external_url,https://www.facebook.com/PlayaMboiKae,https://en.wikivoyage.org/wiki/Encarnaci%C3%B3n
asia/china/hebei/baoding,Baoding,Baoding,5,23,see,Baoding Natural History Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.862228,115.558304,Baoding Balls,asia/china/hebei/baoding/baoding_balls,0.512,6.915,6.915,has_external_url,https://www.bdnhm.com/,https://en.wikivoyage.org/wiki/Baoding
europe/germany/saxonyanhalt/dessau,Dessau,Dessau,8,35,see,Schloss Mosigkau,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.80593,12.15086,Kornhaus,europe/germany/saxonyanhalt/dessau/kornhaus,0.25,7.474,7.009,has_external_url,https://www.gartenreich.de/en/stately-homes-gardens/mosigkau,https://en.wikivoyage.org/wiki/Dessau
northamerica/unitedstates/california/burbank,Burbank,Burbank,6,15,do,Los Angeles Equestrian Center,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.1587,-118.308,Magnolia Park,northamerica/unitedstates/california/burbank/magnolia_park,0.368,2.582,2.504,has_external_url,http://www.la-equestriancenter.com/,https://en.wikivoyage.org/wiki/Burbank
europe/hungary/sopron,Sopron,Sopron,9,234,see,Pannónia Gallery,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.68374,16.59233,Széchenyi Square,europe/hungary/sopron/szechenyi_square,0.523,0.477,0.59,has_external_url,http://m.turizmus.sopron.hu/hu/info/latnivalok/kiallitohelyek/pannonia-galeria.html,https://en.wikivoyage.org/wiki/Sopron
asia/southkorea/suwon,Suwon,Suwon,6,131,see,Stone Buddha Triad of Bongnyeongsa Temple in Suwon,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.291634,127.037443,Hwaseong Haenggung,asia/southkorea/suwon/hwaseong_haenggung,0.324,2.303,2.1,has_external_url,https://www.bongnyeongsa.org/,https://en.wikivoyage.org/wiki/Suwon
europe/finland/mikkeli,Mikkeli,Mikkeli,5,34,see,Mikkelinpuisto,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,61.6757,27.2845,Mikkeli Cathedral,europe/finland/mikkeli/mikkeli_cathedral,0.516,1.777,1.47,has_external_url,http://www.mikkelipuisto.fi/,https://en.wikivoyage.org/wiki/Mikkeli
europe/spain/spanishcostas/alicante,Alicante,Alicante,8,74,see,Museu de la Universitat d’Alacant,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.3808,-0.512,Hogueras de Alicante,europe/spain/spanishcostas/alicante/hogueras_de_alicante,0.5,4.674,4.625,has_external_url,http://www.mua.ua.es/index.php?opc=1&lang=3,https://en.wikivoyage.org/wiki/Alicante
europe/germany/mecklenburgwesternpomerania/rugen,Rügen,Rügen,27,12,do,Narrow-gauge railway,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.3568,13.4806,Putbus,europe/germany/mecklenburgwesternpomerania/rugen/putbus,0.39,0.61,12.245,has_external_url,http://www.ruegensche-baederbahn.de/,https://en.wikivoyage.org/wiki/R%C3%BCgen
africa/kenya/thecoast/mombasa,Mombasa,Mombasa,20,137,see,Nguuni Sanctury,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-3.9849,39.696,Forodhani Restaurant,africa/kenya/thecoast/mombasa/forodhani_restaurant,0.4,8.814,7.967,has_external_url,http://lifeinmombasa.com/nguuni-nature-sanctuary/,https://en.wikivoyage.org/wiki/Mombasa
northamerica/canada/britishcolumbia/courtenay,Courtenay,Courtenay,5,30,do,Island Music Fest,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.7057,-125.0044,Courtenay and District Museum,northamerica/canada/britishcolumbia/courtenay/courtenay_museum,0.348,1.802,1.922,has_external_url,https://www.islandmusicfest.com/,https://en.wikivoyage.org/wiki/Courtenay
northamerica/canada/manitoba/winnipeg,Winnipeg,Winnipeg,22,164,see,King's Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.79744,-97.12162,Forks Market,northamerica/canada/manitoba/winnipeg/forksmarket,0.522,9.968,10.975,has_external_url,http://www.winnipeg.ca/publicworks/ParksandFields/ParkBooking/Bookableparks/Kingspark.asp,https://en.wikivoyage.org/wiki/Winnipeg
asia/turkey/trabzon,Trabzon,Trabzon,5,75,see,Kaymaklı Monastery,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.9943,39.7442,Fatih Mosque (Chrysokephalos),asia/turkey/trabzon/fatih_mosque,0.414,2.363,1.762,has_external_url,https://trabzon.ktb.gov.tr/TR-57647/kaymakli-manastiri.html,https://en.wikivoyage.org/wiki/Trabzon
northamerica/mexico/oaxaca,Oaxaca,Oaxaca (city),13,93,see,Museo de Grana Cochinilla,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,17.052802,-96.700795,Museo Rufino Tamayo,northamerica/mexico/oaxaca/museo_rufino_tamayo,0.488,3.029,3.559,has_external_url,https://nocheztlicalli.com/,https://en.wikivoyage.org/wiki/Oaxaca_%28city%29
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,see,World of Trams Stuttgart,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.79904,9.21769,Kunstmuseum Stuttgart,europe/germany/badenwrttemberg/stuttgart/kunstmuseum_stuttgart,0.489,3.722,3.586,has_external_url,http://www.strassenbahnwelt.com/,https://en.wikivoyage.org/wiki/Stuttgart
europe/unitedkingdom/england/south_east/eastbourne,Eastbourne,Eastbourne,9,40,see,Pevensey Castle,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.8192,0.3331,Towner Eastbourne,europe/unitedkingdom/england/south_east/eastbourne/towner_gallery,0.438,7.196,7.024,has_external_url,https://www.english-heritage.org.uk/visit/places/pevensey-castle/,https://en.wikivoyage.org/wiki/Eastbourne
