world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/newjersey/longbeachisland,Long Beach Island,Long Beach Island,0,68,see,Barnegat Lighthouse State Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.763,-74.1075,,,0.0,,15.733,has_external_url,http://www.state.nj.us/dep/parksandforests/parks/barnlig.html,https://en.wikivoyage.org/wiki/Long_Beach_Island
europe/italy/emiliaromagna/ferrara,Ferrara,Ferrara,14,36,see,Chiesa di San Cristoforo alla Certosa,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.845335,11.626842,City Walls,europe/italy/emiliaromagna/ferrara/city_walls,0.382,0.618,1.25,has_external_url,http://www.ferraratua.it/,https://en.wikivoyage.org/wiki/Ferrara
northamerica/unitedstates/california/santaclara,Santa Clara,Santa Clara (California),6,30,see,South Bay Historical Railroad Society,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.353056,-121.936389,Mission Santa Clara de Asís,northamerica/unitedstates/california/santaclara/mission_santa_clara,0.385,0.615,1.665,has_external_url,http://www.sbhrs.org/,https://en.wikivoyage.org/wiki/Santa_Clara_%28California%29
southamerica/ecuador/quito,Quito,Quito,25,61,see,Museo Guayasamin and Capilla del Hombre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-0.19059,-78.46908,Museo Camilo Egas,southamerica/ecuador/quito/museo_camilo_egas,0.462,5.366,5.826,has_external_url,https://www.facebook.com/fundacion.guayasamin/,https://en.wikivoyage.org/wiki/Quito
asia/southkorea/dae_gu,Daegu,Daegu,7,73,see,Palgongsan Mountain Maple Festival,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.981717,128.736518,Gyeongsang-gamyeong Park,asia/southkorea/dae_gu/gyeongsang_gamyeong_park,0.448,17.796,17.277,has_external_url,http://www.gatbawe.com,https://en.wikivoyage.org/wiki/Daegu
europe/germany/bavaria/nuremberg,Nuremberg,Nuremberg,26,125,see,"Neunhof Manor, (Schloss Neunhof)",0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.5186,11.0508,Gostenhof,europe/germany/bavaria/nuremberg/gostenhof,0.455,7.347,7.448,has_external_url,http://www.gnm.de/English/NeunhofE.htm,https://en.wikivoyage.org/wiki/Nuremberg
asia/china/guangxi/liuzhou,Liuzhou,Liuzhou,6,13,see,Liuzhou Expo Garden,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,24.38638492,109.54813678,Liuzhou Military Museum,asia/china/guangxi/liuzhou/liuzhou_military_museum,0.524,16.724,16.197,has_external_url,http://lzyby.icoc.cc/,https://en.wikivoyage.org/wiki/Liuzhou
northamerica/unitedstates/california/orangecounty/costamesa,Costa Mesa,Costa Mesa,6,21,see,Orange County Museum of Art,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.62131,-117.88013,Segerstrom Center for the Arts,northamerica/unitedstates/california/orangecounty/costamesa/segerstrom_center,0.34,7.874,5.138,has_external_url,http://www.ocma.net,https://en.wikivoyage.org/wiki/Costa_Mesa
northamerica/unitedstates/newjersey/toms_river,Toms River,Toms River,14,31,see,John F. Peto Studio Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.9411,-74.1414,Waterhouse Museum,northamerica/unitedstates/newjersey/toms_river/waterhouse_museum,0.476,4.968,4.895,has_external_url,https://petomuseum.org,https://en.wikivoyage.org/wiki/Toms_River
northamerica/unitedstates/pennsylvania/state_college,State College,State College,7,27,see,Frost Entomological Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.803706,-77.862041,Palmer Museum of Art,northamerica/unitedstates/pennsylvania/state_college/palmer_museum_of_art,0.391,0.772,1.03,has_external_url,https://ento.psu.edu/about/facilities/frost,https://en.wikivoyage.org/wiki/State_College
