world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/michigan/lansing,Lansing,Lansing,30,52,see,Cooley Gardens,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.72506,-84.5552,Clara's,northamerica/unitedstates/michigan/lansing/claras,0.476,1.533,0.828,has_external_url,https://www.lansing.org/listings/cooley-gardens/686/,https://en.wikivoyage.org/wiki/Lansing
northamerica/canada/ontario/burlington,Burlington,Burlington (Ontario),16,45,see,The Beachway,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.309473,-79.800177,Burlington Skyway,northamerica/canada/ontario/burlington/skyway_bridge,0.32,1.123,1.738,has_external_url,https://www.burlington.ca/en/modules/facilities/Detail.aspx?id=15b4681e-1668-4984-b32a-a417e59a3156,https://en.wikivoyage.org/wiki/Burlington_%28Ontario%29
europe/germany/hessen/kassel,Kassel,Kassel,19,95,see,Weißensteinflügel,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.31439,9.41567,Hessian State Museum,europe/germany/hessen/kassel/hessian_state_museum,0.432,5.161,5.714,has_external_url,http://www.museum-kassel.de/en/museums-parks-palaces/unesco-world-heritage-site-of-bergpark-wilhelmshoehe/wilhelmshoehe-palace/weissenstein-wing,https://en.wikivoyage.org/wiki/Kassel
northamerica/unitedstates/wisconsin/madison,Madison,Madison,11,84,see,UW Arboretum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.041425,-89.430653,University of Wisconsin Arboretum,northamerica/unitedstates/wisconsin/madison/uw_arboretum,0.533,0.669,5.286,has_external_url,http://uwarboretum.org/,https://en.wikivoyage.org/wiki/Madison
europe/finland/mikkeli,Mikkeli,Mikkeli,5,34,see,Jalkaväkimuseo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,61.6825,27.2627,Headquarters Museum (Päämajan Museo),europe/finland/mikkeli/headquarters_museum,0.424,0.739,0.807,has_external_url,http://www.jalkavakimuseo.fi/,https://en.wikivoyage.org/wiki/Mikkeli
northamerica/unitedstates/ohio/akron,Akron,Akron,16,72,see,Hale Farm & Village,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.1935,-81.5921,Highland Square,northamerica/unitedstates/ohio/akron/highland_square,0.444,13.291,13.741,has_external_url,http://www.halefarm.org/,https://en.wikivoyage.org/wiki/Akron
asia/india/karnataka/mysore,Mysore,Mysore,14,82,see,Melody World Wax Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,12.30223,76.67789,Mysore Zoo,asia/india/karnataka/mysore/mysore_zoo,0.303,1.768,4.242,has_external_url,http://www.melodyworld.in,https://en.wikivoyage.org/wiki/Mysore
northamerica/unitedstates/california/san_jose,San Jose,San Jose (California),33,114,do,California's Great America,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.3959,-121.972,Cafe Stritch,northamerica/unitedstates/california/san_jose/cafe_stritch,0.474,10.316,9.792,has_external_url,http://www.cagreatamerica.com,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
northamerica/unitedstates/california/centralvalley/fresno,Fresno,Fresno,7,59,see,Fresno Art Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.7708,-119.7739,Meux Home Museum,northamerica/unitedstates/california/centralvalley/fresno/meux_home,0.545,3.535,3.624,has_external_url,http://www.fresnoartmuseum.org,https://en.wikivoyage.org/wiki/Fresno
europe/norway/kristiansand,Kristiansand,Kristiansand,20,80,see,Myren Mansion,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,58.1335,7.9683,Dyreparken (Zoo),europe/norway/kristiansand/dyreparken,0.435,10.757,2.173,has_external_url,http://www.visitnorway.com/us/product/?pid=123614,https://en.wikivoyage.org/wiki/Kristiansand
northamerica/unitedstates/kentucky/lexington,Lexington,Lexington (Kentucky),19,81,see,Waveland State Historic Site,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.971389,-84.537222,Ashland — The Henry Clay Estate,northamerica/unitedstates/kentucky/lexington/ashland_henry_clay_estate,0.415,8.492,9.054,has_external_url,http://parks.ky.gov/parks/historicsites/waveland/default.aspx,https://en.wikivoyage.org/wiki/Lexington_%28Kentucky%29
europe/hungary/sopron,Sopron,Sopron,9,234,see,Dwelling house,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.68851,16.59185,Corvinus Restaurant,europe/hungary/sopron/corvinus_restaurant,0.371,0.629,1.034,has_external_url,http://www.muemlekem.hu/muemlek?id=4883,https://en.wikivoyage.org/wiki/Sopron
europe/finland/vantaa,Vantaa,Vantaa,4,103,see,Katrineberg Pks4H Petting Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,60.345331,24.870581,Finnish Aviation Museum,europe/finland/vantaa/finnish_aviation_museum,0.308,5.875,11.167,has_external_url,https://www.pks4h.fi/muu-toiminta/kotielainpihat/katrinebergin-4h-kotielainpiha/,https://en.wikivoyage.org/wiki/Vantaa
northamerica/unitedstates/westvirginia/wheeling,Wheeling,Wheeling,6,34,see,Good Zoo and Planetarium,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.097152,-80.666198,Downtown and Wheeling Island,northamerica/unitedstates/westvirginia/wheeling/downtown_and_wheeling_island,0.423,5.937,5.937,has_external_url,https://oglebay.com/explore/zoo/,https://en.wikivoyage.org/wiki/Wheeling
europe/hungary/gyor,Győr,Győr,13,201,see,Roman Catholic Church,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.6377,17.5904,Carmelite Monastery and Church,europe/hungary/gyor/karmelita_kolostor,0.431,6.171,6.062,has_external_url,http://muemlekem.hu/muemlek?id=4418,https://en.wikivoyage.org/wiki/Gy%C5%91r
northamerica/unitedstates/washington/mtrainiernp,Mt. Rainier National Park,Mount Rainier National Park,0,61,see,Longmire,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.7498,-121.8123,,,0.0,,14.146,has_external_url,http://www.nps.gov/mora/planyourvisit/longmire.htm,https://en.wikivoyage.org/wiki/Mount_Rainier_National_Park
asia/myanmar/mandalay,Mandalay,Mandalay,15,38,do,Mandalay Marionettes Theatre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,21.98052,96.106894,Mandalay Fort,asia/myanmar/mandalay/mandalayfort,0.537,3.033,2.628,has_external_url,http://www.mandalaymarionettes.com,https://en.wikivoyage.org/wiki/Mandalay
europe/hungary/debrecen,Debrecen,Debrecen,17,130,see,László Holló Memorial Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.52352,21.60518,Déri Museum,europe/hungary/debrecen/deri_museum,0.541,1.77,1.792,has_external_url,http://www.medgyessygimnazium.hu/hollo-laszlo-muzeum.html,https://en.wikivoyage.org/wiki/Debrecen
europe/unitedkingdom/england/manchester_liverpool_and_north_west/clitheroe,Clitheroe,Clitheroe,5,14,see,Whalley Abbey,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.8203,-2.409,Salthill Quarry,europe/unitedkingdom/england/manchester_liverpool_and_north_west/clitheroe/salthill_quarry,0.429,6.987,5.747,has_external_url,https://www.whalleyabbey.org/,https://en.wikivoyage.org/wiki/Clitheroe
northamerica/canada/ontario/oakville,Oakville,Oakville (Ontario),19,24,see,Howard Iron Works Printing Museum & Restoration,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.41561,-79.731865,Bronte Creek Provincial Park,northamerica/canada/ontario/oakville/bronte_creek_provincial_park,0.39,2.82,6.343,has_external_url,http://www.howardironworks.org/,https://en.wikivoyage.org/wiki/Oakville_%28Ontario%29
northamerica/thecaribbean/guadeloupe/basseterre,Basse-Terre,Basse-Terre,4,8,see,Zoo de Guadeloupe,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,16.1793,-61.7511,Guadeloupe National Park,northamerica/thecaribbean/guadeloupe/basseterre/guadeloupe_national_park,0.526,15.379,19.648,has_external_url,https://www.zoodeguadeloupe.com/practical-info,https://en.wikivoyage.org/wiki/Basse-Terre
asia/china/jiangsu_province/changzhou,Changzhou,Changzhou,9,25,see,Changzhou Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,31.8108504909,119.9669108248,Old Museum of Wisteria,asia/china/jiangsu_province/changzhou/old_museum_of_wisteria,0.421,3.781,4.124,has_external_url,http://www.czmuseum.com/,https://en.wikivoyage.org/wiki/Changzhou
northamerica/unitedstates/westvirginia/morgantown,Morgantown,Morgantown,10,63,see,The Royce J. and Caroline B. Watts Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.646715,-79.97379,Don Knotts Statue,northamerica/unitedstates/westvirginia/morgantown/don_knotts_statue,0.385,2.434,2.434,has_external_url,http://wattsmuseum.wvu.edu/,https://en.wikivoyage.org/wiki/Morgantown
northamerica/unitedstates/newmexico/lascruces,Las Cruces,Las Cruces,13,25,see,New Mexico Farm and Ranch Heritage Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.2972,-106.719,New Mexico State University,northamerica/unitedstates/newmexico/lascruces/new_mexico_state_university,0.5,3.561,6.012,has_external_url,http://www.frhm.org,https://en.wikivoyage.org/wiki/Las_Cruces
europe/germany/northrhinewestphalia/dortmund,Dortmund,Dortmund,16,98,see,Schloss Bodelschwingh,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.551,7.3623,Zeche Zollern,europe/germany/northrhinewestphalia/dortmund/zeche_zollern,0.294,2.951,8.213,has_external_url,http://schloss-bodelschwingh.de,https://en.wikivoyage.org/wiki/Dortmund
northamerica/unitedstates/florida/anna_maria_island,Anna Maria Island,Anna Maria Island,4,7,do,Leffis Key Preserve,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,27.4509,-82.6907,Bradenton Beach Historic City Pier,northamerica/unitedstates/florida/anna_maria_island/bradenton_beach_pier,0.34,2.306,9.647,has_external_url,https://www.mymanatee.org/departments/parks___natural_resources/parks__preserves___beaches/leffis_key_preserve,https://en.wikivoyage.org/wiki/Anna_Maria_Island
northamerica/unitedstates/newmexico/ruidoso,Ruidoso,Ruidoso,7,10,do,Perk Canyon,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.341,-105.7005,Noisy Water Winery,northamerica/unitedstates/newmexico/ruidoso/noisy_water_winery,0.345,3.067,2.752,has_external_url,https://www.ruidosooutdoors.com/hiking-gallery-page-ruidoso-outdoors/perkcanyon,https://en.wikivoyage.org/wiki/Ruidoso
