world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/panama/panamacity,Panama City,Panama City,10,65,see,Parque Natural Metropolitano,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,8.98579428957726,-79.54639108478284,Panama Canal — Miraflores Locks,northamerica/panama/panamacity/panama_canal_miraflores,0.386,5.14,2.934,has_external_url,https://parquemetropolitano.org/,https://en.wikivoyage.org/wiki/Panama_City
northamerica/unitedstates/california/oakland,Oakland,Oakland,16,181,see,Morcom Rose Garden,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.8197,-122.247,Chabot Space & Science Center,northamerica/unitedstates/california/oakland/chabotspaceandsciencecenter,0.408,5.816,2.73,has_external_url,https://www.oaklandca.gov/topics/morcom-rose-garden,https://en.wikivoyage.org/wiki/Oakland
europe/france/midi/cotedazur/nice,Nice,Nice,42,76,see,Parc Phoenix,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.66839,7.2184,Le Bar des Oiseaux,europe/france/midi/cotedazur/nice/bar_des_oiseaux,0.522,5.482,5.409,has_external_url,https://www.parc-phoenix.org/,https://en.wikivoyage.org/wiki/Nice
southamerica/chile/easterisland,Easter Island,Easter Island,20,55,see,Tau Kiani botanical garden,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-27.1412,-109.41175,Ana Kai Tangata,southamerica/chile/easterisland/ana_kai_tangata,0.439,3.342,6.91,has_external_url,http://imaginaisladepascua.com/que-ver/hanga-roa/jardin-botanico-de-isla-de-pascua/,https://en.wikivoyage.org/wiki/Easter_Island
northamerica/unitedstates/arizona/tucson,Tucson,Tucson,66,113,see,Philabaum Glass Gallery & Studio,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.212747,-110.96832,DeGrazia Gallery in the Sun,northamerica/unitedstates/arizona/tucson/degrazia_gallery_i,0.526,14.114,1.283,has_external_url,http://www.philabaumglass.com,https://en.wikivoyage.org/wiki/Tucson
europe/unitedkingdom/england/manchester_liverpool_and_north_west/liverpool,Liverpool,Liverpool,52,182,see,Croxteth Hall and Country Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.44283,-2.89207,Sefton Park,europe/unitedkingdom/england/manchester_liverpool_and_north_west/liverpool/sefton_park,0.439,7.646,7.625,has_external_url,https://croxtethfriends.wixsite.com/croxtethfriends,https://en.wikivoyage.org/wiki/Liverpool
northamerica/unitedstates/virginia/winchester,Winchester,Winchester (Virginia),12,29,see,Star Fort,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.20622,-78.163732,Triangle Diner,northamerica/unitedstates/virginia/winchester/triangle_diner,0.348,3.118,2.341,has_external_url,http://www.shenandoahatwar.org/visit/signature-sites/winchester-area-sites/star-fort/,https://en.wikivoyage.org/wiki/Winchester_%28Virginia%29
northamerica/unitedstates/kentucky/louisville,Louisville,Louisville,12,140,see,Speed Art Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.217861,-85.760917,Louisville Slugger Museum & Factory,northamerica/unitedstates/kentucky/louisville/louisville_slugger_museum,0.415,4.319,4.043,has_external_url,http://www.speedmuseum.org/,https://en.wikivoyage.org/wiki/Louisville
asia/indonesia/java/purwokerto,Purwokerto,Purwokerto,10,65,see,BRI Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-7.423735,109.225764,Mount Slamet,asia/indonesia/java/purwokerto/mount_slamet,0.364,20.25,0.642,has_external_url,http://www.bri.co.id/,https://en.wikivoyage.org/wiki/Purwokerto
africa/swaziland/lobamba,Lobamba,Lobamba,6,7,do,Mantenga Cultural Village,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-26.44421,31.17444,Mantenga Nature Reserve,africa/swaziland/lobamba/mantenga_nature_reserve,0.542,2.002,3.389,has_external_url,http://www.sntc.org.sz/,https://en.wikivoyage.org/wiki/Lobamba
asia/japan/honshu/yokohama,Yokohama,Yokohama,7,98,see,Cup Noodles Museum Yokohama,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.455459,139.638529,Chinatown: Dim Sum and Chinese Cuisine,asia/japan/honshu/yokohama/chinatown_dining,0.312,,0.685,has_external_url,https://www.cupnoodles-museum.jp/en/yokohama/,https://en.wikivoyage.org/wiki/Yokohama
asia/srilanka/colombo,Colombo,Colombo,25,116,see,Memm Harnafi,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,6.91586,79.86471,Sambodhi Chaithya,asia/srilanka/colombo/sambodhi_chaithya,0.345,2.989,1.309,has_external_url,http://www.shaikhusmanwali.org/,https://en.wikivoyage.org/wiki/Colombo
northamerica/unitedstates/georgia/savannah,Savannah,Savannah,12,86,see,Georgia State Railroad Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.0753,-81.1014,Savannah History Museum,northamerica/unitedstates/georgia/savannah/savannah_history_museum,0.462,0.691,0.965,has_external_url,http://chsgeorgia.org/GSRM,https://en.wikivoyage.org/wiki/Savannah
asia/japan/honshu/niigata,Niigata,Niigata,7,24,see,Minatopia - Niigata City History Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.929833,139.057722,Niigata-City Performing Arts Center (Ryutopia),asia/japan/honshu/niigata/ryutopia,0.5,2.371,4.283,has_external_url,https://www.nchm.jp/,https://en.wikivoyage.org/wiki/Niigata
europe/unitedkingdom/scotland/shetland/unst,Unst,Unst,6,20,see,Halligarth Woodland,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,60.7619,-0.8531,Haroldswick Heritage Centre and Boat Haven,europe/unitedkingdom/scotland/shetland/unst/haroldswick,0.262,3.082,2.346,has_external_url,https://www.woodlandtrust.org.uk/visiting-woods/woods/halligarth-woodland/,https://en.wikivoyage.org/wiki/Unst
europe/unitedkingdom/england/gloucestershire/gloucester,Gloucester,Gloucester (England),8,33,see,Prinknash Abbey,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.8225,-2.176111,The New Inn,europe/unitedkingdom/england/gloucestershire/gloucester/new_inn_gloucester,0.273,6.719,6.757,has_external_url,http://www.prinknashabbey.org/,https://en.wikivoyage.org/wiki/Gloucester_%28England%29
northamerica/unitedstates/illinois/chicago,Chicago,Chicago,152,132,see,Armitage Baptist Church,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.927032,-87.706937,Palette Bistro,northamerica/unitedstates/illinois/chicago/palette_bistro,0.486,3.632,8.909,has_external_url,http://armitagechurch.org/,https://en.wikivoyage.org/wiki/Chicago
europe/unitedkingdom/england/south_east/reading,Reading,Reading (England),5,52,see,Basildon Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.499167,-1.121389,The Hexagon,europe/unitedkingdom/england/south_east/reading/the_hexagon,0.3,11.146,10.914,has_external_url,https://www.nationaltrust.org.uk/basildon-park/,https://en.wikivoyage.org/wiki/Reading_%28England%29
europe/sweden/gothenburg,Gothenburg,Gothenburg,15,116,see,Gothenburg Natural History Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,57.6902,11.94956,Volvo Museum,europe/sweden/gothenburg/volvomuseum,0.444,2.868,2.159,has_external_url,https://www.gnm.se/en/,https://en.wikivoyage.org/wiki/Gothenburg
northamerica/canada/ontario/kingston,Kingston,Kingston (Ontario),8,106,see,MacLachlan Woodworking Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.2963865,-76.3162747,Marine Museum of the Great Lakes,northamerica/canada/ontario/kingston/marine_museum,0.421,15.257,15.336,has_external_url,http://woodworkingmuseum.ca,https://en.wikivoyage.org/wiki/Kingston_%28Ontario%29
