world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/southkorea/dae_gu,Daegu,Daegu,7,73,see,Hillcrest,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.7636,128.6473,Donghwasa Temple,asia/southkorea/dae_gu/donghwasa_temple,0.24,22.397,12.681,has_external_url,http://hillcrest.co.kr,https://en.wikivoyage.org/wiki/Daegu
europe/russia/irkutsk,Irkutsk,Irkutsk,10,66,see,Vladimyr Church,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.29228,104.28846,Church of Our Lady of the Assumption (Polish Church),europe/russia/irkutsk/polish_church,0.55,0.45,0.684,has_external_url,http://irkipedia.ru/content/zdanie_cerkvi_vladimirskoy_ikony_bozhiey_materi,https://en.wikivoyage.org/wiki/Irkutsk
asia/southkorea/dae_gu,Daegu,Daegu,7,73,see,Palgong Mountain Cherry Blossom Festival,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.991433,128.697538,Mount Palgong,asia/southkorea/dae_gu/mount_palgong,0.264,1.386,15.908,has_external_url,http://www.palgongsan.org/,https://en.wikivoyage.org/wiki/Daegu
northamerica/canada/britishcolumbia/duncan,Duncan,Duncan (British Columbia),8,16,do,Kinsol Trestle,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.66879,-123.69395,Somenos Lake,northamerica/canada/britishcolumbia/duncan/somenos_lake,0.462,14.831,12.265,has_external_url,https://www.cvrd.ca/1379/Kinsol-Trestle,https://en.wikivoyage.org/wiki/Duncan_%28British_Columbia%29
northamerica/unitedstates/newmexico/albuquerque,Albuquerque,Albuquerque,15,137,do,Cliff's Amusement Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.14354,-106.58865,Laffs Comedy Club,northamerica/unitedstates/newmexico/albuquerque/laffscomedyclub,0.41,8.295,8.709,has_external_url,http://www.cliffsamusementpark.com/,https://en.wikivoyage.org/wiki/Albuquerque
europe/sweden/visby,Visby,Visby,14,48,do,Kneippbyn,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,57.609827,18.24394,Visby Botanical Garden,europe/sweden/visby/botanical_garden,0.258,4.575,4.484,has_external_url,https://kneippbyn.se/in-english/,https://en.wikivoyage.org/wiki/Visby
northamerica/canada/alberta/lethbridge,Lethbridge,Lethbridge,6,56,see,Brewery Gardens,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.69706,-112.84918,High Level Bridge,northamerica/canada/alberta/lethbridge/high_level_bridge,0.496,0.504,1.188,has_external_url,https://www.lethbridge.ca/parks-leisure-recreation/parks-and-playgrounds/south-parks-and-playgrounds/brewery-gardens/,https://en.wikivoyage.org/wiki/Lethbridge
europe/finland/espoo,Espoo,Espoo,9,82,see,Marketanpuisto,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,60.2491,24.70587,Tapiola,europe/finland/espoo/tapiola,0.476,9.878,5.624,has_external_url,http://www.marketanpuisto.fi/index.php?section=11,https://en.wikivoyage.org/wiki/Espoo
europe/finland/rauma,Rauma,Rauma,5,63,do,Omenapuumaa nature trail,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,61.1917,21.4736,Rauma Maritime Museum,europe/finland/rauma/maritime_museum,0.4,6.646,7.17,has_external_url,http://www.rauma.fi/omenapuumaan-luontopolut,https://en.wikivoyage.org/wiki/Rauma
europe/sweden/gothenburg,Gothenburg,Gothenburg,15,116,see,Trädgårdsföreningen,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,57.7052,11.9749,Rohsska Museet,europe/sweden/gothenburg/rhsskamuseet,0.416,0.584,0.52,has_external_url,http://www.tradgardsforeningen.se,https://en.wikivoyage.org/wiki/Gothenburg
europe/unitedkingdom/scotland/glasgow,Glasgow,Glasgow,32,184,see,Queen's Cross Church,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.8803,-4.2719,The Ubiquitous Chip,europe/unitedkingdom/scotland/glasgow/ubiquitous_chip,0.4,1.458,2.524,has_external_url,https://www.mackintoshchurch.com/,https://en.wikivoyage.org/wiki/Glasgow
asia/india/orissa/bhubaneswar,Bhubaneswar,Bhubaneswar,4,59,see,Museum of Tribal Art & Artefacts,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,20.28295,85.806811,Joranda Falls,asia/india/orissa/bhubaneswar/karanjia__similip/joranda_falls,0.383,187.191,2.354,has_external_url,http://www.scstrti.in/,https://en.wikivoyage.org/wiki/Bhubaneswar
northamerica/unitedstates/newyorkstate/syracuse,Syracuse,Syracuse (New York),11,70,see,Rosamond Gifford Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.0443,-76.1799,24-Second Shot Clock Monument,northamerica/unitedstates/newyorkstate/syracuse/shot_clock_monument,0.367,2.479,2.673,has_external_url,http://www.rosamondgiffordzoo.org,https://en.wikivoyage.org/wiki/Syracuse_%28New_York%29
europe/hungary/szekesfehervar,Székesfehérvár,Székesfehérvár,15,93,see,Füle,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.051,18.246,Orb of the World (Országalma),europe/hungary/szekesfehervar/orb_of_the_world,0.154,19.904,19.947,has_external_url,http://fule.szekesfehervar.hu/,https://en.wikivoyage.org/wiki/Sz%C3%A9kesfeh%C3%A9rv%C3%A1r
