world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/canada/ontario/hamilton,Hamilton,Hamilton (Ontario),18,97,do,The Westdale Theatre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.26233,-79.905601,Locke Street,northamerica/canada/ontario/hamilton/locke_street,0.429,1.957,2.741,has_external_url,https://www.thewestdale.ca/,https://en.wikivoyage.org/wiki/Hamilton_%28Ontario%29
northamerica/mexico/merida,Mérida,Mérida (Mexico),23,119,see,Casa Frederick Catherwood,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,20.96975,-89.63067,Cantina La Negrita,northamerica/mexico/merida/cantina_la_negrita,0.4,0.787,0.799,has_external_url,http://casa-catherwood.com/,https://en.wikivoyage.org/wiki/M%C3%A9rida_%28Mexico%29
northamerica/unitedstates/colorado/coloradosprings,Colorado Springs,Colorado Springs,4,54,see,Rock Ledge Ranch,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.87737,-104.8714,Old Colorado City,northamerica/unitedstates/colorado/coloradosprings/old_colorado_city,0.424,4.972,6.26,has_external_url,https://rockledgeranch.com/,https://en.wikivoyage.org/wiki/Colorado_Springs
europe/lithuania/vilnius,Vilnius,Vilnius,53,134,see,Museum of the Centre of Europe,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.826,25.3533,Museum of Occupations and Freedom Fights,europe/lithuania/vilnius/museum_of_genocide_victims,0.485,16.106,16.14,has_external_url,https://www.europosparkas.lt/,https://en.wikivoyage.org/wiki/Vilnius
northamerica/canada/britishcolumbia/langley,Langley,Langley (British Columbia),4,33,do,Campbell Valley Regional Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.0299,-122.6608,Fort Langley National Historic Site,northamerica/canada/britishcolumbia/langley/fort_langley_national_historic_site,0.406,16.709,8.233,has_external_url,https://metrovancouver.org/services/regional-parks/park/campbell-valley-regional-park,https://en.wikivoyage.org/wiki/Langley_%28British_Columbia%29
europe/switzerland/fribourg,Fribourg,Fribourg,12,22,see,Chemins de fer du Kaeserberg,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.8161,7.1388,Taxidermy Whale of Fribourg,europe/switzerland/fribourg/taxidermy_whale,0.408,1.826,2.063,has_external_url,http://www.kaeserberg.ch,https://en.wikivoyage.org/wiki/Fribourg
europe/finland/rovaniemi,Rovaniemi,Rovaniemi,8,183,see,Local Heritage Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,66.4803,25.7418,Lordi's Square,europe/finland/rovaniemi/lordi_square,0.4,2.523,2.526,has_external_url,https://www.totto.fi/in-english/,https://en.wikivoyage.org/wiki/Rovaniemi
europe/spain/spanishcostas/altea,Altea,Altea,8,28,see,Templo del Arcángel Miguel,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.63265,-0.014,Casco Antiguo,europe/spain/spanishcostas/altea/casco_antiguo,0.4,4.854,4.791,has_external_url,http://orthodox.es/,https://en.wikivoyage.org/wiki/Altea
europe/sweden/rebro,Örebro,Örebro,5,15,see,Wadköping,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,59.272612,15.232751,Wadköping Open-Air Museum,europe/sweden/rebro/wadkoping,0.529,0.782,1.029,has_external_url,https://extra.orebro.se/wadkoping.4.6dd1f9011538e4a54e2145.html,https://en.wikivoyage.org/wiki/%C3%96rebro
europe/hungary/godollo,Gödöllő,Gödöllő,3,60,see,Aszód,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.6532,19.4747,Royal Palace of Gödöllő,europe/hungary/godollo/royal_palace,0.222,11.497,11.282,has_external_url,http://www.aszod.hu/,https://en.wikivoyage.org/wiki/G%C3%B6d%C3%B6ll%C5%91
northamerica/unitedstates/westvirginia/huntington,Huntington,Huntington (West Virginia),8,82,see,Ritter Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.406111,-82.436944,Camden Park,northamerica/unitedstates/westvirginia/huntington/camden_park,0.545,4.544,1.627,has_external_url,https://www.ghprd.org/index.php/ritter-park,https://en.wikivoyage.org/wiki/Huntington_%28West_Virginia%29
northamerica/unitedstates/washington/ellensburg,Ellensburg,Ellensburg,8,31,see,Olmstead Place State Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.9795,-120.4681,Dick and Jane's Spot,northamerica/unitedstates/washington/ellensburg/dick_and_janes_spot,0.4,6.197,6.16,has_external_url,http://parks.state.wa.us/556/Olmstead-Place,https://en.wikivoyage.org/wiki/Ellensburg
asia/china/guangxi/guilin,Guilin,Guilin,9,57,see,Museum of Guihai Stele Forest,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,25.273771,110.301035,Guilin Rice Noodles,asia/china/guangxi/guilin/guilin_noodles,0.375,0.638,1.107,has_external_url,http://www.ghbl.org.cn/,https://en.wikivoyage.org/wiki/Guilin
northamerica/unitedstates/illinois/collinsville,Collinsville,Collinsville (Illinois),9,10,see,Fairmount Park Racetrack,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.6631,-90.0356,Route 66 Tap Room,northamerica/unitedstates/illinois/collinsville/route_66_tap_room,0.39,4.16,4.508,has_external_url,http://www.fairmountpark.com,https://en.wikivoyage.org/wiki/Collinsville_%28Illinois%29
northamerica/unitedstates/northcarolina/raleigh,Raleigh,Raleigh,14,77,do,Lake Johnson Nature Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.76264,-78.71435,North Carolina Freedom Park,northamerica/unitedstates/northcarolina/raleigh/nc_freedom_park,0.471,7.319,7.07,has_external_url,https://raleighnc.gov/parks/lake-johnson-park,https://en.wikivoyage.org/wiki/Raleigh
europe/estonia/haapsalu,Haapsalu,Haapsalu,7,18,see,Museum of the Coastal Swedes,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,58.955737,23.528194,Haapsalu Castle,europe/estonia/haapsalu/haapsalu_castle,0.462,1.121,1.919,has_external_url,http://www.aiboland.ee/Muuseum,https://en.wikivoyage.org/wiki/Haapsalu
europe/finland/rovaniemi,Rovaniemi,Rovaniemi,8,183,do,Arctic Circle National Hiking Area,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,66.61923,26.18348,Santa Claus Village,europe/finland/rovaniemi/santa_claus_village,0.377,17.081,23.873,has_external_url,http://www.nationalparks.fi/arcticcircle,https://en.wikivoyage.org/wiki/Rovaniemi
asia/china/heilongjiang/harbin,Harbin,Harbin,7,108,see,Heilongjiang Science and Technology Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.7745085099,126.5700215973,Harbin Ice and Snow World,asia/china/heilongjiang/harbin/ice_and_snow_world,0.418,2.896,4.774,has_external_url,http://www.hljstm.org.cn/,https://en.wikivoyage.org/wiki/Harbin
australiaandpacific/australia/queensland/sunshinecoast,Sunshine Coast,Sunshine Coast,7,112,see,Landsborough Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-26.8094,152.9648,Glass House Mountains,australiaandpacific/australia/queensland/sunshinecoast/glass_house_mountains,0.4,11.147,21.446,has_external_url,http://www.landsboroughmuseum.org.au/,https://en.wikivoyage.org/wiki/Sunshine_Coast
