world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/germany/bavaria/nuremberg,Nuremberg,Nuremberg,26,125,see,Nuremberg Exhibition Centre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.417222,11.115,Schöner Brunnen,europe/germany/bavaria/nuremberg/schoener_brunnen,0.381,4.941,4.903,has_external_url,http://www.nuernbergmesse.de/,https://en.wikivoyage.org/wiki/Nuremberg
asia/japan/honshu/okayama,Okayama,Okayama,9,83,see,Japanese Fossil Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.650765,133.970752,Hayashibara Museum of Art,asia/japan/honshu/okayama/hayashibara_museum,0.468,3.711,4.945,has_external_url,http://www.city.okayama.jp/museum/ammonite/,https://en.wikivoyage.org/wiki/Okayama
northamerica/unitedstates/newyorkstate/buffalo,Buffalo,Buffalo,20,84,see,Nash House Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.88587,-78.86657,Buffalo AKG Art Museum,northamerica/unitedstates/newyorkstate/buffalo/albright_knox,0.41,4.996,0.945,has_external_url,http://www.nashhousemuseum.org,https://en.wikivoyage.org/wiki/Buffalo
europe/finland/joensuu,Joensuu,Joensuu,5,32,see,Botania,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,62.60248,29.72382,Botania Botanical Garden,europe/finland/joensuu/botania,0.452,1.932,1.965,has_external_url,https://www.botania.fi/home-en,https://en.wikivoyage.org/wiki/Joensuu
europe/greece/drama,Drama,Drama,6,25,see,Cave Alistrati,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.025545,24.011206,Hagia Sophia,europe/greece/drama/hagia_sophia,0.308,17.939,17.903,has_external_url,http://www.alistraticave.gr,https://en.wikivoyage.org/wiki/Drama
northamerica/unitedstates/louisiana/monroe,Monroe,Monroe (Louisiana),8,16,see,Northeast Louisiana Children's Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.50413,-92.11999,Ouachita River Riverwalk,northamerica/unitedstates/louisiana/monroe/ouachita_river,0.427,0.573,0.653,has_external_url,https://www.nelcm.org/,https://en.wikivoyage.org/wiki/Monroe_%28Louisiana%29
australiaandpacific/fiji/vitilevu/nadi,Nadi,Nadi,12,24,do,Pacific Island Air Scenic Flights,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-17.75787,177.44766,Denarau Island and Marina,australiaandpacific/fiji/vitilevu/nadi/denarau_marina,0.448,6.896,2.321,has_external_url,http://www.pacificislandair.com/Scenic-Flights/Fiji-scenic-helicopter-flights-__I.6188,https://en.wikivoyage.org/wiki/Nadi
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/harrogate,Harrogate,Harrogate,13,20,see,Harewood House,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.8969,-1.5273,Royal Baths,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/harrogate/royal_baths,0.4,10.887,10.619,has_external_url,https://www.harewood.org,https://en.wikivoyage.org/wiki/Harrogate
asia/india/maharashtra/nashik,Nashik,Nashik,5,73,see,Mineral Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,19.871884,73.971886,Ram Kund,asia/india/maharashtra/nashik/ram_kund,0.364,23.84,24.508,has_external_url,http://www.gargoti.com/,https://en.wikivoyage.org/wiki/Nashik
europe/spain/northernspain/gijon,Gijón,Gijón,10,24,see,Ciudadela of Celestino Solar,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.5411,-5.6584,Sidrerías of Cimadevilla,europe/spain/northernspain/gijon/sidreria_cimadevilla,0.462,0.558,0.553,has_external_url,https://www.gijon.es/es/directorio/ciudadela-de-celestino-solar,https://en.wikivoyage.org/wiki/Gij%C3%B3n
northamerica/canada/britishcolumbia/salmonarm,Salmon Arm,Salmon Arm,5,30,see,Dream Cycle Motorcycle Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.85228,-119.3552,Adams River Salmon Run,northamerica/canada/britishcolumbia/salmonarm/adams_river_salmon_run,0.392,15.926,17.705,has_external_url,https://dreamcycle.ca/,https://en.wikivoyage.org/wiki/Salmon_Arm
europe/germany/northrhinewestphalia/essen,Essen,Essen,11,74,see,Hespertalbahn,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.3929,7.0777,Museum Folkwang,europe/germany/northrhinewestphalia/essen/museum_folkwang,0.357,7.444,8.436,has_external_url,https://www.hespertalbahn.de/,https://en.wikivoyage.org/wiki/Essen
asia/cyprus/nicosia,Nicosia,Nicosia,18,68,see,VON World Pens Hall,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.1584,33.35296,Venetian Walls,asia/cyprus/nicosia/venetian_walls,0.424,1.329,2.062,has_external_url,http://vonpenshall.com/pc/pc/pens.asp,https://en.wikivoyage.org/wiki/Nicosia
europe/russia/nizhnynovgorod,Nizhny Novgorod,Nizhny Novgorod,11,65,see,Shveitzariya park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,56.282391,43.978744,Rozhdestvenskaya Street,europe/russia/nizhnynovgorod/rozhdestvenskaya_street,0.4,5.133,5.179,has_external_url,http://parknnov.ru/,https://en.wikivoyage.org/wiki/Nizhny_Novgorod
northamerica/unitedstates/missouri/jeffersoncity,Jefferson City,Jefferson City,13,62,do,McKay Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.56099,-92.1978,Katy Trail,northamerica/unitedstates/missouri/jeffersoncity/katy_trail,0.5,3.07,2.86,has_external_url,http://www.jeffersoncitymo.gov/parks/city_parks/mckay_park/index.php,https://en.wikivoyage.org/wiki/Jefferson_City
europe/russia/khabarovsk,Khabarovsk,Khabarovsk,9,58,see,Park Severnyy,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.5314,135.0454,Far Eastern Art Museum,europe/russia/khabarovsk/art_museum,0.4,6.24,6.116,has_external_url,http://parksever27.ru/,https://en.wikivoyage.org/wiki/Khabarovsk
northamerica/unitedstates/indiana/richmond,Richmond,Richmond (Indiana),7,14,see,Abram Gaar House and Farm,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.849167,-84.866667,Richmond Art Museum,northamerica/unitedstates/indiana/richmond/richmond_art_museum,0.409,3.456,3.019,has_external_url,https://visitrichmond.org/listing/gaar-house-and-farm-museum/,https://en.wikivoyage.org/wiki/Richmond_%28Indiana%29
northamerica/unitedstates/california/calistoga,Calistoga,Calistoga,7,27,do,Bale Grist Mill State Historic Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.5414,-122.5083,Bothe-Napa Valley State Park,northamerica/unitedstates/california/calistoga/bothe_napa_valley_state_park,0.54,1.274,7.473,has_external_url,https://www.parks.ca.gov/?page_id=482,https://en.wikivoyage.org/wiki/Calistoga
europe/france/nord/lille,Lille,Lille,22,79,see,LAM - Lille Art Modern Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.637444,3.150336,Charles de Gaulle Birthplace Museum,europe/france/nord/lille/charles_de_gaulle_birthplace,0.542,6.393,6.123,has_external_url,https://www.musee-lam.fr/en,https://en.wikivoyage.org/wiki/Lille
europe/poland/lodz,Łódź,Łódź,7,114,do,Łódź zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.7612,19.4124,Museum of Art (ms1),europe/poland/lodz/ms1,0.222,2.737,3.241,has_external_url,http://www.zoo.lodz.pl/,https://en.wikivoyage.org/wiki/%C5%81%C3%B3d%C5%BA
asia/india/maharashtra/thane,Thane,Thane,4,32,do,Tikuji-Ni-Wadi,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,19.237,72.9695,Kopineshwar Mandir,asia/india/maharashtra/thane/kopineshwar_temple,0.438,4.956,2.267,has_external_url,http://www.tikuji-ni-wadi.com,https://en.wikivoyage.org/wiki/Thane
europe/netherlands/hilversum,Hilversum,Hilversum,16,69,see,Costerustuin,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.22817,5.16071,AVRO Studios,europe/netherlands/hilversum/avro_studios,0.509,0.491,0.886,has_external_url,http://www.costerustuin.nl/,https://en.wikivoyage.org/wiki/Hilversum
asia/china/zhejiang/wenzhou,Wenzhou,Wenzhou,8,76,see,Taiping Temple,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,28.0191157528,120.6222279555,Taishun Covered Bridges,asia/china/zhejiang/wenzhou/taishun_covered_bridges,0.378,103.049,7.61,has_external_url,http://www.wztps.org/,https://en.wikivoyage.org/wiki/Wenzhou
