world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/newmexico/truth_or_consequences,Truth or Consequences,Truth or Consequences,6,10,see,Veterans Memorial Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.122290703517294,-107.26495295763016,Elephant Butte Lake State Park,northamerica/unitedstates/newmexico/truth_or_consequences/elephant_butte_lake,0.462,8.329,1.306,has_external_url,http://www.torcveteransmemorial.com/,https://en.wikivoyage.org/wiki/Truth_or_Consequences
northamerica/unitedstates/northcarolina/greensboro,Greensboro,Greensboro,15,40,see,Greensboro Science Center and the new Animal Discovery Zoological Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.13001,-79.83398,Greensboro Science Center,northamerica/unitedstates/northcarolina/greensboro/greensboro_science_center,0.549,2.027,7.412,has_external_url,http://greensboroscience.org/,https://en.wikivoyage.org/wiki/Greensboro
asia/japan/honshu/sendai,Sendai,Sendai,10,51,see,3M Sendai City Science Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.298996,140.8834,Tomizawa Site Museum (Underground Forest),asia/japan/honshu/sendai/tomizawa_underground_forest,0.531,10.006,3.69,has_external_url,http://www.kagakukan.sendai-c.ed.jp/,https://en.wikivoyage.org/wiki/Sendai
europe/russia/irkutsk,Irkutsk,Irkutsk,10,66,see,Trinity Church (Holy Trinity Church),0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.28547,104.27053,Church of the Epiphany,europe/russia/irkutsk/epiphany_church,0.398,0.602,0.752,has_external_url,http://irkipedia.ru/content/troickaya_cerkov,https://en.wikivoyage.org/wiki/Irkutsk
northamerica/mexico/islamujeres,Isla Mujeres,Isla Mujeres,9,31,do,Garafon Reef Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,21.205446,-86.716885,Tortugranja (Turtle Farm),northamerica/mexico/islamujeres/tortugranja,0.357,1.415,3.998,has_external_url,http://www.garrafon.com,https://en.wikivoyage.org/wiki/Isla_Mujeres
europe/hungary/sopron,Sopron,Sopron,9,234,do,Lővér adventure park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.66386,16.56085,Corvinus Restaurant,europe/hungary/sopron/corvinus_restaurant,0.41,2.971,3.351,has_external_url,http://www.loverkalandpark.hu/?sLang=en,https://en.wikivoyage.org/wiki/Sopron
northamerica/unitedstates/arizona/sedona,Sedona,Sedona,11,44,see,Sedona Heritage Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.879064,-111.761575,Elote Cafe,northamerica/unitedstates/arizona/sedona/elote_cafe,0.375,1.239,1.135,has_external_url,http://sedonamuseum.org/,https://en.wikivoyage.org/wiki/Sedona
europe/ukraine/kharkiv,Kharkiv,Kharkiv,13,157,see,Literature Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.0011,36.2457,Kharkiv Art Museum,europe/ukraine/kharkiv/kharkiv_art_museum,0.514,0.561,1.434,has_external_url,http://litme.com.ua/,https://en.wikivoyage.org/wiki/Kharkiv
asia/israel/eilat,Eilat,Eilat,13,35,do,SPNI's Eilat Hiking Division,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,29.50949,34.92076,Eilat City Museum,asia/israel/eilat/eilat_city_museum,0.4,5.63,6.149,has_external_url,http://teva.org.il/english/?CategoryID=190&ArticleID=103,https://en.wikivoyage.org/wiki/Eilat
northamerica/unitedstates/california/pacific_groove,Pacific Grove,Pacific Grove,5,12,see,Lover's Point Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.626369,-121.916282,Pacific Grove Museum of Natural History,northamerica/unitedstates/california/pacific_groove/pacific_grove_museum_of_natural_history,0.49,0.51,0.964,has_external_url,https://www.cityofpacificgrove.org/our_city/departments/recreation/parks_directory/lovers_point_park.php,https://en.wikivoyage.org/wiki/Pacific_Grove
europe/spain/spanishcostas/valencia,Valencia,Valencia,42,222,see,Museo de la Semana Santa Marinera,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.46316,-0.33193,Horchatería Santa Catalina,europe/spain/spanishcostas/valencia/horchateria_santa_catalina,0.51,3.908,3.878,has_external_url,http://www.semanasantamarinera.org/index.php/museo,https://en.wikivoyage.org/wiki/Valencia
northamerica/unitedstates/california/sanjose,San Jose,San Jose (California),6,114,see,Alum Rock Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.3977,-121.8,Eating Out,northamerica/unitedstates/california/sanjose/eating_out,0.25,11.01,10.531,has_external_url,https://www.sanjose.org/listings/alum-rock-park,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
northamerica/unitedstates/nevada/carsoncity,Carson City,Carson City,8,25,do,Washoe Lake State Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.245,-119.785,Nevada State Capitol,northamerica/unitedstates/nevada/carsoncity/nevada_state_capitol,0.476,9.13,8.884,has_external_url,http://parks.nv.gov/parks/washoe-lake,https://en.wikivoyage.org/wiki/Carson_City
australiaandpacific/australia/queensland/sunshinecoast,Sunshine Coast,Sunshine Coast,7,112,see,Landsborough Galleries,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-26.808386,152.963165,Noosa National Park,australiaandpacific/australia/queensland/sunshinecoast/noosa_national_park,0.341,49.437,21.453,has_external_url,https://www.facebook.com/Kingfisherartandframinggallery/,https://en.wikivoyage.org/wiki/Sunshine_Coast
northamerica/unitedstates/florida/northeastflorida/staugustine,St. Augustine,St. Augustine,11,75,see,Oldest House Museum Complex,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,29.888059,-81.309996,Lightner Museum,northamerica/unitedstates/florida/northeastflorida/staugustine/lightner_museum,0.476,0.531,0.819,has_external_url,https://www.saintaugustinehistoricalsociety.org/oldest-house-museum-complex/,https://en.wikivoyage.org/wiki/St._Augustine
europe/russia/irkutsk,Irkutsk,Irkutsk,10,66,see,Eksperimentary science museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.248975,104.272109,Irkutsk Regional Museum,europe/russia/irkutsk/regional_museum,0.462,4.209,4.495,has_external_url,http://experimentary.ru,https://en.wikivoyage.org/wiki/Irkutsk
northamerica/unitedstates/iowa/iowacity,Iowa City,Iowa City,16,48,do,City Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.674,-91.5367,Hickory Hill Park,northamerica/unitedstates/iowa/iowacity/hickory_hill_park,0.538,1.566,1.531,has_external_url,https://www.icgov.org/Home/Components/FacilityDirectory/FacilityDirectory/26/252,https://en.wikivoyage.org/wiki/Iowa_City
northamerica/canada/ontario/niagrafalls,Niagara Falls,Niagara Falls (Ontario),10,83,see,Dufferin Islands,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.0689,-79.0707,Clifton Hill,northamerica/canada/ontario/niagrafalls/clifton_hill,0.357,2.409,4.224,has_external_url,https://www.niagarafallstourism.com/play/outdoor-recreation/dufferin-islands/,https://en.wikivoyage.org/wiki/Niagara_Falls_%28Ontario%29
europe/netherlands/eindhoven,Eindhoven,Eindhoven,15,91,do,Parktheater,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.42915,5.48431,Piazza Centre,europe/netherlands/eindhoven/piazza,0.417,1.502,1.715,has_external_url,http://www.parktheater.nl,https://en.wikivoyage.org/wiki/Eindhoven
europe/poland/lodz,Łódź,Łódź,7,114,see,Botanical Garden,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.756389,19.406667,Manufaktura,europe/poland/lodz/manufaktura,0.296,3.877,3.802,has_external_url,http://www.botaniczny.lodz.pl/,https://en.wikivoyage.org/wiki/%C5%81%C3%B3d%C5%BA
europe/germany/bavaria/erlangen,Erlangen,Erlangen,6,167,see,Galerie im Treppenhaus,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.5943,11.0186,Friedrich-Alexander University,europe/germany/bavaria/erlangen/university_of_erlangen_nuremberg,0.308,1.072,2.755,has_external_url,http://www.galerie-treppenhaus.de/galerie,https://en.wikivoyage.org/wiki/Erlangen
