world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/illinois/springfield,Springfield,Springfield (Illinois),10,47,do,Knight's Action Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.7389,-89.6865,Lincoln Depot,northamerica/unitedstates/illinois/springfield/lincoln_depot,0.364,7.684,7.606,has_external_url,http://knightsactionpark.com/,https://en.wikivoyage.org/wiki/Springfield_%28Illinois%29
europe/ukraine/vinnista,Vinnytsia,Vinnytsia,7,92,see,Christ's Resurrection Church,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.23331,28.45392,Transfiguration Cathedral,europe/ukraine/vinnista/transfiguration_cathedral,0.491,1.551,1.037,has_external_url,https://eparhia.vn.ua/2021/07/01/hram-voskresinnya-hristovogo/,https://en.wikivoyage.org/wiki/Vinnytsia
asia/uzbekistan/tashkent,Tashkent,Tashkent,41,109,do,Musical Comedy Theatre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.2833,69.2071,Navoi Opera Theatre,asia/uzbekistan/tashkent/navoi_opera_theatre,0.537,6.117,6.795,has_external_url,http://operetta.uz/en/home/,https://en.wikivoyage.org/wiki/Tashkent
europe/unitedkingdom/england/south_east/gosport,Gosport,Gosport,5,11,see,Fort Brockhurst,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.8149,-1.1548,Fort Blockhouse & the Haslar Sea Wall,europe/unitedkingdom/england/south_east/gosport/fort_blockhouse,0.48,3.991,3.226,has_external_url,https://www.english-heritage.org.uk/visit/places/fort-brockhurst/,https://en.wikivoyage.org/wiki/Gosport
australiaandpacific/australia/queensland/cairns,Cairns,Cairns,10,45,do,RnR White Water Rafting,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-16.9386,145.75313,Reef Hotel Casino,australiaandpacific/australia/queensland/cairns/reef_hotel_casino,0.45,3.249,3.464,has_external_url,https://www.raft.com.au/,https://en.wikivoyage.org/wiki/Cairns
northamerica/unitedstates/michigan/annarbor,Ann Arbor,Ann Arbor,18,178,see,Ave Maria Fine Art Gallery,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.3179,-83.6828,The Marriage Plot,northamerica/unitedstates/michigan/annarbor/the_marriage_plot,0.41,,6.758,has_external_url,http://www.avemariaart.com,https://en.wikivoyage.org/wiki/Ann_Arbor
europe/germany/thuringia/naumburg,Naumburg,Naumburg,5,14,see,St. Peter and Paul Cathedral Naumburg,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.1545566,11.8017833,Naumburg Cathedral,europe/germany/thuringia/naumburg/naumburg_cathedral,0.527,0.473,0.609,has_external_url,http://www.naumburger-dom.de/,https://en.wikivoyage.org/wiki/Naumburg
northamerica/unitedstates/arizona/tucson,Tucson,Tucson,66,113,do,Funtasticks Family Fun Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.2878,-110.9692,Tucson Mountain Park,northamerica/unitedstates/arizona/tucson/tucson_mountain_pa,0.468,12.769,7.239,has_external_url,http://www.funtasticks.com/,https://en.wikivoyage.org/wiki/Tucson
northamerica/unitedstates/illinois/springfield,Springfield,Springfield (Illinois),10,47,do,The Muni,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.7215,-89.6363,Museum of Funeral Customs,northamerica/unitedstates/illinois/springfield/museum_of_funeral_customs,0.207,10.026,8.643,has_external_url,https://www.themuni.org/,https://en.wikivoyage.org/wiki/Springfield_%28Illinois%29
asia/thailand/pattaya,Pattaya,Pattaya,9,124,do,Art in Paradise,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,12.94801,100.8896,Walking Street,asia/thailand/pattaya/walking_street,0.414,3.2,1.302,has_external_url,http://www.artinparadise.co.th,https://en.wikivoyage.org/wiki/Pattaya
asia/japan/honshu/yokohama,Yokohama,Yokohama,7,98,see,Shōmyō Temple,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.344181,139.630392,Yamashita Park and the Waterfront,asia/japan/honshu/yokohama/yamashita_park,0.293,,11.806,has_external_url,http://www.city.yokohama.lg.jp/kyoiku/bunkazai/sekai/shoumyouji.html,https://en.wikivoyage.org/wiki/Yokohama
