world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/canada/britishcolumbia/lillooet,Lillooet,Lillooet,5,25,do,Fort Berens Winery,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.68874,-121.92075,Lillooet Museum and Visitor Centre,northamerica/canada/britishcolumbia/lillooet/lillooet_museum,0.308,1.186,1.079,has_external_url,https://www.fortberens.ca/,https://en.wikivoyage.org/wiki/Lillooet
asia/turkey/cappadocia/avanos,Avanos,Avanos,4,12,see,Güray Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.7105,34.8349,Sarihan Caravanserai,asia/turkey/cappadocia/avanos/sarihan_caravanserai,0.312,18.966,17.91,has_external_url,https://www.guraymuze.com/,https://en.wikivoyage.org/wiki/Avanos
europe/denmark/aarhus,Aarhus,Aarhus,12,232,do,Teatret Gruppe 38,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,56.16303,10.22755,Aarhus Theatre,europe/denmark/aarhus/aarhus_theatre,0.387,1.312,1.731,has_external_url,https://www.gruppe38.dk/en/,https://en.wikivoyage.org/wiki/Aarhus
europe/unitedkingdom/scotland/stirling,Stirling,Stirling,19,24,do,Blair Drummond Safari Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,56.1673,-4.0386,Mar's Wark,europe/unitedkingdom/scotland/stirling/mars_wark,0.389,7.788,8.462,has_external_url,https://www.blairdrummond.com,https://en.wikivoyage.org/wiki/Stirling
northamerica/unitedstates/minnesota/bloomington,Bloomington,Bloomington (Minnesota),7,22,do,Great Wolf Lodge,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.8611,-93.251,Mall of America,northamerica/unitedstates/minnesota/bloomington/mall_of_america,0.323,1.01,4.35,has_external_url,https://www.greatwolf.com/minnesota/waterpark-attractions/indoor-water-park,https://en.wikivoyage.org/wiki/Bloomington_%28Minnesota%29
northamerica/unitedstates/wisconsin/wausau,Wausau,Wausau,7,15,do,Wausau Woodchucks,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.9742,-89.65271,Duey and Julia Wright House,northamerica/unitedstates/wisconsin/wausau/duey_wright_house,0.364,3.627,2.561,has_external_url,https://northwoodsleague.com/wausau-woodchucks/,https://en.wikivoyage.org/wiki/Wausau
europe/croatia/krka_national_park_1,Krka National Park,Krka National Park,0,24,see,Lozovac,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.796403,15.968011,,,0.0,,13.649,has_external_url,http://atpsi.hr/hr/?page_id=421,https://en.wikivoyage.org/wiki/Krka_National_Park
europe/hungary/tapolca,Tapolca,Tapolca,4,7,see,Szigliget,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.8011,17.4332,Szent György-hegy,europe/hungary/tapolca/szent_gyorgy_hegy,0.308,5.648,9.017,has_external_url,http://www.szigliget.hu/main/,https://en.wikivoyage.org/wiki/Tapolca
northamerica/unitedstates/arizona/sedona,Sedona,Sedona,11,44,do,Devil's Bridge Trail,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.903223,-111.81396,Devil's Kitchen Sinkhole,northamerica/unitedstates/arizona/sedona/devil_s_kitchen_sinkhole,0.545,3.425,6.128,has_external_url,http://www.fs.usda.gov/recarea/coconino/recreation/hiking/recarea/?recid=55292&actid=50,https://en.wikivoyage.org/wiki/Sedona
asia/china/shaanxi/xian,Xi'an,Xi'an,27,73,see,General Zhang Xueliang's Official Residence,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.258689,108.963038,Yangling Mausoleum,asia/china/shaanxi/xian/yangling_mausoleum,0.361,20.685,1.14,has_external_url,http://www.xasb.net/,https://en.wikivoyage.org/wiki/Xi%27an
asia/china/guangdong/zhongshan,Zhongshan,Zhongshan,13,37,see,Xiangshan Commercial Culture Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,22.5247,113.36303,Foraminifera Sculpture Park,asia/china/guangdong/zhongshan/foraminifera_sculpture_park,0.452,8.112,3.155,has_external_url,https://www.zsmuseum.cn/museum-portal/wollaston/xssywhg,https://en.wikivoyage.org/wiki/Zhongshan
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,do,Rivelin Valley Nature Trail,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.3995,-1.5127,Kelham Island,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/kelham_island,0.3,2.858,3.509,has_external_url,https://www.welcometosheffield.co.uk/content/attractions/rivelin-valley-trail/,https://en.wikivoyage.org/wiki/Sheffield
northamerica/unitedstates/kansas/kansascity,Kansas City,Kansas City,16,127,see,Historic City Market,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.10913,-94.58215,Joe's Kansas City Bar-B-Que,northamerica/unitedstates/kansas/kansascity/joes_kansas_city_bbq,0.426,11.51,1.061,has_external_url,http://www.thecitymarket.org/,https://en.wikivoyage.org/wiki/Kansas_City
australiaandpacific/australia/northernterritory/darwin,Darwin,Darwin,22,61,do,East Point Reserve,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-12.407585,130.819611,The J Spot Cafe,australiaandpacific/australia/northernterritory/darwin/thejspotcafe,0.414,6.42,6.321,has_external_url,http://www.darwin.nt.gov.au/live/your-community/parks-and-reserves/east-point-reserve,https://en.wikivoyage.org/wiki/Darwin
northamerica/unitedstates/california/goldcountry/nevadacity,Nevada City,Nevada City,13,13,see,Scotts Flat Lake,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.2800468,-120.9305997,Ott's Assay Office,northamerica/unitedstates/california/goldcountry/nevadacity/otts_assay_office,0.471,7.554,7.828,has_external_url,https://www.nidwater.com/scotts-flat-lake,https://en.wikivoyage.org/wiki/Nevada_City
northamerica/unitedstates/newhampshire/hanover,Hanover,Hanover (New Hampshire),10,28,see,Montshire Museum of Science,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.700278,-72.305278,Hood Museum of Art,northamerica/unitedstates/newhampshire/hanover/hood_museum_of_art,0.533,1.397,1.312,has_external_url,http://www.montshire.org,https://en.wikivoyage.org/wiki/Hanover_%28New_Hampshire%29
europe/sweden/nora,Nora,Nora,2,13,see,Göthlinska gården,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,59.518319,15.041589,Nora Bergslags Veteran-Järnväg,europe/sweden/nora/museum_railway,0.499,0.501,2.182,has_external_url,http://www.visitnora.se/se--gora/besoksmal/gothlinska-garden.html,https://en.wikivoyage.org/wiki/Nora
europe/azerbaijan/baku,Baku,Baku,52,148,see,Alley of Honor,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.361667,49.820833,Palace of the Shirvanshahs,europe/azerbaijan/baku/palace_of_the_shirvanshahs,0.5,1.165,1.85,has_external_url,http://www.azerbaijan.az/_Sosiety/_HonoraryCemetery/_cemetery_e.html,https://en.wikivoyage.org/wiki/Baku
southamerica/suriname/paramaribo,Paramaribo,Paramaribo,34,54,see,Paramaribo Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,5.8479,-55.15991,Buddhist Temple Paramaribo,southamerica/suriname/paramaribo/javanese_temple_brahmavihara,0.5,1.043,2.669,has_external_url,http://www.paramaribozoo.com/,https://en.wikivoyage.org/wiki/Paramaribo
northamerica/unitedstates/ohio/dayton,Dayton,Dayton,13,51,see,SunWatch,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.7163,-84.2316,Dayton Arcade,northamerica/unitedstates/ohio/dayton/dayton_arcade,0.286,5.746,5.847,has_external_url,https://boonshoft.org/sunwatch-2/,https://en.wikivoyage.org/wiki/Dayton
northamerica/unitedstates/westvirginia/fayetteville,Fayetteville,Fayetteville (West Virginia),13,18,see,Babcock State Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.9883,-80.9439,Cathedral Café,northamerica/unitedstates/westvirginia/fayetteville/cathedral_cafe,0.323,15.793,15.951,has_external_url,http://www.babcocksp.com/,https://en.wikivoyage.org/wiki/Fayetteville_%28West_Virginia%29
europe/poland/katowice,Katowice,Katowice,12,77,do,Teatr Korez,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.2529,19.0226,Silesian Theatre,europe/poland/katowice/silesian_theatre,0.444,0.723,1.337,has_external_url,https://www.korez.art.pl/,https://en.wikivoyage.org/wiki/Katowice
asia/israel/haifa,Haifa,Haifa,31,47,see,Greif Miniature Model Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.77924,35.01583,National Maritime Museum,asia/israel/haifa/national_maritime_museum,0.5,6.949,4.725,has_external_url,https://www.greif-miniature-model-museum.com/english/,https://en.wikivoyage.org/wiki/Haifa
europe/germany/lowersaxony/east_frisian_islands/juist,Juist,Juist,7,10,see,Island Church Juist,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.677556,6.99765,Hauptstrand (Main Beach),europe/germany/lowersaxony/east_frisian_islands/juist/hauptstrand,0.466,0.534,0.167,has_external_url,http://inselkirche-juist.wir-e.de,https://en.wikivoyage.org/wiki/Juist
europe/unitedkingdom/england/south_east/guildford,Guildford,Guildford,17,84,do,Craggy Island,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.260016,-0.568242,Guildford Lido,europe/unitedkingdom/england/south_east/guildford/guildford_lido,0.296,2.348,2.736,has_external_url,https://www.craggy-island.com/,https://en.wikivoyage.org/wiki/Guildford
northamerica/unitedstates/arizona/sedona,Sedona,Sedona,11,44,do,Broken Arrow Trail,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.845552,-111.75687,Seven Sacred Pools,northamerica/unitedstates/arizona/sedona/seven_sacred_pools,0.389,5.627,2.625,has_external_url,http://www.fs.usda.gov/recarea/coconino/recreation/hiking/recarea/?recid=55250&actid=50,https://en.wikivoyage.org/wiki/Sedona
europe/ireland/limerick,Limerick,Limerick,15,43,see,Glenstal Abbey,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.6618,-8.3884,Medieval Quarter,europe/ireland/limerick/medieval_quarter,0.4,15.997,16.073,has_external_url,https://glenstal.com/abbey/,https://en.wikivoyage.org/wiki/Limerick
northamerica/canada/quebec/granby,Granby,Granby (Quebec),3,39,do,Lake Boivin's nature interpretation center,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.41523,-72.6867,Yamaska National Park,northamerica/canada/quebec/granby/yamaska_national_park,0.349,16.183,3.281,has_external_url,http://www.cinlb.org/,https://en.wikivoyage.org/wiki/Granby_%28Quebec%29
europe/italy/abruzzo/opi,Opi,Opi,4,6,see,Old beech trees of the park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.8206,13.7249,Chiesa di Santa Maria Assunta,europe/italy/abruzzo/opi/chiesa_di_santa_maria_assunta,0.308,9.72,9.733,has_external_url,http://www.parcoabruzzo.it/pagina.php?id=506,https://en.wikivoyage.org/wiki/Opi
asia/china/guizhou/zunyi,Zunyi,Zunyi,6,16,see,Zunyi Art Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,27.72331016876701,107.04109671393873,Zunyi Old Town,asia/china/guizhou/zunyi/zunyi_old_town,0.467,10.776,10.776,has_external_url,https://www.zysmsg.cn/,https://en.wikivoyage.org/wiki/Zunyi
northamerica/unitedstates/montana/great_falls,Great Falls,Great Falls (Montana),10,35,see,Children's Museum of Montana,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.50624,-111.32814,Paris Gibson Square Museum of Art,northamerica/unitedstates/montana/great_falls/paris_gibson_square,0.525,2.385,2.726,has_external_url,https://www.childrensmuseumofmontana.org/,https://en.wikivoyage.org/wiki/Great_Falls_%28Montana%29
europe/italy/umbria/perugia,Perugia,Perugia,12,44,see,Complesso templare di San Bevignate,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.1107,12.4089,Cattedrale di San Lorenzo,europe/italy/umbria/perugia/cattedrale_san_lorenzo,0.5,1.711,1.469,has_external_url,http://www.perugiacittamuseo.it/en/projects/templar-complex-of-san-bevignate/,https://en.wikivoyage.org/wiki/Perugia
northamerica/canada/ontario/hamilton,Hamilton,Hamilton (Ontario),18,97,do,Christie Lake Conservation Area,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.2785,-80.0291,Christ's Church Cathedral,northamerica/canada/ontario/hamilton/christ_church_cathedral,0.5,13.308,12.894,has_external_url,http://conservationhamilton.ca/conservation-areas-2/christie-lake/,https://en.wikivoyage.org/wiki/Hamilton_%28Ontario%29
northamerica/mexico/sanmigueldeallende,San Miguel de Allende,San Miguel de Allende,6,87,see,Another Face of Mexico Mask Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,20.91686,-100.73804,Sanctuary of Atotonilco,northamerica/mexico/sanmigueldeallende/sanctuary_of_atotonilco,0.351,11.333,0.658,has_external_url,http://www.maskmuseumsma.com/,https://en.wikivoyage.org/wiki/San_Miguel_de_Allende
europe/ukraine/kharkiv,Kharkiv,Kharkiv,13,157,see,Slavianskiy Bazar Exhibition center/Student Palace?,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.0065,36.24882,Annunciation Cathedral,europe/ukraine/kharkiv/annunciation_cathedral,0.417,2.518,2.026,has_external_url,http://www.vistavka.com,https://en.wikivoyage.org/wiki/Kharkiv
europe/greece/philippi,Philippi,Philippi,9,18,see,Lydia,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.02088,24.27681,Baptistery of Lydia,europe/greece/philippi/baptistery_of_lydia,0.417,1.907,1.037,has_external_url,http://www.religiousgreece.gr/web/guest/synchrona-proskynemata/-/asset_publisher/zHMDlQGqauWW/content/iero-proskynema-agias-lydias-philippesias,https://en.wikivoyage.org/wiki/Philippi
northamerica/unitedstates/california/mountainvieuw,Mountain View,Mountain View (California),4,49,do,Stevens Creek Trail,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.41014,-122.06743,Castro Street,northamerica/unitedstates/california/mountainvieuw/castro_street,0.438,2.472,2.696,has_external_url,http://www.stevenscreektrail.org/,https://en.wikivoyage.org/wiki/Mountain_View_%28California%29
europe/germany/bavaria/bayreuth,Bayreuth,Bayreuth,8,76,see,Museum of Agricultural Tools and Equipment,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.93133,11.54902,Kunstmuseum Bayreuth,europe/germany/bavaria/bayreuth/kunstmuseum_bayreuth,0.387,2.316,2.34,has_external_url,http://www.lettenhof.de/,https://en.wikivoyage.org/wiki/Bayreuth
asia/india/goa/panaji,Panaji,Panaji,18,49,do,Dr. Salim Ali Bird Sanctuary,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,15.5146,73.8575,Kala Academy,asia/india/goa/panaji/kala_academy,0.359,4.825,3.586,has_external_url,https://www.incredibleindia.org/content/incredible-india-v2/en/destinations/kochi/listicles/things-to-do/dr-salim-ali-bird-sanctuary.html,https://en.wikivoyage.org/wiki/Panaji
northamerica/unitedstates/northdakota/bismarck,Bismarck,Bismarck,5,33,do,Superslide Amusement Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.80169,-100.80657,Keelboat Park,northamerica/unitedstates/northdakota/bismarck/keelboat_park,0.474,1.677,1.888,has_external_url,https://www.ndsuperslide.com/,https://en.wikivoyage.org/wiki/Bismarck
