world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/denmark/fredrikshavn,Frederikshavn,Frederikshavn,7,44,do,FunHouse Frederikshavn,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,57.463,10.526,Fiskerklyngen,europe/denmark/fredrikshavn/fiskerklyngen,0.343,2.682,2.466,has_external_url,http://www.funhouse-frederikshavn.dk/,https://en.wikivoyage.org/wiki/Frederikshavn
asia/japan/honshu/yokohama,Yokohama,Yokohama,7,98,see,Yokohama History Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.5502,139.578,Yamashita Park and the Waterfront,asia/japan/honshu/yokohama/yamashita_park,0.346,,12.226,has_external_url,https://www.rekihaku.city.yokohama.jp/en/,https://en.wikivoyage.org/wiki/Yokohama
asia/philippines/iloilo_city,Iloilo City,Iloilo City,6,86,see,San Jose Church,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,10.693123,122.57431,Molo Church and Plaza,asia/philippines/iloilo_city/molo_church,0.444,3.489,3.293,has_external_url,https://www.facebook.com/SanJoseparishplacer/,https://en.wikivoyage.org/wiki/Iloilo_City
northamerica/mexico/juarez,Juarez,Juarez,4,23,do,The Tumbleweed Interactive Space,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,31.69005,-106.42811,Museo de la Revolución en la Frontera,northamerica/mexico/juarez/museo_revolucion,0.321,7.723,0.277,has_external_url,https://larodadora.org/,https://en.wikivoyage.org/wiki/Juarez
northamerica/unitedstates/arkansas/littlerock,Little Rock,Little Rock,14,93,see,Trapnall Hall,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.743056,-92.266389,MacArthur Park,northamerica/unitedstates/arkansas/littlerock/macarthur_park,0.525,0.475,2.158,has_external_url,https://www.arkansasheritage.com/old-state-house-museum/about/trapnall-hall,https://en.wikivoyage.org/wiki/Little_Rock
northamerica/jamaica/kingston,Kingston,Kingston (Jamaica),50,50,see,William Grant Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,17.9713,-76.7928,Emancipation Park,northamerica/jamaica/kingston/emancipation_park,0.514,3.482,2.859,has_external_url,http://homeandabroad.com,https://en.wikivoyage.org/wiki/Kingston_%28Jamaica%29
asia/indonesia/sumatra/medan,Medan,Medan,4,86,see,RS Murni Teguh Memorial,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,3.59,98.681,Tjong A Fie Mansion,asia/indonesia/sumatra/medan/tjong_a_fie_mansion,0.494,0.506,0.758,has_external_url,https://www.rsmurniteguh.com/,https://en.wikivoyage.org/wiki/Medan
northamerica/unitedstates/northdakota/williston,Williston,Williston (North Dakota),8,27,do,Spring Lake Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.201525,-103.618704,Black Gold Bar,northamerica/unitedstates/northdakota/williston/black_gold_bar,0.4,,6.118,has_external_url,http://www.willistonparks.com/,https://en.wikivoyage.org/wiki/Williston_%28North_Dakota%29
northamerica/canada/britishcolumbia/nanaimo,Nanaimo,Nanaimo,6,35,do,Nanaimo River Regional Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.07691,-123.87794,Nanaimo Museum,northamerica/canada/britishcolumbia/nanaimo/nanaimo_museum,0.439,10.874,10.618,has_external_url,https://www.rdn.bc.ca/nanaimo-river-regional-park,https://en.wikivoyage.org/wiki/Nanaimo
europe/italy/lombardia/lagodigarda/sirmione,Sirmione,Sirmione,5,10,see,Torre monumentale di San Martino della Battaglia,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.425193,10.602509,Terme di Sirmione,europe/italy/lombardia/lagodigarda/sirmione/terme_di_sirmione,0.338,6.913,4.866,has_external_url,http://www.solferinoesanmartino.it/index.php/en/san-martino-luoghi-musei-2/museo-sanmartino-en,https://en.wikivoyage.org/wiki/Sirmione
northamerica/canada/ontario/burlington,Burlington,Burlington (Ontario),16,45,see,Central Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.335916,-79.793503,Spencer Smith Park,northamerica/canada/ontario/burlington/spencer_smith_park,0.533,1.316,1.252,has_external_url,https://www.burlington.ca/en/modules/facilities/Detail.aspx?CategoryIds=63&FacilityTypeIds=&Keywords=&ScrollMap=true&id=c70b24b4-78b4-48eb-b54e-5ec87be288cb,https://en.wikivoyage.org/wiki/Burlington_%28Ontario%29
