world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/mexico/len,León,León (Mexico),5,35,see,Bullfighting Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,21.11807,-101.67017,Cathedral Basilica of Our Lady of the Light,northamerica/mexico/len/cathedral,0.241,1.395,1.397,has_external_url,http://www.panteontaurino.com.mx/,https://en.wikivoyage.org/wiki/Le%C3%B3n_%28Mexico%29
northamerica/canada/ontario/hamilton,Hamilton,Hamilton (Ontario),18,97,see,Gage Park Greenhouse,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.2417,-79.8287,James Street North,northamerica/canada/ontario/hamilton/james_street_north,0.421,4.035,3.918,has_external_url,https://www.hamilton.ca/attractions/culture/gage-park-greenhouse,https://en.wikivoyage.org/wiki/Hamilton_%28Ontario%29
europe/denmark/aarhus,Aarhus,Aarhus,12,232,see,Varna Palace,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,56.1248,10.2162,Aarhus Cathedral,europe/denmark/aarhus/aarhus_cathedral,0.357,3.578,2.763,has_external_url,http://www.varna.dk/,https://en.wikivoyage.org/wiki/Aarhus
asia/india/kerala/kollam,Kollam,Kollam,7,40,see,Infant Jesus Cathedral,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,8.884644,76.565856,Ashtamudi Lake,asia/india/kerala/kollam/ashtamudi_lake,0.278,2.771,2.739,has_external_url,http://www.infantjesuscathedraltangasseri.com,https://en.wikivoyage.org/wiki/Kollam
asia/philippines/iloilo_city,Iloilo City,Iloilo City,6,86,see,Museo Iloilo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,10.7028,122.56854,Iloilo River Esplanade,asia/philippines/iloilo_city/iloilo_river_esplanade,0.353,0.889,2.059,has_external_url,https://www.facebook.com/p/Museo-Iloilo-Official-100064925880593/,https://en.wikivoyage.org/wiki/Iloilo_City
northamerica/unitedstates/maryland/montgomerycounty/rockville,Rockville,Rockville,4,51,do,Cabin John Regional Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.033889,-77.148889,Beall–Dawson House,northamerica/unitedstates/maryland/montgomerycounty/rockville/beall_dawson_house,0.286,5.622,5.333,has_external_url,http://www.montgomeryparks.org/parks-and-trails/cabin-john-regional-park/,https://en.wikivoyage.org/wiki/Rockville
europe/hungary/szentendre,Szentendre,Szentendre,13,49,see,Szentendre Ferry pier for cars,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.6948,19.0894,Open-Air Ethnographic Museum (Skanzen),europe/hungary/szentendre/skanzen,0.345,2.158,3.168,has_external_url,http://www.szentendrekomp.hu,https://en.wikivoyage.org/wiki/Szentendre
europe/france/nord/lille,Lille,Lille,22,79,see,MUba Eugène Leroy,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.7233079,3.161811539,Braderie de Lille,europe/france/nord/lille/braderie_de_lille,0.452,11.64,11.874,has_external_url,http://www.muba-tourcoing.fr/,https://en.wikivoyage.org/wiki/Lille
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,see,Rochester Museum and Science Center,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.1526,-77.5875,Rochester Public Market,northamerica/unitedstates/newyorkstate/rochester/rochester_public_market,0.517,1.595,1.784,has_external_url,http://www.rmsc.org/,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,do,Lantern Theatre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.364839,-1.484836,Kelham Island,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/kelham_island,0.214,2.852,2.013,has_external_url,http://lanterntheatre.org.uk/,https://en.wikivoyage.org/wiki/Sheffield
northamerica/unitedstates/oregon/eugene,Eugene,Eugene,20,105,see,Wayne Morse Family Farm,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.0228,-123.099,University of Oregon,northamerica/unitedstates/oregon/eugene/university_of_oregon,0.419,3.026,3.097,has_external_url,https://www.eugene-or.gov/Facilities/Facility/Details/Wayne-Morse-Family-Farm-107,https://en.wikivoyage.org/wiki/Eugene
