world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/california/malibu,Malibu,Malibu,0,18,do,Malibu Lagoon,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.0333,-118.679,,,0.0,,9.325,has_external_url,https://www.parks.ca.gov/?page_id=835,https://en.wikivoyage.org/wiki/Malibu
southamerica/ecuador/guayaquil,Guayaquil,Guayaquil,15,26,do,El Lago Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-2.2157,-80.0957,Barrio Las Peñas,southamerica/ecuador/guayaquil/barriolaspeas,0.476,19.389,23.379,has_external_url,http://areasprotegidas.ambiente.gob.ec/es/areas-protegidas/%C3%A1rea-nacional-de-recreaci%C3%B3n-parque-lago,https://en.wikivoyage.org/wiki/Guayaquil
asia/india/andhrapradesh/visakhapatnam,Visakhapatnam,Visakhapatnam,11,44,see,Varaha Lakshmi Narasimha Temple,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,17.7664,83.2505,Lepakshi Emporium,asia/india/andhrapradesh/visakhapatnam/lepakshi_emporium,0.417,8.186,9.223,has_external_url,http://simhachalamdevasthanam.net/,https://en.wikivoyage.org/wiki/Visakhapatnam
northamerica/unitedstates/northdakota/fargo,Fargo,Fargo,5,66,do,Fargo Kids Play Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.819955,-96.881865,Plains Art Museum,northamerica/unitedstates/northdakota/fargo/plains_art_museum,0.513,9.301,9.462,has_external_url,https://fkpm.netlify.app/,https://en.wikivoyage.org/wiki/Fargo
asia/china/hainanisland/haikou,Haikou,Haikou,11,64,do,Changying Wonderland,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,19.98349196778205,110.19038030051128,Xiuying Fort,asia/china/hainanisland/haikou/xiuying_fort,0.438,13.173,6.998,has_external_url,http://www.changying100.com/,https://en.wikivoyage.org/wiki/Haikou
europe/hungary/kecskemet,Kecskemét,Kecskemét,12,106,see,Beerhouse,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.90242,19.6812,Bozsó Collection,europe/hungary/kecskemet/bozso_collection,0.333,1.362,1.0,has_external_url,http://www.nepiiparmuveszet.hu/,https://en.wikivoyage.org/wiki/Kecskem%C3%A9t
northamerica/canada/newfoundland/stjohns,St. John's,St. John's,9,76,see,Government House,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.5721,-52.7051,Water Street,northamerica/canada/newfoundland/stjohns/water_street,0.357,1.089,1.306,has_external_url,http://www.govhouse.nl.ca/,https://en.wikivoyage.org/wiki/St._John%27s
northamerica/unitedstates/iowa/desmoines,Des Moines,Des Moines,20,131,do,Hoyt Sherman Place,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.588611,-93.638333,Salisbury House and Gardens,northamerica/unitedstates/iowa/desmoines/salisbury_house,0.4,4.326,1.13,has_external_url,http://hoytsherman.org/,https://en.wikivoyage.org/wiki/Des_Moines
europe/greece/thessaloniki,Thessaloniki,Thessaloniki,37,92,do,Waterland,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.489526,23.02273,White Tower,europe/greece/thessaloniki/whitetower,0.4,16.464,18.003,has_external_url,http://www.waterland.gr/,https://en.wikivoyage.org/wiki/Thessaloniki
europe/spain/balearicislands/mallorca/calaratjada,Cala Ratjada,Cala Ratjada,5,6,see,Capdepera Castle,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.7044,3.4332,Castle of Capdepera,europe/spain/balearicislands/mallorca/calaratjada/castle_of_capdepera,0.514,1.494,2.413,has_external_url,https://www.capdeperacastell.com/,https://en.wikivoyage.org/wiki/Cala_Ratjada
southamerica/brazil/sao_luis,São Luís,São Luís,72,24,see,Parque Botânico da Vale,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-2.56677,-44.32527,Palácio dos Leões,southamerica/brazil/sao_luis/palacio_dos_leoes,0.486,5.062,5.238,has_external_url,http://www.vale.com/brasil/PT/initiatives/environmental-social/botanic-park-sl/Paginas/default.aspx,https://en.wikivoyage.org/wiki/S%C3%A3o_Lu%C3%ADs
