world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
australiaandpacific/australia/newsouthwales/portmacquarie,Port Macquarie,Port Macquarie,12,22,see,Roto House,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-31.4424,152.9192,Lighthouse Beach,australiaandpacific/australia/newsouthwales/portmacquarie/lighthouse_beach,0.462,2.466,1.619,has_external_url,http://www.nationalparks.nsw.gov.au/things-to-do/historic-buildings-places/Roto-House#_=_,https://en.wikivoyage.org/wiki/Port_Macquarie
europe/finland/kokkola,Kokkola,Kokkola,6,19,see,Kaarlela Church,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,63.8274,23.1295,Ohtakari Beach,europe/finland/kokkola/ohtakari_beach,0.414,9.484,1.317,has_external_url,http://www.kokkolanseurakuntayhtyma.fi/ylapalkin-linkit/briefly_in_english/medieval_church_of_kaarlela,https://en.wikivoyage.org/wiki/Kokkola
europe/finland/rovaniemi,Rovaniemi,Rovaniemi,8,183,see,Somonen Nature Church,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,66.4691,26.0922,Snowmobile Safaris,europe/finland/rovaniemi/snowmobile_safari,0.359,16.477,16.477,has_external_url,https://www.rovaniemenseurakunta.fi/kirkot-ja-tilat/somosen-luontokirkko,https://en.wikivoyage.org/wiki/Rovaniemi
europe/greece/poros,Poros,Poros,3,42,do,Monastery Beach,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.50496,23.483604,Sanctuary of Poseidon,europe/greece/poros/sanctuary_of_poseidon,0.333,1.567,2.551,has_external_url,http://www.pocket-guide.gr/Beaches/Attica/Poros/The_Monastery-44,https://en.wikivoyage.org/wiki/Poros
europe/hungary/mor,Mór,Mór,5,5,see,Fehérvárcsurgó,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.29,18.269,Battle of Mór Memorial,europe/hungary/mor/battle_of_mor_memorial,0.286,12.411,10.178,has_external_url,http://www.fehervarcsurgo.hu/hirek,https://en.wikivoyage.org/wiki/M%C3%B3r
northamerica/unitedstates/arizona/phoenix,Phoenix,Phoenix,54,145,do,Piestewa Peak,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.54767,-112.02109,Papago Park,northamerica/unitedstates/arizona/phoenix/papago_park,0.5,12.494,12.081,has_external_url,https://www.phoenix.gov/parks/trails/locations/piestewa-peak,https://en.wikivoyage.org/wiki/Phoenix
europe/spain/galicia/lugo,Lugo,Lugo,8,13,see,Museo Interactivo de Historia de Lugo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.0237,-7.5605,Cathedral of Lugo,europe/spain/galicia/lugo/cathedral,0.458,1.317,1.341,has_external_url,http://www.lugo.es/ws/mihl/index.jsp,https://en.wikivoyage.org/wiki/Lugo
asia/southkorea/dae_gu,Daegu,Daegu,7,73,see,Daegu Chimaek Festival,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.849231,128.55909,Daegu National Museum,asia/southkorea/dae_gu/daegu_national_museum,0.512,4.181,4.54,has_external_url,https://www.chimacfestival.com/,https://en.wikivoyage.org/wiki/Daegu
northamerica/unitedstates/missouri/branson,Branson,Branson,10,28,see,Dogwood Canyon Nature Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.53066,-93.46147,Hollywood Wax Museum,northamerica/unitedstates/missouri/branson/hollywood_wax_museum,0.435,20.322,17.663,has_external_url,https://dogwoodcanyon.org/,https://en.wikivoyage.org/wiki/Branson
southamerica/brazil/recife,Recife,Recife,34,154,see,Abolition Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-8.05686,-34.90901,Boa Viagem,southamerica/brazil/recife/boa_viagem,0.385,7.234,2.67,has_external_url,http://museudaabolicao.museus.gov.br/,https://en.wikivoyage.org/wiki/Recife
northamerica/canada/quebec/quebeccity,Québec City,Quebec City,39,125,see,Parc du Bois-de-Coulonge,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.788889,-71.24,L'Ardoise,northamerica/canada/quebec/quebeccity/lardoise,0.444,3.935,3.663,has_external_url,https://www.capitale.gouv.qc.ca/parcs-et-places-publiques/parcs/parc-du-bois-de-coulonge,https://en.wikivoyage.org/wiki/Quebec_City
