world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/delaware/dover,Dover,Dover (Delaware),9,52,do,Killens Pond Water Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.9877,-75.542,Silver Lake Park,northamerica/unitedstates/delaware/dover/silver_lake,0.462,20.983,19.016,has_external_url,https://destateparks.com/GoPlay/KillensPondWaterPark,https://en.wikivoyage.org/wiki/Dover_%28Delaware%29
asia/japan/honshu/himeji,Himeji,Himeji,14,23,see,Japan Toy Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.907444,134.745389,Himeji City Museum of Art,asia/japan/honshu/himeji/himeji_city_museum_of_art,0.537,8.678,11.608,has_external_url,https://japan-toy-museum.org/,https://en.wikivoyage.org/wiki/Himeji
northamerica/canada/britishcolumbia/northvancouver,North Vancouver,North Vancouver,15,80,see,Capilano Fish Hatchery,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.35616,-123.11047,Capilano Suspension Bridge,northamerica/canada/britishcolumbia/northvancouver/capilano_suspension_bridge,0.5,1.507,4.761,has_external_url,https://www.pac.dfo-mpo.gc.ca/sep-pmvs/hatcheries-ecloseries/capilano-eng.html,https://en.wikivoyage.org/wiki/North_Vancouver
northamerica/unitedstates/california/orangecounty/lagunaniguel,Laguna Niguel,Laguna Niguel,4,9,see,Niguel Botanical Preserve,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.531096,-117.710316,Laguna Niguel Regional Park and Lake,northamerica/unitedstates/california/orangecounty/lagunaniguel/laguna_niguel_regional_park,0.459,1.818,0.987,has_external_url,http://niguelbotanicalpreserve.org/,https://en.wikivoyage.org/wiki/Laguna_Niguel
northamerica/unitedstates/michigan/grandrapids,Grand Rapids,Grand Rapids,0,52,do,Actors' Theatre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.96519,-85.66414,,,0.0,,0.379,has_external_url,https://actorstheatregrandrapids.org/,https://en.wikivoyage.org/wiki/Grand_Rapids
asia/palestinianauthority/ramallah,Ramallah,Ramallah,5,44,see,Dar Zahran Heritage Building,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,31.90505,35.196697,Al-Kasaba Theatre and Cinematheque,asia/palestinianauthority/ramallah/al_kasaba_theatre,0.419,0.737,0.648,has_external_url,http://www.darzahran.ps/,https://en.wikivoyage.org/wiki/Ramallah
europe/finland/rovaniemi,Rovaniemi,Rovaniemi,8,183,see,Sukulanrakka Giant's Kettles,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,66.4,25.4632,Santa Claus Village,europe/finland/rovaniemi/santa_claus_village,0.383,23.343,16.46,has_external_url,https://www.hiidenkirnut.com/?lang=2,https://en.wikivoyage.org/wiki/Rovaniemi
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/scarborough,Scarborough,Scarborough,7,25,do,North Yorkshire Water Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.226,-0.485,Stephen Joseph Theatre,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/scarborough/stephen_joseph_theatre,0.25,7.953,8.272,has_external_url,https://www.northyorkshirewaterpark.co.uk/,https://en.wikivoyage.org/wiki/Scarborough
europe/russia/murmansk,Murmansk,Murmansk,13,21,see,Monument to Waiting Women,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,68.999811,33.064288,Alyosha Monument,europe/russia/murmansk/alyosha_monument,0.39,0.803,3.265,has_external_url,https://tour.murman.ru/dostoprimechatelnosti/9-dostoprimechatelnosti-goroda-murmanska/143-pamyatnik-zhdushchaya,https://en.wikivoyage.org/wiki/Murmansk
europe/spain/aragon/zaragoza,Zaragoza,Zaragoza,12,57,see,River Aquarium,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.66918,-0.89865,Aljafería Palace,europe/spain/aragon/zaragoza/aljaferia_palace,0.357,1.384,2.399,has_external_url,http://www.acuariodezaragoza.com/,https://en.wikivoyage.org/wiki/Zaragoza
europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/derby,Derby,Derby,16,69,see,Banks Mill Studios,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.926724,-1.486166,Derby Silk Mill,europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/derby/derby_silk_mill,0.424,0.61,0.749,has_external_url,https://www.banksmill.co.uk,https://en.wikivoyage.org/wiki/Derby
europe/romania/ploiesti,Ploiești,Ploiești,4,57,do,TRQZ Lake,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.8025,26.05,Halele Centrale,europe/romania/ploiesti/halele_centrale,0.333,15.563,15.622,has_external_url,https://www.facebook.com/TRQZlake/,https://en.wikivoyage.org/wiki/Ploie%C8%99ti
asia/india/tamilnadu/madurai,Madurai,Madurai,14,28,see,Kazimar Big Mosque and Maqbara,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,9.91275,78.1142,Famous Jigarthanda,asia/india/tamilnadu/madurai/famous_jigarthanda,0.375,1.218,1.486,has_external_url,http://www.maqbara.com,https://en.wikivoyage.org/wiki/Madurai
northamerica/unitedstates/oklahoma/sapulpa,Sapulpa,Sapulpa,9,6,see,Heart of Route 66 Auto Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.99536,-96.12994,Sapulpa Trolley and Rail Museum,northamerica/unitedstates/oklahoma/sapulpa/trolley_rail_museum,0.467,2.142,2.319,has_external_url,http://heartofroute66.org/,https://en.wikivoyage.org/wiki/Sapulpa
northamerica/unitedstates/westvirginia/wheeling,Wheeling,Wheeling,6,34,see,National Imperial Glass Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.011389,-80.746944,Capitol Theatre,northamerica/unitedstates/westvirginia/wheeling/capitol_theatre,0.356,6.323,6.256,has_external_url,https://imperialglass.org/museum/,https://en.wikivoyage.org/wiki/Wheeling
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,see,Harrison Center for the Arts,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.7879535,-86.1534807,Benjamin Harrison Presidential Site,northamerica/unitedstates/indiana/indianapolis/benjamin_harrison_home,0.475,0.555,2.225,has_external_url,http://www.harrisoncenter.org/,https://en.wikivoyage.org/wiki/Indianapolis
northamerica/unitedstates/northcarolina/winstonsalem,Winston-Salem,Winston-Salem,14,38,see,Kaleideum North,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.18336564269561,-80.28045383849765,Reynolda House Museum of American Art,northamerica/unitedstates/northcarolina/winstonsalem/reynolda_house,0.346,5.594,9.849,has_external_url,https://kaleideum.org/,https://en.wikivoyage.org/wiki/Winston-Salem
australiaandpacific/newzealand/north_island/hawkes_bay/wairoa,Wairoa,Wairoa,5,13,see,Wairoa Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-39.0334,177.4204,Mahia Peninsula,australiaandpacific/newzealand/north_island/hawkes_bay/wairoa/mahia_peninsula,0.429,46.675,0.885,has_external_url,http://www.wairoadc.govt.nz/our-district/wairoa-museum/,https://en.wikivoyage.org/wiki/Wairoa
asia/thailand/kanchanaburi,Kanchanaburi,Kanchanaburi,7,41,see,LHM Motorcycle Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,13.963655,99.74415,JEATH War Museum,asia/thailand/kanchanaburi/jeathwarmuseum,0.432,21.466,23.293,has_external_url,http://www.facebook.com/LHMmuseum,https://en.wikivoyage.org/wiki/Kanchanaburi
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,see,Cholera Monument,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.376,-1.4592,Bishop's House,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/bishopshouse,0.4,2.687,0.897,has_external_url,https://www.sheffield.gov.uk/parks-sport-recreation/cholera-monument-clay-wood,https://en.wikivoyage.org/wiki/Sheffield
asia/kazakhstan/astana,Astana,Astana,26,82,see,Museum of the First President of the Republic of Kazakhstan,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.1663169,71.4187769,Astana Central Park,asia/kazakhstan/astana/central_park,0.532,0.468,4.319,has_external_url,http://tour.presidentlibrary.kz/,https://en.wikivoyage.org/wiki/Astana
asia/philippines/baguio,Baguio,Baguio,14,55,see,Museo Kordilyera,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,16.40576,120.59777,Baguio Cathedral,asia/philippines/baguio/baguio_cathedral,0.375,0.775,0.429,has_external_url,https://museokordilyera.upb.edu.ph/,https://en.wikivoyage.org/wiki/Baguio
europe/hungary/tapolca,Tapolca,Tapolca,4,7,see,Gyulakeszi,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.8678,17.4808,Tapolca Cave Lake,europe/hungary/tapolca/cave_lake,0.296,3.511,3.555,has_external_url,http://www.gyulakeszi.hu/,https://en.wikivoyage.org/wiki/Tapolca
