world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/estonia/tallinn,Tallinn,Tallinn,57,163,do,The Estonian Song Celebration,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,59.44455,24.80651,Estonian Open Air Museum,europe/estonia/tallinn/open_air_museum,0.49,9.198,2.9,has_external_url,http://laulupidu.ee,https://en.wikivoyage.org/wiki/Tallinn
northamerica/unitedstates/washington/olympia,Olympia,Olympia (Washington),12,29,see,Bigelow House Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.049847,-122.890983,Hands On Children's Museum,northamerica/unitedstates/washington/olympia/hands_on_childrens_museum,0.435,1.495,0.609,has_external_url,https://olympiahistory.org/visitor-information/,https://en.wikivoyage.org/wiki/Olympia_%28Washington%29
northamerica/unitedstates/washington/bellingham,Bellingham,Bellingham (Washington),17,65,see,Roeder Home,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.7661,-122.4792,Pickett House,northamerica/unitedstates/washington/bellingham/pickett_house,0.417,1.205,1.301,has_external_url,https://www.co.whatcom.wa.us/3563/Roeder-Home,https://en.wikivoyage.org/wiki/Bellingham_%28Washington%29
europe/france/midi/cotedazur/marseille,Marseille,Marseille,51,104,do,CEPAC Silo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.310533,5.366581,Palais des Sports,europe/france/midi/cotedazur/marseille/palaisdessports,0.435,3.902,1.618,has_external_url,http://www.cepacsilo-marseille.fr/,https://en.wikivoyage.org/wiki/Marseille
northamerica/unitedstates/nevada/carsoncity,Carson City,Carson City,8,25,do,Fuji Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.115271,-119.777397,Garibaldi's,northamerica/unitedstates/nevada/carsoncity/garibaldis,0.2,,5.747,has_external_url,https://www.carson.org/government/departments-g-z/parks-recreation-open-space/parks-and-places/parks-and-open-spaces/fairgrounds-fuji-park/fuji-park,https://en.wikivoyage.org/wiki/Carson_City
europe/hungary/sopron,Sopron,Sopron,9,234,do,Outdoor climbing wall,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.67911,16.58065,Széchenyi Square,europe/hungary/sopron/szechenyi_square,0.462,0.538,1.331,has_external_url,http://www.summitsport.hu/en,https://en.wikivoyage.org/wiki/Sopron
northamerica/unitedstates/virginia/lynchburg,Lynchburg,Lynchburg,6,54,do,Hill City AquaZoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.36506,-79.17836,Old City Cemetery,northamerica/unitedstates/virginia/lynchburg/old_city_cemetery,0.412,5.63,6.285,has_external_url,https://www.hillcityaquazoo.com/,https://en.wikivoyage.org/wiki/Lynchburg
northamerica/unitedstates/ohio/sandusky,Sandusky,Sandusky,15,38,do,Castaway Bay,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.4419,-82.6771,Cedar Point Beach,northamerica/unitedstates/ohio/sandusky/cedar_point_beach,0.414,3.739,2.683,has_external_url,http://www.sixflags.com/castawaybay,https://en.wikivoyage.org/wiki/Sandusky
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,do,Downstairs Cabaret Theatre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.1591,-77.5996,Strong National Museum of Play,northamerica/unitedstates/newyorkstate/rochester/strong_national_museum_of_play,0.482,0.518,0.796,has_external_url,http://www.downstairscabaret.com,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29
europe/austria/innsbruck,Innsbruck,Innsbruck,11,70,see,Armoury,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.27077,11.40749,Stadtturm,europe/austria/innsbruck/stadtturm,0.375,1.076,1.259,has_external_url,http://www.tiroler-landesmuseen.at,https://en.wikivoyage.org/wiki/Innsbruck
europe/hungary/satoraljaujhely,Sátoraljaújhely,Sátoraljaújhely,4,94,see,Prison Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.40015,21.65324,Main Square (Kossuth tér),europe/hungary/satoraljaujhely/main_square,0.523,0.477,0.499,has_external_url,https://bv.gov.hu/hu/bortonmuzeum,https://en.wikivoyage.org/wiki/S%C3%A1toralja%C3%BAjhely
