world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/russia/irkutsk,Irkutsk,Irkutsk,10,66,see,Transfiguration Church,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.28694,104.30295,Yunosti Island,europe/russia/irkutsk/yunosti_island,0.548,0.452,1.591,has_external_url,http://preobrazhensky.prihod.ru/index,https://en.wikivoyage.org/wiki/Irkutsk
europe/ukraine/kyiv,Kyiv,Kyiv,52,205,see,Kyiv Fortress also known as the Pechersk Fortress,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.434444,30.527778,Kyiv Pechersk Lavra,europe/ukraine/kyiv/kyiv_pechersk_lavra,0.469,2.112,1.749,has_external_url,https://www.kyiv-fortress.org.ua/?lang=en,https://en.wikivoyage.org/wiki/Kyiv
northamerica/mexico/morelia,Morelia,Morelia,15,45,see,Benito Juarez Zoological Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,19.6845,-101.1949,Museo Regional Michoacano,northamerica/mexico/morelia/museo_michoacano,0.407,2.009,7.809,has_external_url,http://www.zoomorelia.michoacan.gob.mx/,https://en.wikivoyage.org/wiki/Morelia
europe/czechrepublic/ceskykrumlov,Český Krumlov,Český Krumlov,9,39,see,Technical Monument - Graphite Mine,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.81701,14.30446,Na Louži,europe/czechrepublic/ceskykrumlov/na_louzi,0.35,1.063,1.05,has_external_url,http://www.grafitovydul.cz/,https://en.wikivoyage.org/wiki/%C4%8Cesk%C3%BD_Krumlov
europe/spain/centralspain/zamora,Zamora,Zamora (Spain),5,28,see,Moreruela Abbey,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.8167,-5.7333,Zamora Cathedral,europe/spain/centralspain/zamora/zamora_cathedral,0.452,22.573,22.641,has_external_url,https://www.turismocastillayleon.com/es/patrimonio-cultura/santa-maria-moreruela,https://en.wikivoyage.org/wiki/Zamora_%28Spain%29
europe/ireland/waterford,Waterford,Waterford,6,48,do,Garter Lane Arts Centre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.2619,-7.1143,Waterford Crystal Visitor Centre,europe/ireland/waterford/waterford_crystal,0.473,0.723,0.191,has_external_url,https://garterlane.ie/,https://en.wikivoyage.org/wiki/Waterford
asia/china/hunan/zhuzhou,Zhuzhou,Zhuzhou,4,48,do,Zhuzhou Fantawild Dreamland,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,27.98423,113.190505,Zhuzhou Television Tower,asia/china/hunan/zhuzhou/zhuzhou_television_tower,0.471,19.62,16.525,has_external_url,https://zhuzhou.fangte.com/dreamland/,https://en.wikivoyage.org/wiki/Zhuzhou
australiaandpacific/australia/queensland/sunshinecoast,Sunshine Coast,Sunshine Coast,7,112,do,Maroochy Wetlands Sanctuary,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-26.608258,153.054758,Noosa National Park,australiaandpacific/australia/queensland/sunshinecoast/noosa_national_park,0.348,25.553,6.41,has_external_url,https://www.sunshinecoast.qld.gov.au/Experience-Sunshine-Coast/Beaches-and-Parks/Maroochy-Wetlands-Sanctuary,https://en.wikivoyage.org/wiki/Sunshine_Coast
northamerica/unitedstates/ohio/kent,Kent,Kent (Ohio),8,75,see,The MuseLab,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.1466,-81.34245,Ray's Place,northamerica/unitedstates/ohio/kent/rays_place,0.333,1.438,1.515,has_external_url,https://www.kent.edu/iSchool/muselab,https://en.wikivoyage.org/wiki/Kent_%28Ohio%29
europe/unitedkingdom/england/birmingham_and_west_midlands/staffordshire/wolverhampton,Wolverhampton,Wolverhampton,13,19,see,West Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.589667,-2.139778,Whitmore Reans,europe/unitedkingdom/england/birmingham_and_west_midlands/staffordshire/wolverhampton/whitmore_reans,0.495,0.505,0.989,has_external_url,http://www.wolverhampton.gov.uk/parks,https://en.wikivoyage.org/wiki/Wolverhampton
europe/hungary/gyor,Győr,Győr,13,201,see,Holy Spirit Church,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.6621,17.6394,Győr Cathedral,europe/hungary/gyor/gyor_cathedral,0.438,2.97,2.41,has_external_url,http://szentlelektemplom.hu/,https://en.wikivoyage.org/wiki/Gy%C5%91r
europe/unitedkingdom/scotland/dundee,Dundee,Dundee,15,50,see,Dundee Museum of Transport,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,56.4667,-2.9494,Dundee Contemporary Arts,europe/unitedkingdom/scotland/dundee/dca,0.52,1.891,1.452,has_external_url,https://www.dmoft.co.uk/,https://en.wikivoyage.org/wiki/Dundee
asia/india/maharashtra/panchgani,Panchgani,Panchgani,9,8,do,Velocity Entertainmentz,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,17.9246,73.7529,Sydney Point,asia/india/maharashtra/panchgani/sydney_point,0.343,3.749,4.906,has_external_url,http://www.velocityentertainmentz.com/,https://en.wikivoyage.org/wiki/Panchgani
northamerica/unitedstates/florida/titusville,Titusville,Titusville (Florida),10,20,see,Valiant Air Command Warbird Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,28.5217,-80.7943,American Space Museum,northamerica/unitedstates/florida/titusville/american_space_museum,0.509,10.327,10.147,has_external_url,http://www.valiantaircommand.com,https://en.wikivoyage.org/wiki/Titusville_%28Florida%29
europe/greece/naxos,Naxos,Naxos,24,30,see,Temple of Dionysus,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.077694,25.38075,Temple of Demeter at Sangri,europe/greece/naxos/temple_of_demeter,0.533,5.189,2.909,has_external_url,http://odysseus.culture.gr/h/3/eh351.jsp?obj_id=2614,https://en.wikivoyage.org/wiki/Naxos
asia/china/guangdong/meizhou,Meizhou,Meizhou,5,11,see,Temple of the Thousand Buddha Pagoda,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,24.30814,116.13705,Hakka Museum of China,asia/china/guangdong/meizhou/hakka_museum,0.34,2.042,2.042,has_external_url,http://www.qianfotasi.com/,https://en.wikivoyage.org/wiki/Meizhou
northamerica/unitedstates/california/sanjose,San Jose,San Jose (California),6,114,see,Japanese Friendship Garden,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.322222,-121.861111,Henry's Hi-Life,northamerica/unitedstates/california/sanjose/henrys_hilife,0.341,3.595,3.033,has_external_url,https://www.sanjose.org/listings/japanese-friendship-garden,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
europe/latvia/ventspils,Ventspils,Ventspils,12,26,see,Senču putekļi (museum),0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,57.373278,21.571222,Boats of the Sun Fountain,europe/latvia/ventspils/boats_of_the_sun,0.353,2.491,1.958,has_external_url,http://muzejs.ventspils.lv/en/h-dorbe-memorial-museum/,https://en.wikivoyage.org/wiki/Ventspils
