world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/canada/britishcolumbia/vancouver/coquitlam,Coquitlam,Coquitlam,9,30,see,Como Lake Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.2604,-122.8583,Town Centre Park,northamerica/canada/britishcolumbia/vancouver/coquitlam/town_centre_park,0.533,6.049,5.48,has_external_url,https://www.coquitlam.ca/Facilities/Facility/Details/Como-Lake-Park-26,https://en.wikivoyage.org/wiki/Coquitlam
australiaandpacific/australia/queensland/gympie,Gympie,Gympie,11,5,see,Woodworks Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-26.163642,152.639948,Gympie Gold Mining and Historical Museum,australiaandpacific/australia/queensland/gympie/gold_mining_museum,0.393,5.293,3.554,has_external_url,https://www.woodworksmuseum.com.au/,https://en.wikivoyage.org/wiki/Gympie
northamerica/canada/britishcolumbia/delta,Delta,Delta (British Columbia),2,23,see,Delta Nature Reserve,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.1433,-122.9291,George C. Reifel Migratory Bird Sanctuary,northamerica/canada/britishcolumbia/delta/reifel_bird_sanctuary,0.267,17.948,11.424,has_external_url,https://metrovancouver.org/services/regional-parks/park/delta-nature-reserve,https://en.wikivoyage.org/wiki/Delta_%28British_Columbia%29
northamerica/unitedstates/northcarolina/raleigh,Raleigh,Raleigh,14,77,do,Martin Marietta Center for the Performing Arts,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.7716,-78.6396,42nd Street Oyster Bar,northamerica/unitedstates/northcarolina/raleigh/42nd_street_oyster_bar,0.375,0.701,0.979,has_external_url,https://www.martinmariettacenter.com/,https://en.wikivoyage.org/wiki/Raleigh
asia/china/guizhou/guiyang,Guiyang,Guiyang,9,25,see,Tianhe Lake,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,26.445,106.57666,Qianming Temple,asia/china/guizhou/guiyang/qianming_temple,0.385,21.12,19.846,has_external_url,http://www.gztht.com,https://en.wikivoyage.org/wiki/Guiyang
northamerica/unitedstates/texas/amarillo,Amarillo,Amarillo,8,26,see,Amarillo Museum of Art,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.1892,-101.845,Panhandle-Plains Historical Museum,northamerica/unitedstates/texas/amarillo/panhandle_plains_museum,0.429,24.539,2.366,has_external_url,https://www.amoa.org/,https://en.wikivoyage.org/wiki/Amarillo
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/salisbury,Salisbury,Salisbury (England),11,35,see,Old Sarum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.091939,-1.801509,The Salisbury Museum,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/salisbury/the_salisbury_museum,0.4,3.053,2.579,has_external_url,https://www.english-heritage.org.uk/visit/places/old-sarum/,https://en.wikivoyage.org/wiki/Salisbury_%28England%29
northamerica/unitedstates/california/orangecounty/irvine,Irvine,Irvine,9,52,see,Northwood Gratitude and Honor Memorial,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.7102,-117.768,William R. Mason Regional Park,northamerica/unitedstates/california/orangecounty/irvine/william_mason_park,0.358,8.436,6.016,has_external_url,https://northwoodmemorial.com/,https://en.wikivoyage.org/wiki/Irvine
europe/austria/melk,Melk,Melk,5,24,see,Pilgrimage Church of Maria Langegg,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.32196,15.45183,Wachau Cycle Route,europe/austria/melk/wachau_cycle_route,0.269,13.545,13.536,has_external_url,http://maria-langegg.kirche.at/en/html/1/0.html,https://en.wikivoyage.org/wiki/Melk
europe/finland/kuopio,Kuopio,Kuopio,6,104,see,The Orthodox Church Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,62.8988,27.6664,Kuopio Museum,europe/finland/kuopio/kuopio_museum,0.457,1.272,0.929,has_external_url,http://www.ortodoksinenkirkkomuseo.fi/en/,https://en.wikivoyage.org/wiki/Kuopio
northamerica/unitedstates/newjersey/longbeachisland,Long Beach Island,Long Beach Island,0,68,do,Fantasy Island Amusement Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.5684,-74.2378,,,0.0,,8.642,has_external_url,https://fantasyislandlbi.com,https://en.wikivoyage.org/wiki/Long_Beach_Island
europe/latvia/valka,Valka,Valka,0,10,see,Valka Local History Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,57.7683,26.0059,,,0.0,,0.973,has_external_url,http://muzejs.valka.lv/,https://en.wikivoyage.org/wiki/Valka
europe/ukraine/donetsk,Donetsk,Donetsk,12,124,do,Glade of fairy-tales,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.02361,37.81356,Donbass Palace Restaurant,europe/ukraine/donetsk/donbass_palace_restaurant,0.356,1.462,1.168,has_external_url,http://annet.dn.ua/donetsk/polyana-skazok/,https://en.wikivoyage.org/wiki/Donetsk
europe/belgium/ostende,Ostende,Ostend,2,26,see,Openluchtmuseum Atlantikwall,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.20065,2.84716,Promenade Albert I,europe/belgium/ostende/promenade,0.391,5.833,5.774,has_external_url,https://www.raversyde.be/en/atlantikwall-raversyde,https://en.wikivoyage.org/wiki/Ostend
europe/romania/bucharest,Bucharest,Bucharest,11,139,see,All Saints' Antim Monastery,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.42629,26.09402,Stavropoleos Monastery,europe/romania/bucharest/stavropoleos_monastery,0.542,0.721,1.29,has_external_url,http://manastireaantim.ro,https://en.wikivoyage.org/wiki/Bucharest
europe/andorra/andorralavella,Andorra la Vella,Andorra la Vella,4,44,see,L’Espai Caldes,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.5092096,1.544024,Restaurant Can Pere,europe/andorra/food/restaurant_canper,0.424,,1.85,has_external_url,https://e-e.ad/publicacio/6480/espai-caldes,https://en.wikivoyage.org/wiki/Andorra_la_Vella
northamerica/unitedstates/delaware/bethanybeach,Bethany Beach,Bethany Beach,4,36,do,Holts Landing State Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.589444,-75.128056,Delaware Seashore State Park,northamerica/unitedstates/delaware/bethanybeach/delaware_seashore_state_park,0.5,6.557,8.299,has_external_url,https://destateparks.com/Beaches/HoltsLanding,https://en.wikivoyage.org/wiki/Bethany_Beach
southamerica/brazil/petropolis,Petrópolis,Petrópolis,4,30,see,Cervejaria Bohemia,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-22.505882,-43.184528,Catedral de São Pedro de Alcântara,southamerica/brazil/petropolis/catedral_sao_pedro,0.457,0.543,13.142,has_external_url,https://www.bohemia.com.br/age,https://en.wikivoyage.org/wiki/Petr%C3%B3polis
northamerica/unitedstates/california/san_jose,San Jose,San Jose (California),33,114,see,Willow Glen,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.3036,-121.897,Municipal Rose Garden,northamerica/unitedstates/california/san_jose/municipal_rose_garden,0.438,4.711,3.665,has_external_url,https://www.willowglen.org/,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
