world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/mongolia/ulaanbaatar,Ulaanbaatar,Ulaanbaatar,8,112,see,The Fine Arts Zanabazar Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.92013,106.90911,Chinggis Khaan National Museum,asia/mongolia/ulaanbaatar/chinggis_khaan_museum,0.536,0.507,0.668,has_external_url,http://www.zanabazarmuseum.mn/,https://en.wikivoyage.org/wiki/Ulaanbaatar
europe/finland/punkaharju,Punkaharju,Punkaharju,4,12,see,Lusto,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,61.7981,29.3256,Lusto Forest Museum,europe/finland/punkaharju/lusto_forest_museum,0.417,1.697,5.745,has_external_url,http://www.lusto.fi/?locale=en,https://en.wikivoyage.org/wiki/Punkaharju
northamerica/canada/ontario/niagrafalls,Niagara Falls,Niagara Falls (Ontario),10,83,see,Butterfly Conservatory,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.1373,-79.0555,Greater Niagara Falls Coach Terminal,northamerica/canada/ontario/niagrafalls/greater_niagara_fa,0.379,5.256,3.486,has_external_url,https://www.niagaraparks.com/visit/attractions/butterfly-conservatory/,https://en.wikivoyage.org/wiki/Niagara_Falls_%28Ontario%29
asia/malaysia/langkawi,Langkawi,Langkawi,4,57,see,Langkawi Wildlife Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,6.38729,99.86188,Langkawi Sky Bridge,asia/malaysia/langkawi/sky_bridge,0.488,21.646,7.864,has_external_url,https://langkawiwildlifepark.com/,https://en.wikivoyage.org/wiki/Langkawi
europe/germany/bavaria/bayreuth,Bayreuth,Bayreuth,8,76,see,Richard Wagner Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.94093,11.58209,Stadtkirche (City Church),europe/germany/bavaria/bayreuth/stadtkirche,0.477,0.523,0.685,has_external_url,http://www.wagnermuseum.de/en/,https://en.wikivoyage.org/wiki/Bayreuth
northamerica/unitedstates/massachusetts/newburyport,Newburyport,Newburyport,12,33,see,Maudslay State Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.8211,-70.9247,Cushing House Museum and Garden,northamerica/unitedstates/massachusetts/newburyport/cushing_house_museum,0.32,4.656,4.431,has_external_url,http://www.mass.gov/eea/agencies/dcr/massparks/region-north/maudslay-state-park.html,https://en.wikivoyage.org/wiki/Newburyport
northamerica/canada/britishcolumbia/langley,Langley,Langley (British Columbia),4,33,do,Krause Berry Farms,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.113413,-122.53987,Langley Wineries and Farm Estates,northamerica/canada/britishcolumbia/langley/langley_wineries,0.431,8.689,8.591,has_external_url,https://www.krauseberryfarms.com/,https://en.wikivoyage.org/wiki/Langley_%28British_Columbia%29
asia/china/hunan/changsha,Changsha,Changsha,50,47,see,Xie Zilong Photography Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,28.118201,112.94721,Xiang Embroidery Museum,asia/china/hunan/changsha/xiang_embroidery_museum,0.538,6.178,9.247,has_external_url,https://www.x-museum.com/,https://en.wikivoyage.org/wiki/Changsha
asia/kazakhstan/ustkamenogorsk,Ust-Kamenogorsk,Ust-Kamenogorsk,8,6,see,Museum of Local Lore,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.9466,82.6215,East Kazakhstan Regional Museum,asia/kazakhstan/ustkamenogorsk/east_kazakhstan_regional_museum,0.543,0.457,0.474,has_external_url,https://2gis.kz/ustkam/firm/12807639721313064,https://en.wikivoyage.org/wiki/Ust-Kamenogorsk
northamerica/canada/ontario/sarnia,Sarnia,Sarnia,7,24,see,Steam locomotive #6069,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.9848,-82.4046,Centennial Park,northamerica/canada/ontario/sarnia/centennial_park,0.493,0.507,1.162,has_external_url,https://www.sarniahistoricalsociety.com/story/restoring-betty-locomotive-6069/,https://en.wikivoyage.org/wiki/Sarnia
europe/ukraine/kyiv,Kyiv,Kyiv,52,205,see,Church of the Intercession on the Pryorka,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.501111,30.445972,Ostannya Barykada,europe/ukraine/kyiv/ostannya_barykada,0.36,7.924,7.929,has_external_url,https://priorka.org,https://en.wikivoyage.org/wiki/Kyiv
