world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/canada/britishcolumbia/richmond,Richmond,Richmond (British Columbia),5,56,see,RAPS Cat Sanctuary,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.188599,-123.066136,Gulf of Georgia Cannery,northamerica/canada/britishcolumbia/richmond/gulf_of_georgia_cannery,0.39,11.264,5.9,has_external_url,https://www.rapsbc.com/cat-sanctuary/,https://en.wikivoyage.org/wiki/Richmond_%28British_Columbia%29
europe/germany/thuringia/jena,Jena,Jena,11,43,see,Dornburg chateaux,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.005833,11.667778,Ernst Haeckel House,europe/germany/thuringia/jena/ernst_haeckel_haus,0.389,10.856,10.287,has_external_url,https://www.thueringerschloesser.de/english/objekt/dornburg/,https://en.wikivoyage.org/wiki/Jena
europe/germany/brandenburg/potsdam,Potsdam,Potsdam,50,62,see,Krongut Bornstedt,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.4085,13.0309,Brauhaus am Bornstedter Gut,europe/germany/brandenburg/potsdam/brauhaus_bornstedt,0.545,0.753,3.026,has_external_url,https://krongut-bornstedt.de/,https://en.wikivoyage.org/wiki/Potsdam
europe/germany/bavaria/bayreuth,Bayreuth,Bayreuth,8,76,see,Fantaisie Palace Garden Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.9338374,11.5099362,Maisel's Brewery and Cooperage Museum,europe/germany/bavaria/bayreuth/maisel_brewery,0.478,4.296,4.766,has_external_url,http://www.gartenkunst-museum.de/,https://en.wikivoyage.org/wiki/Bayreuth
northamerica/unitedstates/kentucky/frankfort,Frankfort,Frankfort (Kentucky),5,47,do,A Little Bit of Heaven,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.30252,-84.82008,Liberty Hall,northamerica/unitedstates/kentucky/frankfort/liberty_hall,0.438,12.607,12.218,has_external_url,https://www.kystable.com/,https://en.wikivoyage.org/wiki/Frankfort_%28Kentucky%29
europe/netherlands/waddenislands/schiermonnikoog_is/schiermonnikoog,Schiermonnikoog,Schiermonnikoog,10,37,see,Zuidertoren,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.483333,6.166667,Wadlopen (Mudflat Walking),europe/netherlands/waddenislands/schiermonnikoog_is/wadlopen,0.421,3.574,2.507,has_external_url,http://www.museumzuidertoren.nl/,https://en.wikivoyage.org/wiki/Schiermonnikoog
europe/spain/andalucia/marbella,Marbella,Marbella,13,42,do,Guadalmina Beach,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.4636,-5.0004,Muralla Urbana de Marbella,europe/spain/andalucia/marbella/muralla_urbana,0.462,11.672,11.435,has_external_url,http://www.visitcostadelsol.com/what-to-do-and-see/beaches/guadalmina-beach-p21671,https://en.wikivoyage.org/wiki/Marbella
europe/unitedkingdom/england/newcastle_and_north_east/durham,Durham,Durham (England),7,40,do,Diggerland,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.8015,-1.676,Durham Miners' Gala,europe/unitedkingdom/england/newcastle_and_north_east/durham/miners_gala,0.429,7.01,15.727,has_external_url,https://www.diggerland.com/,https://en.wikivoyage.org/wiki/Durham_%28England%29
southamerica/brazil/caxias_do_sul,Caxias do Sul,Caxias do Sul,5,27,see,São Pelegrino Church,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-29.168981,-51.189385,Dante Alighieri Square,southamerica/brazil/caxias_do_sul/dante_alighieri_square,0.381,0.972,0.952,has_external_url,https://m.facebook.com/paroquiasaopelegrinocaxiasdosul/,https://en.wikivoyage.org/wiki/Caxias_do_Sul
asia/china/henan_province/luoyang,Luoyang,Luoyang,11,25,see,Erlitou Xia Capital Site Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.680998,112.689401,Luoyang Museum,asia/china/henan_province/luoyang/luoyang_museum,0.444,23.674,23.136,has_external_url,https://www.eltxdmuseum.com/,https://en.wikivoyage.org/wiki/Luoyang
northamerica/canada/ontario/mississauga,Mississauga,Mississauga,19,58,see,Blackwood Gallery,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.548523,-79.663204,Jack Darling Memorial Park,northamerica/canada/ontario/mississauga/jack_darling_park,0.372,4.663,4.683,has_external_url,http://blackwoodgallery.ca/,https://en.wikivoyage.org/wiki/Mississauga
