world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/idaho/rexburg,Rexburg,Rexburg,5,8,do,LaBelle Lake Ice Palace,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.72551,-111.86975,BYU-Idaho Campus,northamerica/unitedstates/idaho/rexburg/byui_campus,0.256,12.332,13.144,has_external_url,https://www.labellelakeicepalace.com/,https://en.wikivoyage.org/wiki/Rexburg
europe/italy/lombardia/como,Como,Como,10,35,see,Museo Archeologico Paolo Giovio,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.8086331,9.0861949,Museo della Seta (Silk Museum),europe/italy/lombardia/como/silk_museum,0.426,12.34,12.387,has_external_url,http://www.visitcomo.eu/en/enjoy/culture_in_como/museo-archeologico/index.html,https://en.wikivoyage.org/wiki/Como
europe/france/aquitaine/arcachon,Arcachon,Arcachon,7,19,do,Réserve ornithologique du Teich,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.646111,-1.031667,Observatoire Sainte-Cécile,europe/france/aquitaine/arcachon/observatoire_sainte_cecile,0.37,11.463,10.795,has_external_url,https://www.reserve-ornithologique-du-teich.com/en/,https://en.wikivoyage.org/wiki/Arcachon
europe/unitedkingdom/england/norfolk/the_norfolk_broads,The Norfolk Broads,Norfolk Broads,0,34,see,Hickling Broad NNR,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.738164,1.579028,,,0.0,,12.109,has_external_url,http://www.norfolkwildlifetrust.org.uk/wildlife-in-norfolk/nature-reserves/reserves/hickling-broad,https://en.wikivoyage.org/wiki/Norfolk_Broads
northamerica/unitedstates/newyorkstate/lakegeorge,Lake George,Lake George,0,22,do,Million Dollar Beach,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.417825,-73.70335,,,0.0,,1.166,has_external_url,https://www.lakegeorge.com/beaches/,https://en.wikivoyage.org/wiki/Lake_George
northamerica/honduras/tegucigalpa,Tegucigalpa,Tegucigalpa,6,30,see,Centro de Arte y Cultura,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,14.0977,-87.2071,Parque Central,northamerica/honduras/tegucigalpa/parque_central,0.4,0.912,1.768,has_external_url,http://www.cac.unah.edu.hn/,https://en.wikivoyage.org/wiki/Tegucigalpa
asia/china/anhui/hefei,Hefei,Hefei,15,55,see,Three Kingdoms Ruins Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,31.9128,117.125,Shushan Lake Wetland Park,asia/china/anhui/hefei/shushan_lake_wetland,0.4,14.512,15.8,has_external_url,http://www.hfssg.gov.cn/DocHtml/2009/4/23/7167966546.html,https://en.wikivoyage.org/wiki/Hefei
europe/france/midi/languedoc/toulouse,Toulouse,Toulouse,8,49,do,La Grainerie,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.6227,1.486,Basilique Saint-Sernin,europe/france/midi/languedoc/toulouse/basilique_saint_sernin,0.387,3.894,3.915,has_external_url,https://www.la-grainerie.net/,https://en.wikivoyage.org/wiki/Toulouse
asia/thailand/hatyai,Hat Yai,Hat Yai,9,109,see,Hat Yai Art and Culture Center,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,7.038939,100.505351,Wat Hat Yai Nai,asia/thailand/hatyai/wat_hat_yai_nai,0.4,6.611,5.325,has_external_url,http://www.hatyaipark.com/hatyaihorsin/,https://en.wikivoyage.org/wiki/Hat_Yai
europe/poland/zabrze,Zabrze,Zabrze,3,19,see,Queen Louisa Adit,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.2955,18.8063,Arena Zabrze,europe/poland/zabrze/arena_zabrze,0.345,2.682,2.032,has_external_url,https://www.sztolnialuiza.pl/index.php/,https://en.wikivoyage.org/wiki/Zabrze
europe/romania/bucharest,Bucharest,Bucharest,11,139,see,Grigore Antipa Natural History Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.4531,26.0846,Romanian Athenaeum,europe/romania/bucharest/romanian_athenaeum,0.473,1.655,2.374,has_external_url,http://www.antipa.ro,https://en.wikivoyage.org/wiki/Bucharest
europe/poland/poznan,Poznan,Poznań,12,96,do,Nowe Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.40033,16.99562,Nierozpoznani,europe/poland/poznan/nierozpoznani,0.381,4.772,4.825,has_external_url,https://zoo.poznan.pl,https://en.wikivoyage.org/wiki/Pozna%C5%84
europe/germany/saarland/saarbrucken,Saarbrücken,Saarbrücken,7,39,see,Völklingen Ironworks,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.24871,6.84572,Saarbrücken Castle,europe/germany/saarland/saarbrucken/saarbrucken_castle,0.316,10.848,11.053,has_external_url,https://voelklinger-huette.org/en/home,https://en.wikivoyage.org/wiki/Saarbr%C3%BCcken
northamerica/unitedstates/colorado/boulder,Boulder,Boulder,5,46,do,Eldorado Canyon State Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.9306,-105.292,Boulder Dushanbe Teahouse,northamerica/unitedstates/colorado/boulder/dushanbe_teahouse,0.353,9.512,9.56,has_external_url,http://parks.state.co.us/parks/eldoradocanyon,https://en.wikivoyage.org/wiki/Boulder
northamerica/canada/alberta/medicinehat,Medicine Hat,Medicine Hat,8,27,do,Strathcona Island Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.03726,-110.65062,Echo Dale Regional Park,northamerica/canada/alberta/medicinehat/echo_dale_regional_park,0.444,10.761,2.127,has_external_url,https://www.medicinehat.ca/government/departments/parks-and-recreation/parks-trails-playgrounds/strathcona-island-park,https://en.wikivoyage.org/wiki/Medicine_Hat
asia/malaysia/kuching,Kuching,Kuching,15,75,see,Kampung Budaya Sarawak,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,1.7501,110.3159,Kuching Cat Museum,asia/malaysia/kuching/cat_museum,0.4,23.493,21.411,has_external_url,https://scv.com.my/,https://en.wikivoyage.org/wiki/Kuching
northamerica/unitedstates/georgia/savannah,Savannah,Savannah,12,86,see,River Street,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.085792,-81.09951,Savannah History Museum,northamerica/unitedstates/georgia/savannah/savannah_history_museum,0.488,0.512,1.026,has_external_url,https://savannahswaterfront.com/,https://en.wikivoyage.org/wiki/Savannah
europe/ukraine/donetsk,Donetsk,Donetsk,12,124,do,Ukraine National academy botanical garden,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.00381,37.86893,Central Scherbakov Park,europe/ukraine/donetsk/scherbakov_park,0.406,3.756,5.093,has_external_url,http://www.dbs.dn.ua,https://en.wikivoyage.org/wiki/Donetsk
northamerica/unitedstates/connecticut/new_london,New London,New London (Connecticut),6,18,see,Lyman Allyn Art Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.3737,-72.1072,United States Coast Guard Academy,northamerica/unitedstates/connecticut/new_london/us_coast_guard_academy,0.364,1.251,2.104,has_external_url,http://www.lymanallyn.org,https://en.wikivoyage.org/wiki/New_London_%28Connecticut%29
europe/germany/badenwrttemberg/friedrichshafen,Friedrichshafen,Friedrichshafen,11,28,do,Climbing,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.67988,9.37638,Café zum Bahnhof,europe/germany/badenwrttemberg/friedrichshafen/cafe_zum_bahnhof,0.348,7.843,8.446,has_external_url,http://www.abenteuerpark.com,https://en.wikivoyage.org/wiki/Friedrichshafen
europe/italy/sicily/taormina,Taormina,Taormina,7,23,see,Villa Caronia,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.847047,15.295397,Palazzo Corvaja,europe/italy/sicily/taormina/palazzo_corvaja,0.429,0.979,1.182,has_external_url,http://www.parconaxostaormina.it/en/service-park/where-we-are,https://en.wikivoyage.org/wiki/Taormina
northamerica/canada/manitoba/winnipeg,Winnipeg,Winnipeg,22,164,see,Airforce Heritage Museum and Air Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.889506,-97.236648,Manitoba Museum,northamerica/canada/manitoba/winnipeg/manitoba_museum,0.423,7.106,7.066,has_external_url,http://www.mhs.mb.ca/docs/sites/airforceheritagemuseum.shtml,https://en.wikivoyage.org/wiki/Winnipeg
northamerica/canada/ontario/niagrafalls,Niagara Falls,Niagara Falls (Ontario),10,83,see,Floral Showhouse,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.0725,-79.077,Horseshoe Falls,northamerica/canada/ontario/niagrafalls/horseshoe_falls,0.387,0.844,3.934,has_external_url,https://www.niagaraparks.com/visit/nature-garden/floral-showhouse/,https://en.wikivoyage.org/wiki/Niagara_Falls_%28Ontario%29
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,do,Beef and Boards Dinner Theatre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.92181,-86.22521,Soldiers' and Sailors' Monument,northamerica/unitedstates/indiana/indianapolis/soldiers_sailors_monument,0.441,18.005,17.997,has_external_url,http://www.beefandboards.com,https://en.wikivoyage.org/wiki/Indianapolis
northamerica/canada/newfoundland/stjohns,St. John's,St. John's,9,76,see,Newman Wine Vaults,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.557,-52.7126,George Street,northamerica/canada/newfoundland/stjohns/george_street,0.46,0.54,0.5,has_external_url,http://www.seethesites.ca/the-sites/newman-wine-vaults.aspx,https://en.wikivoyage.org/wiki/St._John%27s
