world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/france/normandybrittany/saintmalo,Saint Malo,Saint-Malo,10,16,see,Musée Jacques Cartier,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.6736,-1.9665,Saint-Malo Cathedral,europe/france/normandybrittany/saintmalo/saintmalo_cathedral,0.39,5.107,5.128,has_external_url,http://www.musee-jacques-cartier.fr/,https://en.wikivoyage.org/wiki/Saint-Malo
europe/bosniaandherzegovina/sarajevo,Sarajevo,Sarajevo,42,173,do,Dariva Canyon,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.86049,18.4494,Ćevabdžinica Žjelo,europe/bosniaandherzegovina/sarajevo/zeljo,0.414,1.339,2.948,has_external_url,https://sarajevo.travel/en/things-to-do/dariva/136,https://en.wikivoyage.org/wiki/Sarajevo
europe/slovakia/kosice,Košice,Košice,7,153,see,Košice castle,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.76151,21.23712,St. Elisabeth Cathedral,europe/slovakia/kosice/st_elisabeth_cathedral,0.4,4.844,4.739,has_external_url,http://www.kosickyhrad.sk/,https://en.wikivoyage.org/wiki/Ko%C5%A1ice
northamerica/unitedstates/maryland/cumberland,Cumberland,Cumberland (Maryland),12,22,see,Brooke Whiting House of Art,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.651038,-78.769646,Great Allegheny Passage,northamerica/unitedstates/maryland/cumberland/gap_trail,0.503,0.497,0.646,has_external_url,http://thewhitinghouse.org/,https://en.wikivoyage.org/wiki/Cumberland_%28Maryland%29
northamerica/unitedstates/california/paloalto,Palo Alto,Palo Alto,20,45,do,Arastradero Preserve,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.3781,-122.1831,Foothills Nature Preserve,northamerica/unitedstates/california/paloalto/foothills_park,0.444,0.578,7.929,has_external_url,http://www.cityofpaloalto.org/gov/depts/csd/parks/preserves/arastradero/,https://en.wikivoyage.org/wiki/Palo_Alto
europe/belgium/genk,Genk,Genk,6,10,see,Emile Van Dorenmuseum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.966843,5.513077,Bokrijk Open Air Museum,europe/belgium/genk/bokrijk,0.455,3.2,0.918,has_external_url,http://www.emilevandorenmuseum.be/,https://en.wikivoyage.org/wiki/Genk
asia/turkmenistan/ashgabat,Ashgabat,Ashgabat,7,59,see,Wedding Palace,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.92646,58.34145,Dining Near the Sights,asia/turkmenistan/ashgabat/carpet_museum_cafe,0.375,,9.339,has_external_url,http://bagtkoshgi.gov.tm/,https://en.wikivoyage.org/wiki/Ashgabat
europe/finland/vantaa,Vantaa,Vantaa,4,103,see,Vantaa Agricultural Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,60.2874,24.876,Finnish Aviation Museum,europe/finland/vantaa/finnish_aviation_museum,0.49,6.007,9.261,has_external_url,https://www.vantaanmaatalousmuseo.fi/in-english/,https://en.wikivoyage.org/wiki/Vantaa
australiaandpacific/australia/queensland/townsville,Townsville,Townsville,7,65,see,The Palmetum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-19.309458,146.76175,ANZAC Memorial Park,australiaandpacific/australia/queensland/townsville/anzac_memorial_park,0.296,8.793,8.766,has_external_url,http://www.soe-townsville.org/parks/palmetum.html,https://en.wikivoyage.org/wiki/Townsville
asia/india/uttarpradesh/varanasi,Varanasi,Varanasi,13,65,see,Sankat Mochan Hanuman Temple,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,25.2886,82.9993,Kashi Vishwanath Temple,asia/india/uttarpradesh/varanasi/kashi_vishwanath_temple,0.51,2.715,5.298,has_external_url,http://www.varanasi.org.in/sankat-mochan-temple,https://en.wikivoyage.org/wiki/Varanasi
asia/china/fujianprovince/putian,Putian,Putian,5,25,see,Putian Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,25.460393346801943,119.01242889811587,Guanghua Temple,asia/china/fujianprovince/putian/guanghua_temple,0.429,4.526,2.344,has_external_url,http://www.putianbwg.cn/,https://en.wikivoyage.org/wiki/Putian
