world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/shandong_province/jinan,Jinan,Jinan,65,109,see,Jinan Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.7006,116.9812,Jinan Great Mosque,asia/china/shandong_province/jinan/jinan_mosque,0.519,3.979,6.704,has_external_url,http://www.jinanzoo.com/,https://en.wikivoyage.org/wiki/Jinan
northamerica/unitedstates/massachusetts/provincetown,Provincetown,Provincetown,1,89,see,Lighthouse at Race Point,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.062333,-70.244722,Lobster Pot,northamerica/unitedstates/massachusetts/provincetown/lobster_pot,0.514,5.047,5.052,has_external_url,http://racepointlighthouse.org/,https://en.wikivoyage.org/wiki/Provincetown
northamerica/unitedstates/kentucky/louisville,Louisville,Louisville,12,140,do,St. James Court Art Show,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.2292,-85.763,Rathskeller at the Seelbach Hotel,northamerica/unitedstates/kentucky/louisville/rathskeller,0.346,2.803,2.798,has_external_url,http://www.stjamescourtartshow.com/,https://en.wikivoyage.org/wiki/Louisville
europe/hungary/gyor,Győr,Győr,13,201,see,Galgóczi Elizabeth Memorial Room,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.6252,17.6048,Carmelite Monastery and Church,europe/hungary/gyor/karmelita_kolostor,0.323,6.998,6.849,has_external_url,http://www.museum.hu/museum/index_hu.php?ID=795,https://en.wikivoyage.org/wiki/Gy%C5%91r
europe/lithuania/panevezys,Panevėžys,Panevėžys,7,19,see,Civic Art Gallery,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.728,24.36,City Cafes and Bars,europe/lithuania/panevezys/city_cafes,0.444,,0.736,has_external_url,https://arspanevezys.lt/,https://en.wikivoyage.org/wiki/Panev%C4%97%C5%BEys
northamerica/canada/britishcolumbia/whistler,Whistler,Whistler,12,43,see,Brandywine Falls Provincial Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.03563,-123.11862,Train Wreck,northamerica/canada/britishcolumbia/whistler/train_wreck,0.372,6.809,14.662,has_external_url,https://bcparks.ca/brandywine-falls-park/,https://en.wikivoyage.org/wiki/Whistler
europe/germany/bavaria/bayreuth,Bayreuth,Bayreuth,8,76,see,Natural Science Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.91778,11.58933,Maisel's Brewery and Cooperage Museum,europe/germany/bavaria/bayreuth/maisel_brewery,0.508,3.571,3.168,has_external_url,http://lindenhof.lbv.de/lernen-erleben/naturkundemuseum-und-kinder-museum.html,https://en.wikivoyage.org/wiki/Bayreuth
northamerica/unitedstates/kentucky/louisville,Louisville,Louisville,12,140,see,Conrad-Caldwell House Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.2291,-85.7636,Cathedral of the Assumption,northamerica/unitedstates/kentucky/louisville/cathedral_of_the_assumption,0.392,2.563,2.815,has_external_url,https://conrad-caldwell.org/,https://en.wikivoyage.org/wiki/Louisville
northamerica/unitedstates/louisiana/batonrouge,Baton Rouge,Baton Rouge,15,48,do,Blue Bayou Water Park / Dixie Landin',0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.3441,-91.0265,Beauregard Town,northamerica/unitedstates/louisiana/batonrouge/beauregard_town,0.408,18.752,19.341,has_external_url,https://bluebayouwaterpark.com/,https://en.wikivoyage.org/wiki/Baton_Rouge
northamerica/unitedstates/pennsylvania/erie,Erie,Erie,12,36,see,Fort LeBoeuf Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.94008,-79.98225,Erie Art Museum,northamerica/unitedstates/pennsylvania/erie/erie_art_museum,0.529,22.85,22.713,has_external_url,http://fortleboeufhistory.com/campus/museum,https://en.wikivoyage.org/wiki/Erie
europe/germany/northrhinewestphalia/duisburg,Duisburg,Duisburg,8,22,see,Museum of Cultural and Local History,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.4372,6.76139,Innenhafen (Inner Harbour),europe/germany/northrhinewestphalia/duisburg/innenhafen,0.483,0.517,0.276,has_external_url,https://www.stadtmuseum-duisburg.de/,https://en.wikivoyage.org/wiki/Duisburg
