world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/maryland/rock_hall,Rock Hall,Rock Hall,7,10,see,Haven Point Inn and Gallery,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.13954,-76.25169,The Mainstay,northamerica/unitedstates/maryland/rock_hall/mainstay,0.343,0.996,1.451,has_external_url,http://www.havenpointinn.com/,https://en.wikivoyage.org/wiki/Rock_Hall
europe/finland/vaasa,Vaasa,Vaasa,12,80,see,Stundars,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,63.0147,21.6455,Centre Bars,europe/finland/vaasa/pub_old_town,0.421,9.17,9.141,has_external_url,http://www.stundars.fi/?lang=en,https://en.wikivoyage.org/wiki/Vaasa
europe/finland/kotka,Kotka,Kotka,3,31,see,Yrttipuutarha Redutti,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,60.460402,26.925984,Maretarium,europe/finland/kotka/maretarium,0.323,1.275,1.334,has_external_url,https://www.kotka.fi/asuminen-ja-ymparisto/puistot-ja-viheralueet/puistot/yrttipuutarha-redutti-kotka/,https://en.wikivoyage.org/wiki/Kotka
europe/hungary/pecs,Pécs,Pécs,9,63,see,Museum of Natural History,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.07237,18.22434,Széchenyi Square,europe/hungary/pecs/szechenyi_square,0.485,0.515,0.714,has_external_url,https://www.iranypecs.hu/en/info/attractions/family-fun/natural-history-museum.html,https://en.wikivoyage.org/wiki/P%C3%A9cs
northamerica/unitedstates/california/oakland,Oakland,Oakland,16,181,see,Dr. Aurelia Reinhardt Redwood Regional Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.801921,-122.144793,Preservation Park,northamerica/unitedstates/california/oakland/preservationpark,0.441,11.404,11.123,has_external_url,https://www.ebparks.org/parks/redwood/,https://en.wikivoyage.org/wiki/Oakland
southamerica/colombia/pereira,Pereira,Pereira,15,19,see,Pereira Art Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,4.80429,-75.69592,Cedral Eco-Park,southamerica/colombia/pereira/cedral,0.364,13.462,1.002,has_external_url,https://museoartepereira.com,https://en.wikivoyage.org/wiki/Pereira
europe/spain/spanishcostas/denia,Dénia,Dénia,3,33,see,Centre d'Visitants,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.83515,0.11056,Montgó Natural Park,europe/spain/spanishcostas/denia/montgo_massif,0.278,3.033,0.741,has_external_url,http://www.parquesnaturales.gva.es/web/pn-el-montgo/centro-de-interpretacion,https://en.wikivoyage.org/wiki/D%C3%A9nia
northamerica/dominicanrepublic/santodomingo,Santo Domingo,Santo Domingo,24,55,do,Dominican Republic National Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,18.505098,-69.932645,Jardín Botánico Nacional,northamerica/dominicanrepublic/santodomingo/jardin_botanico_nacional,0.473,1.59,2.118,has_external_url,http://www.zoodom.gov.do/,https://en.wikivoyage.org/wiki/Santo_Domingo
asia/india/himachalpradesh/dharamsala,Dharamsala,Dharamsala,9,56,see,Peak Art Gallery,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.21968,76.32093,Masrur Rock Temples,asia/india/himachalpradesh/dharamsala/masrur_temples,0.343,23.812,0.609,has_external_url,http://www.peakartgallery.com,https://en.wikivoyage.org/wiki/Dharamsala
northamerica/unitedstates/georgia/macon,Macon,Macon (Georgia),6,41,do,The Grand Opera House,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.838729,-83.628299,Hay House,northamerica/unitedstates/georgia/macon/hay_house,0.538,0.79,0.441,has_external_url,http://www.thegrandmacon.com,https://en.wikivoyage.org/wiki/Macon_%28Georgia%29
northamerica/unitedstates/nebraska/omaha,Omaha,Omaha,10,120,see,El Museo Latino,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.211921,-95.94815,Boys Town,northamerica/unitedstates/nebraska/omaha/boys_town,0.381,13.885,5.27,has_external_url,http://www.elmuseolatino.org/,https://en.wikivoyage.org/wiki/Omaha
asia/jordan/amman,Amman,Amman,45,74,see,Royal Automobile Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,31.984107,35.825973,Old Signs of Amman Museum,asia/jordan/amman/old_signs_museum,0.5,10.746,9.926,has_external_url,http://www.royalautomuseum.jo/default.aspx?id=4&fl=4_2&lang=en,https://en.wikivoyage.org/wiki/Amman
asia/srilanka/colombo,Colombo,Colombo,25,116,see,Kalani Raja Maha Viharaya.,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,6.9516,79.9187,Sambodhi Chaithya,asia/srilanka/colombo/sambodhi_chaithya,0.429,8.333,6.907,has_external_url,http://www.kelaniyatemple.org/,https://en.wikivoyage.org/wiki/Colombo
australiaandpacific/newzealand/canterbury/christchurch,Christchurch,Christchurch,13,85,see,Willowbank Wildlife Reserve,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-43.4628,172.594,Christchurch Botanic Gardens,australiaandpacific/newzealand/canterbury/christchurch/christchurch_botanic_gardens,0.327,7.508,8.424,has_external_url,https://www.willowbank.co.nz/,https://en.wikivoyage.org/wiki/Christchurch
europe/denmark/aalborg,Aalborg,Aalborg,5,49,see,Aalborg Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,57.037047,9.897919,Jens Bang's House,europe/denmark/aalborg/jens_bangs_house,0.286,1.927,1.758,has_external_url,http://aalborgzoo.dk/UserFiles/engelsk_hjemmeside.pdf,https://en.wikivoyage.org/wiki/Aalborg
northamerica/canada/britishcolumbia/sidney,Sidney,Sidney (British Columbia),3,63,see,Gulf Islands National Park Reserve,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.850556,-123.447778,Sidney Spit Marine Park,northamerica/canada/britishcolumbia/sidney/sidney_spit_marine_park,0.316,,22.528,has_external_url,https://parks.canada.ca/pn-np/bc/gulf/,https://en.wikivoyage.org/wiki/Sidney_%28British_Columbia%29
northamerica/unitedstates/idaho/boise,Boise,Boise,14,73,see,Idaho Anne Frank Human Rights Memorial,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.60984,-116.20868,Idaho State Capitol,northamerica/unitedstates/idaho/boise/idaho_state_capitol,0.491,1.139,0.978,has_external_url,http://idaho-humanrights.org/,https://en.wikivoyage.org/wiki/Boise
southamerica/chile/puntaarenas,Punta Arenas,Punta Arenas,28,58,see,Museo del Recuerdo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-53.132634,-70.882886,Monumento al Ovejero,southamerica/chile/puntaarenas/monumento_al_ovejero,0.529,3.035,3.721,has_external_url,https://www.registromuseoschile.cl/663/w3-article-50620.html,https://en.wikivoyage.org/wiki/Punta_Arenas
northamerica/mexico/acapulco,Acapulco,Acapulco,8,17,do,El Rollo Acapulco,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,16.84968,-99.85219,The Zócalo,northamerica/mexico/acapulco/thezocalo,0.5,5.262,4.897,has_external_url,https://www.elrolloacapulco.com/home.html,https://en.wikivoyage.org/wiki/Acapulco
europe/unitedkingdom/england/manchester_liverpool_and_north_west/liverpool,Liverpool,Liverpool,52,182,see,Sudley House,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.37356,-2.92146,Stanley Dock Tobacco Warehouse,europe/unitedkingdom/england/manchester_liverpool_and_north_west/liverpool/stanley_dock_tobacco_warehouse,0.476,7.456,6.053,has_external_url,https://www.liverpoolmuseums.org.uk/sudley-house,https://en.wikivoyage.org/wiki/Liverpool
australiaandpacific/australia/queensland/sunshinecoast,Sunshine Coast,Sunshine Coast,7,112,see,Sunshine Castle,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-26.62353,153.0397,Noosa Heads,australiaandpacific/australia/queensland/sunshinecoast/noosa_heads,0.308,26.797,6.345,has_external_url,http://sunshinecastle.com/,https://en.wikivoyage.org/wiki/Sunshine_Coast
europe/finland/punkaharju,Punkaharju,Punkaharju,4,12,do,Punkaharju esker ridge and Punkaharju Nature Reserve,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,61.791016,29.313943,Punkaharju Ridge,europe/finland/punkaharju/punkaharju_ridge,0.471,2.532,5.545,has_external_url,http://www.nationalparks.fi/en/punkaharju,https://en.wikivoyage.org/wiki/Punkaharju
europe/hungary/kecskemet,Kecskemét,Kecskemét,12,106,see,Katona József Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.9159,19.6951,Hungarian Naïve Art Museum,europe/hungary/kecskemet/naive_art_museum,0.522,1.223,0.964,has_external_url,https://muzeum.kecskemet.hu/en/,https://en.wikivoyage.org/wiki/Kecskem%C3%A9t
