world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/germany/northrhinewestphalia/duisburg,Duisburg,Duisburg,8,22,see,German Inland Waterways Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.46,6.73,Lehmbruck Museum,europe/germany/northrhinewestphalia/duisburg/lehmbruck_museum,0.435,4.143,3.453,has_external_url,http://www.binnenschifffahrtsmuseum.de/,https://en.wikivoyage.org/wiki/Duisburg
asia/indonesia/java/purwokerto,Purwokerto,Purwokerto,10,65,see,General Soedirman Monument and Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-7.420063,109.196188,Mount Slamet,asia/indonesia/java/purwokerto/mount_slamet,0.327,19.786,2.825,has_external_url,http://www.disjarah-ad.org,https://en.wikivoyage.org/wiki/Purwokerto
southamerica/ecuador/guayaquil,Guayaquil,Guayaquil,15,26,do,Zoo el Pantanal,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-2.00293,-79.96462,Santa Ana Hill,southamerica/ecuador/guayaquil/santa_ana_hill,0.538,22.011,22.53,has_external_url,http://www.zoologicoelpantanal.com/,https://en.wikivoyage.org/wiki/Guayaquil
northamerica/unitedstates/northcarolina/greensboro,Greensboro,Greensboro,15,40,do,Greensboro Grasshoppers Baseball at First Horizon Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.07649,-79.79478,Steven Tanger Center for the Performing Arts,northamerica/unitedstates/northcarolina/greensboro/tanger_center,0.541,0.459,0.497,has_external_url,http://www.milb.com/index.jsp?sid=t477,https://en.wikivoyage.org/wiki/Greensboro
asia/india/assam/guwahati,Guwahati,Guwahati,24,59,do,Accoland,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,26.08045,91.61113,Cafe Hendrix,asia/india/assam/guwahati/cafe_hendrix,0.4,17.048,18.091,has_external_url,https://www.accoland.in/,https://en.wikivoyage.org/wiki/Guwahati
europe/latvia/daugavpils,Daugavpils,Daugavpils,7,30,see,Naujene Local History Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.931348,26.716068,Centre Bars,europe/latvia/daugavpils/centre_bars,0.359,13.563,14.154,has_external_url,http://www.naujene.lv,https://en.wikivoyage.org/wiki/Daugavpils
europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/derby,Derby,Derby,16,69,do,Elvaston Castle Country Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.89306,-1.394151,Derby Cathedral,europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/derby/derby_cathedral,0.372,6.599,6.468,has_external_url,https://www.derbyshire.gov.uk/leisure/countryside/countryside-sites/country-parks-and-visitor-centres/elvaston/elvaston-castle-country-park.aspx,https://en.wikivoyage.org/wiki/Derby
northamerica/unitedstates/michigan/traverse_city,Traverse City,Traverse City,26,76,see,Music House Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.792486,-85.488657,Mission Point Lighthouse,northamerica/unitedstates/michigan/traverse_city/mission_point_lighthouse,0.429,22.166,10.703,has_external_url,http://www.musichouse.org/,https://en.wikivoyage.org/wiki/Traverse_City
asia/india/karnataka/mysore,Mysore,Mysore,14,82,see,Regional Museum of Natural History,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,12.305853,76.6741,St. Philomena's Cathedral,asia/india/karnataka/mysore/st_philomenas,0.414,2.571,3.932,has_external_url,http://nmnh.nic.in/mysore.htm,https://en.wikivoyage.org/wiki/Mysore
northamerica/unitedstates/virginia/alexandria,Alexandria,Alexandria (Virginia),7,64,do,Cameron Run Regional Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.8051,-77.1021,Mount Vernon Estate,northamerica/unitedstates/virginia/alexandria/mount_vernon,0.364,10.966,4.775,has_external_url,https://www.novaparks.com/parks/cameron-run-regional-park,https://en.wikivoyage.org/wiki/Alexandria_%28Virginia%29
asia/china/heilongjiang/harbin,Harbin,Harbin,7,108,see,Heilongjiang Provincial Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.75569,126.63494,Zhongyang Dajie (Central Street),asia/china/heilongjiang/harbin/zhongyang_dajie,0.444,2.467,0.7,has_external_url,http://www.hljmuseum.com/,https://en.wikivoyage.org/wiki/Harbin
northamerica/unitedstates/california/san_jose,San Jose,San Jose (California),33,114,see,Five Wounds Portuguese National Church,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.3501,-121.864,San Jose State University,northamerica/unitedstates/california/san_jose/sjsu_campus,0.349,2.243,2.815,has_external_url,http://www.fivewoundschurch.org/,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
asia/bahrain/manama,Manama,Manama,15,63,do,Adhari Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,26.198258,50.545853,Adliya,asia/bahrain/manama/adliya,0.471,3.648,4.589,has_external_url,https://adharipark.com.bh/,https://en.wikivoyage.org/wiki/Manama
northamerica/unitedstates/newmexico/taos,Taos,Taos,11,35,see,Millicent Rogers Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.44423,-105.59406,Kit Carson House,northamerica/unitedstates/newmexico/taos/kit_carson_house,0.462,4.589,4.517,has_external_url,http://www.millicentrogers.org/,https://en.wikivoyage.org/wiki/Taos
europe/netherlands/arnhem,Arnhem,Arnhem,12,78,see,Nederlands Openluchtmuseum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.009444,5.906389,Burgers' Zoo,europe/netherlands/arnhem/burgers_zoo,0.538,0.462,2.758,has_external_url,https://www.openluchtmuseum.nl/?taal=en,https://en.wikivoyage.org/wiki/Arnhem
northamerica/mexico/puebla,Puebla,Puebla,14,54,do,Africam Safari,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,18.9363,-98.1329,Barrio de los Sapos,northamerica/mexico/puebla/barrio_de_los_sapos,0.462,13.401,14.005,has_external_url,http://www.africamsafari.com/,https://en.wikivoyage.org/wiki/Puebla
europe/poland/katowice,Katowice,Katowice,12,77,see,St Michael the Archangel,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.2409,19.0042,U Michała,europe/poland/katowice/u_michała,0.444,2.418,3.011,has_external_url,http://www.michal.wiara.org.pl/,https://en.wikivoyage.org/wiki/Katowice
europe/germany/saxony/dresden,Dresden,Dresden,31,149,see,Senckenberg Museum of Mineralogy,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.1289,13.79,Dresden City Museum (Stadtmuseum),europe/germany/saxony/dresden/stadtmuseum,0.431,9.366,9.56,has_external_url,https://museumdresden.senckenberg.de/en/,https://en.wikivoyage.org/wiki/Dresden
europe/italy/piemonte/turin,Turin,Turin,55,105,see,Moncalieri Castle,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.0017,7.6864,The Periodic Table,europe/italy/piemonte/turin/the_periodic_table,0.452,,7.356,has_external_url,https://www.castellodimoncalieri.it/,https://en.wikivoyage.org/wiki/Turin
asia/india/uttarpradesh/lucknow,Lucknow,Lucknow,27,97,do,Nawab Wajid Ali Shah Prani Udyan,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,26.84607,80.95463,Idris ki Biryani,asia/india/uttarpradesh/lucknow/idris_ki_biryani,0.375,5.13,2.176,has_external_url,http://lucknowzoo.in,https://en.wikivoyage.org/wiki/Lucknow
northamerica/unitedstates/virginia/alexandria,Alexandria,Alexandria (Virginia),7,64,see,George Washington Masonic National Memorial,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.807481,-77.065981,Mount Vernon Estate,northamerica/unitedstates/virginia/alexandria/mount_vernon,0.323,11.271,1.666,has_external_url,http://www.gwmemorial.org/,https://en.wikivoyage.org/wiki/Alexandria_%28Virginia%29
northamerica/unitedstates/florida/sarasota,Sarasota,Sarasota,12,41,do,Historic Spanish Point,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,27.2013,-82.4903,St. Armands Circle,northamerica/unitedstates/florida/sarasota/st_armands_circle,0.41,15.646,15.544,has_external_url,https://selby.org/hsp/,https://en.wikivoyage.org/wiki/Sarasota
europe/unitedkingdom/england/eastern_england/norwich,Norwich,Norwich,16,60,see,Plantation Gardens,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.6299,1.2826,The Forum,europe/unitedkingdom/england/eastern_england/norwich/the_forum,0.398,0.602,0.678,has_external_url,https://www.plantationgarden.co.uk/,https://en.wikivoyage.org/wiki/Norwich
asia/china/hubei/huanggang,Huanggang,Huanggang,4,29,see,Yiai Lake Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.449392,114.900833,Su Dongpo Memorial Museum and Yiai Lake Park,asia/china/hubei/huanggang/su_dongpo_memorial,0.483,2.698,2.477,has_external_url,http://www.yahgy.com/,https://en.wikivoyage.org/wiki/Huanggang
northamerica/unitedstates/kentucky/louisville,Louisville,Louisville,12,140,do,Kentucky Kingdom and Hurricane Bay,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.1954,-85.7472,Waverly Hills Sanatorium,northamerica/unitedstates/kentucky/louisville/waverly_hills_sanatorium,0.31,9.695,6.625,has_external_url,http://www.kentuckykingdom.com/,https://en.wikivoyage.org/wiki/Louisville
europe/netherlands/arnhem,Arnhem,Arnhem,12,78,do,Park Zypendaal,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.99722,5.89472,Arnhem Centraal Railway Station,europe/netherlands/arnhem/arnhem_centraal,0.356,1.453,1.375,has_external_url,https://www.glk.nl/landschap-kastelen/locatie/?locatie=14,https://en.wikivoyage.org/wiki/Arnhem
europe/hungary/nyiregyhaza,Nyíregyháza,Nyíregyháza,7,35,see,Open Air Museum of Sóstó,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.00662,21.72246,Jósa András Museum,europe/hungary/nyiregyhaza/josa_andras_museum,0.488,5.685,5.669,has_external_url,http://www.muzeumfalu.hu,https://en.wikivoyage.org/wiki/Ny%C3%ADregyh%C3%A1za
europe/austria/innsbruck,Innsbruck,Innsbruck,11,70,see,Graßmayr Bell Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.256286,11.398137,Tyrolean Folk Art Museum,europe/austria/innsbruck/tyrolean_folk_art_museum,0.5,1.383,1.091,has_external_url,https://www.grassmayr.at/index.php?id=7&L=1,https://en.wikivoyage.org/wiki/Innsbruck
asia/southkorea/ulsan,Ulsan,Ulsan,29,31,see,Oegosan Pottery Village,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.433976,129.275441,Bulguksa Temple,asia/southkorea/ulsan/bulguksa_temple,0.421,39.794,12.059,has_external_url,https://www.ulju.ulsan.kr/onggi/,https://en.wikivoyage.org/wiki/Ulsan
northamerica/canada/britishcolumbia/kelowna,Kelowna,Kelowna,7,69,do,Myra-Bellevue Provincial Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.7968,-119.3236,Knox Mountain Park,northamerica/canada/britishcolumbia/kelowna/knox_mountain_park,0.34,17.036,15.977,has_external_url,https://bcparks.ca/explore/parkpgs/myra/,https://en.wikivoyage.org/wiki/Kelowna
europe/spain/santiago_de_compostela,Santiago de Compostela,Santiago de Compostela,8,32,see,Museo de Historia Natural,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.8868,-8.5457,Monastery of San Martiño Pinario,europe/spain/santiago_de_compostela/monastery_san_martino_pinario,0.445,0.555,0.709,has_external_url,https://www.usc.gal/gl/museohn,https://en.wikivoyage.org/wiki/Santiago_de_Compostela
europe/unitedkingdom/england/suffolk/lowestoft,Lowestoft,Lowestoft,7,20,do,Africa Alive,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.4188,1.70528,Mincarlo,europe/unitedkingdom/england/suffolk/lowestoft/mincarlo,0.4,6.729,7.221,has_external_url,http://www.africa-alive.co.uk/,https://en.wikivoyage.org/wiki/Lowestoft
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,see,Susan B. Anthony Museum & House,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.153278,-77.628111,Strong National Museum of Play,northamerica/unitedstates/newyorkstate/rochester/strong_national_museum_of_play,0.419,2.148,1.609,has_external_url,http://www.susanbanthonyhouse.org/,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29
northamerica/unitedstates/massachusetts/concord,Concord,Concord (Massachusetts),7,55,see,DeCordova Museum and Sculpture Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.4311,-71.3114,Concord Museum,northamerica/unitedstates/massachusetts/concord/concord_museum,0.449,3.885,4.481,has_external_url,http://www.decordova.org/,https://en.wikivoyage.org/wiki/Concord_%28Massachusetts%29
