world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/hungary/szekesfehervar,Székesfehérvár,Székesfehérvár,15,93,see,Kápolnásnyék,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.2396,18.6757,King Stephen Museum,europe/hungary/szekesfehervar/king_stephen_museum,0.387,20.616,20.723,has_external_url,http://www.kapolnasnyek.hu/,https://en.wikivoyage.org/wiki/Sz%C3%A9kesfeh%C3%A9rv%C3%A1r
asia/china/shandong_province/penglai,Penglai,Penglai,5,14,see,Ocean Aquarium of Penglai,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.826097,120.746084,Penglai Pavilion,asia/china/shandong_province/penglai/penglai_pavilion,0.406,0.594,1.857,has_external_url,http://shandong.chinadaily.com.cn/2018-05/14/c_226272.htm,https://en.wikivoyage.org/wiki/Penglai
northamerica/unitedstates/montana/missoula,Missoula,Missoula,6,38,do,Fort Missoula Regional Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.84477,-114.054197,Carousel for Missoula,northamerica/unitedstates/montana/missoula/carousel_missoula,0.5,5.414,5.29,has_external_url,https://www.ci.missoula.mt.us/179/Fort-Missoula-Regional-Park,https://en.wikivoyage.org/wiki/Missoula
northamerica/unitedstates/delaware/rehobothbeach,Rehoboth Beach,Rehoboth Beach,9,43,do,Jungle Jim's River Safari Water Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.712,-75.1038,Junction and Breakwater Trail,northamerica/unitedstates/delaware/rehobothbeach/junction_trail,0.431,2.53,1.829,has_external_url,http://www.funatjunglejims.com/,https://en.wikivoyage.org/wiki/Rehoboth_Beach
asia/southkorea/dae_gu,Daegu,Daegu,7,73,see,Kansong Art Museum Daegu,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.828949,128.676366,Daegu National Museum,asia/southkorea/dae_gu/daegu_national_museum,0.533,6.656,8.242,has_external_url,https://kansong.org/daegu/index.do,https://en.wikivoyage.org/wiki/Daegu
southamerica/venezuela/altos_mirandinos/los_teques,Los Teques,Los Teques,2,7,see,La Casa de las Carretas,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,10.35037,-67.04354,Parque Nacional Macarao,southamerica/venezuela/altos_mirandinos/los_teques/parque_nacional_macarao,0.333,5.684,0.762,has_external_url,https://www.facebook.com/Lacasadelascarretas/,https://en.wikivoyage.org/wiki/Los_Teques
asia/china/hunan/zhangjiajie,Zhangjiajie,Zhangjiajie,8,49,do,Zhangjiajie National Forest Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,29.123549,110.464029,Zhangjiajie Glass Bridge,asia/china/hunan/zhangjiajie/zhangjiajie_glass_bridge,0.536,38.131,1.991,has_external_url,http://www.hnzjj.com/index.php/Product/list/7.html,https://en.wikivoyage.org/wiki/Zhangjiajie
europe/switzerland/rapperswil,Rapperswil,Rapperswil,4,20,do,Alpamare,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.1992,8.79083,Holzbrücke,europe/switzerland/rapperswil/holzbrucke,0.333,2.876,3.868,has_external_url,http://www.alpamare.ch/,https://en.wikivoyage.org/wiki/Rapperswil
europe/bosniaandherzegovina/banjaluka,Banja Luka,Banja Luka,9,36,do,Restoran Slap,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.73611,17.15679,Pedestrian Zone (Gospodska Street),europe/bosniaandherzegovina/banjaluka/pedestrian_zone,0.5,4.864,5.139,has_external_url,https://www.facebook.com/restoranslap/?rf=218816804816051,https://en.wikivoyage.org/wiki/Banja_Luka
australiaandpacific/australia/queensland/brisbane,Brisbane,Brisbane,21,164,see,Commissariat Store Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-27.47325,153.02424,City Botanic Gardens,australiaandpacific/australia/queensland/brisbane/botanic_garden,0.505,0.495,0.885,has_external_url,http://www.commissariatstore.org.au/,https://en.wikivoyage.org/wiki/Brisbane
northamerica/unitedstates/ohio/toledo,Toledo,Toledo (Ohio),13,91,do,Wildwood Preserve Metropark,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.683333,-83.666667,Toledo Museum of Art,northamerica/unitedstates/ohio/toledo/toledo_museum_of_art,0.34,9.394,11.225,has_external_url,https://metroparkstoledo.com/explore-your-parks/wildwood/,https://en.wikivoyage.org/wiki/Toledo_%28Ohio%29
northamerica/mexico/saltillo,Saltillo,Saltillo,5,23,see,Museum of Birds of Mexico,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,25.416532,-101.002514,Museo del Desierto,northamerica/mexico/saltillo/museo_del_desierto,0.513,3.904,1.219,has_external_url,https://musave.org,https://en.wikivoyage.org/wiki/Saltillo
northamerica/unitedstates/northcarolina/salisbury,Salisbury,Salisbury (North Carolina),7,12,see,Dan Nicholas Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.641389,-80.344722,Rowan Museum,northamerica/unitedstates/northcarolina/salisbury/rowan_museum,0.276,11.62,12.154,has_external_url,http://www.dannicholas.net,https://en.wikivoyage.org/wiki/Salisbury_%28North_Carolina%29
europe/hungary/kecskemet,Kecskemét,Kecskemét,12,106,do,ZOO,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.8974,19.7195,Old Synagogue (House of Science and Technology),europe/hungary/kecskemet/synagogue,0.25,2.564,2.365,has_external_url,http://www.zookecskemet.hu/,https://en.wikivoyage.org/wiki/Kecskem%C3%A9t
northamerica/canada/manitoba/winnipeg,Winnipeg,Winnipeg,22,164,see,Gallery Lacosse,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.8708,-97.158,Be One,northamerica/canada/manitoba/winnipeg/be_one,0.381,3.544,3.086,has_external_url,http://www.gallerylacosse.com/,https://en.wikivoyage.org/wiki/Winnipeg
europe/spain/cantabria/santander,Santander,Santander,16,48,see,Maritime Museum of Cantabria,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.4633,-3.7835,MAS — Museo de Arte Moderno y Contemporáneo,europe/spain/cantabria/santander/museo_de_arte_moderno,0.394,2.327,2.147,has_external_url,https://www.museosdecantabria.es/museo-maritimo/visitar/situacion,https://en.wikivoyage.org/wiki/Santander
europe/finland/rovaniemi,Rovaniemi,Rovaniemi,8,183,do,Ounasvaara nature trail,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,66.4972,25.7828,Santa Claus Village,europe/finland/rovaniemi/santa_claus_village,0.429,5.873,2.399,has_external_url,https://www.etiainen.fi/gpsalbum/Ounasvaara-nature-trail/vwemqvho/e5937609-edde-49ee-99be-b2d0746b5a04,https://en.wikivoyage.org/wiki/Rovaniemi
northamerica/unitedstates/newyorkstate/syracuse,Syracuse,Syracuse (New York),11,70,see,ArtRage Gallery,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.053439,-76.135939,Landmark Theatre,northamerica/unitedstates/newyorkstate/syracuse/landmark_theatre,0.323,1.511,1.105,has_external_url,http://artragegallery.org/,https://en.wikivoyage.org/wiki/Syracuse_%28New_York%29
europe/spain/galicia/ponferrada,Ponferrada,Ponferrada,8,14,see,Energy Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.5577,-6.5914,La Fábrica de Luz — Museo de la Energía,europe/spain/galicia/ponferrada/la_fabrica_de_luz,0.333,1.327,1.383,has_external_url,http://lafabricadeluz.org/es/,https://en.wikivoyage.org/wiki/Ponferrada
europe/unitedkingdom/england/south_east/basingstoke,Basingstoke,Basingstoke,12,13,see,Steventon,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.2214,-1.2123,Jane Austen Statue,europe/unitedkingdom/england/south_east/basingstoke/jane_austen_statue,0.37,9.949,9.913,has_external_url,https://www.steventonvillage.co.uk/st-nicholas-church-visits/,https://en.wikivoyage.org/wiki/Basingstoke
asia/philippines/baguio,Baguio,Baguio,14,55,see,Philippine Military Academy (PMA),0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,16.3602,120.6201,Lion's Head,asia/philippines/baguio/lions_head,0.368,2.255,5.341,has_external_url,https://www.pma.edu.ph/,https://en.wikivoyage.org/wiki/Baguio
europe/spain/northernspain/gijon,Gijón,Gijón,10,24,see,Campa Torres,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.5665,-5.7046,Playa San Lorenzo,europe/spain/northernspain/gijon/playa_san_lorenzo,0.414,3.106,4.138,has_external_url,https://www.gijon.es/es/directorio/parque-arqueologico-natural-de-la-campa-torres,https://en.wikivoyage.org/wiki/Gij%C3%B3n
northamerica/unitedstates/utah/saltlakecity,Salt Lake City,Salt Lake City,62,174,see,Lindsay Gardens,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.77848,-111.86425,Temple Square Garden Tours,northamerica/unitedstates/utah/saltlakecity/gardentours,0.537,2.429,2.829,has_external_url,http://www.slcgov.com/cityparks/parks-lindsey-gardens,https://en.wikivoyage.org/wiki/Salt_Lake_City
