world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
southamerica/bolivia/sucre,Sucre,Sucre,67,51,do,CEMVA,0.89,candidate,has coordinates; has description; high-value type; has external URL,-19.02277,-65.26387,Cementerio General,southamerica/bolivia/sucre/cementerio_general,0.348,2.781,2.814,has_external_url,http://www.cemva-sucre.org,https://en.wikivoyage.org/wiki/Sucre
europe/denmark/aarhus,Aarhus,Aarhus,12,232,do,RaceHall,0.89,candidate,has coordinates; has description; high-value type; has external URL,56.11753,10.12126,Den Gamle By,europe/denmark/aarhus/den_gamle_by,0.3,6.701,6.732,has_external_url,http://www.racehall.com,https://en.wikivoyage.org/wiki/Aarhus
europe/netherlands/groningen,Groningen,Groningen,27,133,see,Wall House II,0.89,candidate,has coordinates; has description; high-value type; has external URL,53.18319,6.55339,Sally O'Briens,europe/netherlands/groningen/sally_o_briens,0.519,3.773,4.106,has_external_url,http://www.wallhouse.nl/,https://en.wikivoyage.org/wiki/Groningen
northamerica/canada/britishcolumbia/golden,Golden,Golden (British Columbia),9,35,see,Tourism Golden - Visitor Information Services Amenity Hub (VISAH),0.89,candidate,has coordinates; has description; high-value type; has external URL,51.309402,-116.96777,Glacier National Park,northamerica/canada/britishcolumbia/golden/glacier_national_park,0.342,39.904,1.157,has_external_url,https://www.tourismgolden.com/,https://en.wikivoyage.org/wiki/Golden_%28British_Columbia%29
asia/vietnam/danang,Da Nang,Da Nang,4,80,see,BeeBikeHub,0.89,candidate,has coordinates; has description; high-value type; has external URL,16.0552789,108.2451113,Dragon Bridge,asia/vietnam/danang/dragon_bridge,0.261,2.075,3.81,has_external_url,https://beebikehub.com/,https://en.wikivoyage.org/wiki/Da_Nang
europe/greece/meteora,Meteora,Meteora,8,10,see,Information Tourist Center of Kalambaka,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.70711,21.62303,Monastery of Varlaam,europe/greece/meteora/monastery_of_varlaam,0.508,0.855,1.824,has_external_url,https://www.infotouristmeteora.gr/main-menu/,https://en.wikivoyage.org/wiki/Meteora
europe/poland/malbork,Malbork,Malbork,4,19,do,Magic Malbork,0.89,candidate,has coordinates; has description; high-value type; has external URL,54.04047,19.03285,Malbork Castle,europe/poland/malbork/malbork_castle,0.519,0.612,0.578,has_external_url,http://www.magicmalbork.pl/,https://en.wikivoyage.org/wiki/Malbork
europe/unitedkingdom/england/birmingham_and_west_midlands/worcester,Worcester,Worcester (England),11,49,do,CAMRA Real Ale Festival,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.19612,-2.23183,Museum of Royal Worcester,europe/unitedkingdom/england/birmingham_and_west_midlands/worcester/museum_of_royal_worcester,0.375,1.314,0.939,has_external_url,https://festival.worcester.camra.org.uk/,https://en.wikivoyage.org/wiki/Worcester_%28England%29
northamerica/canada/manitoba/brandon,Brandon,Brandon (Manitoba),4,26,do,T-Birds,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.814989,-99.96329,Art Gallery of Southwestern Manitoba,northamerica/canada/manitoba/brandon/art_gallery_southwestern_manitoba,0.186,3.829,4.021,has_external_url,https://www.t-birds.ca/,https://en.wikivoyage.org/wiki/Brandon_%28Manitoba%29
northamerica/costarica/jaco,Jacó,Jacó,0,26,do,CCM Cinemas Jacó,0.89,candidate,has coordinates; has description; high-value type; has external URL,9.61727,-84.63089,,,0.0,,0.272,has_external_url,https://ccmcinemas.com/cines/6/,https://en.wikivoyage.org/wiki/Jac%C3%B3
northamerica/unitedstates/texas/the_woodlands,The Woodlands,The Woodlands,15,9,do,Six Flags Hurricane Harbor Splashtown,0.89,candidate,has coordinates; has description; high-value type; has external URL,30.071136,-95.432984,The Woodlands Resort,northamerica/unitedstates/texas/the_woodlands/woodlands_resort,0.34,8.893,13.301,has_external_url,https://www.sixflags.com/splashtown,https://en.wikivoyage.org/wiki/The_Woodlands
europe/unitedkingdom/england/south_east/maidstone,Maidstone,Maidstone,10,18,do,Kent County Show,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.30011,0.59062,Kent History and Library Centre,europe/unitedkingdom/england/south_east/maidstone/kent_history_library_centre,0.34,5.55,5.558,has_external_url,http://kentshowground.co.uk/,https://en.wikivoyage.org/wiki/Maidstone
northamerica/unitedstates/hawaii/kauai,Kaua'i,Kauai,12,48,see,Huleia National Wildlife Refuge,0.89,candidate,has coordinates; has description; high-value type; has external URL,21.9497,-159.387,Alakaʻi Wilderness Preserve,northamerica/unitedstates/hawaii/kauai/alakai_wilderness_preserve,0.414,24.956,20.959,has_external_url,https://www.fws.gov/refuge/huleia/,https://en.wikivoyage.org/wiki/Kauai
northamerica/unitedstates/massachusetts/great_barrington,Great Barrington,Great Barrington,4,23,do,Ski Butternut,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.183389,-73.320133,Shays' Rebellion Last Battle Site,northamerica/unitedstates/massachusetts/great_barrington/shays_rebellion_site,0.356,3.946,3.704,has_external_url,http://www.skibutternut.com/,https://en.wikivoyage.org/wiki/Great_Barrington
northamerica/unitedstates/utah/wendover,Wendover,Wendover (Utah/Nevada),5,28,do,Peppermill,0.89,candidate,has coordinates; has description; high-value type; has external URL,40.73793,-114.05568,Bonneville Salt Flats,northamerica/unitedstates/utah/wendover/bonneville_salt_flats,0.258,13.767,2.046,has_external_url,http://wendoverfun.com/,https://en.wikivoyage.org/wiki/Wendover_%28Utah/Nevada%29
northamerica/unitedstates/newmexico/taos,Taos,Taos,11,35,do,Los Rios River Runners,0.89,candidate,has coordinates; has description; high-value type; has external URL,36.3498,-105.62754,Rio Grande Gorge,northamerica/unitedstates/newmexico/taos/rio_grande_gorge,0.471,12.271,8.02,has_external_url,http://losriosriverrunners.com/,https://en.wikivoyage.org/wiki/Taos
europe/netherlands/heerlen,Heerlen,Heerlen,4,69,do,Kinderstad Heerlen,0.89,candidate,has coordinates; has description; high-value type; has external URL,50.892204,5.964399,Thermenmuseum,europe/netherlands/heerlen/thermenmuseum,0.387,1.231,2.026,has_external_url,http://www.kinderstad.nl/,https://en.wikivoyage.org/wiki/Heerlen
europe/switzerland/lucerne,Lucerne,Lucerne,13,66,do,Felsenweg Buergerstock,0.89,candidate,has coordinates; has description; high-value type; has external URL,46.99637,8.37744,Spreuer Bridge,europe/switzerland/lucerne/spreuer_bridge,0.389,8.426,8.072,has_external_url,http://www.wanderland.ch/en/routes/route-0566.html,https://en.wikivoyage.org/wiki/Lucerne
europe/unitedkingdom/england/birmingham_and_west_midlands/shrewsbury,Shrewsbury,Shrewsbury (England),6,47,see,Wroxeter Roman City,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.674292,-2.645545,St Mary's Church,europe/unitedkingdom/england/birmingham_and_west_midlands/shrewsbury/st_marys_church,0.343,8.089,8.194,has_external_url,https://www.english-heritage.org.uk/visit/places/wroxeter-roman-city/,https://en.wikivoyage.org/wiki/Shrewsbury_%28England%29
northamerica/canada/northwestterritories/yellowknife,Yellowknife,Yellowknife,12,37,do,Beck's Kennels,0.89,candidate,has coordinates; has description; high-value type; has external URL,62.42673,-114.41242,Great Slave Lake,northamerica/canada/northwestterritories/yellowknife/great_slave_lake,0.4,2.392,3.527,has_external_url,http://www.beckskennels.com/,https://en.wikivoyage.org/wiki/Yellowknife
europe/france/normandybrittany/rouen,Rouen,Rouen,25,51,see,Jardin des Plantes,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.4221,1.0771,Le Saint-Amand,europe/france/normandybrittany/rouen/le_saint_amand,0.48,2.752,2.378,has_external_url,https://www.rouen.fr/jardindesplantes,https://en.wikivoyage.org/wiki/Rouen
northamerica/canada/quebec/quebeccity,Québec City,Quebec City,39,125,see,La Promenade Samuel-De Champlain,0.89,candidate,has coordinates; has description; high-value type; has external URL,46.7579,-71.2702,Quartier Petit-Champlain,northamerica/canada/quebec/quebeccity/quartier_petit_champlain,0.48,7.657,7.791,has_external_url,http://www.capitale.gouv.qc.ca/realisations/promenade-samuel-champlain/,https://en.wikivoyage.org/wiki/Quebec_City
northamerica/unitedstates/indiana/bedford,Bedford,Bedford (Indiana),9,27,do,Sugar Creek Sporting Clays & Hunting Preserve,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.71832280516538,-86.33694229372438,Bluespring Caverns,northamerica/unitedstates/indiana/bedford/bluespring_caverns,0.4,21.083,20.559,has_external_url,https://www.sugarcreekhunting.com/,https://en.wikivoyage.org/wiki/Bedford_%28Indiana%29
northamerica/unitedstates/montana/helena,Helena,Helena (Montana),15,34,do,Great Northern Carousel,0.89,candidate,has coordinates; has description; high-value type; has external URL,46.59757,-112.05734,Great Divide Ski Area,northamerica/unitedstates/montana/helena/great_divide_ski_area,0.5,24.504,1.696,has_external_url,https://www.gncarousel.com/,https://en.wikivoyage.org/wiki/Helena_%28Montana%29
europe/spain/northernspain/oviedo,Oviedo,Oviedo,13,18,do,Real Oviedo,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.3608,-5.8702,Cathedral of San Salvador,europe/spain/northernspain/oviedo/cathedral_of_san_salvador,0.444,2.533,1.12,has_external_url,https://www.realoviedo.es/en,https://en.wikivoyage.org/wiki/Oviedo
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,do,English Institute of Sport,0.89,candidate,has coordinates; has description; high-value type; has external URL,53.3983,-1.42444,Bishop's House,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/bishopshouse,0.35,5.979,3.611,has_external_url,https://www.sheffieldcitytrust.org/venues/eis-sheffield,https://en.wikivoyage.org/wiki/Sheffield
europe/hungary/debrecen,Debrecen,Debrecen,17,130,do,Skating Rink,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.5243,21.5975,IKON Restaurant,europe/hungary/debrecen/ikon_restaurant,0.37,2.554,2.281,has_external_url,http://www.debrecenjegcsarnok.hu/,https://en.wikivoyage.org/wiki/Debrecen
europe/austria/villach,Villach,Villach,15,37,do,Golfclub Schloss Finkenstein,0.89,candidate,has coordinates; has description; high-value type; has external URL,46.5637,13.8511,Villacher Alpenstrasse,europe/austria/villach/villacher_alpenstrasse,0.4,5.072,5.897,has_external_url,https://www.golf-finkenstein.at/,https://en.wikivoyage.org/wiki/Villach
europe/denmark/aalborg,Aalborg,Aalborg,5,49,do,Musikkens Hus,0.89,candidate,has coordinates; has description; high-value type; has external URL,57.0475,9.93306,Jens Bang's House,europe/denmark/aalborg/jens_bangs_house,0.467,0.635,0.711,has_external_url,https://www.musikkenshus.dk,https://en.wikivoyage.org/wiki/Aalborg
europe/finland/pirkkala,Pirkkala,Pirkkala,2,13,see,Neulalähde,0.89,candidate,has coordinates; has description; high-value type; has external URL,61.453127,23.556628,Lake Pyhäjärvi,europe/finland/pirkkala/lake_pyhajarvi,0.25,6.74,4.977,has_external_url,https://retkipaikka.fi/pirkkalankylan-neulalahteella-onnea-ja-terveytta-ostamassa/,https://en.wikivoyage.org/wiki/Pirkkala
northamerica/unitedstates/virginia/lynchburg,Lynchburg,Lynchburg,6,54,do,Bikes Unlimited,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.411955,-79.136828,Court House Hill Historic District,northamerica/unitedstates/virginia/lynchburg/court_house_hill,0.352,0.648,0.519,has_external_url,https://www.bikesunlimited.com/,https://en.wikivoyage.org/wiki/Lynchburg
asia/india/karnataka/bangalore,Bangalore,Bangalore,36,54,see,Vydehi Institute of Medical Sciences and Research Centre,0.89,candidate,has coordinates; has description; high-value type; has external URL,12.9757,77.7291,AliBaba Cafe and Restaurant,asia/india/karnataka/bangalore/alibaba_cafe_and_r,0.41,13.654,15.064,has_external_url,https://vims.ac.in/,https://en.wikivoyage.org/wiki/Bangalore
northamerica/unitedstates/nebraska/lincoln,Lincoln,Lincoln (Nebraska),21,84,do,Round1,0.89,candidate,has coordinates; has description; high-value type; has external URL,40.81549,-96.63483,Sunken Gardens,northamerica/unitedstates/nebraska/lincoln/sunken_gardens,0.3,7.174,5.707,has_external_url,https://www.round1usa.com/,https://en.wikivoyage.org/wiki/Lincoln_%28Nebraska%29
northamerica/unitedstates/massachusetts/sturbridge,Sturbridge,Sturbridge,9,39,see,Paw Plaza,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.093489409865114,-72.08579081870951,Wells State Park,northamerica/unitedstates/massachusetts/sturbridge/wells_state_park,0.32,6.003,1.708,has_external_url,https://pawplaza.com/,https://en.wikivoyage.org/wiki/Sturbridge
europe/germany/brandenburg/cottbus,Cottbus,Cottbus,6,43,see,Flugplatzmuseum,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.764679,14.295874,Wendish Museum,europe/germany/brandenburg/cottbus/wendish_museum,0.414,2.711,2.881,has_external_url,http://www.flugplatzmuseumcottbus.de,https://en.wikivoyage.org/wiki/Cottbus
europe/germany/badenwrttemberg/ulm,Ulm,Ulm,12,35,see,Ulm Federal Fortifications,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.4115,9.983,Natural History Collection,europe/germany/badenwrttemberg/ulm/natural_history_co,0.462,1.604,1.577,has_external_url,http://www.tourismus.ulm.de/web/en/ulm-und-neu-ulm/bundesfestung-ulm/bundesfestung-ulm.php,https://en.wikivoyage.org/wiki/Ulm
europe/poland/lodz,Łódź,Łódź,7,114,see,Łódź Walk of Fame,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.7687,19.4564,Piotrkowska Street,europe/poland/lodz/piotrkowska_street,0.542,0.458,0.176,has_external_url,http://lodzfilmcommission.pl/index.php?id=1140,https://en.wikivoyage.org/wiki/%C5%81%C3%B3d%C5%BA
europe/spain/centralspain/salamanca,Salamanca,Salamanca,7,26,see,Domus Artium 2002,0.89,candidate,has coordinates; has description; high-value type; has external URL,40.9587,-5.6521,Student Quarter Bars,europe/spain/centralspain/salamanca/student_quarter,0.324,0.986,1.146,has_external_url,https://domusartium2002.com/,https://en.wikivoyage.org/wiki/Salamanca
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,do,Sheffield Steel Rollergirls,0.89,candidate,has coordinates; has description; high-value type; has external URL,53.382,-1.4623,Bishop's House,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/bishopshouse,0.341,3.254,0.544,has_external_url,https://sheffieldsteelrollergirls.co.uk/,https://en.wikivoyage.org/wiki/Sheffield
europe/finland/mikkeli,Mikkeli,Mikkeli,5,34,do,Metsälinna,0.89,candidate,has coordinates; has description; high-value type; has external URL,61.5162,27.2458,Mikkeli Cathedral,europe/finland/mikkeli/mikkeli_cathedral,0.37,19.28,19.134,has_external_url,https://www.metsalinna.com,https://en.wikivoyage.org/wiki/Mikkeli
europe/france/alpes/lyon,Lyon,Lyon,21,156,do,LOU Rugby,0.89,candidate,has coordinates; has description; high-value type; has external URL,45.723889,4.832222,Opéra de Lyon,europe/france/alpes/lyon/opera_lyon,0.421,4.884,3.772,has_external_url,http://www.lourugby.com,https://en.wikivoyage.org/wiki/Lyon
europe/belarus/minsk,Minsk,Minsk,27,78,see,Stalin's Line,0.89,candidate,has coordinates; has description; high-value type; has external URL,54.05801,27.29642,Minsk Metro,europe/belarus/minsk/minsk_metro,0.417,24.527,24.501,has_external_url,https://stalin-line.by/en/,https://en.wikivoyage.org/wiki/Minsk
northamerica/unitedstates/california/morgan_hill,Morgan Hill,Morgan Hill,4,19,do,Mohi Ranch,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.05953,-121.66509,Villa Mira Monte,northamerica/unitedstates/california/morgan_hill/villa_mira_monte,0.385,8.363,7.948,has_external_url,https://www.liveloveleal.com/experience/mohi-ranch,https://en.wikivoyage.org/wiki/Morgan_Hill
southamerica/colombia/santamarta,Santa Marta,Santa Marta,9,33,do,Adrenaline Addicts,0.89,candidate,has coordinates; has description; high-value type; has external URL,11.237068,-74.190551,El Rodadero Beach,southamerica/colombia/santamarta/el_rodadero,0.375,5.631,1.011,has_external_url,http://www.adrenalineaddicts.co/,https://en.wikivoyage.org/wiki/Santa_Marta
europe/france/aquitaine/saintes,Saintes,Saintes,6,93,do,Full Karting,0.89,candidate,has coordinates; has description; high-value type; has external URL,45.69773,-0.61688,Musée Archéologique,europe/france/aquitaine/saintes/musee_archeologique,0.323,5.344,5.509,has_external_url,http://www.saintes-karting.fr/,https://en.wikivoyage.org/wiki/Saintes
northamerica/unitedstates/ohio/zanesville,Zanesville,Zanesville,5,22,see,Prospect Place,0.89,candidate,has coordinates; has description; high-value type; has external URL,40.134722,-82.011667,Y-Bridge,northamerica/unitedstates/ohio/zanesville/y_bridge,0.182,21.675,21.644,has_external_url,http://www.gwacenter.org,https://en.wikivoyage.org/wiki/Zanesville
northamerica/unitedstates/newmexico/cloudcroft,Cloudcroft,Cloudcroft,3,11,see,Apache Point Observatory,0.89,candidate,has coordinates; has description; high-value type; has external URL,32.780278,-105.820278,The Lodge Resort,northamerica/unitedstates/newmexico/cloudcroft/the_lodge,0.278,21.082,21.017,has_external_url,http://www.apo.nmsu.edu,https://en.wikivoyage.org/wiki/Cloudcroft
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,see,Holcomb Observatory and Planetarium,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.8414,-86.1714,Crown Hill Cemetery and Dillinger's Grave,northamerica/unitedstates/indiana/indianapolis/crown_hill_cemetery,0.425,0.575,8.204,has_external_url,https://www.butler.edu/arts-sciences/holcomb-observatory/,https://en.wikivoyage.org/wiki/Indianapolis
asia/indonesia/sumatra/medan,Medan,Medan,4,86,see,Graha Maria Annai Velangkanni,0.89,candidate,has coordinates; has description; high-value type; has external URL,3.54782,98.60875,Maimun Palace,asia/indonesia/sumatra/medan/maimun_palace,0.333,8.882,8.61,has_external_url,http://velangkanni.blogspot.com/,https://en.wikivoyage.org/wiki/Medan
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,do,Greyhound racing,0.89,candidate,has coordinates; has description; high-value type; has external URL,53.4064,-1.4925,Kelham Island,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/kelham_island,0.276,2.281,3.218,has_external_url,http://www.owlertonstadium.co.uk/greyhound-racing,https://en.wikivoyage.org/wiki/Sheffield
