world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol,Bristol,Bristol,31,168,do,Gloucestershire CCC,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.477,-2.584,Stokes Croft,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol/stokes_croft,0.387,1.928,2.739,has_external_url,https://www.gloscricket.co.uk/,https://en.wikivoyage.org/wiki/Bristol
europe/unitedkingdom/wales/snowdonia/llanberis,Llanberis,Llanberis,6,13,see,Dinorwig Power Station,0.89,candidate,has coordinates; has description; high-value type; has external URL,53.118458,-4.103223,Pete's Eats,europe/unitedkingdom/wales/snowdonia/llanberis/petes_eats,0.364,1.629,1.666,has_external_url,https://www.electricmountain.co.uk/,https://en.wikivoyage.org/wiki/Llanberis
europe/netherlands/amstelveen,Amstelveen,Amstelveen,7,21,see,Poppodium P60,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.30361,4.86083,Cobra Museum,europe/netherlands/amstelveen/cobra_museum,0.532,0.468,0.118,has_external_url,http://www.p60.nl/,https://en.wikivoyage.org/wiki/Amstelveen
asia/indonesia/java/bogor,Bogor,Bogor,6,30,do,Devoyage Bogor,0.89,candidate,has coordinates; has description; high-value type; has external URL,-6.63735,106.79526,Bogor Palace (Istana Bogor),asia/indonesia/java/bogor/bogor_palace,0.385,4.381,4.559,has_external_url,http://www.devoyagebogor.com/,https://en.wikivoyage.org/wiki/Bogor
northamerica/unitedstates/california/inlandempire/ontario,Ontario,Ontario (California),12,10,see,Ontario Convention Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,34.065,-117.6069,Ontario Historic Train Depot,northamerica/unitedstates/california/inlandempire/ontario/ontario_amtrak_station,0.528,3.95,3.827,has_external_url,http://www.ontariocc.org,https://en.wikivoyage.org/wiki/Ontario_%28California%29
northamerica/unitedstates/oklahoma/tulsa,Tulsa,Tulsa,16,92,do,The Spotlight Theater,0.89,candidate,has coordinates; has description; high-value type; has external URL,36.14186,-95.99869,Woody Guthrie Center,northamerica/unitedstates/oklahoma/tulsa/woody_guthrie_center,0.432,1.858,1.693,has_external_url,https://www.tulsaspotlighttheater.com/,https://en.wikivoyage.org/wiki/Tulsa
europe/austria/schladming,Schladming,Schladming,8,23,see,Hopl,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.368107,13.646494,Planai,europe/austria/schladming/planai,0.4,4.456,4.186,has_external_url,http://www.hopl.at/,https://en.wikivoyage.org/wiki/Schladming
asia/saudiarabia/mecca,Mecca,Mecca,4,30,see,Mecca Gate,0.89,candidate,has coordinates; has description; high-value type; has external URL,21.362361,39.666722,The Clock Towers (Abraj Al-Bait),asia/saudiarabia/mecca/clock_towers,0.455,17.687,17.811,has_external_url,http://www.bawabat-makkah.com/,https://en.wikivoyage.org/wiki/Mecca
europe/albania/elbasan,Elbasan,Elbasan,8,29,do,Sofra e Shpatit,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.039598,20.196524,Restaurant Skampini,europe/albania/elbasan/restaurant_skampini,0.412,12.552,12.566,has_external_url,https://nciztfz5u7htfswg0ck8a9w7zfqiamwn.vercel.app/,https://en.wikivoyage.org/wiki/Elbasan
northamerica/unitedstates/northcarolina/chapelhill,Chapel Hill,Chapel Hill,11,65,do,Local 506,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.91033,-79.06382,Old Well,northamerica/unitedstates/northcarolina/chapelhill/old_well,0.353,1.271,0.79,has_external_url,http://www.local506.com/,https://en.wikivoyage.org/wiki/Chapel_Hill
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,do,Sheffield Sharks,0.89,candidate,has coordinates; has description; high-value type; has external URL,53.3984,-1.42469,Bishop's House,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/bishopshouse,0.4,5.979,3.603,has_external_url,https://sheffieldsharks.co.uk/,https://en.wikivoyage.org/wiki/Sheffield
europe/hungary/sopron,Sopron,Sopron,9,234,do,Crazy Garage (exit game),0.89,candidate,has coordinates; has description; high-value type; has external URL,47.67331,16.60437,Széchenyi Square,europe/hungary/sopron/szechenyi_square,0.357,1.594,0.899,has_external_url,http://www.sopron.crazygarage.hu/home,https://en.wikivoyage.org/wiki/Sopron
northamerica/unitedstates/california/orangecounty/anaheim,Anaheim,Anaheim,4,22,do,Flightdeck Air Combat Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,33.80603,-117.91148,Honda Center,northamerica/unitedstates/california/orangecounty/anaheim/honda_center,0.5,3.219,3.199,has_external_url,https://www.flightdeck1.com/,https://en.wikivoyage.org/wiki/Anaheim
northamerica/unitedstates/california/centralvalley/fresno,Fresno,Fresno,7,59,do,Blackbeards Family Fun Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,36.79133,-119.7298,Old Fresno Water Tower,northamerica/unitedstates/california/centralvalley/fresno/old_fresno_water_tower,0.353,7.738,7.573,has_external_url,https://blackbeards.com/,https://en.wikivoyage.org/wiki/Fresno
europe/spain/catalonia/mataro,Mataró,Mataró,6,61,do,Tarannà Parc Forestal,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.565986,2.42956,Can Marfà Knitwear Museum,europe/spain/catalonia/mataro/can_marfa_knitwear_museum,0.364,3.475,3.175,has_external_url,https://www.tarannamataro.cat/,https://en.wikivoyage.org/wiki/Matar%C3%B3
europe/unitedkingdom/england/south_east/reading,Reading,Reading (England),5,52,do,Thames Rivercruise,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.4666777,-0.9795266,Reading Museum,europe/unitedkingdom/england/south_east/reading/reading_museum,0.312,1.257,1.712,has_external_url,http://www.thamesrivercruise.co.uk/,https://en.wikivoyage.org/wiki/Reading_%28England%29
southamerica/chile/antofagasta,Antofagasta,Antofagasta,5,8,see,Ruinas de Huanchaca,0.89,candidate,has coordinates; has description; high-value type; has external URL,-23.685953,-70.411381,Regional Museum of Antofagasta,southamerica/chile/antofagasta/regional_museum,0.435,4.576,4.607,has_external_url,http://www.ruinasdehuanchaca.cl/,https://en.wikivoyage.org/wiki/Antofagasta
northamerica/unitedstates/california/berkeley,Berkeley,Berkeley,13,87,do,Adventure Playground,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.863179,-122.316665,Tilden Regional Park,northamerica/unitedstates/california/berkeley/tilden_regional_park,0.45,7.46,3.945,has_external_url,https://berkeleyca.gov/community-recreation/parks-recreation/facilities/adventure-playground,https://en.wikivoyage.org/wiki/Berkeley
northamerica/unitedstates/utah/wendover,Wendover,Wendover (Utah/Nevada),5,28,see,Pilot Travel Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,40.73975,-114.06643,Metaphor: The Tree of Utah,northamerica/unitedstates/utah/wendover/metaphor_tree_of_utah,0.35,21.189,2.961,has_external_url,https://www.pilotflyingj.com/stores/147,https://en.wikivoyage.org/wiki/Wendover_%28Utah/Nevada%29
australiaandpacific/newzealand/north_island/waikato/hamilton,Hamilton,Hamilton (New Zealand),13,18,do,Agricultural Fieldays,0.89,candidate,has coordinates; has description; high-value type; has external URL,-37.873,175.3485,Waikato River Trails,australiaandpacific/newzealand/north_island/waikato/hamilton/waikato_river_trails,0.439,11.16,11.129,has_external_url,http://www.fieldays.co.nz/,https://en.wikivoyage.org/wiki/Hamilton_%28New_Zealand%29
europe/estonia/tallinn,Tallinn,Tallinn,57,163,see,Song Festival Grounds,0.89,candidate,has coordinates; has description; high-value type; has external URL,59.44438,24.80794,NOA Restaurant,europe/estonia/tallinn/noa_restaurant,0.457,2.06,2.973,has_external_url,http://lauluvaljak.ee/en/,https://en.wikivoyage.org/wiki/Tallinn
northamerica/unitedstates/mississippi/jackson,Jackson,Jackson (Mississippi),20,54,do,John M. Perkins Foundation,0.89,candidate,has coordinates; has description; high-value type; has external URL,32.30469,-90.21632,Old Greyhound Bus Station,northamerica/unitedstates/mississippi/jackson/old_greyhound_bus_station,0.48,2.905,3.034,has_external_url,https://jvmpf.org/,https://en.wikivoyage.org/wiki/Jackson_%28Mississippi%29
europe/croatia/krka_national_park_1,Krka National Park,Krka National Park,0,24,see,Oziđana pećina,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.90754,15.980558,,,0.0,,1.276,has_external_url,http://www.npkrka.hr/stranice/ozidjana-pecina/119/en.html,https://en.wikivoyage.org/wiki/Krka_National_Park
