world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/greece/philippi,Philippi,Philippi,9,18,see,Dikili Tash,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.01,24.3097,Basilica A,europe/greece/philippi/basilica_a,0.421,2.108,2.189,has_external_url,http://www.dikili-tash.fr/content_en/presentation/presentation.htm,https://en.wikivoyage.org/wiki/Philippi
northamerica/unitedstates/kentucky/louisville,Louisville,Louisville,12,140,see,Copper and Kings,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.2575,-85.7317,Churchill Downs,northamerica/unitedstates/kentucky/louisville/churchill_downs,0.323,6.793,2.446,has_external_url,http://www.copperandkings.com/,https://en.wikivoyage.org/wiki/Louisville
northamerica/unitedstates/california/centralcoast/monterey/bigsur,Big Sur,Big Sur,3,22,see,New Camaldoli Hermitage,0.89,candidate,has coordinates; has description; high-value type; has external URL,36.02622,-121.53595,The Sea-Wolf,northamerica/unitedstates/california/centralcoast/monterey/bigsur/the_sea_wolf,0.258,,13.314,has_external_url,http://www.contemplation.com,https://en.wikivoyage.org/wiki/Big_Sur
asia/philippines/negrosisland/silay,Silay,Silay,10,17,see,St. Theresita's Academy,0.89,candidate,has coordinates; has description; high-value type; has external URL,10.7944,122.974,Cesar Lacson Locsin Ancestral House (El Ideal Bakery),asia/philippines/negrosisland/silay/cesar_lacson_locsin_ancestral_house,0.541,0.459,0.583,has_external_url,http://sta-silay.com/,https://en.wikivoyage.org/wiki/Silay
europe/belgium/antwerp,Antwerp,Antwerp,47,64,see,FotoMuseum,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.20895,4.38778,M HKA — Museum of Contemporary Art,europe/belgium/antwerp/muhka,0.542,0.458,1.587,has_external_url,http://www.fotomuseum.be/,https://en.wikivoyage.org/wiki/Antwerp
europe/unitedkingdom/england/eastern_england/greatyarmouth,Great Yarmouth,Great Yarmouth,10,40,see,Somerleyton Hall,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.5207,1.67308,Fishermen's Hospital,europe/unitedkingdom/england/eastern_england/greatyarmouth/fishermens_hospital,0.5,10.593,10.394,has_external_url,http://www.somerleyton.co.uk,https://en.wikivoyage.org/wiki/Great_Yarmouth
asia/indonesia/kalimantan/balikpapan,Balikpapan,Balikpapan,4,33,see,KWPLH Balikpapan,0.89,candidate,has coordinates; has description; high-value type; has external URL,-1.109812,116.903937,Battle of Balikpapan Memorial,asia/indonesia/kalimantan/balikpapan/battle_of_balikpapan_memorial,0.533,17.699,15.293,has_external_url,https://www.beruangmadu.org/,https://en.wikivoyage.org/wiki/Balikpapan
europe/spain/andalucia/seville,Seville,Seville,18,48,do,Real Betis,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.3565,-5.9839,Real Alcázar,europe/spain/andalucia/seville/real_alcazar,0.455,3.043,3.713,has_external_url,http://www.realbetisbalompie.es/en/,https://en.wikivoyage.org/wiki/Seville
northamerica/unitedstates/massachusetts/sturbridge,Sturbridge,Sturbridge,9,39,do,Leadmine Mountain Trails,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.0969,-72.0916,Publick House Historic Inn Restaurant,northamerica/unitedstates/massachusetts/sturbridge/publick_house,0.393,1.467,1.559,has_external_url,https://www.treksturbridge.org/leadmine-mountain,https://en.wikivoyage.org/wiki/Sturbridge
northamerica/unitedstates/rhodeisland/newport,Newport,Newport (Rhode Island),10,111,see,Belcourt of Newport,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.4575,-71.30627,Marble House,northamerica/unitedstates/rhodeisland/newport/marble_house,0.486,0.514,2.981,has_external_url,https://www.belcourt.com/,https://en.wikivoyage.org/wiki/Newport_%28Rhode_Island%29
europe/sweden/uppsala,Uppsala,Uppsala,18,180,do,Wikbadet,0.89,candidate,has coordinates; has description; high-value type; has external URL,59.734771906094,17.462600158848,Katalin,europe/sweden/uppsala/katalin,0.4,17.146,16.93,has_external_url,https://www.uppsala.se/kultur-och-fritid/aktiviteter-motion-och-idrott/motion-och-bad/badplatser/wikbadet/,https://en.wikivoyage.org/wiki/Uppsala
northamerica/canada/manitoba/winnipeg,Winnipeg,Winnipeg,22,164,do,Grand Prix Amusements,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.8515,-97.0063,Manitoba Museum,northamerica/canada/manitoba/winnipeg/manitoba_museum,0.5,10.948,10.662,has_external_url,http://www.grandprixamusements.com,https://en.wikivoyage.org/wiki/Winnipeg
northamerica/unitedstates/alabama/birmingham,Birmingham,Birmingham (Alabama),59,74,do,WorkPlay,0.89,candidate,has coordinates; has description; high-value type; has external URL,33.509801,-86.797311,Parkside Bar and Cafe,northamerica/unitedstates/alabama/birmingham/beauty_craft,0.481,0.519,1.301,has_external_url,http://www.workplay.com,https://en.wikivoyage.org/wiki/Birmingham_%28Alabama%29
europe/hungary/budapest,Budapest,Budapest,57,94,see,Zugliget Chair-lift,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.51658,18.97447,Gellért Hill,europe/hungary/budapest/gellert_hill,0.452,6.441,5.356,has_external_url,http://www.bkk.hu/,https://en.wikivoyage.org/wiki/Budapest
