world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
africa/southafrica/durban,Durban,Durban,55,54,see,MINITOWN,0.89,candidate,has coordinates; has description; high-value type; has external URL,-29.84462,31.0356,Morningside,africa/southafrica/durban/morningside,0.421,2.992,2.055,has_external_url,http://www.minitowndbn.co.za/,https://en.wikivoyage.org/wiki/Durban
northamerica/unitedstates/florida/lakeland,Lakeland,Lakeland,7,37,do,Silver Moon Drive-In & Swap Shop,0.89,candidate,has coordinates; has description; high-value type; has external URL,28.03541,-82.017779,Joker Marchant Stadium,northamerica/unitedstates/florida/lakeland/joker_marchant_stadium,0.357,5.191,6.687,has_external_url,http://silvermoondrivein.com,https://en.wikivoyage.org/wiki/Lakeland
northamerica/canada/ontario/ottawa,Ottawa,Ottawa,23,271,see,Ottawa 67's,0.89,candidate,has coordinates; has description; high-value type; has external URL,45.398886,-75.684122,The Glebe,northamerica/canada/ontario/ottawa/the_glebe,0.513,0.487,2.714,has_external_url,http://ottawa67s.com/,https://en.wikivoyage.org/wiki/Ottawa
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/weymouth,Weymouth,Weymouth,6,14,do,Southside Funfair,0.89,candidate,has coordinates; has description; high-value type; has external URL,50.63692,-2.42082,Nothe Fort,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/weymouth/nothe_fort,0.519,3.877,3.847,has_external_url,https://southsidefunfair.co.uk/,https://en.wikivoyage.org/wiki/Weymouth
northamerica/unitedstates/northdakota/williston,Williston,Williston (North Dakota),8,27,do,Strike Zone,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.16169,-103.62514,Missouri River Recreation,northamerica/unitedstates/northdakota/williston/missouri_river_recreation,0.333,,1.702,has_external_url,https://strikezonend.com/,https://en.wikivoyage.org/wiki/Williston_%28North_Dakota%29
asia/china/shandong_province/yantai,Yantai,Yantai,4,26,see,Mu Family Manor,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.4705,121.446,Yantai Hill Park,asia/china/shandong_province/yantai/yantai_hill_park,0.325,0.675,0.764,has_external_url,https://www.crmixclifestyle.com.cn/,https://en.wikivoyage.org/wiki/Yantai
asia/indonesia/bali/sanur,Sanur,Sanur,12,38,see,Bali Store Luggage,0.89,candidate,has coordinates; has description; high-value type; has external URL,-8.7012,115.2459,Warung Mak Beng,asia/indonesia/bali/sanur/warung_mak_beng,0.364,3.196,2.316,has_external_url,http://www.balistoreluggage.com,https://en.wikivoyage.org/wiki/Sanur
northamerica/unitedstates/maine/ellsworth,Ellsworth,Ellsworth (Maine),6,39,do,Downeast Scenic Railroad,0.89,candidate,has coordinates; has description; high-value type; has external URL,44.55498,-68.37839,Big Chicken Barn,northamerica/unitedstates/maine/ellsworth/big_chicken_barn,0.35,12.565,3.503,has_external_url,https://www.downeastscenicrail.org/,https://en.wikivoyage.org/wiki/Ellsworth_%28Maine%29
northamerica/unitedstates/virginia/alexandria,Alexandria,Alexandria (Virginia),7,64,see,Ivy Hill Cemetery,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.8175,-77.0736,Christ Church,northamerica/unitedstates/virginia/alexandria/christ_church,0.333,2.58,2.686,has_external_url,http://www.ivyhill.org/,https://en.wikivoyage.org/wiki/Alexandria_%28Virginia%29
europe/france/nord/lille,Lille,Lille,22,79,see,Villa Cavrois,0.89,candidate,has coordinates; has description; high-value type; has external URL,50.6668341373,3.1640662189,Vieille Bourse,europe/france/nord/lille/vieille_bourse,0.519,7.841,7.847,has_external_url,https://www.villa-cavrois.fr/en,https://en.wikivoyage.org/wiki/Lille
europe/unitedkingdom/england/gloucestershire/cheltenham,Cheltenham,Cheltenham,10,51,see,Hailes Abbey,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.969022,-1.928841,Le Champignon Sauvage,europe/unitedkingdom/england/gloucestershire/cheltenham/le_champignon_sauvage,0.4,13.301,12.443,has_external_url,https://www.english-heritage.org.uk/visit/places/hailes-abbey/,https://en.wikivoyage.org/wiki/Cheltenham
