world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/hungary/sopron,Sopron,Sopron,9,234,see,Füredi house,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.68435,16.59293,Taródi Castle,europe/hungary/sopron/tarodi_castle,0.48,2.361,0.605,has_external_url,http://muemlekem.hu/muemlek?id=5068,https://en.wikivoyage.org/wiki/Sopron
asia/malaysia/perhentianislands,Perhentian Islands,Perhentian Islands,9,35,do,Panorama Divers,0.89,candidate,has coordinates; has description; high-value type; has external URL,5.91967,102.72195,Tiga Ruang Dive Site,asia/malaysia/perhentianislands/tiga_ruang,0.457,1.263,1.298,has_external_url,http://www.panoramaperhentianisland.com/,https://en.wikivoyage.org/wiki/Perhentian_Islands
europe/poland/zabrze,Zabrze,Zabrze,3,19,do,Zabrze Philharmonic,0.89,candidate,has coordinates; has description; high-value type; has external URL,50.312102,18.785629,Arena Zabrze,europe/poland/zabrze/arena_zabrze,0.387,2.133,0.391,has_external_url,http://www.filharmonia.zabrze.pl/,https://en.wikivoyage.org/wiki/Zabrze
europe/denmark/silkeborg,Silkeborg,Silkeborg,8,26,do,Labyrinthia,0.89,candidate,has coordinates; has description; high-value type; has external URL,56.106628,9.575703,Colour Fountain,europe/denmark/silkeborg/colour_fountain,0.385,7.145,7.172,has_external_url,https://labyrinthia.dk/en/home/,https://en.wikivoyage.org/wiki/Silkeborg
northamerica/unitedstates/georgia/fortoglethorpe,Fort Oglethorpe,Fort Oglethorpe (Georgia),2,7,see,Chickamauga Coke Ovens,0.89,candidate,has coordinates; has description; high-value type; has external URL,34.8814,-85.2952,Chickamauga and Chattanooga National Military Park,northamerica/unitedstates/georgia/fortoglethorpe/chickamauga_battlefield,0.361,6.579,8.865,has_external_url,http://cityofchickamauga.org/about-history-cokeovens.asp,https://en.wikivoyage.org/wiki/Fort_Oglethorpe_%28Georgia%29
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/harrogate,Harrogate,Harrogate,13,20,see,Brimham Rocks,0.89,candidate,has coordinates; has description; high-value type; has external URL,54.0778,-1.6753,Royal Pump Room Museum,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/harrogate/royal_pump_room_museum,0.4,12.585,13.031,has_external_url,https://www.nationaltrust.org.uk/visit/yorkshire/brimham-rocks,https://en.wikivoyage.org/wiki/Harrogate
northamerica/nicaragua/len,León,León (Nicaragua),12,79,see,Spanish Lessons León,0.89,candidate,has coordinates; has description; high-value type; has external URL,12.43364,-86.88673,Museo de Tradiciones y Leyendas,northamerica/nicaragua/len/museo_tradiciones_leyendas,0.4,0.873,0.954,has_external_url,https://spanishlessonsleon.wixsite.com/spanish-lessons-leon/,https://en.wikivoyage.org/wiki/Le%C3%B3n_%28Nicaragua%29
northamerica/unitedstates/newyorkstate/syracuse,Syracuse,Syracuse (New York),11,70,do,St. Elias Middle Eastern Festival,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.012496,-76.203178,Landmark Theatre,northamerica/unitedstates/newyorkstate/syracuse/landmark_theatre,0.375,5.654,6.019,has_external_url,http://syracusemideastfest.com/,https://en.wikivoyage.org/wiki/Syracuse_%28New_York%29
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,do,Heartland Crossing,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.62915,-86.30275,City Market and the Catacombs,northamerica/unitedstates/indiana/indianapolis/city_market,0.465,20.022,19.797,has_external_url,http://www.heartlandcrossinggolf.com,https://en.wikivoyage.org/wiki/Indianapolis
asia/china/jiangsu_province/nanjing,Nanjing,Nanjing,51,72,see,Pearl Spring Scenic Area,0.89,candidate,has coordinates; has description; high-value type; has external URL,32.1265935223,118.6575686748,Nanjing Botanical Garden,asia/china/jiangsu_province/nanjing/nanjing_botanical_garden,0.5,18.902,14.672,has_external_url,http://en.zzqfjq.com/,https://en.wikivoyage.org/wiki/Nanjing
northamerica/unitedstates/nebraska/omaha,Omaha,Omaha,10,120,see,Malcolm X Birthsite,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.290511,-95.963581,Joslyn Art Museum,northamerica/unitedstates/nebraska/omaha/joslyn_art_museum,0.389,3.076,4.112,has_external_url,https://www.visitomaha.com/listings/malcolm-x-birthsite/57385/,https://en.wikivoyage.org/wiki/Omaha
