world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/japan/shikoku/tokushima,Tokushima,Tokushima,13,14,see,House of Indigo,0.89,candidate,has coordinates; has description; high-value type; has external URL,34.11561,134.48228,Tokushima Castle Ruins,asia/japan/shikoku/tokushima/tokushima_castle,0.378,8.086,8.277,has_external_url,https://ainoyakata.jp/,https://en.wikivoyage.org/wiki/Tokushima
europe/spain/spanishcostas/denia,Dénia,Dénia,3,33,see,Tourist Info Dénia,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.84035,0.11265,Dénia Castle,europe/spain/spanishcostas/denia/denia_castle,0.385,0.615,0.569,has_external_url,http://en.denia.net/en,https://en.wikivoyage.org/wiki/D%C3%A9nia
europe/unitedkingdom/england/gloucestershire/stowonthewold,Stow-on-the-Wold,Stow-on-the-Wold,4,20,do,Foxholes,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.881603,-1.636758,Antique Shops,europe/unitedkingdom/england/gloucestershire/stowonthewold/antique_shops,0.286,7.988,8.024,has_external_url,http://www.woodlandtrust.org.uk/visiting-woods/wood/26018/foxholes/,https://en.wikivoyage.org/wiki/Stow-on-the-Wold
europe/germany/saxony/leipzig,Leipzig,Leipzig,16,133,do,Sightseeing by tram,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.346,12.379,Museum der bildenden Künste,europe/germany/saxony/leipzig/museum_der_bildenden_kuenste,0.516,0.484,0.666,has_external_url,https://shop.lvb.de/ticket-abo.html,https://en.wikivoyage.org/wiki/Leipzig
europe/ukraine/kyiv,Kyiv,Kyiv,52,205,see,Romania,0.89,candidate,has coordinates; has description; high-value type; has external URL,50.44655,30.50313,Kanapa,europe/ukraine/kyiv/kanapa,0.462,1.725,1.534,has_external_url,http://kiev.mae.ro/en,https://en.wikivoyage.org/wiki/Kyiv
europe/france/midi/languedoc/toulouse,Toulouse,Toulouse,8,49,see,Halle de la Machine,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.573,1.4781,Basilique Saint-Sernin,europe/france/midi/languedoc/toulouse/basilique_saint_sernin,0.457,4.949,4.459,has_external_url,https://www.halledelamachine.fr,https://en.wikivoyage.org/wiki/Toulouse
europe/hungary/sopron,Sopron,Sopron,9,234,do,Aréna Sopron,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.6926,16.5831,Taródi Castle,europe/hungary/sopron/tarodi_castle,0.4,2.029,1.781,has_external_url,http://www.mkbarenasopron.hu/,https://en.wikivoyage.org/wiki/Sopron
europe/ireland/cashel,Cashel,Cashel,4,13,do,Tipperary Raceway,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.4676,-7.7932,Brú Ború Cultural Centre,europe/ireland/cashel/bru_boru,0.308,8.391,8.603,has_external_url,http://www.tipperaryracewaysora.com/,https://en.wikivoyage.org/wiki/Cashel
northamerica/unitedstates/missouri/kansascity,Kansas City,Kansas City,56,127,do,Ameristar Casino,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.15013,-94.48455,American Jazz Museum,northamerica/unitedstates/missouri/kansascity/american_jazz_museum,0.444,8.786,9.809,has_external_url,https://www.ameristarkansascity.com/,https://en.wikivoyage.org/wiki/Kansas_City
europe/finland/espoo,Espoo,Espoo,9,82,do,Länsiväyläjuoksu,0.89,candidate,has coordinates; has description; high-value type; has external URL,60.1857,24.8349,Aalto University Otaniemi Campus,europe/finland/espoo/aalto_university,0.359,0.641,10.118,has_external_url,http://www.lansivaylajuoksu.fi,https://en.wikivoyage.org/wiki/Espoo
southamerica/venezuela/cumana,Cumaná,Cumaná,9,18,see,Naviarca,0.89,candidate,has coordinates; has description; high-value type; has external URL,10.46903,-64.19025,Río Manzanares,southamerica/venezuela/cumana/manzanares_river,0.273,3.333,4.154,has_external_url,http://www.grancacique.com.ve/,https://en.wikivoyage.org/wiki/Cuman%C3%A1
