world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/ukraine/kyiv,Kyiv,Kyiv,52,205,see,Belarus,0.89,candidate,has coordinates; has description; high-value type; has external URL,50.44667,30.50396,Saint Volodymyr's Cathedral,europe/ukraine/kyiv/saint_volodymyrs_cathedral,0.459,0.541,1.473,has_external_url,http://ukraine.mfa.gov.by/,https://en.wikivoyage.org/wiki/Kyiv
africa/southafrica/houtbay,Hout Bay,Hout Bay,9,7,do,2 Oceans Maritime Academy,0.89,candidate,has coordinates; has description; high-value type; has external URL,-34.0277,18.3497,Lichtenstein Castle,africa/southafrica/houtbay/lichtenstein_castle,0.455,1.765,1.797,has_external_url,http://www.2oceansmaritimeacademy.com/,https://en.wikivoyage.org/wiki/Hout_Bay
northamerica/mexico/sanmigueldeallende,San Miguel de Allende,San Miguel de Allende,6,87,see,Language Point,0.89,candidate,has coordinates; has description; high-value type; has external URL,20.90696,-100.75145,Instituto Allende,northamerica/mexico/sanmigueldeallende/instituto_allende,0.475,0.525,1.138,has_external_url,http://www.languagepoint.org,https://en.wikivoyage.org/wiki/San_Miguel_de_Allende
northamerica/unitedstates/tennessee/chattanooga,Chattanooga,Chattanooga,20,86,see,Reflection Riding Arboretum and Nature Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.0456,-85.2672,International Towing and Recovery Museum,northamerica/unitedstates/tennessee/chattanooga/international_towing_museum,0.447,5.208,3.851,has_external_url,http://reflectionriding.org/,https://en.wikivoyage.org/wiki/Chattanooga
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,do,Blue Ice Skating Rink,0.89,candidate,has coordinates; has description; high-value type; has external URL,1.515897,103.685454,KSL City Shopping Mall,asia/malaysia/johorbahru/ksl_city_shopping,0.419,9.458,10.916,has_external_url,https://www.blueiceskatingrink.com/,https://en.wikivoyage.org/wiki/Johor_Bahru
southamerica/argentina/rosario,Rosario,Rosario,7,25,do,City Center Rosario,0.89,candidate,has coordinates; has description; high-value type; has external URL,-33.009739,-60.662567,Costanera and Waterfront,southamerica/argentina/rosario/costanera,0.372,7.709,5.602,has_external_url,https://www.citycenter-rosario.com.ar/,https://en.wikivoyage.org/wiki/Rosario
northamerica/unitedstates/southcarolina/greenville,Greenville,Greenville (South Carolina),10,71,do,TD Convention Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,34.852329,-82.3543796,Peace Center,northamerica/unitedstates/southcarolina/greenville/peace_center,0.5,4.301,4.027,has_external_url,https://meetgcc.com/,https://en.wikivoyage.org/wiki/Greenville_%28South_Carolina%29
asia/vietnam/danang,Da Nang,Da Nang,4,80,see,Ba Na Hill Station,0.89,candidate,has coordinates; has description; high-value type; has external URL,16.02577,108.0314,Marble Mountains,asia/vietnam/danang/marble_mountains,0.412,23.71,19.862,has_external_url,https://vevin.vn,https://en.wikivoyage.org/wiki/Da_Nang
northamerica/unitedstates/georgia/augusta,Augusta,Augusta (Georgia),9,53,see,Old Government House,0.89,candidate,has coordinates; has description; high-value type; has external URL,33.468953,-81.959361,Lower Broad Street Bar Scene,northamerica/unitedstates/georgia/augusta/broad_street_bars,0.375,1.522,1.453,has_external_url,http://www.augustaga.gov/index.aspx?NID=1086,https://en.wikivoyage.org/wiki/Augusta_%28Georgia%29
europe/hungary/sopron,Sopron,Sopron,9,234,do,Soproni Land Protective Circle,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.6584,16.5562,Roman Remains of Scarbantia,europe/hungary/sopron/roman_remains,0.351,3.656,3.987,has_external_url,http://www.ferto-hansag.hu,https://en.wikivoyage.org/wiki/Sopron
australiaandpacific/newzealand/greymouth,Greymouth,Greymouth,6,51,do,Coal Creek Falls,0.89,candidate,has coordinates; has description; high-value type; has external URL,-42.408146,171.253362,Left Bank Art Gallery,australiaandpacific/newzealand/greymouth/left_bank_art_gallery,0.378,5.744,5.986,has_external_url,https://www.doc.govt.nz/parks-and-recreation/places-to-go/west-coast/places/greymouth-area/things-to-do/tracks/coal-creek-track/,https://en.wikivoyage.org/wiki/Greymouth
europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham,Birmingham,Birmingham,16,180,do,Cineworld,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.47417,-1.91565,Cadbury World,europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham/cadbury_world,0.545,4.762,1.071,has_external_url,http://www.cineworld.co.uk/,https://en.wikivoyage.org/wiki/Birmingham
northamerica/unitedstates/northdakota/bismarck,Bismarck,Bismarck,5,33,see,Bismarck Art and Galleries Association,0.89,candidate,has coordinates; has description; high-value type; has external URL,46.80463,-100.78494,North Dakota State Capitol,northamerica/unitedstates/northdakota/bismarck/north_dakota_state_capitol,0.312,1.715,0.421,has_external_url,https://bismarck-art.org/,https://en.wikivoyage.org/wiki/Bismarck
northamerica/unitedstates/florida/leesburg,Leesburg,Leesburg (Florida),4,12,do,Sabal Bluff Preserve,0.89,candidate,has coordinates; has description; high-value type; has external URL,28.8302,-81.8328,Lake Griffin State Park,northamerica/unitedstates/florida/leesburg/lake_griffin_state_park,0.326,7.039,4.852,has_external_url,https://www.lcwa.org/82949-5%20LCWA_Sabal.pdf,https://en.wikivoyage.org/wiki/Leesburg_%28Florida%29
northamerica/unitedstates/nevada/blackrockcity,Black Rock City,Black Rock City,0,10,see,The Man,0.89,candidate,has coordinates; has description; high-value type; has external URL,40.782622,-119.208264,,,0.0,,1.266,has_external_url,http://www.burningman.com,https://en.wikivoyage.org/wiki/Black_Rock_City
asia/thailand/pai,Pai,Pai,11,33,see,Village Farm,0.89,candidate,has coordinates; has description; high-value type; has external URL,19.3577,98.4493,Hill Tribe Village Treks,asia/thailand/pai/hill_tribe_villages,0.5,8.108,1.041,has_external_url,http://www.paivillage.com,https://en.wikivoyage.org/wiki/Pai
europe/sweden/ume,Umeå,Umeå,9,52,see,Robäck's 4H Farm,0.89,candidate,has coordinates; has description; high-value type; has external URL,63.804829,20.220886,Umeå City Church,europe/sweden/ume/umea_city_church,0.323,3.107,3.106,has_external_url,https://robacks4h.se/,https://en.wikivoyage.org/wiki/Ume%C3%A5
europe/germany/schleswigholstein/kiel,Kiel,Kiel,8,68,see,Gorch Fock,0.89,candidate,has coordinates; has description; high-value type; has external URL,54.3533964,10.1431597,Holtenau Locks,europe/germany/schleswigholstein/kiel/holtenau_locks,0.417,1.93,3.449,has_external_url,http://www.gorchfock.de/,https://en.wikivoyage.org/wiki/Kiel
europe/finland/rovaniemi,Rovaniemi,Rovaniemi,8,183,do,Niskanperä bird watching tower,0.89,candidate,has coordinates; has description; high-value type; has external URL,66.45495,25.61239,Northern Lights Viewing,europe/finland/rovaniemi/northern_lights,0.346,7.45,7.446,has_external_url,https://www.etiainen.fi/gpsalbum/Paavalniemi-bird-watching-tower/vwemqvho/3756ad46-eff5-4450-b427-12df863589bf,https://en.wikivoyage.org/wiki/Rovaniemi
northamerica/unitedstates/california/berkeley,Berkeley,Berkeley,13,87,see,Ecology Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.85995,-122.28958,Cheese Board Collective,northamerica/unitedstates/california/berkeley/cheese_board_collective,0.378,2.847,1.911,has_external_url,https://ecologycenter.org,https://en.wikivoyage.org/wiki/Berkeley
europe/netherlands/apeldoorn,Apeldoorn,Apeldoorn,18,26,do,Omnisport,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.2097,5.9969,Koningin Julianatoren,europe/netherlands/apeldoorn/julianatoren,0.333,4.188,1.847,has_external_url,https://omnisport.nl/,https://en.wikivoyage.org/wiki/Apeldoorn
europe/germany/saxony/dresden,Dresden,Dresden,31,149,do,Elberadweg,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.077401,13.668073,Brühl Terrace,europe/germany/saxony/dresden/bruhl_terrace,0.435,5.728,5.807,has_external_url,https://www.elberadweg.de/,https://en.wikivoyage.org/wiki/Dresden
europe/unitedkingdom/scotland/portsoy,Portsoy,Portsoy,0,6,do,Blue Coast Surf & Paddle,0.89,candidate,has coordinates; has description; high-value type; has external URL,57.6926,-2.829,,,0.0,,8.205,has_external_url,https://www.bluecoastcullen.co.uk/,https://en.wikivoyage.org/wiki/Portsoy
europe/spain/spanishcostas/alicante,Alicante,Alicante,8,74,do,Yelmo Cines,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.34207,-0.51795,Explanada de España,europe/spain/spanishcostas/alicante/explanada_de_espana,0.4,2.973,2.603,has_external_url,http://www.yelmocines.es/cartelera/alicante/yelmo-cines-puerta-de-alicante,https://en.wikivoyage.org/wiki/Alicante
northamerica/unitedstates/wisconsin/madison,Madison,Madison,11,84,see,Governor's Mansion,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.1087,-89.3698,Henry Vilas Zoo,northamerica/unitedstates/wisconsin/madison/henry_vilas_zoo,0.424,6.786,3.958,has_external_url,http://wisconsinexecutiveresidence.com/,https://en.wikivoyage.org/wiki/Madison
