world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/unitedkingdom/england/birmingham_and_west_midlands/shrewsbury,Shrewsbury,Shrewsbury (England),6,47,see,Haughmond Abbey,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.7324,-2.6801,Shrewsbury Abbey,europe/unitedkingdom/england/birmingham_and_west_midlands/shrewsbury/shrewsbury_abbey,0.516,5.203,5.69,has_external_url,https://www.english-heritage.org.uk/visit/places/haughmond-abbey/,https://en.wikivoyage.org/wiki/Shrewsbury_%28England%29
northamerica/canada/ontario/stcatharines,St. Catharines,St. Catharines,12,62,see,Morningstar Mill,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.110267,-79.264542,Niagara Wineries (Short Hills Bench),northamerica/canada/ontario/stcatharines/niagara_wineries,0.438,7.354,5.559,has_external_url,http://www.morningstarmill.ca/,https://en.wikivoyage.org/wiki/St._Catharines
europe/netherlands/heerlen,Heerlen,Heerlen,4,69,do,Neoliet,0.89,candidate,has coordinates; has description; high-value type; has external URL,50.879505,6.007478,Schelmentoren,europe/netherlands/heerlen/schelmentoren,0.4,2.121,1.835,has_external_url,http://www.neoliet.nl/,https://en.wikivoyage.org/wiki/Heerlen
europe/hungary/sopron,Sopron,Sopron,9,234,see,Károly Lookout Tower,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.66631,16.56909,Firewatch Tower,europe/hungary/sopron/firewatch_tower,0.457,2.354,2.687,has_external_url,http://www.sopron.hu/Sopron/portal/english_show?contentId=2145,https://en.wikivoyage.org/wiki/Sopron
northamerica/unitedstates/oklahoma/broken_bow,Broken Bow,Broken Bow (Oklahoma),11,8,do,FishTales Winery & Vineyard,0.89,candidate,has coordinates; has description; high-value type; has external URL,34.14502,-94.74777,Abendigo's Grill and Patio,northamerica/unitedstates/oklahoma/broken_bow/abendigos_grill,0.4,3.304,12.926,has_external_url,http://www.fishtaleswine.com/,https://en.wikivoyage.org/wiki/Broken_Bow_%28Oklahoma%29
europe/netherlands/amersfoort,Amersfoort,Amersfoort,16,35,see,Cavaleriemuseum,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.14875,5.352917,DierenPark Amersfoort,europe/netherlands/amersfoort/dierenpark_amersfoort,0.453,0.547,4.167,has_external_url,http://www.cavaleriemuseum.nl,https://en.wikivoyage.org/wiki/Amersfoort
asia/indonesia/maluku/ambon,Ambon,Ambon,5,38,see,Ambon War Cemetery,0.89,candidate,has coordinates; has description; high-value type; has external URL,-3.674812,128.191813,Martha Christina Tiahahu Monument,asia/indonesia/maluku/ambon/martha_christina_tiahahu,0.314,2.74,2.759,has_external_url,https://www.cwgc.org/visit-us/find-cemeteries-memorials/cemetery-details/2015000/ambon-war-cemetery/,https://en.wikivoyage.org/wiki/Ambon
europe/hungary/sopron,Sopron,Sopron,9,234,do,Lake Szalamandra,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.6675,16.5437,Fertő Lake (Neusiedlersee),europe/hungary/sopron/ferto_lake,0.32,21.701,4.332,has_external_url,http://www.horgasz-sopron.hu,https://en.wikivoyage.org/wiki/Sopron
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,see,Bismarckturm,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.793603,9.161386,Insomnia,europe/germany/badenwrttemberg/stuttgart/insomnia,0.4,2.589,2.168,has_external_url,http://www.stuttgart.de/item/show/305802/1/dept/108929?,https://en.wikivoyage.org/wiki/Stuttgart
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,do,Harbor Town Belle,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.2558,-77.6077,Memorial Art Gallery,northamerica/unitedstates/newyorkstate/rochester/memorial_art_gallery,0.432,14.079,11.031,has_external_url,http://harbortownbelle.com/,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29
northamerica/canada/quebec/granby,Granby,Granby (Quebec),3,39,see,Voitures Anciennes de Granby,0.89,candidate,has coordinates; has description; high-value type; has external URL,45.40059,-72.70711,Musée d'art de Granby,northamerica/canada/quebec/granby/musee_dart_de_granby,0.512,1.099,1.162,has_external_url,https://vadg.ca/,https://en.wikivoyage.org/wiki/Granby_%28Quebec%29
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,see,Pragfriedhof-Krematorium,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.796342,9.186686,Weissenhof Estate,europe/germany/badenwrttemberg/stuttgart/weissenhof_estate,0.39,1.008,2.049,has_external_url,https://structurae.net/de/bauwerke/krematorium-pragfriedhof,https://en.wikivoyage.org/wiki/Stuttgart
europe/finland/rovaniemi,Rovaniemi,Rovaniemi,8,183,do,SBG Pelikenttä,0.89,candidate,has coordinates; has description; high-value type; has external URL,66.54523,25.58709,Santa Park,europe/finland/rovaniemi/santapark,0.261,11.543,7.925,has_external_url,https://www.speedballgames.fi,https://en.wikivoyage.org/wiki/Rovaniemi
europe/unitedkingdom/england/south_east/maidstone,Maidstone,Maidstone,10,18,see,Aylesford Priory,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.3028,0.471389,All Saints' Church,europe/unitedkingdom/england/south_east/maidstone/all_saints_church,0.303,4.988,4.683,has_external_url,http://www.thefriars.org.uk/,https://en.wikivoyage.org/wiki/Maidstone
europe/france/midi/cotedazur/marseille,Marseille,Marseille,51,104,see,Mazargues War Cemetery,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.248910784,5.40471014,Calanques de Marseille,europe/france/midi/cotedazur/marseille/calanques,0.488,4.355,5.962,has_external_url,https://www.cwgc.org/visit-us/find-cemeteries-memorials/cemetery-details/35801/mazargues-war-cemetery-marseilles/,https://en.wikivoyage.org/wiki/Marseille
europe/portugal/batalha,Batalha,Batalha,4,7,do,Euroindy,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.6645,-8.8496,Aljubarrota Battlefield,europe/portugal/batalha/aljubarrota_battlefield,0.323,2.826,2.166,has_external_url,https://www.euroindy.com/,https://en.wikivoyage.org/wiki/Batalha
northamerica/canada/britishcolumbia/whistler,Whistler,Whistler,12,43,do,Forged Axe Throwing,0.89,candidate,has coordinates; has description; high-value type; has external URL,50.08904,-123.03848,Araxi,northamerica/canada/britishcolumbia/whistler/araxi,0.333,6.562,6.638,has_external_url,https://www.forgedaxe.ca/,https://en.wikivoyage.org/wiki/Whistler
asia/india/gujarat/surat,Surat,Surat,8,30,do,Causeway,0.89,candidate,has coordinates; has description; high-value type; has external URL,21.2184,72.8034,Surat Castle (Old Fort),asia/india/gujarat/surat/surat_castle,0.4,3.693,6.075,has_external_url,https://www.facebook.com/causway001/,https://en.wikivoyage.org/wiki/Surat
europe/iceland/akureyri,Akureyri,Akureyri,10,34,do,Strýtan DiveCenter,0.89,candidate,has coordinates; has description; high-value type; has external URL,65.850912,-18.1930504,Akureyri Botanical Garden,europe/iceland/akureyri/akureyri_botanical_garden,0.419,20.084,19.279,has_external_url,https://www.strytan.is,https://en.wikivoyage.org/wiki/Akureyri
northamerica/unitedstates/ohio/sandusky,Sandusky,Sandusky,15,38,see,Ghostly Manor Thrill Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.42578,-82.684,State Theatre,northamerica/unitedstates/ohio/sandusky/schine_state_theatre,0.45,4.197,3.252,has_external_url,https://www.ghostlymanor.com/,https://en.wikivoyage.org/wiki/Sandusky
northamerica/unitedstates/florida/sarasota,Sarasota,Sarasota,12,41,do,Sarasota Mangrove Tunnels,0.89,candidate,has coordinates; has description; high-value type; has external URL,27.30949,-82.56964,Siesta Key Beach,northamerica/unitedstates/florida/sarasota/siesta_key_beach,0.39,5.044,4.874,has_external_url,https://www.visitsarasota.com/blog/sarasota-mangrove-tunnels-take-you-whole-new-world,https://en.wikivoyage.org/wiki/Sarasota
europe/unitedkingdom/england/south_east/chichester,Chichester,Chichester,13,27,see,Southdowns Planetarium,0.89,candidate,has coordinates; has description; high-value type; has external URL,50.82701,-0.77832,Bishop's Palace Gardens,europe/unitedkingdom/england/south_east/chichester/bishops_palace_gardens,0.489,1.056,1.055,has_external_url,http://www.southdowns.org.uk/,https://en.wikivoyage.org/wiki/Chichester
africa/southafrica/capetown,Cape Town,Cape Town,95,187,see,Yamaha Adventures,0.89,candidate,has coordinates; has description; high-value type; has external URL,-33.911,18.4702,The Armchair Theatre,africa/southafrica/capetown/the_armchair_theatre,0.485,3.061,5.275,has_external_url,http://www.yamaha-adventure.com/,https://en.wikivoyage.org/wiki/Cape_Town
europe/unitedkingdom/scotland/glasgow,Glasgow,Glasgow,32,184,do,O2 Academy,0.89,candidate,has coordinates; has description; high-value type; has external URL,55.8505,-4.2592,Botanic Gardens,europe/unitedkingdom/scotland/glasgow/botanic_gardens,0.48,3.684,1.312,has_external_url,https://www.academymusicgroup.com/o2academyglasgow/,https://en.wikivoyage.org/wiki/Glasgow
