world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/germany/brandenburg/cottbus,Cottbus,Cottbus,6,43,see,Triebwagen 24,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.750411,14.325829,Spremberger Turm,europe/germany/brandenburg/cottbus/spremberger_turm,0.414,0.697,0.98,has_external_url,https://www.cottbusverkehr.de/fahrzeugvermietung/,https://en.wikivoyage.org/wiki/Cottbus
asia/qatar/doha,Doha,Doha,50,160,see,Abu-Bakr Al-Sidiq Health Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,25.23815,51.430123,Al Zubarah Archaeological Site,asia/qatar/doha/al_zubarah,0.426,91.378,11.27,has_external_url,http://phcc.qa/portal/index/,https://en.wikivoyage.org/wiki/Doha
europe/austria/melk,Melk,Melk,5,24,see,Gugler Forum Melk,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.225759,15.37047,Stift Melk (Melk Abbey),europe/austria/melk/stift_melk,0.444,2.722,2.485,has_external_url,http://www.gugler.at/,https://en.wikivoyage.org/wiki/Melk
northamerica/unitedstates/minnesota/duluth,Duluth,Duluth,8,55,do,Duluth Huskies Baseball,0.89,candidate,has coordinates; has description; high-value type; has external URL,46.754461,-92.143826,Glensheen Historic Estate,northamerica/unitedstates/minnesota/duluth/glensheen_mansion,0.375,9.735,4.388,has_external_url,https://northwoodsleague.com/duluth-huskies/,https://en.wikivoyage.org/wiki/Duluth
northamerica/unitedstates/massachusetts/concord,Concord,Concord (Massachusetts),7,55,see,Gropius House,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.426944,-71.326944,Orchard House,northamerica/unitedstates/massachusetts/concord/orchard_house,0.538,3.616,4.133,has_external_url,https://www.historicnewengland.org/property/gropius-house/,https://en.wikivoyage.org/wiki/Concord_%28Massachusetts%29
asia/israel/telaviv,Tel Aviv,Tel Aviv,57,55,see,Afeka,0.89,candidate,has coordinates; has description; high-value type; has external URL,32.11484,34.81736,Caesarea,asia/israel/telaviv/caesarea,0.462,43.453,4.691,has_external_url,http://english.afeka.ac.il/Afeka_College_of_Engineering_en.aspx,https://en.wikivoyage.org/wiki/Tel_Aviv
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,do,Picnic at James Whitcomb Riley's grave,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.8198286,-86.1799611,Indiana Medical History Museum,northamerica/unitedstates/indiana/indianapolis/medical_history_museum,0.5,4.218,6.019,has_external_url,https://lostindiana.net/james-whitcolm-riley-d-1916/,https://en.wikivoyage.org/wiki/Indianapolis
southamerica/peru/cuzco,Cuzco,Cuzco,12,67,do,Planetario Cuzco,0.89,candidate,has coordinates; has description; high-value type; has external URL,-13.5068,-71.986206,The Twelve-Angled Stone,southamerica/peru/cuzco/twelve_angled_stone,0.343,1.481,1.355,has_external_url,http://planetariumcusco.com/en/,https://en.wikivoyage.org/wiki/Cuzco
europe/unitedkingdom/wales/llangollen,Llangollen,Llangollen,5,16,do,ProAdventure,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.97043,-3.1709,Plas Newydd,europe/unitedkingdom/wales/llangollen/plas_newydd,0.487,0.513,0.05,has_external_url,http://www.proadventure.org/,https://en.wikivoyage.org/wiki/Llangollen
asia/kyrgyzstan/bishkek,Bishkek,Bishkek,52,50,see,ololoFreelander Hostel & Coworking,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.867834,74.572341,Togolok Moldo Park,asia/kyrgyzstan/bishkek/togolok_moldo_park,0.37,2.826,2.715,has_external_url,https://www.instagram.com/ololofreelander/,https://en.wikivoyage.org/wiki/Bishkek
europe/finland/turku,Turku,Turku,5,262,do,Uittamon paviljonki,0.89,candidate,has coordinates; has description; high-value type; has external URL,60.4206,22.2528,Forum Marinum,europe/finland/turku/forum_marinum,0.312,2.144,3.533,has_external_url,https://uittamo.fi/tanssit/,https://en.wikivoyage.org/wiki/Turku
europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham,Birmingham,Birmingham,16,180,see,The Old Crown,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.4748,-1.88344,Moseley Bog,europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham/moseley_bog,0.4,4.068,1.414,has_external_url,https://theoldcrown.co.uk/,https://en.wikivoyage.org/wiki/Birmingham
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bath,Bath,Bath,20,96,see,Claverton Pumping Station,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.378,-2.302,Persuasion,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bath/persuasion,0.4,,4.022,has_external_url,https://www.claverton.org/,https://en.wikivoyage.org/wiki/Bath
northamerica/canada/ontario/ottawa,Ottawa,Ottawa,23,271,see,Ottawa Senators,0.89,candidate,has coordinates; has description; high-value type; has external URL,45.296944,-75.927222,Canadian Museum of Nature,northamerica/canada/ontario/ottawa/canadian_museum_of_nature,0.45,23.014,22.69,has_external_url,http://www.nhl.com/senators,https://en.wikivoyage.org/wiki/Ottawa
northamerica/unitedstates/kansas/kansascity,Kansas City,Kansas City,16,127,do,Kansas City Roller Warriors,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.112352,-94.62761,Kansas City Library Community Bookshelf,northamerica/unitedstates/kansas/kansascity/community_bookshelf,0.545,4.206,4.48,has_external_url,https://www.kcrollerwarriors.com/,https://en.wikivoyage.org/wiki/Kansas_City
asia/thailand/hatyai,Hat Yai,Hat Yai,9,109,see,Hat Yai Observatory,0.89,candidate,has coordinates; has description; high-value type; has external URL,7.03994,100.51187,Wat Hat Yai Nai,asia/thailand/hatyai/wat_hat_yai_nai,0.529,7.293,5.953,has_external_url,http://www.hatyaipark.com/hatyaiobservatory/,https://en.wikivoyage.org/wiki/Hat_Yai
europe/germany/rhinelandpalatinate/trier,Trier,Trier,13,37,see,St. Matthias' Abbey,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.737988,6.631426,St. Paulin,europe/germany/rhinelandpalatinate/trier/stpaulin,0.385,3.105,2.574,has_external_url,http://www.abteistmatthias.de/,https://en.wikivoyage.org/wiki/Trier
northamerica/unitedstates/missouri/kansascity,Kansas City,Kansas City,56,127,do,The Blue Room,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.09136,-94.56314,Brookside,northamerica/unitedstates/missouri/kansascity/brookside,0.444,7.205,1.623,has_external_url,https://americanjazzmuseum.org/the-blue-room,https://en.wikivoyage.org/wiki/Kansas_City
northamerica/canada/manitoba/winnipeg,Winnipeg,Winnipeg,22,164,do,Speedworld Indoor Kart Track,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.8915,-97.2092,Assiniboine Park,northamerica/canada/manitoba/winnipeg/assiniboine_park,0.364,2.792,5.087,has_external_url,http://www.speedworld.ca,https://en.wikivoyage.org/wiki/Winnipeg
northamerica/belize/cayecaulker,Caye Caulker,Caye Caulker,4,25,do,Frenchie's Diving Services,0.89,candidate,has coordinates; has description; high-value type; has external URL,17.7484471,-88.0260019,Barrier Reef Diving,northamerica/belize/cayecaulker/barrier_reef_diving,0.489,8.055,0.608,has_external_url,http://www.frenchiesdivingbelize.com/,https://en.wikivoyage.org/wiki/Caye_Caulker
europe/germany/badenwrttemberg/sinsheim,Sinsheim,Sinsheim,4,11,see,Museumshof Lerchennest,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.2385,8.91195,Technik Museum Sinsheim,europe/germany/badenwrttemberg/sinsheim/technik_museum,0.4,1.107,3.014,has_external_url,http://www.lerchennest-museum.de,https://en.wikivoyage.org/wiki/Sinsheim
europe/germany/bavaria/bayreuth,Bayreuth,Bayreuth,8,76,see,Federal Police,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.950079,11.579421,Margravial Opera House,europe/germany/bavaria/bayreuth/margravial_opera_house,0.413,0.587,0.707,has_external_url,https://www.bundespolizei.de/SharedDocs/Webs/Web/Organisationseinheiten/BPOLR/Bayreuth.html,https://en.wikivoyage.org/wiki/Bayreuth
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,do,Rivelin Rocks,0.89,candidate,has coordinates; has description; high-value type; has external URL,53.3815,-1.583,Kelham Island,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/kelham_island,0.308,7.349,7.482,has_external_url,https://www.ukclimbing.com/logbook/crag.php?id=86,https://en.wikivoyage.org/wiki/Sheffield
northamerica/canada/ontario/ottawa,Ottawa,Ottawa,23,271,do,Vanier Museopark Sugar Shack,0.89,candidate,has coordinates; has description; high-value type; has external URL,45.443858,-75.661771,Sparks Street Mall,northamerica/canada/ontario/ottawa/sparks_street,0.435,3.862,3.718,has_external_url,https://museoparc.ca/vanier-sugar-shack/,https://en.wikivoyage.org/wiki/Ottawa
