world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/virginia/roanoke,Roanoke,Roanoke,16,22,see,Berglund Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.2802,-79.9357,Roanoke Star,northamerica/unitedstates/virginia/roanoke/roanoke_star,0.37,2.678,1.144,has_external_url,http://www.theberglundcenter.com/,https://en.wikivoyage.org/wiki/Roanoke
northamerica/unitedstates/california/centralvalley/fresno,Fresno,Fresno,7,59,see,Fresno City College,0.89,candidate,has coordinates; has description; high-value type; has external URL,36.767417,-119.797861,Old Fresno Water Tower,northamerica/unitedstates/california/centralvalley/fresno/old_fresno_water_tower,0.488,3.289,3.326,has_external_url,http://www.fresnocitycollege.edu,https://en.wikivoyage.org/wiki/Fresno
northamerica/unitedstates/idaho/rexburg,Rexburg,Rexburg,5,8,do,St. Anthony Sand Dunes,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.9632,-111.8529,Teton Flood Museum,northamerica/unitedstates/idaho/rexburg/teton_flood_museum,0.462,16.078,16.223,has_external_url,https://www.blm.gov/visit/st-anthony-sand-dunes,https://en.wikivoyage.org/wiki/Rexburg
europe/portugal/almada,Almada,Almada,12,5,do,Caparica Surf Academy,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.61809672520674,-9.218314842329036,Castle of Almada,europe/portugal/almada/castle_of_almada,0.432,9.183,8.948,has_external_url,https://caparicasurfacademy.com,https://en.wikivoyage.org/wiki/Almada
northamerica/unitedstates/maryland/montgomerycounty/rockville,Rockville,Rockville,4,51,do,Meadowside Nature Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.112902,-77.106432,Beall–Dawson House,northamerica/unitedstates/maryland/montgomerycounty/rockville/beall_dawson_house,0.381,5.289,5.216,has_external_url,http://www.montgomeryparks.org/nature_centers/meadow/index.shtm,https://en.wikivoyage.org/wiki/Rockville
europe/hungary/sopron,Sopron,Sopron,9,234,see,Former Jesuit konviktus; dwelling house,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.68582,16.59175,Domonkos Wine Bar,europe/hungary/sopron/domonkos_wine_bar,0.531,0.469,0.787,has_external_url,http://muemlekem.hu/muemlek?id=4901,https://en.wikivoyage.org/wiki/Sopron
europe/france/centre/lemans,Le Mans,Le Mans,13,31,do,Piscine Municipale d'Allones,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.9619,0.1646,Cité Plantagenêt (Old Town),europe/france/centre/lemans/cite_plantagenet,0.372,5.73,5.596,has_external_url,http://allonnes.fr/allonnes-a-vivre/se-divertir/le-sport/259-la-piscine.html,https://en.wikivoyage.org/wiki/Le_Mans
southamerica/bolivia/cochabamba,Cochabamba,Cochabamba,5,48,do,mARTadero,0.89,candidate,has coordinates; has description; high-value type; has external URL,-17.40011,-66.16576,Palacio Portales,southamerica/bolivia/cochabamba/palacio_portales,0.4,1.231,1.515,has_external_url,http://www.martadero.org,https://en.wikivoyage.org/wiki/Cochabamba
northamerica/unitedstates/california/placerville,Placerville,Placerville,5,14,do,Placerville Speedway,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.7261,-120.8322,Poor Red's Bar-B-Q,northamerica/unitedstates/california/placerville/poor_reds,0.316,3.797,2.946,has_external_url,https://www.placervillespeedway.com/,https://en.wikivoyage.org/wiki/Placerville
northamerica/unitedstates/florida/naples,Naples,Naples (Florida),11,20,see,Tin City,0.89,candidate,has coordinates; has description; high-value type; has external URL,26.1412,-81.7906,Revs Institute,northamerica/unitedstates/florida/naples/revs_institute,0.364,2.699,0.429,has_external_url,http://www.naples-florida-sun.com/tin-city.html,https://en.wikivoyage.org/wiki/Naples_%28Florida%29
europe/france/aquitaine/saintes,Saintes,Saintes,6,93,do,Laser Lander,0.89,candidate,has coordinates; has description; high-value type; has external URL,45.74096,-0.66315,Arch of Germanicus,europe/france/aquitaine/saintes/arch_of_germanicus,0.333,2.706,2.457,has_external_url,http://www.laserlander.com/,https://en.wikivoyage.org/wiki/Saintes
