world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/switzerland/lausanne,Lausanne,Lausanne,14,82,see,Centre Médical de Vidy,0.89,candidate,has coordinates; has description; high-value type; has external URL,46.51826,6.60042,Château Saint-Maire,europe/switzerland/lausanne/chateau_saint_maire,0.421,2.734,2.501,has_external_url,http://www.vidymed.ch/,https://en.wikivoyage.org/wiki/Lausanne
europe/germany/northrhinewestphalia/cologne,Cologne,Cologne,17,152,do,Phantasialand,0.89,candidate,has coordinates; has description; high-value type; has external URL,50.8,6.879444,Altstadt (Old Town),europe/germany/northrhinewestphalia/cologne/altstadt,0.381,16.353,16.39,has_external_url,http://www.phantasialand.de,https://en.wikivoyage.org/wiki/Cologne
northamerica/unitedstates/alaska/fairbanks,Fairbanks,Fairbanks,17,56,do,Riverboat Discovery,0.89,candidate,has coordinates; has description; high-value type; has external URL,64.83003,-147.86613,Georgeson Botanical Garden,northamerica/unitedstates/alaska/fairbanks/georgeson_botanical_garden,0.356,2.919,7.12,has_external_url,https://www.riverboatdiscovery.com/,https://en.wikivoyage.org/wiki/Fairbanks
australiaandpacific/newzealand/canterbury/christchurch,Christchurch,Christchurch,13,85,see,24 Hour Surgery,0.89,candidate,has coordinates; has description; high-value type; has external URL,-43.5216,172.6416,Christ Church Cathedral,australiaandpacific/newzealand/canterbury/christchurch/christ_church_cathedral,0.316,1.109,1.246,has_external_url,https://www.24hoursurgery.co.nz,https://en.wikivoyage.org/wiki/Christchurch
europe/germany/mecklenburgwesternpomerania/rugen,Rügen,Rügen,27,12,do,Horseback riding,0.89,candidate,has coordinates; has description; high-value type; has external URL,54.5012,13.3409,Jaromarsburg,europe/germany/mecklenburgwesternpomerania/rugen/jaromarsburg,0.429,20.461,6.18,has_external_url,http://www.wanderreiten-auf-ruegen.de/,https://en.wikivoyage.org/wiki/R%C3%BCgen
europe/netherlands/heerlen,Heerlen,Heerlen,4,69,do,Bowling & Partyhoeve De Aar,0.89,candidate,has coordinates; has description; high-value type; has external URL,50.879203,5.972595,Molenberg Mining Colony,europe/netherlands/heerlen/molenberg,0.286,1.713,0.653,has_external_url,http://www.hoevedeaar.nl/,https://en.wikivoyage.org/wiki/Heerlen
asia/china/shandong_province/qufu,Qufu,Qufu,9,14,see,Wangu Changchun Archway,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.61174,116.99063,Mausoleum of Shaohao,asia/china/shandong_province/qufu/mausoleum_of_shaohao,0.326,3.832,1.866,has_external_url,https://w.wiki/GWfj,https://en.wikivoyage.org/wiki/Qufu
europe/unitedkingdom/england/manchester_liverpool_and_north_west/liverpool,Liverpool,Liverpool,52,182,do,The Tung Auditorium,0.89,candidate,has coordinates; has description; high-value type; has external URL,53.40306,-2.96124,The Art School,europe/unitedkingdom/england/manchester_liverpool_and_north_west/liverpool/the_art_school,0.54,0.46,2.098,has_external_url,https://www.thetungauditorium.com/,https://en.wikivoyage.org/wiki/Liverpool
asia/indonesia/bali/nusapenida,Nusa Penida,Nusa Penida,5,31,do,Octopus Dive,0.89,candidate,has coordinates; has description; high-value type; has external URL,-8.675236894514278,115.5120420358534,Crystal Bay,asia/indonesia/bali/nusapenida/crystal_bay,0.261,8.659,5.85,has_external_url,https://octopusdivepenida.com,https://en.wikivoyage.org/wiki/Nusa_Penida
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/exeter,Exeter,Exeter,6,59,do,Odeon,0.89,candidate,has coordinates; has description; high-value type; has external URL,50.72859,-3.522185,Underground Passages,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/exeter/underground_passages,0.436,0.564,0.47,has_external_url,http://www.odeon.co.uk/cinemas/exeter/90/,https://en.wikivoyage.org/wiki/Exeter
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,do,The Cabaret,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.77995,-86.15621,Lockerbie Square,northamerica/unitedstates/indiana/indianapolis/lockerbie_square,0.435,1.18,1.309,has_external_url,https://www.thecabaret.org/,https://en.wikivoyage.org/wiki/Indianapolis
