world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/canada/ontario/mississauga,Mississauga,Mississauga,19,58,do,Paramount Fine Foods Centre,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.632228,-79.653465,Square One Shopping Centre,northamerica/canada/ontario/mississauga/square_one_shopping_centre,0.528,4.435,4.942,has_external_url,http://www.paramountfinefoodscentre.com/,https://en.wikivoyage.org/wiki/Mississauga
australiaandpacific/newzealand/south_island/otago/invercargill,Invercargill,Invercargill,7,13,see,Demolition World,0.89,candidate,has coordinates; has description; high-value type; has external URL,-46.452283,168.377966,Bill Richardson Transport World,australiaandpacific/newzealand/south_island/otago/invercargill/bill_richardson_transport_world,0.426,5.321,4.724,has_external_url,http://www.demoworld.co.nz/,https://en.wikivoyage.org/wiki/Invercargill
africa/southafrica/pretoria,Pretoria,Pretoria,12,120,do,Africa Aerospace and Defence Expo,0.89,candidate,has coordinates; has description; high-value type; has external URL,-25.8214,28.2213,National Zoological Gardens,africa/southafrica/pretoria/national_zoological_gardens,0.333,9.439,9.034,has_external_url,http://www.aadexpo.co.za/,https://en.wikivoyage.org/wiki/Pretoria
northamerica/unitedstates/newmexico/farmington,Farmington,Farmington (New Mexico),7,16,see,Riverside Nature Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,36.73373,-108.1716,Bisti/De-Na-Zin Wilderness,northamerica/unitedstates/newmexico/farmington/bisti_wilderness,0.435,53.198,4.244,has_external_url,https://www.fmtn.org/252/Riverside-Nature-Center,https://en.wikivoyage.org/wiki/Farmington_%28New_Mexico%29
asia/thailand/hatyai,Hat Yai,Hat Yai,9,109,see,Hat Yai Lantern Festival,0.89,candidate,has coordinates; has description; high-value type; has external URL,7.042969,100.504045,Hat Yai Municipal Park,asia/thailand/hatyai/hat_yai_municipal_park,0.522,8.641,5.528,has_external_url,http://www.hatyaipark.com/hatyailantern/,https://en.wikivoyage.org/wiki/Hat_Yai
europe/finland/turku,Turku,Turku,5,262,see,Ecumenical Art Chapel,0.89,candidate,has coordinates; has description; high-value type; has external URL,60.4073,22.2521,Turku Cathedral,europe/finland/turku/turku_cathedral,0.333,5.11,4.993,has_external_url,https://www.taidekappeli.fi/in-english/,https://en.wikivoyage.org/wiki/Turku
northamerica/unitedstates/northcarolina/raleigh,Raleigh,Raleigh,14,77,see,Panera Bread,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.84002,-78.64329,Neuse River Greenway,northamerica/unitedstates/northcarolina/raleigh/neuse_river_greenway,0.375,7.656,6.64,has_external_url,https://www.panerabread.com/en-us/cafe/locations/nc/raleigh/4421-six-forks-rd,https://en.wikivoyage.org/wiki/Raleigh
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bath,Bath,Bath,20,96,see,Saltford Brass Mill,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.401111,-2.451111,The Star Inn,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bath/the_star_inn,0.37,6.278,6.711,has_external_url,https://brassmill.com/,https://en.wikivoyage.org/wiki/Bath
northamerica/unitedstates/louisiana/newiberia,New Iberia,New Iberia,6,7,see,Alice Plantation,0.89,candidate,has coordinates; has description; high-value type; has external URL,29.9371,-91.6877,Conrad Rice Mill,northamerica/unitedstates/louisiana/newiberia/conrad_rice_mill,0.375,13.676,14.625,has_external_url,https://www.facebook.com/pg/Antebellum.Mansions/photos/,https://en.wikivoyage.org/wiki/New_Iberia
europe/netherlands/utrecht,Utrecht,Utrecht,14,77,do,Kinepolis Jaarbeurs Utrecht,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.08647,5.10487,Letters of Utrecht,europe/netherlands/utrecht/letters_of_utrecht,0.533,0.817,1.234,has_external_url,https://kinepolis.nl/bioscopen/kinepolis-jaarbeurs-utrecht/info,https://en.wikivoyage.org/wiki/Utrecht
europe/unitedkingdom/england/manchester_liverpool_and_north_west/clitheroe,Clitheroe,Clitheroe,5,14,see,Stonyhurst College,0.89,candidate,has coordinates; has description; high-value type; has external URL,53.8469,-2.4721,Clitheroe Castle,europe/unitedkingdom/england/manchester_liverpool_and_north_west/clitheroe/clitheroe_castle,0.412,5.828,5.897,has_external_url,https://www.stonyhurst.ac.uk/,https://en.wikivoyage.org/wiki/Clitheroe
northamerica/unitedstates/ohio/sandusky,Sandusky,Sandusky,15,38,see,Plum Brook Station,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.373,-82.677,Maritime Museum of Sandusky,northamerica/unitedstates/ohio/sandusky/maritime_museum_of_sandusky,0.356,9.832,8.824,has_external_url,https://www.nasa.gov/centers/glenn/about/testfacilities/index.html,https://en.wikivoyage.org/wiki/Sandusky
asia/jordan/deadsea,Dead Sea,Dead Sea (Israel and the West Bank),6,15,see,Einot Tzukim,0.89,candidate,has coordinates; has description; high-value type; has external URL,31.714444,35.453333,Ma'in Hot Springs,asia/jordan/deadsea/main_hot_springs,0.414,18.898,14.115,has_external_url,https://en.wikipedia.org/wiki/Ein_Feshkha,https://en.wikivoyage.org/wiki/Dead_Sea_%28Israel_and_the_West_Bank%29
northamerica/unitedstates/arizona/kingman,Kingman,Kingman,13,39,do,Andy Devine Days Rodeo,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.212895,-114.027404,Hackberry General Store,northamerica/unitedstates/arizona/kingman/hackberry_general_store,0.4,33.052,3.498,has_external_url,https://kingsmenrodeo.org/,https://en.wikivoyage.org/wiki/Kingman
northamerica/canada/britishcolumbia/northvancouver,North Vancouver,North Vancouver,15,80,see,Maplewood Farm,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.30864,-123.01917,Cleveland Dam,northamerica/canada/britishcolumbia/northvancouver/cleveland_dam,0.444,8.823,4.178,has_external_url,https://maplewoodfarm.bc.ca/,https://en.wikivoyage.org/wiki/North_Vancouver
europe/netherlands/eindhoven,Eindhoven,Eindhoven,15,91,do,Natlab,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.44577,5.45434,Strijp-S,europe/netherlands/eindhoven/strijp_s,0.439,0.561,1.161,has_external_url,http://www.natlab.nl/,https://en.wikivoyage.org/wiki/Eindhoven
asia/southkorea/dae_gu,Daegu,Daegu,7,73,see,Gatbawi,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.98189,128.73681,Daegu National Museum,asia/southkorea/dae_gu/daegu_national_museum,0.286,20.0,17.309,has_external_url,https://www.dbeway.co.kr/kor/CMS/TravelPoint/viewd.do?mCode=MN169&idx=52,https://en.wikivoyage.org/wiki/Daegu
europe/sweden/gvle,Gävle,Gävle,5,44,do,Bomhusbacken,0.89,candidate,has coordinates; has description; high-value type; has external URL,60.662,17.2,Prison Museum of Sweden,europe/sweden/gvle/prison_museum,0.343,3.287,3.244,has_external_url,https://www.facebook.com/bomhusbacken/,https://en.wikivoyage.org/wiki/G%C3%A4vle
europe/austria/innsbruck,Innsbruck,Innsbruck,11,70,do,Play The Game,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.277591,11.433499,Hofburg Palace,europe/austria/innsbruck/hofburg,0.348,3.104,3.357,has_external_url,https://www.playthegame-escape.com/,https://en.wikivoyage.org/wiki/Innsbruck
europe/italy/lombardia/mantua,Mantua,Mantua,10,44,see,Casa del Mantegna,0.89,candidate,has coordinates; has description; high-value type; has external URL,45.15136,10.78791,Casa di Giulio Romano,europe/italy/lombardia/mantua/casa_di_giulio_romano,0.471,1.609,9.393,has_external_url,http://www.comune.mantova.gov.it/index.php/museums-and-monuments/bibiena-the-scientific-theatre,https://en.wikivoyage.org/wiki/Mantua
northamerica/unitedstates/montana/bozeman,Bozeman,Bozeman,7,37,do,Bozeman Hot Springs & Fitness Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,45.65943,-111.18912,Main Street,northamerica/unitedstates/montana/bozeman/main_street,0.327,12.012,11.49,has_external_url,http://www.bozemanhotsprings.co/,https://en.wikivoyage.org/wiki/Bozeman
asia/cambodia/kampot,Kampot,Kampot,14,32,do,SUP Asia,0.89,candidate,has coordinates; has description; high-value type; has external URL,10.647811,104.172731,Epic Arts Café,asia/cambodia/kampot/epic_arts_cafe,0.476,3.998,3.961,has_external_url,http://www.supasia.org,https://en.wikivoyage.org/wiki/Kampot
northamerica/unitedstates/utah/panguitch,Panguitch,Panguitch,7,7,do,Dixie National Forest,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.7495,-112.566964,Cedar Breaks National Monument,northamerica/unitedstates/utah/panguitch/cedar_breaks,0.549,27.287,14.121,has_external_url,https://www.fs.usda.gov/dixie,https://en.wikivoyage.org/wiki/Panguitch
northamerica/unitedstates/massachusetts/cambridge,Cambridge,Cambridge (Massachusetts),13,112,do,BIDA contra dance,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.3895,-71.1229,Central Square,northamerica/unitedstates/massachusetts/cambridge/central_square,0.516,3.152,3.078,has_external_url,https://www.bidadance.org/,https://en.wikivoyage.org/wiki/Cambridge_%28Massachusetts%29
