world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/armenia/shirak_marz/gyumri,Gyumri,Gyumri,12,30,do,Learn Armenian pottery traditions and techniques at Gevorgyan Ceramics,0.89,candidate,has coordinates; has description; high-value type; has external URL,40.79806831794653,43.86429629232265,Gallery of Mariam and Yeranuhi Aslamazyan,europe/armenia/shirak_marz/gyumri/aslamazyan_gallery,0.306,2.358,2.387,has_external_url,https://www.facebook.com/pages/category/Arts---Entertainment/Gevorgyan-Ceramics-105070450840211/,https://en.wikivoyage.org/wiki/Gyumri
australiaandpacific/newzealand/south_island/otago/wanaka,Wanaka,Wanaka,8,27,do,Warbirds Over Wanaka,0.89,candidate,has coordinates; has description; high-value type; has external URL,-44.7218,169.246,Lake Wānaka,australiaandpacific/newzealand/south_island/otago/wanaka/lake_wanaka,0.516,7.964,9.182,has_external_url,http://www.warbirdsoverwanaka.com/,https://en.wikivoyage.org/wiki/Wanaka
europe/belgium/ghent,Ghent,Ghent,18,77,do,Blaarmeersen sports grounds,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.04417,3.68806,Belfry of Ghent,europe/belgium/ghent/belfry,0.381,2.819,2.797,has_external_url,https://stad.gent/nl/blaarmeersen/,https://en.wikivoyage.org/wiki/Ghent
europe/hungary/nyiregyhaza,Nyíregyháza,Nyíregyháza,7,35,do,Aquarius,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.00759,21.72721,Jósa András Museum,europe/hungary/nyiregyhaza/josa_andras_museum,0.385,5.826,5.813,has_external_url,https://www.aquariusspa.hu/,https://en.wikivoyage.org/wiki/Ny%C3%ADregyh%C3%A1za
northamerica/unitedstates/massachusetts/plymouth,Plymouth,Plymouth (Massachusetts),6,68,do,Myles Standish State Forest,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.86755,-70.66406,Plymouth Waterfront,northamerica/unitedstates/massachusetts/plymouth/plymouth_waterfront,0.391,10.036,10.106,has_external_url,http://www.mass.gov/eea/agencies/dcr/massparks/region-south/myles-standish-state-forest.html,https://en.wikivoyage.org/wiki/Plymouth_%28Massachusetts%29
europe/france/east/lorraine/nancy,Nancy,Nancy,15,78,see,Villa Majorelle,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.6855,6.16389,Place de la Carrière,europe/france/east/lorraine/nancy/place_de_la_carriere,0.414,1.798,1.7,has_external_url,http://www.ecole-de-nancy.com/web/index.php?page=maison-d-artiste,https://en.wikivoyage.org/wiki/Nancy
africa/tunisia/monastir,Monastir,Monastir,5,28,do,Karting,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.759986,10.728643,Monastir Medina,africa/tunisia/monastir/medina,0.364,8.991,9.049,has_external_url,http://karting-monastir.blogspot.com/,https://en.wikivoyage.org/wiki/Monastir
northamerica/unitedstates/wisconsin/milwaukee,Milwaukee,Milwaukee,10,127,see,Pabst Brewery Complex,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.045762,-87.924337,Pabst Theater,northamerica/unitedstates/wisconsin/milwaukee/pabst_theater,0.529,1.225,1.471,has_external_url,https://thebrewery.org/,https://en.wikivoyage.org/wiki/Milwaukee
europe/croatia/krka_national_park_1,Krka National Park,Krka National Park,0,24,see,Burnum archaeological site,0.89,candidate,has coordinates; has description; high-value type; has external URL,44.018697,16.018249,,,0.0,,11.541,has_external_url,http://www.npkrka.hr/stranice/ulaz-burnum-puljani/32/en.html,https://en.wikivoyage.org/wiki/Krka_National_Park
europe/switzerland/andermatt,Andermatt,Andermatt,5,5,do,Skiarena Andermatt-Sedrun,0.89,candidate,has coordinates; has description; high-value type; has external URL,46.6325,8.5919,Urseren Valley,europe/switzerland/andermatt/urseren_valley,0.359,4.475,0.282,has_external_url,http://www.skiarena.ch/,https://en.wikivoyage.org/wiki/Andermatt
asia/vietnam/danang,Da Nang,Da Nang,4,80,see,Han River Promenade,0.89,candidate,has coordinates; has description; high-value type; has external URL,16.06491,108.22464,Dragon Bridge,asia/vietnam/danang/dragon_bridge,0.525,0.475,1.394,has_external_url,https://veduthuyen.com.vn,https://en.wikivoyage.org/wiki/Da_Nang
europe/hungary/pecs,Pécs,Pécs,9,63,see,Local History Exhibition,0.89,candidate,has coordinates; has description; high-value type; has external URL,46.07633,18.23557,Széchenyi Square,europe/hungary/pecs/szechenyi_square,0.439,0.561,0.696,has_external_url,http://www.jpm.hu/index.php?m=3,https://en.wikivoyage.org/wiki/P%C3%A9cs
northamerica/unitedstates/california/shastacascade/redding,Redding,Redding,6,32,do,Redding Drag Strip,0.89,candidate,has coordinates; has description; high-value type; has external URL,40.51376,-122.29038,Sundial Bridge,northamerica/unitedstates/california/shastacascade/redding/sundial_bridge,0.375,11.28,11.765,has_external_url,https://www.reddingdragstrip.info/,https://en.wikivoyage.org/wiki/Redding
northamerica/unitedstates/newyorkstate/buffalo,Buffalo,Buffalo,20,84,do,Nietzsche's,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.89942,-78.87934,Founding Fathers Pub,northamerica/unitedstates/newyorkstate/buffalo/founding_fathers,0.387,1.387,1.449,has_external_url,http://nietzsches.com/,https://en.wikivoyage.org/wiki/Buffalo
asia/iraq/mosul,Mosul,Mosul,11,34,see,Mosul War Cemetery,0.89,candidate,has coordinates; has description; high-value type; has external URL,36.3409,43.1115,Mosul Museum,asia/iraq/mosul/mosul_museum,0.533,2.521,1.1,has_external_url,https://www.cwgc.org/visit-us/find-cemeteries-memorials/cemetery-details/69702/mosul-war-cemetery/,https://en.wikivoyage.org/wiki/Mosul
northamerica/unitedstates/washington/ellensburg,Ellensburg,Ellensburg,8,31,do,Wild Goose Casino,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.008,-120.583,Dick and Jane's Spot,northamerica/unitedstates/washington/ellensburg/dick_and_janes_spot,0.378,3.191,3.119,has_external_url,http://wildgoosecasino.com/,https://en.wikivoyage.org/wiki/Ellensburg
northamerica/unitedstates/illinois/collinsville,Collinsville,Collinsville (Illinois),9,10,see,Catsup Bottle Water Tower,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.6628864,-89.9823159,World's Largest Catsup Bottle,northamerica/unitedstates/illinois/collinsville/worlds_largest_catsup_bottle,0.481,1.171,0.846,has_external_url,http://www.catsupbottle.com/,https://en.wikivoyage.org/wiki/Collinsville_%28Illinois%29
europe/romania/hunedoara,Hunedoara,Hunedoara (city),6,20,do,Beerbike,0.89,candidate,has coordinates; has description; high-value type; has external URL,45.75356,22.91142,Barul Cetatii,europe/romania/hunedoara/barul_cetatii,0.286,1.714,5.339,has_external_url,https://m.facebook.com/beerbike.ro/,https://en.wikivoyage.org/wiki/Hunedoara_%28city%29
northamerica/mexico/cuernavaca,Cuernavaca,Cuernavaca,11,35,see,Teopanzolco archaeological site,0.89,candidate,has coordinates; has description; high-value type; has external URL,18.726667,-99.328806,Palacio de Cortés,northamerica/mexico/cuernavaca/palacio_de_cortes,0.444,23.889,24.074,has_external_url,https://www.inah.gob.mx/zonas/126-zona-arqueologica-teopanzolco,https://en.wikivoyage.org/wiki/Cuernavaca
northamerica/canada/britishcolumbia/kelowna,Kelowna,Kelowna,7,69,do,Mission Creek Greenway,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.8435,-119.4737,Mission Hill Family Estate,northamerica/canada/britishcolumbia/kelowna/mission_hill_winery,0.458,8.227,5.187,has_external_url,https://www.rdco.com/en/parks-and-trails/park-and-trail-directory.aspx,https://en.wikivoyage.org/wiki/Kelowna
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol,Bristol,Bristol,31,168,do,Wake The Tiger,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.44611,-2.56623,Cabot Tower,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol/cabottower,0.476,2.945,2.317,has_external_url,https://www.wakethetiger.com/,https://en.wikivoyage.org/wiki/Bristol
europe/portugal/setubal,Setúbal,Setúbal,13,47,do,Dolphin Bay,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.51846,-8.90143,Sado Estuary Dolphin Watching,europe/portugal/setubal/dolphin_watching,0.45,2.612,0.955,has_external_url,https://www.dolphinbay.pt/en/,https://en.wikivoyage.org/wiki/Set%C3%BAbal
