world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/poland/lodz,Łódź,Łódź,7,114,do,Teatr Muzyczny,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.78021,19.4729,Central Museum of Textiles,europe/poland/lodz/textile_museum,0.3,3.927,1.551,has_external_url,http://www.teatr-muzyczny.lodz.pl/,https://en.wikivoyage.org/wiki/%C5%81%C3%B3d%C5%BA
northamerica/costarica/lafortuna,La Fortuna,La Fortuna,6,16,do,EcoTermales Fortuna,0.89,candidate,has coordinates; has description; high-value type; has external URL,10.484014,-84.674978,Lake Arenal,northamerica/costarica/lafortuna/lake_arenal,0.4,10.185,3.958,has_external_url,http://ecotermalesfortuna.cr/index.php,https://en.wikivoyage.org/wiki/La_Fortuna
northamerica/unitedstates/northdakota/bismarck,Bismarck,Bismarck,5,33,do,Huff Hills Ski Area,0.89,candidate,has coordinates; has description; high-value type; has external URL,46.6269,-100.723,Double Ditch Indian Village Historic Site,northamerica/unitedstates/northdakota/bismarck/double_ditch_indian_village,0.367,29.917,20.698,has_external_url,https://www.huffhills.com/,https://en.wikivoyage.org/wiki/Bismarck
europe/germany/northrhinewestphalia/oberhausen,Oberhausen,Oberhausen,4,15,see,Sea Life Centre,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.4943,6.88086,LVR Industrial Museum,europe/germany/northrhinewestphalia/oberhausen/lvr_industrial_museum,0.333,3.13,3.418,has_external_url,https://www.visitsealife.com/oberhausen/en/,https://en.wikivoyage.org/wiki/Oberhausen
europe/germany/brandenburg/wittenberg,Wittenberg,Wittenberg,6,25,see,Hundertwasserschule,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.8762,12.6575,Lutherhaus,europe/germany/brandenburg/wittenberg/lutherhaus,0.345,1.331,1.287,has_external_url,http://www.hundertwasserschule.de,https://en.wikivoyage.org/wiki/Wittenberg
europe/switzerland/basel,Basel,Basel,16,80,see,Fernet Branca Musée d'Art Contemporain,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.5848,7.56097,Tinguely Fountain,europe/switzerland/basel/tinguely_fountain,0.4,3.812,3.587,has_external_url,http://fondationfernet-branca.org/,https://en.wikivoyage.org/wiki/Basel
northamerica/elsalvador/santaana,Santa Ana,Santa Ana (El Salvador),10,110,see,Urbano / DHL,0.89,candidate,has coordinates; has description; high-value type; has external URL,13.98387,-89.5636,Mercado Central,northamerica/elsalvador/santaana/mercado_central,0.4,1.223,1.223,has_external_url,http://www.urbanoexpress.com/images/paises/elsalvador.pdf,https://en.wikivoyage.org/wiki/Santa_Ana_%28El_Salvador%29
northamerica/unitedstates/california/centralcoast/monterey,Monterey,Monterey (California),13,57,do,Monterey County Fairgrounds,0.89,candidate,has coordinates; has description; high-value type; has external URL,36.5944,-121.863,Monterey Bay Aquarium,northamerica/unitedstates/california/centralcoast/monterey/monterey_bay_aquarium,0.542,4.379,2.902,has_external_url,https://montereycountyfair.com/,https://en.wikivoyage.org/wiki/Monterey_%28California%29
northamerica/unitedstates/louisiana/batonrouge,Baton Rouge,Baton Rouge,15,48,see,Bluebonnet Swamp Nature Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,30.36971,-91.10271,New State Capitol,northamerica/unitedstates/louisiana/batonrouge/new_state_capitol,0.426,12.709,11.994,has_external_url,https://www.brec.org/index.cfm/park/detail/19,https://en.wikivoyage.org/wiki/Baton_Rouge
northamerica/unitedstates/illinois/peoria,Peoria,Peoria (Illinois),15,28,see,Luthy Botanical Gardens,0.89,candidate,has coordinates; has description; high-value type; has external URL,40.718548,-89.57485,Peoria Scale Model of the Solar System,northamerica/unitedstates/illinois/peoria/solar_system_scale_model,0.316,3.837,2.992,has_external_url,http://www.peoriaparks.org/luthy-botanical-garden/,https://en.wikivoyage.org/wiki/Peoria_%28Illinois%29
northamerica/mexico/yucatan/chichen_itza,Chichen Itza,Chichen Itza,0,27,see,Cenote Ik Kil,0.89,candidate,has coordinates; has description; high-value type; has external URL,20.66657,-88.548324,,,0.0,,2.789,has_external_url,https://cenoteikkil.com/,https://en.wikivoyage.org/wiki/Chichen_Itza
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/plymouth,Plymouth,Plymouth (England),13,55,see,Saltram House,0.89,candidate,has coordinates; has description; high-value type; has external URL,50.3816,-4.0824,Prysten House,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/plymouth/prysten_house,0.538,4.296,4.403,has_external_url,https://www.nationaltrust.org.uk/saltram/,https://en.wikivoyage.org/wiki/Plymouth_%28England%29
northamerica/unitedstates/nevada/lasvegas,Las Vegas,Las Vegas,110,27,do,Henderson Silver Knights,0.89,candidate,has coordinates; has description; high-value type; has external URL,36.018977,-115.081632,Chandelier Bar,northamerica/unitedstates/nevada/lasvegas/chandelier_bar,0.421,13.129,17.564,has_external_url,https://hendersonsilverknights.com,https://en.wikivoyage.org/wiki/Las_Vegas
europe/unitedkingdom/northernireland/belfast,Belfast,Belfast,25,97,see,Titanic Distillery and Pump House,0.89,candidate,has coordinates; has description; high-value type; has external URL,54.61427,-5.90161,Grand Opera House,europe/unitedkingdom/northernireland/belfast/grand_opera_house,0.48,2.834,2.502,has_external_url,https://www.titanicdistillers.com/,https://en.wikivoyage.org/wiki/Belfast
northamerica/unitedstates/michigan/annarbor,Ann Arbor,Ann Arbor,18,178,see,Matthaei Botanical Gardens,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.3012,-83.664,Nickels Arcade,northamerica/unitedstates/michigan/annarbor/nickels_arcade,0.45,6.857,7.291,has_external_url,https://mbgna.umich.edu/,https://en.wikivoyage.org/wiki/Ann_Arbor
northamerica/unitedstates/georgia/atlanta,Atlanta,Atlanta,42,53,see,Atlanta Convention & Visitors Bureau,0.89,candidate,has coordinates; has description; high-value type; has external URL,33.76072,-84.38667,Atlanta History Center,northamerica/unitedstates/georgia/atlanta/atlanta_history_center,0.5,8.96,0.75,has_external_url,http://discoveratlanta.c,https://en.wikivoyage.org/wiki/Atlanta
europe/italy/lombardia/cremona,Cremona,Cremona,8,11,see,Il Cambonino Vecchio,0.89,candidate,has coordinates; has description; high-value type; has external URL,45.1519,9.9999,Piazza del Comune,europe/italy/lombardia/cremona/piazza_del_comune,0.364,2.799,2.672,has_external_url,https://musei.comune.cremona.it/it/musei/museo-della-civilta-contadina,https://en.wikivoyage.org/wiki/Cremona
northamerica/unitedstates/montana/bozeman,Bozeman,Bozeman,7,37,do,Montana Whitewater Rafting and Zipline,0.89,candidate,has coordinates; has description; high-value type; has external URL,45.67895,-111.33234,Montana State University,northamerica/unitedstates/montana/bozeman/montana_state_university,0.516,21.969,22.397,has_external_url,https://www.montanawhitewater.com/,https://en.wikivoyage.org/wiki/Bozeman
europe/ukraine/kyiv,Kyiv,Kyiv,52,205,see,Vyshhorod,0.89,candidate,has coordinates; has description; high-value type; has external URL,50.583278,30.485333,Taras Shevchenko Park,europe/ukraine/kyiv/taras_shevchenko_park,0.333,15.801,15.071,has_external_url,https://www.vyshgorod-mrada.gov.ua,https://en.wikivoyage.org/wiki/Kyiv
europe/czechrepublic/brno,Brno,Brno,15,89,do,VIDA! Science Centre,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.18637,16.58395,Mahen Theatre,europe/czechrepublic/brno/mahen_theatre,0.5,2.391,2.095,has_external_url,https://vida.cz/english/,https://en.wikivoyage.org/wiki/Brno
northamerica/unitedstates/michigan/annarbor,Ann Arbor,Ann Arbor,18,178,see,The Wave Field,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.2932,-83.7117,Cafe Zola,northamerica/unitedstates/michigan/annarbor/cafe_zola,0.421,3.367,3.299,has_external_url,https://campusinfo.umich.edu/article/wave-field-north,https://en.wikivoyage.org/wiki/Ann_Arbor
northamerica/unitedstates/illinois/springfield,Springfield,Springfield (Illinois),10,47,do,Springfield Lucky Horseshoes,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.81721,-89.63626,Old State Capitol State Historic Site,northamerica/unitedstates/illinois/springfield/old_state_capitol,0.308,2.078,2.13,has_external_url,https://shoesbaseball.com/,https://en.wikivoyage.org/wiki/Springfield_%28Illinois%29
northamerica/unitedstates/northcarolina/raleigh,Raleigh,Raleigh,14,77,see,Glenwood/Brooklyn,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.79,-78.6487,Trophy Brewing Company,northamerica/unitedstates/northcarolina/raleigh/trophy_brewing,0.418,0.582,1.375,has_external_url,http://glenwoodbrooklyn.org/,https://en.wikivoyage.org/wiki/Raleigh
europe/germany/bavaria/erlangen,Erlangen,Erlangen,6,167,see,Dechsendorfer Weiher,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.6305,10.9508,Friedrich-Alexander University,europe/germany/bavaria/erlangen/university_of_erlangen_nuremberg,0.48,5.318,5.093,has_external_url,https://www.erlangen.de/desktopdefault.aspx/tabid-1406/1660_read-26241/,https://en.wikivoyage.org/wiki/Erlangen
northamerica/unitedstates/arizona/mesa,Mesa,Mesa,7,53,do,Fighter Combat International,0.89,candidate,has coordinates; has description; high-value type; has external URL,33.3149,-111.67555,Usery Mountain Regional Park,northamerica/unitedstates/arizona/mesa/usery_mountain_regional_park,0.429,18.48,18.279,has_external_url,https://fightercombat.com/,https://en.wikivoyage.org/wiki/Mesa
northamerica/unitedstates/oregon/lincolncity,Lincoln City,Lincoln City,5,35,do,Siletz Bay National Wildlife Refuge,0.89,candidate,has coordinates; has description; high-value type; has external URL,44.9033,-124.02,Chinook Winds Casino,northamerica/unitedstates/oregon/lincolncity/chinook_winds_casino,0.291,10.566,6.512,has_external_url,https://www.fws.gov/refuge/siletz_bay/,https://en.wikivoyage.org/wiki/Lincoln_City
asia/cyprus/ayianapa,Ayia Napa,Ayia Napa,8,21,see,Makronissos Tombs,0.89,candidate,has coordinates; has description; high-value type; has external URL,34.98106,33.95396,Karousos Beach Restaurant,asia/cyprus/ayianapa/fish_meze_restaura,0.429,4.148,3.956,has_external_url,http://www.ayianapa.org.cy/makronissos-tombs.php,https://en.wikivoyage.org/wiki/Ayia_Napa
northamerica/canada/ontario/niagrafalls,Niagara Falls,Niagara Falls (Ontario),10,83,see,Floral clock,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.1495,-79.0473,Horseshoe Falls,northamerica/canada/ontario/niagrafalls/horseshoe_falls,0.37,8.052,4.961,has_external_url,https://www.niagaraparks.com/visit/nature-garden/floral-clock/,https://en.wikivoyage.org/wiki/Niagara_Falls_%28Ontario%29
northamerica/unitedstates/northdakota/fargo,Fargo,Fargo,5,66,do,Bill's Gun Shop & Range,0.89,candidate,has coordinates; has description; high-value type; has external URL,46.887639,-96.837778,Plains Art Museum,northamerica/unitedstates/northdakota/fargo/plains_art_museum,0.286,3.668,3.827,has_external_url,https://billsgs.com/,https://en.wikivoyage.org/wiki/Fargo
asia/china/jiangsu_province/xuzhou,Xuzhou,Xuzhou,6,12,see,Yunlong Lake,0.89,candidate,has coordinates; has description; high-value type; has external URL,34.23854,117.14798,Xuzhou Museum,asia/china/jiangsu_province/xuzhou/xuzhou_museum,0.32,6.028,6.18,has_external_url,http://www.ylhfjq.com/,https://en.wikivoyage.org/wiki/Xuzhou
europe/germany/badenwrttemberg/ludwigsburg,Ludwigsburg,Ludwigsburg,12,11,do,Ship roundtrips on river Neckar,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.90861,9.21833,Antiquariat Alt-Hoheneck,europe/germany/badenwrttemberg/ludwigsburg/antiquariat_alt_hoheneck,0.4,2.692,2.568,has_external_url,http://www.neckar-kaeptn.de/en/start/,https://en.wikivoyage.org/wiki/Ludwigsburg
europe/lithuania/kaunas,Kaunas,Kaunas,16,90,do,Grizliai Plius,0.89,candidate,has coordinates; has description; high-value type; has external URL,55.0307,23.7771,Sugihara House,europe/lithuania/kaunas/sugihara_house,0.429,16.767,16.772,has_external_url,https://www.grizliaiplius.com,https://en.wikivoyage.org/wiki/Kaunas
