world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/turkey/antalya,Antalya,Antalya,50,44,see,Tünek Tepe,0.89,candidate,has coordinates; has description; high-value type; has external URL,36.8216,30.5837,Kepez,asia/turkey/antalya/kepez,0.533,13.794,12.842,has_external_url,https://tunektepeteleferik.com/,https://en.wikivoyage.org/wiki/Antalya
asia/srilanka/colombo,Colombo,Colombo,25,116,see,Dialog Axiata PLC,0.89,candidate,has coordinates; has description; high-value type; has external URL,6.918377,79.8606565,Seema Malakaya Meditation Centre,asia/srilanka/colombo/seema_malakaya,0.473,0.527,0.972,has_external_url,https://dialog.lk,https://en.wikivoyage.org/wiki/Colombo
europe/unitedkingdom/scotland/dundee,Dundee,Dundee,15,50,see,Mills Observatory,0.89,candidate,has coordinates; has description; high-value type; has external URL,56.4649,-3.0125,Lemmings Statue,europe/unitedkingdom/scotland/dundee/lemmings_statue,0.438,2.154,2.644,has_external_url,https://www.leisureandculturedundee.com/culture/mills,https://en.wikivoyage.org/wiki/Dundee
northamerica/unitedstates/northcarolina/greensboro,Greensboro,Greensboro,15,40,do,Black Diamond Backyard,0.89,candidate,has coordinates; has description; high-value type; has external URL,36.076249,-79.799641,Blandwood Mansion and Gardens,northamerica/unitedstates/northcarolina/greensboro/blandwood_mansion,0.431,0.806,0.798,has_external_url,http://www.blackdiamondgso.com,https://en.wikivoyage.org/wiki/Greensboro
europe/germany/saxony/dresden,Dresden,Dresden,31,149,do,Hochschule für Musik Carl Maria von Weber Dresden,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.05378,13.72481,Schwebebahn Dresden,europe/germany/saxony/dresden/schwebebahn_dresden,0.441,5.4,1.055,has_external_url,https://www.hfmdd.de/veranstaltungen/,https://en.wikivoyage.org/wiki/Dresden
northamerica/canada/britishcolumbia/tofino,Tofino,Tofino,6,46,do,Jamie's Whaling Station,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.151,-125.89826,Whale Watching,northamerica/canada/britishcolumbia/tofino/whale_watching,0.462,0.538,0.517,has_external_url,https://www.jamies.com/,https://en.wikivoyage.org/wiki/Tofino
northamerica/unitedstates/northdakota/bismarck,Bismarck,Bismarck,5,33,do,Bismarck Event Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,46.802444,-100.783283,Keelboat Park,northamerica/unitedstates/northdakota/bismarck/keelboat_park,0.353,1.013,0.655,has_external_url,http://www.bismarckeventcenter.com/,https://en.wikivoyage.org/wiki/Bismarck
northamerica/unitedstates/westvirginia/morgantown,Morgantown,Morgantown,10,63,see,Megabus,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.654537,-79.961557,Monongalia Arts Center,northamerica/unitedstates/westvirginia/morgantown/monongalia_arts_center,0.276,2.955,2.804,has_external_url,http://us.megabus.com,https://en.wikivoyage.org/wiki/Morgantown
europe/finland/espoo,Espoo,Espoo,9,82,do,Laguuni Keilis,0.89,candidate,has coordinates; has description; high-value type; has external URL,60.168959,24.832052,Lake Bodom,europe/finland/espoo/lake_bodom,0.333,11.863,10.525,has_external_url,https://laguuniin.fi/keilis/,https://en.wikivoyage.org/wiki/Espoo
northamerica/unitedstates/wisconsin/madison,Madison,Madison,11,84,do,Ho-Chunk Gaming Madison,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.0397,-89.272,Dane County Farmers' Market,northamerica/unitedstates/wisconsin/madison/dane_county_farmers_market,0.408,10.062,9.909,has_external_url,https://www.ho-chunkgaming.com/madison/,https://en.wikivoyage.org/wiki/Madison
northamerica/unitedstates/idaho/twinfalls,Twin Falls,Twin Falls,9,22,see,College of Southern Idaho,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.581403,-114.478839,Twin Falls Idaho Temple,northamerica/unitedstates/idaho/twinfalls/twin_falls_temple,0.375,3.105,2.93,has_external_url,http://www.csi.edu,https://en.wikivoyage.org/wiki/Twin_Falls
northamerica/unitedstates/michigan/traverse_city,Traverse City,Traverse City,26,76,see,J. H. Rogers Observatory,0.89,candidate,has coordinates; has description; high-value type; has external URL,44.706398,-85.610603,Mode's Bum Steer,northamerica/unitedstates/michigan/traverse_city/mode_s,0.421,6.397,6.046,has_external_url,http://www.nmc.edu/rogersobservatory/,https://en.wikivoyage.org/wiki/Traverse_City
europe/georgia/tbilisi,Tbilisi,Tbilisi,60,147,see,Georgian National Academy of Sciences,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.703056,44.790833,Georgian State Art Museum,europe/georgia/tbilisi/georgianstateart_1,0.516,1.516,1.384,has_external_url,http://science.org.ge,https://en.wikivoyage.org/wiki/Tbilisi
northamerica/unitedstates/idaho/kellogg,Kellogg,Kellogg (Idaho),4,5,see,Cataldo Mission,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.54876,-116.35839,Coeur d'Alene National Forest,northamerica/unitedstates/idaho/kellogg/coeur_dalene_national_forest,0.318,18.92,17.594,has_external_url,https://parksandrecreation.idaho.gov/parks/coeur-d-alenes-old-mission/,https://en.wikivoyage.org/wiki/Kellogg_%28Idaho%29
northamerica/unitedstates/pennsylvania/harrisburg,Harrisburg,Harrisburg,6,44,see,Whitaker Center / IMAX,0.89,candidate,has coordinates; has description; high-value type; has external URL,40.2604,-76.8807,Pennsylvania State Capitol,northamerica/unitedstates/pennsylvania/harrisburg/state_capitol,0.492,0.508,0.802,has_external_url,http://www.whitakercenter.org,https://en.wikivoyage.org/wiki/Harrisburg
northamerica/unitedstates/iowa/desmoines,Des Moines,Des Moines,20,131,do,Iowa Cubs,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.580278,-93.615833,Iowa State Fair,northamerica/unitedstates/iowa/desmoines/iowa_state_fair,0.5,5.375,1.054,has_external_url,http://www.iowacubs.com,https://en.wikivoyage.org/wiki/Des_Moines
northamerica/unitedstates/alaska/anchorage,Anchorage,Anchorage,23,84,do,Alpenglow at Arctic Valley,0.89,candidate,has coordinates; has description; high-value type; has external URL,61.24655,-149.53244,Chilkoot Charlie's,northamerica/unitedstates/alaska/anchorage/chilkoot_charlies,0.364,20.404,19.687,has_external_url,https://arcticvalley.org/,https://en.wikivoyage.org/wiki/Anchorage
northamerica/unitedstates/ohio/kent,Kent,Kent (Ohio),8,75,see,Kent State Planetarium,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.14548,-81.34259,Kent Co-op,northamerica/unitedstates/ohio/kent/kent_co_op,0.438,1.474,1.574,has_external_url,https://www.kent.edu/physics/event-schedule,https://en.wikivoyage.org/wiki/Kent_%28Ohio%29
asia/indonesia/bali/nusapenida,Nusa Penida,Nusa Penida,5,31,do,Purple Dive Penida,0.89,candidate,has coordinates; has description; high-value type; has external URL,-8.6763,115.5397,Kelingking Beach,asia/indonesia/bali/nusapenida/kelingking_beach,0.294,19.581,6.603,has_external_url,http://www.purpledivepenida.com,https://en.wikivoyage.org/wiki/Nusa_Penida
asia/southkorea/dae_gu,Daegu,Daegu,7,73,see,Daegu Colorful Dalgubeol Spectacular Lantern Play,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.851171,128.557298,Daegu National Museum,asia/southkorea/dae_gu/daegu_national_museum,0.343,4.402,4.567,has_external_url,https://tour.daegu.go.kr/index.do?menu_id=00002942&menu_link=/front/tour/tourMapsView.do?tourId=KOEVENT_370,https://en.wikivoyage.org/wiki/Daegu
northamerica/unitedstates/ohio/toledo,Toledo,Toledo (Ohio),13,91,do,R.A. Stranahan Arboretum,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.693056,-83.671389,Rudy's Hot Dog,northamerica/unitedstates/ohio/toledo/rudys_hot_dog,0.343,6.26,11.958,has_external_url,https://www.utoledo.edu/nsm/arboretum/,https://en.wikivoyage.org/wiki/Toledo_%28Ohio%29
australiaandpacific/newzealand/south_island/west_coast/hokitika,Hokitika,Hokitika,4,46,do,Mount Brown Hut track,0.89,candidate,has coordinates; has description; high-value type; has external URL,-42.858912,171.166649,Pounamu (Greenstone) Workshops,australiaandpacific/newzealand/south_island/west_coast/hokitika/pounamu_greenstone,0.263,22.258,16.87,has_external_url,https://www.doc.govt.nz/parks-and-recreation/places-to-go/west-coast/places/lake-kaniere-scenic-reserve/things-to-do/huts/mt-brown-hut/,https://en.wikivoyage.org/wiki/Hokitika
europe/hungary/gyor,Győr,Győr,13,201,do,Ménfőcsanak-Gyirmóti Művelődési Központ,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.6245,17.6048,Margit Kovács Ceramic Collection,europe/hungary/gyor/margit_kovacs_ceramic_collection,0.366,7.291,6.923,has_external_url,http://www.bezeredj-kastely.hu,https://en.wikivoyage.org/wiki/Gy%C5%91r
northamerica/unitedstates/rhodeisland/newport,Newport,Newport (Rhode Island),10,111,see,Rough Point,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.455222,-71.305444,Touro Synagogue,northamerica/unitedstates/rhodeisland/newport/touro_synagogue,0.308,3.838,3.243,has_external_url,https://www.newportrestoration.org/roughpoint/,https://en.wikivoyage.org/wiki/Newport_%28Rhode_Island%29
asia/thailand/pattaya,Pattaya,Pattaya,9,124,do,Alcazar Cabaret,0.89,candidate,has coordinates; has description; high-value type; has external URL,12.9430592,100.8866563,Walking Street,asia/thailand/pattaya/walking_street,0.414,2.573,0.707,has_external_url,http://www.alcazarthailand.com,https://en.wikivoyage.org/wiki/Pattaya
asia/jordan/madaba,Madaba,Madaba,8,17,see,Dolmens at Al Fayha,0.89,candidate,has coordinates; has description; high-value type; has external URL,31.730095,35.719999,Madaba Map (Church of St George),asia/jordan/madaba/madaba_map,0.345,7.153,7.194,has_external_url,http://www.megalithic.co.uk/article.php?sid=10780,https://en.wikivoyage.org/wiki/Madaba
northamerica/mexico/puerto_morelos,Puerto Morelos,Puerto Morelos,0,23,do,Om Delfin,0.89,candidate,has coordinates; has description; high-value type; has external URL,20.84601,-86.87688,,,0.0,,0.391,has_external_url,https://omdelfin.com,https://en.wikivoyage.org/wiki/Puerto_Morelos
northamerica/unitedstates/newyorkstate/saratoga,Saratoga Springs,Saratoga Springs,10,63,see,Yaddo Gardens,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.0692,-73.7579,Yaddo Artists' Retreat,northamerica/unitedstates/newyorkstate/saratoga/yaddo,0.529,2.23,2.729,has_external_url,http://yaddo.org/garden/,https://en.wikivoyage.org/wiki/Saratoga_Springs
africa/kenya/thecoast/mombasa,Mombasa,Mombasa,20,137,do,The Golden Key Casino,0.89,candidate,has coordinates; has description; high-value type; has external URL,-4.049,39.6816,Tamarind Restaurant,africa/kenya/thecoast/mombasa/tamarind_restaurant,0.424,0.576,1.61,has_external_url,http://goldenkeycasino.co.ke/,https://en.wikivoyage.org/wiki/Mombasa
asia/jordan/amman,Amman,Amman,45,74,do,Cycling Jordan,0.89,candidate,has coordinates; has description; high-value type; has external URL,31.975033,35.849508,Wild Jordan Center,asia/jordan/amman/wild_jordan_center,0.5,7.62,7.493,has_external_url,http://cyclingjordan.co/,https://en.wikivoyage.org/wiki/Amman
asia/indonesia/java/semarang,Semarang,Semarang,8,164,see,Sobokartti,0.89,candidate,has coordinates; has description; high-value type; has external URL,-6.97404,110.43438,Tay Kak Sie Temple,asia/indonesia/java/semarang/tay_kak_sie_temple,0.284,0.716,2.217,has_external_url,https://sobokartti.wordpress.com/,https://en.wikivoyage.org/wiki/Semarang
europe/portugal/oporto,Oporto,Porto,15,65,see,She Changes,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.1734,-8.6887,Serralves,europe/portugal/oporto/serralves,0.5,2.93,7.047,has_external_url,https://www.echelman.com/project/she-changes/,https://en.wikivoyage.org/wiki/Porto
europe/finland/tampere,Tampere,Tampere,61,207,see,Tampere Exhibition and Sports Centre,0.89,candidate,has coordinates; has description; high-value type; has external URL,61.4641,23.7335,Tampere Art Factory (Taiko),europe/finland/tampere/tampere_art_factory,0.545,4.954,4.033,has_external_url,http://www.tesc.fi,https://en.wikivoyage.org/wiki/Tampere
africa/ghana/accra,Accra,Accra,35,73,see,Nubuke Foundation,0.89,candidate,has coordinates; has description; high-value type; has external URL,5.63532,-0.17254,Arts Centre for National Culture,africa/ghana/accra/art_centre,0.449,10.505,3.863,has_external_url,http://www.nubukefoundation.org/,https://en.wikivoyage.org/wiki/Accra
northamerica/canada/britishcolumbia/tofino,Tofino,Tofino,6,46,do,Tofino Bike Co,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.12697,-125.89334,Long Beach,northamerica/canada/britishcolumbia/tofino/long_beach,0.5,13.172,3.006,has_external_url,https://tofinobike.com/,https://en.wikivoyage.org/wiki/Tofino
europe/portugal/funchal,Funchal,Funchal,14,33,do,Monte Toboggan,0.89,candidate,has coordinates; has description; high-value type; has external URL,32.67561,-16.90257,Monte Palace Tropical Garden,europe/portugal/funchal/monte_palace_tropical_garden,0.524,0.864,2.938,has_external_url,https://www.carreirosdomonte.com/v2/en/index.php,https://en.wikivoyage.org/wiki/Funchal
northamerica/unitedstates/arizona/tucson,Tucson,Tucson,66,113,do,La Frontera Tucson International Mariachi Conference,0.89,candidate,has coordinates; has description; high-value type; has external URL,32.13115,-111.0867,International Wildlife Museum,northamerica/unitedstates/arizona/tucson/international_wild,0.487,11.84,14.658,has_external_url,http://www.tucsonmariachi.org/,https://en.wikivoyage.org/wiki/Tucson
northamerica/canada/newbrunswick/moncton,Moncton,Moncton,11,50,see,Starbuck,0.89,candidate,has coordinates; has description; high-value type; has external URL,46.094,-64.76867,Resurgo Place,northamerica/canada/newbrunswick/moncton/resurgo_place,0.535,0.465,2.5,has_external_url,https://www.starbucks.ca/,https://en.wikivoyage.org/wiki/Moncton
asia/oman/muscat,Muscat,Muscat,24,152,see,Planetarium,0.89,candidate,has coordinates; has description; high-value type; has external URL,23.624817,58.50888,Shatti al-Qurum,asia/oman/muscat/shatti_al_qurum,0.385,2.96,8.763,has_external_url,https://www.pdo.co.om/knowledgeworld/pages/planetarium.aspx,https://en.wikivoyage.org/wiki/Muscat
northamerica/unitedstates/northcarolina/winstonsalem,Winston-Salem,Winston-Salem,14,38,do,Adventure Landing Winston-Salem,0.89,candidate,has coordinates; has description; high-value type; has external URL,36.07226390965982,-80.30423426179416,Innovation Quarter,northamerica/unitedstates/northcarolina/winstonsalem/innovation_quarter,0.367,6.597,6.215,has_external_url,https://winston-salem.adventurelanding.com/,https://en.wikivoyage.org/wiki/Winston-Salem
northamerica/unitedstates/newmexico/cloudcroft,Cloudcroft,Cloudcroft,3,11,see,Sunspot Solar Observatory,0.89,candidate,has coordinates; has description; high-value type; has external URL,32.788333,-105.819444,The Lodge Resort,northamerica/unitedstates/newmexico/cloudcroft/the_lodge,0.324,20.216,20.15,has_external_url,https://sunspot.solar,https://en.wikivoyage.org/wiki/Cloudcroft
northamerica/unitedstates/arizona/mesa,Mesa,Mesa,7,53,see,The New Times,0.89,candidate,has coordinates; has description; high-value type; has external URL,33.44675,-112.05587,Downtown Mesa,northamerica/unitedstates/arizona/mesa/downtown_mesa,0.455,21.115,21.115,has_external_url,http://www.phoenixnewtimes.com,https://en.wikivoyage.org/wiki/Mesa
europe/italy/puglia/otranto,Otranto,Otranto,11,21,do,Hydra boat excursions,0.89,candidate,has coordinates; has description; high-value type; has external URL,40.147291,18.497229,Aragonese Castle,europe/italy/puglia/otranto/aragonese_castle,0.485,0.515,0.579,has_external_url,http://hydraescursioni.it/?lang=en,https://en.wikivoyage.org/wiki/Otranto
