world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/newhampshire/concord,Concord,Concord (New Hampshire),15,24,see,Concord Coach Lines,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.212798459623706,-71.53460552773657,Downtown Concord Historic District,northamerica/unitedstates/newhampshire/concord/downtown_concord_historic_district,0.415,0.866,0.576,has_external_url,https://concordcoachlines.com/,https://en.wikivoyage.org/wiki/Concord_%28New_Hampshire%29
northamerica/unitedstates/newyorkstate/buffalo,Buffalo,Buffalo,20,84,see,Buffalo & Erie County Botanical Gardens,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.828103,-78.825746,Buffalo City Hall,northamerica/unitedstates/newyorkstate/buffalo/buffalo_city_hall,0.483,7.834,7.765,has_external_url,http://www.buffalogardens.com/,https://en.wikivoyage.org/wiki/Buffalo
europe/germany/saxony/leipzig,Leipzig,Leipzig,16,133,do,Bootsverleih am Klingerweg,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.33,12.34842,Auerbachs Keller,europe/germany/saxony/leipzig/auerbachs_keller,0.381,2.14,2.177,has_external_url,http://www.bootstour-leipzig.de/,https://en.wikivoyage.org/wiki/Leipzig
asia/china/shandong_province/rizhao,Rizhao,Rizhao,6,52,see,Dongyi Town,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.43375,119.5583,Sailing and Water Sports,asia/china/shandong_province/rizhao/water_sports,0.229,4.923,3.461,has_external_url,https://www.shandongrizhao.com/jingdian/2018-09-01/4569.html,https://en.wikivoyage.org/wiki/Rizhao
europe/germany/bavaria/nuremberg,Nuremberg,Nuremberg,26,125,do,Embedded World,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.4175,11.117,Ehekarussell,europe/germany/bavaria/nuremberg/ehekarussell,0.308,4.958,4.96,has_external_url,https://www.embedded-world.de/en,https://en.wikivoyage.org/wiki/Nuremberg
europe/finland/turku,Turku,Turku,5,262,do,Hirvensalo Ski Resort,0.89,candidate,has coordinates; has description; high-value type; has external URL,60.4175,22.2277,Aura River,europe/finland/turku/aura_river,0.323,4.073,4.361,has_external_url,http://www.hirvensalo.fi/,https://en.wikivoyage.org/wiki/Turku
northamerica/unitedstates/ohio/port_clinton,Port Clinton,Port Clinton (Ohio),5,24,do,African Wildlife Safari,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.5181,-82.8516,Put-in-Bay Ferry (South Bass Island),northamerica/unitedstates/ohio/port_clinton/put_in_bay_ferry,0.308,7.114,7.201,has_external_url,https://www.africansafariwildlifepark.com/,https://en.wikivoyage.org/wiki/Port_Clinton_%28Ohio%29
australiaandpacific/australia/northernterritory/darwin,Darwin,Darwin,22,61,see,Burnett House at Myilly Point,0.89,candidate,has coordinates; has description; high-value type; has external URL,-12.450861,130.82969,Museum and Art Gallery of the Northern Territory,australiaandpacific/australia/northernterritory/darwin/darwin_museum_and_art_gallery,0.384,2.136,1.629,has_external_url,http://www.nationaltrust.org.au,https://en.wikivoyage.org/wiki/Darwin
europe/denmark/ribe,Ribe,Ribe,21,34,see,Stensbæk Plantage,0.89,candidate,has coordinates; has description; high-value type; has external URL,55.2749,8.9439,Wadden Sea Centre,europe/denmark/ribe/wadden_sea_centre,0.412,18.681,12.804,has_external_url,https://naturstyrelsen.dk/find-et-naturomraade/naturguider/sydvestjylland/stensbaek-plantage,https://en.wikivoyage.org/wiki/Ribe
northamerica/unitedstates/newyorkstate/albany,Albany,Albany (New York),6,88,see,USS Slater (DE-766),0.89,candidate,has coordinates; has description; high-value type; has external URL,42.6423,-73.75,Empire State Plaza,northamerica/unitedstates/newyorkstate/albany/empire_state_plaza,0.357,1.099,1.071,has_external_url,http://www.ussslater.org/,https://en.wikivoyage.org/wiki/Albany_%28New_York%29
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,do,Sports Prima,0.89,candidate,has coordinates; has description; high-value type; has external URL,1.529135,103.759838,De Bieres Pub and Cafe,asia/malaysia/johorbahru/debirespubc,0.323,6.269,7.908,has_external_url,http://sportsprima.com/,https://en.wikivoyage.org/wiki/Johor_Bahru
