world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/unitedkingdom/england/lakedistrict/keswick,Keswick,Keswick,21,23,see,Mirehouse House and Gardens,0.89,candidate,has coordinates; has description; high-value type; has external URL,54.64269,-3.18736,Honister Pass and Slate Mine,europe/unitedkingdom/england/lakedistrict/keswick/honister_pass,0.436,14.316,5.604,has_external_url,http://www.mirehouse.co.uk,https://en.wikivoyage.org/wiki/Keswick
northamerica/unitedstates/arizona/scottsdale,Scottsdale,Scottsdale (Arizona),18,37,do,Salt River Project Canals,0.89,candidate,has coordinates; has description; high-value type; has external URL,33.534097,-111.96468,Great Papago Escape Tunnel,northamerica/unitedstates/arizona/scottsdale/papago_escape_tunnel,0.392,7.194,5.702,has_external_url,https://www.scottsdaleaz.gov/Assets/ScottsdaleAZ/Transportation/Trails/2019+Active+Transportation+Map.pdf,https://en.wikivoyage.org/wiki/Scottsdale_%28Arizona%29
northamerica/unitedstates/washington/spokane,Spokane,Spokane,11,51,see,Spokane County Courthouse,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.66481,-117.42892,Spokane Falls,northamerica/unitedstates/washington/spokane/spokane_falls,0.474,0.65,0.939,has_external_url,https://www.spokanecounty.org/2243/Courthouse-History,https://en.wikivoyage.org/wiki/Spokane
northamerica/unitedstates/newmexico/santafe,Santa Fe,Santa Fe (New Mexico),34,136,do,Garson Studios,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.6556,-105.9761,De Vargas Street House,northamerica/unitedstates/newmexico/santafe/de_vargas_house,0.485,4.594,4.919,has_external_url,https://www.garsonstudios.com/,https://en.wikivoyage.org/wiki/Santa_Fe_%28New_Mexico%29
northamerica/unitedstates/arizona/tucson,Tucson,Tucson,66,113,do,Fiesta de los Vaqueros,0.89,candidate,has coordinates; has description; high-value type; has external URL,32.166694,-110.966519,Fourth Avenue,northamerica/unitedstates/arizona/tucson/fourth_avenue,0.429,6.708,6.296,has_external_url,http://www.tucsonrodeo.com/,https://en.wikivoyage.org/wiki/Tucson
asia/japan/honshu/nara,Nara,Nara,11,48,see,Shin-Yakushi-ji,0.89,candidate,has coordinates; has description; high-value type; has external URL,34.675866,135.846177,Toshodai-ji,asia/japan/honshu/nara/toshodai_ji,0.538,5.613,3.903,has_external_url,http://www.shinyakushiji.or.jp/,https://en.wikivoyage.org/wiki/Nara
europe/unitedkingdom/england/eastern_england/norwich,Norwich,Norwich,16,60,see,Cow Tower,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.6342,1.30828,Norwich Cathedral,europe/unitedkingdom/england/eastern_england/norwich/norwich_cathedral,0.381,0.619,1.242,has_external_url,https://www.english-heritage.org.uk/visit/places/cow-tower-norwich/,https://en.wikivoyage.org/wiki/Norwich
northamerica/unitedstates/pennsylvania/hershey,Hershey,Hershey,8,22,do,Indian Echo Caverns,0.89,candidate,has coordinates; has description; high-value type; has external URL,40.2529,-76.7168,Hershey's Chocolate World,northamerica/unitedstates/pennsylvania/hershey/hersheys_chocolate_world,0.364,6.368,6.453,has_external_url,http://www.indianechocaverns.com,https://en.wikivoyage.org/wiki/Hershey
europe/russia/samara,Samara,Samara,7,48,see,Krasnaya Glinka Ski complex,0.89,candidate,has coordinates; has description; high-value type; has external URL,53.38973,50.17283,Stalin's Bunker,europe/russia/samara/stalins_bunker,0.429,22.031,22.098,has_external_url,http://krasnaya-glinka.ru/,https://en.wikivoyage.org/wiki/Samara
northamerica/unitedstates/massachusetts/sturbridge,Sturbridge,Sturbridge,9,39,do,PickleballU,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.097985,-72.071095,Old Sturbridge Village,northamerica/unitedstates/massachusetts/sturbridge/old_sturbridge_village,0.242,2.578,1.408,has_external_url,https://www.pickleballu.com/,https://en.wikivoyage.org/wiki/Sturbridge
europe/slovakia/kosice,Košice,Košice,7,153,do,Jahodná,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.76741137470507,21.131974295572235,Hlavná Ulica,europe/slovakia/kosice/hlavna_ulica,0.235,10.499,10.533,has_external_url,http://www.jahodna.sk/en/,https://en.wikivoyage.org/wiki/Ko%C5%A1ice
northamerica/unitedstates/arizona/flagstaff,Flagstaff,Flagstaff,12,67,do,Hitchin’ Post Stables,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.134282,-111.613821,Arizona Snowbowl,northamerica/unitedstates/arizona/flagstaff/arizona_snowbowl,0.333,22.142,7.958,has_external_url,http://historichitchinpoststables.com/,https://en.wikivoyage.org/wiki/Flagstaff
africa/uganda/kampala,Kampala,Kampala,13,59,see,Parliament of Uganda,0.89,candidate,has coordinates; has description; high-value type; has external URL,0.31569,32.58773,The Lawns Restaurant,africa/uganda/kampala/the_lawns_restaura_1,0.389,2.128,0.744,has_external_url,http://www.parliament.go.ug/,https://en.wikivoyage.org/wiki/Kampala
europe/hungary/zalakaros,Zalakaros,Zalakaros,2,56,do,Zalakaros Airfield,0.89,candidate,has coordinates; has description; high-value type; has external URL,46.55007,17.14902,Kis-Balaton (Little Balaton),europe/hungary/zalakaros/kis_balaton,0.276,9.481,2.373,has_external_url,https://setarepuleszalakaros.hu/,https://en.wikivoyage.org/wiki/Zalakaros
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,do,Tiara Sports World,0.89,candidate,has coordinates; has description; high-value type; has external URL,1.490056,103.785,Sultan Abu Bakar State Mosque,asia/malaysia/johorbahru/sultan_abu_bakar_state_mosque,0.34,5.264,4.188,has_external_url,https://www.facebook.com/tiarasports,https://en.wikivoyage.org/wiki/Johor_Bahru
africa/uganda/kampala,Kampala,Kampala,13,59,see,Uganda Martyrs Catholic Shrine Namugongo,0.89,candidate,has coordinates; has description; high-value type; has external URL,0.38537,32.65152,Uganda Wildlife Education Centre,africa/uganda/kampala/zoo,0.389,41.836,10.838,has_external_url,http://www.ugandamartyrsshrine.org.ug/,https://en.wikivoyage.org/wiki/Kampala
europe/unitedkingdom/england/south_east/berkhampsted,Berkhamsted,Berkhamsted,7,27,see,Pitstone Windmill,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.8318,-0.6299,Berkhamsted School,europe/unitedkingdom/england/south_east/berkhampsted/berkhamsted_school,0.286,9.261,9.278,has_external_url,https://www.nationaltrust.org.uk/pitstone-windmill,https://en.wikivoyage.org/wiki/Berkhamsted
