world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/mexico/toluca,Toluca,Toluca,13,22,do,Parque Ambiental Bicentenario,0.89,candidate,has coordinates; has description; high-value type; strong travel term,19.2455,-99.5859,Portal Madero (Los Portales),northamerica/mexico/toluca/portal_madero,0.429,9.049,9.105,needs_external_source,,https://en.wikivoyage.org/wiki/Toluca
asia/india/uttarpradesh/agra,Agra,Agra,28,60,see,Jaswant Singh ki Chatri,0.89,candidate,has coordinates; has description; high-value type; strong travel term,27.214144,78.033942,John Hessing's Tomb (The Red Taj),asia/india/uttarpradesh/agra/john_hessing_tomb,0.476,2.954,4.939,needs_external_source,,https://en.wikivoyage.org/wiki/Agra
southamerica/brazil/vilavelha,Vila Velha,Vila Velha (Espírito Santo),10,14,do,Praia Barra do Jucu,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-20.4195,-40.3226,Praia da Costa,southamerica/brazil/vilavelha/praia_da_costa,0.545,9.018,10.482,needs_external_source,,https://en.wikivoyage.org/wiki/Vila_Velha_%28Esp%C3%ADrito_Santo%29
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,see,Setia Indah Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,1.570578,103.757826,KSL City Shopping Mall,asia/malaysia/johorbahru/ksl_city_shopping,0.316,11.738,12.521,needs_external_source,,https://en.wikivoyage.org/wiki/Johor_Bahru
northamerica/nicaragua/len,León,León (Nicaragua),12,79,see,Iglesia Nuestra Señora del Pilar de Zaragoza,0.89,candidate,has coordinates; has description; high-value type; strong travel term,12.43706,-86.8847,Iglesia La Recolección,northamerica/nicaragua/len/iglesia_la_recoleccion,0.464,1.036,0.777,needs_external_source,,https://en.wikivoyage.org/wiki/Le%C3%B3n_%28Nicaragua%29
asia/china/shandong_province/zaozhuang,Zaozhuang,Zaozhuang,2,29,do,Liucun Liyuan,0.89,candidate,has coordinates; has description; high-value type; strong travel term,34.907966,117.257704,Weishan Lake,asia/china/shandong_province/zaozhuang/weishan_lake,0.4,16.258,11.798,needs_external_source,,https://en.wikivoyage.org/wiki/Zaozhuang
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,see,Serene Square,0.89,candidate,has coordinates; has description; high-value type; strong travel term,1.480214,103.724008,De Bieres Pub and Cafe,asia/malaysia/johorbahru/debirespubc,0.438,3.824,5.163,needs_external_source,,https://en.wikivoyage.org/wiki/Johor_Bahru
northamerica/mexico/len,León,León (Mexico),5,35,do,Metropolitan Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,21.17517,-101.69559,Feria de León,northamerica/mexico/len/feria_de_leon,0.417,7.797,6.059,needs_external_source,,https://en.wikivoyage.org/wiki/Le%C3%B3n_%28Mexico%29
asia/china/zhejiang/hangzhou,Hangzhou,Hangzhou,21,79,see,Orioles Singing in the Willows,0.89,candidate,has coordinates; has description; high-value type; strong travel term,30.2419031,120.151076,Longjing Village (Dragon Well Tea),asia/china/zhejiang/hangzhou/longjing_tea,0.476,4.667,5.261,needs_external_source,,https://en.wikivoyage.org/wiki/Hangzhou
asia/china/fujianprovince/fuzhou,Fuzhou,Fuzhou,9,76,see,Gu Mountain,0.89,candidate,has coordinates; has description; high-value type; strong travel term,26.0564,119.3722,Gushan (Drum Mountain),asia/china/fujianprovince/fuzhou/gushan,0.471,3.305,8.364,needs_external_source,,https://en.wikivoyage.org/wiki/Fuzhou
northamerica/unitedstates/ohio/oxford,Oxford,Oxford (Ohio),6,70,do,Martin Luther King Jr. Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,39.51074,-84.74283,Miami University Natural Areas,northamerica/unitedstates/ohio/oxford/oxford_natural_areas,0.544,0.456,0.456,needs_external_source,,https://en.wikivoyage.org/wiki/Oxford_%28Ohio%29
