world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/ukraine/ivanofrankivsk,Ivano-Frankivsk,Ivano-Frankivsk,9,103,see,Shevchenkove village,0.89,candidate,has coordinates; has description; high-value type; strong travel term,49.132222,24.693056,Hrushevsky Street (Stometrivka),europe/ukraine/ivanofrankivsk/hrushevsky_street,0.378,23.492,23.322,needs_external_source,,https://en.wikivoyage.org/wiki/Ivano-Frankivsk
asia/china/jiangsu_province/changzhou,Changzhou,Changzhou,9,25,see,Writing Pagoda,0.89,candidate,has coordinates; has description; high-value type; strong travel term,31.7736984088,119.969539732,Tianning Temple,asia/china/jiangsu_province/changzhou/tianning_temple,0.464,0.536,0.885,needs_external_source,,https://en.wikivoyage.org/wiki/Changzhou
asia/china/yunnanprovince/tengchong,Tengchong,Tengchong,5,25,see,Former residence of Li Genyuan,0.89,candidate,has coordinates; has description; high-value type; strong travel term,25.030814,98.485287,Beihai Wetland,asia/china/yunnanprovince/tengchong/beihai_wetland,0.318,6.129,1.582,needs_external_source,,https://en.wikivoyage.org/wiki/Tengchong
europe/italy/sicily/pelagianislands/lampedusa,Lampedusa,Lampedusa,5,17,see,Riserva Naturale Orientata Isola di Lampedusa,0.89,candidate,has coordinates; has description; high-value type; strong travel term,35.51815,12.55619,Porta d'Europa (Gateway to Europe),europe/italy/sicily/pelagianislands/lampedusa/porta_d_europa,0.339,4.97,3.714,needs_external_source,,https://en.wikivoyage.org/wiki/Lampedusa
asia/uzbekistan/tashkent,Tashkent,Tashkent,41,109,do,Do’stlik Recreation Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.2901,69.2536,Alisher Navoi National Park,asia/uzbekistan/tashkent/alisher_navoi_park,0.549,1.98,3.239,needs_external_source,,https://en.wikivoyage.org/wiki/Tashkent
asia/china/hebei/cangzhou,Cangzhou,Cangzhou,3,63,do,Cangzhou Water World Theme Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.30605,116.80416,Cangzhou Iron Lion,asia/china/hebei/cangzhou/cangzhou_iron_lion,0.49,5.95,5.95,needs_external_source,,https://en.wikivoyage.org/wiki/Cangzhou
europe/greece/epirus,Epirus,Epirus,5,13,see,Pente Pigadia castle,0.89,candidate,has coordinates; has description; high-value type; strong travel term,39.3833,20.9167,Ioannina,europe/greece/epirus/ioannina,0.286,31.802,23.503,needs_external_source,,https://en.wikivoyage.org/wiki/Epirus
europe/netherlands/utrecht,Utrecht,Utrecht,14,77,see,Kanaalstraat,0.89,candidate,has coordinates; has description; high-value type; strong travel term,52.091644,5.103633,Stationsplein Bicycle Parking,europe/netherlands/utrecht/bicycle_parking,0.493,0.507,1.229,needs_external_source,,https://en.wikivoyage.org/wiki/Utrecht
asia/china/zhejiang/mount-putuo,Mount Putuo,Mount Putuo,6,24,see,South Sea Guanyin,0.89,candidate,has coordinates; has description; high-value type; strong travel term,29.9764,122.3895,Nanhai Guanyin Statue,asia/china/zhejiang/mount-putuo/nanhai_guanyin,0.474,3.728,3.728,needs_external_source,,https://en.wikivoyage.org/wiki/Mount_Putuo
asia/china/yunnanprovince/lijiang,Lijiang,Lijiang,8,36,see,Old Tea Horse Road Museum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,26.925601,100.203905,Old Town of Lijiang (Dayan),asia/china/yunnanprovince/lijiang/old_town_dayan,0.409,7.169,7.632,needs_external_source,,https://en.wikivoyage.org/wiki/Lijiang
asia/india/uttaranchal/dehradun,Dehradun,Dehradun,13,50,see,The Kalinga War Memorial,0.89,candidate,has coordinates; has description; high-value type; strong travel term,30.35409,78.08228,Tapkeshwar Temple,asia/india/uttaranchal/dehradun/tapkeshwar_temple,0.432,6.303,6.37,needs_external_source,,https://en.wikivoyage.org/wiki/Dehradun
asia/pakistan/taxila,Taxila,Taxila,10,22,see,Pippala stupa and monastery,0.89,candidate,has coordinates; has description; high-value type; strong travel term,33.765752,72.865954,Kunala Stupa,asia/pakistan/taxila/kunala_stupa,0.462,3.696,3.258,needs_external_source,,https://en.wikivoyage.org/wiki/Taxila
europe/macedonia/kicevo,Kičevo,Kičevo,4,32,see,Church of Saint Athanasius,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.443972,20.873683,Old Bazaar (Čaršija),europe/macedonia/kicevo/old_bazaar,0.278,10.102,10.102,needs_external_source,,https://en.wikivoyage.org/wiki/Ki%C4%8Devo
europe/italy/puglia/gravina_in_puglia,Gravina in Puglia,Gravina di Puglia,7,71,see,Madonna delle Grazie Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.82537,16.41943,Ponte Madonna della Stella,europe/italy/puglia/gravina_in_puglia/ponte_madonna_della_stella,0.528,0.803,0.688,needs_external_source,,https://en.wikivoyage.org/wiki/Gravina_di_Puglia
europe/spain/andalucia/algeciras,Algeciras,Algeciras,4,17,see,Paseo de Cornisa,0.89,candidate,has coordinates; has description; high-value type; strong travel term,36.147452,-5.446158,Parque Maria Cristina,europe/spain/andalucia/algeciras/parque_maria_cristina,0.529,1.468,1.811,needs_external_source,,https://en.wikivoyage.org/wiki/Algeciras
asia/india/himachalpradesh/dharamsala,Dharamsala,Dharamsala,9,56,see,Kunal Pathari,0.89,candidate,has coordinates; has description; high-value type; strong travel term,32.2,76.31002,Jwalamukhi Temple,asia/india/himachalpradesh/dharamsala/jwalamukhi_temple,0.333,36.097,1.832,needs_external_source,,https://en.wikivoyage.org/wiki/Dharamsala
asia/malaysia/kotakinabalu,Kota Kinabalu,Kota Kinabalu,15,115,see,Tun Fuad Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,5.949369,116.107567,Tunku Abdul Rahman Marine Park,asia/malaysia/kotakinabalu/tunku_abdul_rahman_park,0.512,8.51,4.984,needs_external_source,,https://en.wikivoyage.org/wiki/Kota_Kinabalu
europe/finland/vantaa,Vantaa,Vantaa,4,103,see,Collection and Conservation Center,0.89,candidate,has coordinates; has description; high-value type; strong travel term,60.288348,25.071076,Finnish Aviation Museum,europe/finland/vantaa/finnish_aviation_museum,0.421,6.855,1.596,needs_external_source,,https://en.wikivoyage.org/wiki/Vantaa
asia/india/kerala/thrissur,Thrissur,Thrissur,5,58,see,Vilangan Kunnu,0.89,candidate,has coordinates; has description; high-value type; strong travel term,10.55738,76.16859,Vadakkunnathan Temple,asia/india/kerala/thrissur/vadakkunnathan_temple,0.4,6.207,6.06,needs_external_source,,https://en.wikivoyage.org/wiki/Thrissur
southamerica/colombia/tunja,Tunja,Tunja,10,26,see,Puente de Boyacá,0.89,candidate,has coordinates; has description; high-value type; strong travel term,5.45045,-73.43032,Plaza de Bolívar,southamerica/colombia/tunja/plaza_bolivar,0.4,11.727,11.701,needs_external_source,,https://en.wikivoyage.org/wiki/Tunja
asia/uzbekistan/samarkand,Samarkand,Samarkand,19,61,do,Yoshlik Attraction Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,39.6768,66.9305,Old Mahalla,asia/uzbekistan/samarkand/old_mahalla,0.353,4.149,3.544,needs_external_source,,https://en.wikivoyage.org/wiki/Samarkand
europe/germany/northrhinewestphalia/dortmund,Dortmund,Dortmund,16,98,see,St. Nicolai,0.89,candidate,has coordinates; has description; high-value type; strong travel term,51.504,7.4587,Kreuzviertel,europe/germany/northrhinewestphalia/dortmund/kreuzviertel,0.429,0.571,1.225,needs_external_source,,https://en.wikivoyage.org/wiki/Dortmund
asia/malaysia/langkawi,Langkawi,Langkawi,4,57,do,Burau Bay,0.89,candidate,has coordinates; has description; high-value type; strong travel term,6.36477,99.66928,Dataran Lang (Eagle Square),asia/malaysia/langkawi/dataran_lang,0.381,21.197,13.67,needs_external_source,,https://en.wikivoyage.org/wiki/Langkawi
