world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/india/maharashtra/nashik,Nashik,Nashik,5,73,see,Shree Navashya Ganpati Mandir,0.89,candidate,has coordinates; has description; high-value type; strong travel term,20.016442,73.743293,Sula Vineyards,asia/india/maharashtra/nashik/sula_vineyards,0.279,2.5,4.939,needs_external_source,,https://en.wikivoyage.org/wiki/Nashik
asia/china/liaoning/dandong,Dandong,Dandong,5,13,see,Moon Island,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.094044,124.367251,Yalu River Seafood Restaurants,asia/china/liaoning/dandong/yalu_river_seafood,0.293,2.865,2.865,needs_external_source,,https://en.wikivoyage.org/wiki/Dandong
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,see,Rotwildpark,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.761833,9.09136,The Old Palace,europe/germany/badenwrttemberg/stuttgart/theoldpalace,0.476,6.984,6.755,needs_external_source,,https://en.wikivoyage.org/wiki/Stuttgart
southamerica/peru/trujillo_1,Trujillo,Trujillo (Peru),5,8,see,Huacas de Moche Archaeological Site Museum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-8.14185,-78.99241,Museo de Arqueología de la Universidad Nacional de Trujillo,southamerica/peru/trujillo_1/museo_de_arqueologia,0.405,5.096,5.224,needs_external_source,,https://en.wikivoyage.org/wiki/Trujillo_%28Peru%29
northamerica/unitedstates/florida/pensacola_beach,Pensacola Beach,Pensacola Beach,2,30,do,Fort Pickens Gate Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,30.32576,-87.18108,Gulf Islands National Seashore,northamerica/unitedstates/florida/pensacola_beach/gulf_islands_national_seashore,0.385,10.568,4.513,needs_external_source,,https://en.wikivoyage.org/wiki/Pensacola_Beach
asia/thailand/chiangrai,Chiang Rai,Chiang Rai,14,71,see,Princess Mother '90 Museum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,19.91529,99.8318,Oub Kham Museum,asia/thailand/chiangrai/oub_kham_museum,0.45,0.69,24.01,needs_external_source,,https://en.wikivoyage.org/wiki/Chiang_Rai
europe/finland/kotka,Kotka,Kotka,3,31,see,Orthodox Church of St Nicholas,0.89,candidate,has coordinates; has description; high-value type; strong travel term,60.465,26.9373,Maretarium,europe/finland/kotka/maretarium,0.509,0.491,0.536,needs_external_source,,https://en.wikivoyage.org/wiki/Kotka
asia/indonesia/wakatobi,Wakatobi,Wakatobi,0,26,do,Just outside of Sombu Pier,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-5.266382403971833,123.51796000129274,,,0.0,,9.231,needs_external_source,,https://en.wikivoyage.org/wiki/Wakatobi
europe/france/alpes/lyon,Lyon,Lyon,21,156,see,St Paul church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,45.76665,4.82708,Musée des Beaux-Arts,europe/france/alpes/lyon/musee_beaux_arts,0.508,0.492,1.054,needs_external_source,,https://en.wikivoyage.org/wiki/Lyon
europe/ukraine/crimea/sevastopol,Sevastopol,Sevastopol,5,20,see,Panorama,0.89,candidate,has coordinates; has description; high-value type; strong travel term,44.59542,33.52336,Panorama of the Siege of Sevastopol,europe/ukraine/crimea/sevastopol/panorama_of_sevastopol_siege,0.41,2.086,1.114,needs_external_source,,https://en.wikivoyage.org/wiki/Sevastopol
asia/taiwan/keelung,Keelung,Keelung,12,18,see,Dawulun Fort,0.89,candidate,has coordinates; has description; high-value type; strong travel term,25.158678,121.709369,Keelung Tower,asia/taiwan/keelung/keelung_tower,0.4,4.877,4.578,needs_external_source,,https://en.wikivoyage.org/wiki/Keelung
asia/indonesia/sulawesi/makassar,Makassar,Makassar,7,45,see,Pulau Samalona,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-5.1253,119.343,Seafood at Losari,asia/indonesia/sulawesi/makassar/seafood_losari,0.387,6.732,7.758,needs_external_source,,https://en.wikivoyage.org/wiki/Makassar
europe/sweden/gothenburg,Gothenburg,Gothenburg,15,116,see,Oscar Fredrik Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,57.6966,11.9472,Haga,europe/sweden/gothenburg/haga,0.41,0.59,1.669,needs_external_source,,https://en.wikivoyage.org/wiki/Gothenburg
asia/india/westbengal/asansol,Asansol,Asansol,7,17,do,Satabdi Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,23.6929,86.9594,Maithon Dam,asia/india/westbengal/asansol/maithon_dam,0.348,17.664,1.681,needs_external_source,,https://en.wikivoyage.org/wiki/Asansol
asia/china/guangxi/guilin,Guilin,Guilin,9,57,see,Black Hill Botanic Garden,0.89,candidate,has coordinates; has description; high-value type; strong travel term,25.256020768,110.2725379194,Elephant Trunk Hill,asia/china/guangxi/guilin/elephant_trunk_hill,0.364,2.467,3.072,needs_external_source,,https://en.wikivoyage.org/wiki/Guilin
asia/oman/muscat,Muscat,Muscat,24,152,do,Qurum Public Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,23.615253,58.458828,Qurum,asia/oman/muscat/qurum_neighbourhood,0.435,8.825,13.757,needs_external_source,,https://en.wikivoyage.org/wiki/Muscat
southamerica/ecuador/banos,Baños,Baños,7,30,see,Parque Montavalo,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-1.40006,-78.42066,Basilica de la Virgen del Agua Santa,southamerica/ecuador/banos/basilica,0.538,0.462,19.142,needs_external_source,,https://en.wikivoyage.org/wiki/Ba%C3%B1os
asia/india/himachalpradesh/shimla,Shimla,Shimla,10,35,see,Chadwick Falls,0.89,candidate,has coordinates; has description; high-value type; strong travel term,31.1196,77.1389,Viceregal Lodge (Rashtrapati Niwas),asia/india/himachalpradesh/shimla/viceregal_lodge,0.345,2.938,3.674,needs_external_source,,https://en.wikivoyage.org/wiki/Shimla
europe/romania/sinaia,Sinaia,Sinaia,5,10,see,Museum of Sinaia,0.89,candidate,has coordinates; has description; high-value type; strong travel term,45.3493,25.5471,Sinaia Casino,europe/romania/sinaia/sinaia_casino,0.414,0.816,0.425,needs_external_source,,https://en.wikivoyage.org/wiki/Sinaia
asia/india/gujarat/junagadh,Junagadh,Junagadh,6,45,see,Sakkarbaug Zoo,0.89,candidate,has coordinates; has description; high-value type; strong travel term,21.542,70.465,Mahabat Maqbara,asia/india/gujarat/junagadh/mahabat_maqbara,0.345,2.655,2.228,needs_external_source,,https://en.wikivoyage.org/wiki/Junagadh
europe/serbia/kosovoprovince/peja,Peja,Peja,8,64,see,Catholic Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,42.661239,20.278067,Old Çarshia (Bazaar),europe/serbia/kosovoprovince/peja/carsija,0.4,1.433,0.854,needs_external_source,,https://en.wikivoyage.org/wiki/Peja
europe/macedonia/kicevo,Kičevo,Kičevo,4,32,see,Hristo Uzunov Memorial,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.418239,21.077153,Bistra Mountain,europe/macedonia/kicevo/bistra_mountain,0.378,31.736,14.12,needs_external_source,,https://en.wikivoyage.org/wiki/Ki%C4%8Devo
asia/turkey/trabzon,Trabzon,Trabzon,5,75,see,St John Exoteichos Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.0079,39.7151,Gulbahar Hatun Mosque and Tomb,asia/turkey/trabzon/gulbahar_hatun,0.488,0.512,1.142,needs_external_source,,https://en.wikivoyage.org/wiki/Trabzon
europe/greece/kavala,Kavala,Kavala,14,95,see,Nea Peramos,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.8377,24.3051,Kavala Castle,europe/greece/kavala/kavala_castle,0.333,14.412,14.244,needs_external_source,,https://en.wikivoyage.org/wiki/Kavala
asia/china/hainanisland/wuzhishan,Wuzhishan,Wuzhishan,4,11,see,Wuzhishan Revolutionary Base Memorial Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,18.927254,109.470289,Hainan Nationalities Museum,asia/china/hainanisland/wuzhishan/hainan_nationalities_museum,0.435,17.615,17.084,needs_external_source,,https://en.wikivoyage.org/wiki/Wuzhishan
europe/netherlands/dordrecht,Dordrecht,Dordrecht,14,29,see,Park Merwestein,0.89,candidate,has coordinates; has description; high-value type; strong travel term,51.8119,4.67804,Dordrechts Museum,europe/netherlands/dordrecht/dordrechts_museum,0.38,0.62,4.813,needs_external_source,,https://en.wikivoyage.org/wiki/Dordrecht
europe/spain/melilla,Melilla,Melilla,5,121,see,Hipódromo Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,35.28051674845533,-2.936798025726585,Modernista Architecture District,europe/spain/melilla/modernista_architecture,0.255,1.376,1.316,needs_external_source,,https://en.wikivoyage.org/wiki/Melilla
asia/turkey/edirne,Edirne,Edirne,15,40,see,Justice Tower,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.689925,26.556626,Muradiye Mosque,asia/turkey/edirne/muradiye_mosque,0.429,1.073,1.566,needs_external_source,,https://en.wikivoyage.org/wiki/Edirne
europe/ukraine/ivanofrankivsk,Ivano-Frankivsk,Ivano-Frankivsk,9,103,see,Museum of the Insurgent Army,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.90555,24.71376,Art Museum of Prykarpattia,europe/ukraine/ivanofrankivsk/art_museum,0.52,2.035,1.932,needs_external_source,,https://en.wikivoyage.org/wiki/Ivano-Frankivsk
