world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/indonesia/maluku/ternate,Ternate,Ternate,5,27,see,Taman Nukila,0.89,candidate,has coordinates; has description; high-value type; strong travel term,0.78719,127.39006,Sultan's Palace (Kedaton),asia/indonesia/maluku/ternate/sultans_palace,0.444,1.607,0.79,needs_external_source,,https://en.wikivoyage.org/wiki/Ternate
europe/france/aquitaine/saintes,Saintes,Saintes,6,93,see,Protestant church of Saintes,0.89,candidate,has coordinates; has description; high-value type; strong travel term,45.7472,-0.6377,Musée Archéologique,europe/france/aquitaine/saintes/musee_archeologique,0.538,0.462,0.433,needs_external_source,,https://en.wikivoyage.org/wiki/Saintes
asia/pakistan/karachi,Karachi,Karachi,50,197,see,Masjid e Tooba,0.89,candidate,has coordinates; has description; high-value type; strong travel term,24.8432,67.05418,Mazar-e-Quaid,asia/pakistan/karachi/quaid_mausoleum,0.444,4.196,3.611,needs_external_source,,https://en.wikivoyage.org/wiki/Karachi
europe/hungary/esztergom,Esztergom,Esztergom,6,86,see,Monastery ruins of Kesztölc,0.89,candidate,has coordinates; has description; high-value type; strong travel term,47.7022,18.833,Royal Palace Ruins,europe/hungary/esztergom/royal_palace_ruins,0.356,12.966,11.587,needs_external_source,,https://en.wikivoyage.org/wiki/Esztergom
asia/myanmar/bagan,Bagan,Bagan,15,57,see,Pagoda Ruins (Viewpoint),0.89,candidate,has coordinates; has description; high-value type; strong travel term,21.14466,94.853923,Shwezigon Pagoda,asia/myanmar/bagan/shwezigon_pagoda,0.429,5.301,3.044,needs_external_source,,https://en.wikivoyage.org/wiki/Bagan
southamerica/brazil/ilhabela,Ilhabela,Ilhabela,11,26,see,Siriúba,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-23.7548083,-45.3504123,Praia do Jabaquara,southamerica/brazil/ilhabela/praia_do_jabaquara,0.4,6.204,7.121,needs_external_source,,https://en.wikivoyage.org/wiki/Ilhabela
asia/china/henan_province/yuzhou,Yuzhou,Yuzhou,4,48,do,Lianhua Mountain Taoist Temple,0.89,candidate,has coordinates; has description; high-value type; strong travel term,34.125,113.461,Yuwang Temple,asia/china/henan_province/yuzhou/yuwang_temple,0.419,3.115,3.115,needs_external_source,,https://en.wikivoyage.org/wiki/Yuzhou
europe/greece/thassos_island,Thassos,Thasos,14,112,see,Monastery Archangelos,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.5971,24.7018,Giola Natural Pool,europe/greece/thassos_island/giola_lagoon,0.41,8.235,10.609,needs_external_source,,https://en.wikivoyage.org/wiki/Thasos
asia/thailand/kohlanta,Koh Lanta,Ko Lanta,7,40,see,Kor Kwang,0.89,candidate,has coordinates; has description; high-value type; strong travel term,7.6456,99.0219,Ko Rok Islands,asia/thailand/kohlanta/ko_rok,0.522,45.691,8.371,needs_external_source,,https://en.wikivoyage.org/wiki/Ko_Lanta
asia/india/assam/guwahati,Guwahati,Guwahati,24,59,do,Saraighat War Memorial Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,26.19078,91.64323,Navagraha Temple,asia/india/assam/guwahati/navagraha_temple,0.419,12.17,11.105,needs_external_source,,https://en.wikivoyage.org/wiki/Guwahati
europe/spain/canaryislands/elhierro,El Hierro,El Hierro,5,67,see,La Llanía,0.89,candidate,has coordinates; has description; high-value type; strong travel term,27.73627,-17.99692,El Sabinar,europe/spain/canaryislands/elhierro/el_sabinar,0.364,2.367,4.14,needs_external_source,,https://en.wikivoyage.org/wiki/El_Hierro
asia/china/hunan/mount_heng,Mount Heng,Mount Heng (Hunan),5,9,see,Grand Temple of Mount Heng,0.89,candidate,has coordinates; has description; high-value type; strong travel term,27.2489,112.7285,Xuandu Temple,asia/china/hunan/mount_heng/xuandu_temple,0.513,3.857,7.294,needs_external_source,,https://en.wikivoyage.org/wiki/Mount_Heng_%28Hunan%29
asia/china/hunan/hengyang,Hengyang,Hengyang,4,29,see,West Lake Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,26.9137,112.6007,Huiyan Peak,asia/china/hunan/hengyang/huiyan_peak,0.4,4.182,2.397,needs_external_source,,https://en.wikivoyage.org/wiki/Hengyang
northamerica/unitedstates/georgia/fortoglethorpe,Fort Oglethorpe,Fort Oglethorpe (Georgia),2,7,see,Walker County Regional Heritage Museum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,34.87171,-85.2907,6th Cavalry Museum,northamerica/unitedstates/georgia/fortoglethorpe/6th_cavalry_museum,0.429,9.42,9.625,needs_external_source,,https://en.wikivoyage.org/wiki/Fort_Oglethorpe_%28Georgia%29
asia/india/kerala/munnar,Munnar,Munnar,5,54,see,Blossom Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,10.07041,77.06616,Anamudi Peak,asia/india/kerala/munnar/anamudi_peak,0.417,10.717,1.96,needs_external_source,,https://en.wikivoyage.org/wiki/Munnar
africa/senegal/dakar,Dakar,Dakar,26,53,do,Plage de l'Anse Bernard,0.89,candidate,has coordinates; has description; high-value type; strong travel term,14.65679,-17.43375,Place de l'Indépendance,africa/senegal/dakar/place_de_lindependance,0.5,1.626,4.35,needs_external_source,,https://en.wikivoyage.org/wiki/Dakar
europe/russia/irkutsk,Irkutsk,Irkutsk,10,66,see,Neokesariyskovo Gregory Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,52.28609,104.26989,Irkutsk Regional Museum,europe/russia/irkutsk/regional_museum,0.377,0.912,0.755,needs_external_source,,https://en.wikivoyage.org/wiki/Irkutsk
