world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/greece/kavala,Kavala,Kavala,14,95,do,Nea Peramos,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.8323,24.3055,Kavala Castle,europe/greece/kavala/kavala_castle,0.333,14.846,14.693,needs_external_source,,https://en.wikivoyage.org/wiki/Kavala
europe/hungary/satoraljaujhely,Sátoraljaújhely,Sátoraljaújhely,4,94,see,Reformed Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.54117,21.45547,Magas-hegy Chairlift,europe/hungary/satoraljaujhely/magas_hegy,0.343,20.221,21.889,needs_external_source,,https://en.wikivoyage.org/wiki/S%C3%A1toralja%C3%BAjhely
asia/china/shaanxi/tongchuan,Tongchuan,Tongchuan,3,29,see,Great Mountain Forest Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,34.78,109.012,Yaowang Mountain,asia/china/shaanxi/tongchuan/yaowang_mountain,0.476,15.129,15.36,needs_external_source,,https://en.wikivoyage.org/wiki/Tongchuan
asia/turkey/edirne,Edirne,Edirne,15,40,see,St George Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.680428,26.570233,Muradiye Mosque,asia/turkey/edirne/muradiye_mosque,0.454,0.546,1.079,needs_external_source,,https://en.wikivoyage.org/wiki/Edirne
asia/philippines/mindanaoisland/davao,Davao,Davao,38,40,see,Davao Museum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,7.105,125.647,Davao Hilltop Restaurant,asia/philippines/mindanaoisland/davao/davao_hilltop_rest,0.444,,6.198,needs_external_source,,https://en.wikivoyage.org/wiki/Davao
europe/france/east/lorraine/nancy,Nancy,Nancy,15,78,do,Théâtre Mon Désert,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.68334,6.17453,Church of the Cordeliers,europe/france/east/lorraine/nancy/cordeliers_church,0.378,1.647,1.326,needs_external_source,,https://en.wikivoyage.org/wiki/Nancy
asia/china/shandong_province/zibo,Zibo,Zibo,5,45,do,Xiaofu River Wetland Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,36.7918,117.988,Great Wall of Qi,asia/china/shandong_province/zibo/qi_great_wall,0.293,41.545,5.602,needs_external_source,,https://en.wikivoyage.org/wiki/Zibo
asia/india/karnataka/udupi,Udupi,Udupi,0,41,see,Anantheshwara temple,0.89,candidate,has coordinates; has description; high-value type; strong travel term,13.34102,74.75177,,,0.0,,1.046,needs_external_source,,https://en.wikivoyage.org/wiki/Udupi
northamerica/unitedstates/nebraska/omaha,Omaha,Omaha,10,120,do,Heartland of America Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.2574,-95.92405,Old Market,northamerica/unitedstates/nebraska/omaha/old_market,0.4,0.921,1.207,needs_external_source,,https://en.wikivoyage.org/wiki/Omaha
asia/china/guizhou/taijiang,Taijiang,Taijiang,4,9,see,Wongyou River National Wetland Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,26.675491,108.30455,Shidong Village and Dragon Boat Racing,asia/china/guizhou/taijiang/shidong_village,0.356,4.696,1.705,needs_external_source,,https://en.wikivoyage.org/wiki/Taijiang
africa/eritrea/danakildepression,Danakil Depression,Danakil Depression,3,9,see,Salt canyons,0.89,candidate,has coordinates; has description; high-value type; strong travel term,14.229,40.29,Gaet'ale Pond,africa/eritrea/danakildepression/gaetale_pond,0.48,3.808,1.776,needs_external_source,,https://en.wikivoyage.org/wiki/Danakil_Depression
asia/india/uttarpradesh/lucknow,Lucknow,Lucknow,27,97,do,Buddha Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,26.902295,80.944014,Begum Hazrat Mahal Park,asia/india/uttarpradesh/lucknow/begum_hazrat_mahal_park,0.529,5.547,7.199,needs_external_source,,https://en.wikivoyage.org/wiki/Lucknow
europe/croatia/kornati_national_park,Kornati National Park,Kornati National Park,0,8,see,Magazinova škrila,0.89,candidate,has coordinates; has description; high-value type; strong travel term,43.832886,15.295544,,,0.0,,7.386,needs_external_source,,https://en.wikivoyage.org/wiki/Kornati_National_Park
asia/china/sichuanprovince/dujiangyan,Dujiangyan,Dujiangyan,4,36,do,Dragon Boat Festival on the Minjiang River (端午龙舟赛),0.89,candidate,has coordinates; has description; high-value type; strong travel term,31.00167,103.60528,China Conservation and Research Center for Giant Panda (Dujiangyan),asia/china/sichuanprovince/dujiangyan/dujiangyan_panda_base,0.348,8.273,1.03,needs_external_source,,https://en.wikivoyage.org/wiki/Dujiangyan
europe/romania/cluj,Cluj-Napoca,Cluj-Napoca,43,87,see,Old Casino,0.89,candidate,has coordinates; has description; high-value type; strong travel term,46.7690384,23.5776905,Hungarian State Theatre and Opera,europe/romania/cluj/hungarian_state_theatre,0.495,0.505,3.505,needs_external_source,,https://en.wikivoyage.org/wiki/Cluj-Napoca
northamerica/canada/britishcolumbia/golden,Golden,Golden (British Columbia),9,35,do,Flying W Trail Rides,0.89,candidate,has coordinates; has description; high-value type; strong travel term,51.29815,-117.04837,Kicking Horse Mountain Resort,northamerica/canada/britishcolumbia/golden/kicking_horse_mountain_resort,0.449,6.645,5.847,needs_external_source,,https://en.wikivoyage.org/wiki/Golden_%28British_Columbia%29
europe/belgium/tournai,Tournai,Tournai,0,11,see,Folklore Museum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,50.605405,3.386592,,,0.0,,0.091,needs_external_source,,https://en.wikivoyage.org/wiki/Tournai
europe/netherlands/enschede,Enschede,Enschede,14,28,see,Synagogue Enschede,0.89,candidate,has coordinates; has description; high-value type; strong travel term,52.218019,6.885977,Enschede Railway Station,europe/netherlands/enschede/enschede_station,0.458,0.542,0.641,needs_external_source,,https://en.wikivoyage.org/wiki/Enschede
asia/china/hunan/yongzhou,Yongzhou,Yongzhou,3,13,do,Xiaoxiang Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,26.428175,111.614385,Liuzi Temple,asia/china/hunan/yongzhou/liuzi_temple,0.308,23.064,3.215,needs_external_source,,https://en.wikivoyage.org/wiki/Yongzhou
northamerica/unitedstates/idaho/boise,Boise,Boise,14,73,see,Aquarium of Boise,0.89,candidate,has coordinates; has description; high-value type; strong travel term,43.605545,-116.27331,The Basque Block,northamerica/unitedstates/idaho/boise/basque_block,0.414,5.831,5.958,needs_external_source,,https://en.wikivoyage.org/wiki/Boise
europe/italy/liguria/italianriviera/finaleligure,Finale Ligure,Finale Ligure,7,21,see,Palazzo Ricci,0.89,candidate,has coordinates; has description; high-value type; strong travel term,44.175927,8.326821,Finalborgo,europe/italy/liguria/italianriviera/finaleligure/finalborgo,0.348,1.18,1.556,needs_external_source,,https://en.wikivoyage.org/wiki/Finale_Ligure
asia/india/uttarpradesh/varanasi,Varanasi,Varanasi,13,65,see,Nepali Hindu Temple,0.89,candidate,has coordinates; has description; high-value type; strong travel term,25.31765,82.97391,Kashi Vishwanath Temple,asia/india/uttarpradesh/varanasi/kashi_vishwanath_temple,0.524,3.768,3.936,needs_external_source,,https://en.wikivoyage.org/wiki/Varanasi
asia/china/hainanisland/lingshui,Lingshui,Lingshui,4,11,do,Mytikas Water Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,18.447718992423056,110.04304728381913,Lingshui Railway Station,asia/china/hainanisland/lingshui/lingshui_railway_station,0.333,10.165,11.396,needs_external_source,,https://en.wikivoyage.org/wiki/Lingshui
