world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/california/oceanside,Oceanside,Oceanside,15,28,do,Guajome Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,33.240833,-117.266667,Oceanside Pier,northamerica/unitedstates/california/oceanside/oceanside_pier,0.385,12.615,11.625,needs_external_source,,https://en.wikivoyage.org/wiki/Oceanside
europe/serbia/kosovoprovince/pristina,Pristina,Pristina,20,107,see,Arbëria Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,42.6674,21.151,Liburnia,europe/serbia/kosovoprovince/pristina/liburnia_restaurant,0.4,1.024,1.287,needs_external_source,,https://en.wikivoyage.org/wiki/Pristina
asia/china/jiangsu_province/wuxi,Wuxi,Wuxi,12,32,do,Wuxi Zoo,0.89,candidate,has coordinates; has description; high-value type; strong travel term,31.58056,120.23369,Wuxi Museum,asia/china/jiangsu_province/wuxi/wuxi_museum,0.526,8.583,12.398,needs_external_source,,https://en.wikivoyage.org/wiki/Wuxi
europe/hungary/veszprem,Veszprém,Veszprém,11,105,see,Saint Ladislaus Parishchurch,0.89,candidate,has coordinates; has description; high-value type; strong travel term,47.098734,17.8954,Elizabeth Look-out,europe/hungary/veszprem/erzsebet_lookout,0.546,0.454,1.123,needs_external_source,,https://en.wikivoyage.org/wiki/Veszpr%C3%A9m
europe/hungary/satoraljaujhely,Sátoraljaújhely,Sátoraljaújhely,4,94,see,Reformed Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.49112,21.60313,Magas-hegy Chairlift,europe/hungary/satoraljaujhely/magas_hegy,0.343,10.128,11.267,needs_external_source,,https://en.wikivoyage.org/wiki/S%C3%A1toralja%C3%BAjhely
europe/hungary/zalakaros,Zalakaros,Zalakaros,2,56,see,Feast of the Ascension Roman Catholic Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,46.52187,17.12529,Gránit Thermal and Adventure Bath,europe/hungary/zalakaros/granit_thermal_bath,0.274,3.725,4.335,needs_external_source,,https://en.wikivoyage.org/wiki/Zalakaros
northamerica/guatemala/guatemalacity,Guatemala City,Guatemala City,12,76,see,Museum of Modern Art,0.89,candidate,has coordinates; has description; high-value type; strong travel term,14.597429,-90.52881,Ixchel Museum of Indigenous Dress,northamerica/guatemala/guatemalacity/ixchel_museum,0.491,4.058,4.787,needs_external_source,,https://en.wikivoyage.org/wiki/Guatemala_City
asia/china/guangdong/kaiping,Kaiping,Kaiping,4,17,see,Village without People,0.89,candidate,has coordinates; has description; high-value type; strong travel term,22.364647,112.726884,Liyuan Village,asia/china/guangdong/kaiping/liyuan_village,0.389,6.493,4.232,needs_external_source,,https://en.wikivoyage.org/wiki/Kaiping
asia/china/yunnanprovince/kunming,Kunming,Kunming,50,81,see,Burma Road History Museum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,25.028073,102.630314,Kunming City Museum,asia/china/yunnanprovince/kunming/kunming_museum,0.545,9.764,8.823,needs_external_source,,https://en.wikivoyage.org/wiki/Kunming
asia/china/innermongolia/chifeng,Chifeng,Chifeng,7,23,do,Visit Chifeng Folk Culture Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,42.26,118.965,Chifeng Museum,asia/china/innermongolia/chifeng/chifeng_museum,0.444,3.566,3.599,needs_external_source,,https://en.wikivoyage.org/wiki/Chifeng
northamerica/unitedstates/utah/saltlakecity,Salt Lake City,Salt Lake City,62,174,do,New Roots Farm,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.70544,-111.93549,Pioneer Park,northamerica/unitedstates/utah/saltlakecity/pioneer_park,0.462,7.049,7.289,needs_external_source,,https://en.wikivoyage.org/wiki/Salt_Lake_City
