world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/vietnam/nhatrang,Nha Trang,Nha Trang,10,66,see,Alexandre Yersin Museum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,12.251,109.196,National Oceanographic Museum,asia/vietnam/nhatrang/national_oceanographic_museum,0.538,5.421,10.972,needs_external_source,,https://en.wikivoyage.org/wiki/Nha_Trang
europe/hungary/satoraljaujhely,Sátoraljaújhely,Sátoraljaújhely,4,94,see,Wine Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.3867,21.6563,Main Square (Kossuth tér),europe/hungary/satoraljaujhely/main_square,0.455,1.068,1.045,needs_external_source,,https://en.wikivoyage.org/wiki/S%C3%A1toralja%C3%BAjhely
europe/slovakia/trnava,Trnava,Trnava,9,11,see,Smolenice Castle,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.513611,17.432222,Basilica of Saint Nicholas,europe/slovakia/trnava/saint_nicolas_basilica,0.333,19.069,18.967,needs_external_source,,https://en.wikivoyage.org/wiki/Trnava
asia/thailand/lampang,Lampang,Lampang,0,26,see,Wat Si Chum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,18.28438,99.50005,,,0.0,,0.576,needs_external_source,,https://en.wikivoyage.org/wiki/Lampang
europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham,Birmingham,Birmingham,16,180,see,The Church of Jesus Christ of Latter-day Saints,0.89,candidate,has coordinates; has description; high-value type; strong travel term,52.4635,-1.9644,Gas Street Basin,europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham/gas_street_basin,0.339,3.97,4.551,needs_external_source,,https://en.wikivoyage.org/wiki/Birmingham
asia/india/gujarat/gandhinagar,Gandhinagar,Gandhinagar,6,8,see,Children's Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,23.247323,72.658685,Indroda Dinosaur and Fossil Park,asia/india/gujarat/gandhinagar/indroda_nature_park,0.426,6.248,2.849,needs_external_source,,https://en.wikivoyage.org/wiki/Gandhinagar
europe/hungary/godollo,Gödöllő,Gödöllő,3,60,see,Holy Trinity Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,47.59846,19.34212,Máriabesnyő Pilgrimage Church,europe/hungary/godollo/mariabesnyő,0.511,4.221,0.441,needs_external_source,,https://en.wikivoyage.org/wiki/G%C3%B6d%C3%B6ll%C5%91
europe/germany/lowersaxony/salzgitter,Salzgitter,Salzgitter,4,14,see,Kniestedter Kirche,0.89,candidate,has coordinates; has description; high-value type; strong travel term,52.05234,10.37574,Salzgittersee,europe/germany/lowersaxony/salzgitter/salzgittersee,0.387,12.595,10.958,needs_external_source,,https://en.wikivoyage.org/wiki/Salzgitter
northamerica/unitedstates/wisconsin/milwaukee,Milwaukee,Milwaukee,10,127,do,Lake Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,43.06879,-87.87049,Milwaukee Riverwalk,northamerica/unitedstates/wisconsin/milwaukee/milwaukee_riverwalk,0.5,4.559,4.589,needs_external_source,,https://en.wikivoyage.org/wiki/Milwaukee
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,see,MBJB City Forest,0.89,candidate,has coordinates; has description; high-value type; strong travel term,1.480531,103.746168,KSL City Shopping Mall,asia/malaysia/johorbahru/ksl_city_shopping,0.368,1.909,3.241,needs_external_source,,https://en.wikivoyage.org/wiki/Johor_Bahru
southamerica/colombia/palmira,Palmira,Palmira,3,5,see,Cathedral of Our Lady of the Rosary,0.89,candidate,has coordinates; has description; high-value type; strong travel term,3.52722,-76.30061,Estadio Francisco Rivera Escobar,southamerica/colombia/palmira/estadio_francisco_rivera,0.351,0.649,0.449,needs_external_source,,https://en.wikivoyage.org/wiki/Palmira
